"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4742]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / TSUKUE ISLAND","","33","35","130","133","SAE","","","s_2 [4742]","PERIDOTITE, XENOLITH [4742]","","","","","","","","","PER","","","","","WR [4742] ","46.05","2.22","","16.13","","5.02","5.85","","9.68","8.03","0.19","","0.97","3.38","0.55","","1.43","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100049",
"[9909][6406]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / AVACHA (AVACHINSKY)","EASTERN VOLCANIC FRONT","53.256","53.256","158.836","158.836","SAE","","","s_AVX-35 [9909] / s_AVX35 [6406]","PERIDOTITE, XENOLITH [9909] / HARZBURGITE, SPINEL, XENOLITH [6406]","","","","","","","","","PER","","","","","WR [9909] ","42.36","","","0.53","","","","7.91","0.51","47.17","0.12","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.35","65.2","55.4","","","","","2596","","","","","","","","","0.853","0.075","0.071","","","0.002","0.001","0.002","","","","","","","","","0.613","","0.029","0.005","0.022","","","0.01","0.002","0.013","0.003","0.013","0.003","0.023","0.005","","","","","0.003","0.0005","0.017","0.0061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100216",
"[17805]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE","NORTH OF LAKE PAHKALAMPI","61","61","33","33","SAE","","","s_104/KP-67 [17805]","PERIDOTITE, MICA [17805]","","","","ARCHEAN [17805]","","","","","PLU","","","","","WR [17805] ","25.72","0.05","","8.16","","7.6","2.58","","15.58","23.31","0.06","","2.5","2.7","0.44","","5.44","0.05","","6.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002570",
"[20037]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB","","22.8","22.8","41.38","41.38","SAE","","","s_XN2 [20037]","PERIDOTITE, XENOLITH [20037]","","","","","","","","PROTOGRANULAR [20037] ","PER","","","F","","WR [20037] ","45.16","0.1","","1.56","0.38","","","8.79","0.97","44.47","0.13","","0.02","0.1","0.01","","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","","","","","","","","1.1","","","","","0.5","10.9","1","3.4","0.5","","","","","","","","","","","","","7","0.5","1.1","0.11","0.5","0.09","0.04","0.12","0.02","0.19","0.03","0.11","0.02","0.13","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1014383",
"[20037]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB","","22.8","22.8","41.38","41.38","SAE","","","s_XN4 [20037]","PERIDOTITE, XENOLITH [20037]","","","","","","","","PROTOGRANULAR [20037] ","PER","","","F","","WR [20037] ","45.97","0.19","","2.94","0.54","","","8.9","2.83","39.89","0.13","","0.04","0.17","0.02","","","","","","","","","","","","","","","","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","","","","","","","","2.3","","","","","0.7","33.4","1.8","7.4","1.3","","","","","","","","","","","","","12","1.1","2","0.25","1.1","0.24","0.1","0.32","0.05","0.36","0.09","0.23","0.03","0.23","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1014384",
"[20037]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB","","22.8","22.8","41.38","41.38","SAE","","","s_XN5 [20037]","PERIDOTITE, XENOLITH [20037]","","","","","","","","PROTOGRANULAR [20037] ","PER","","","F","","WR [20037] ","46.91","0.11","","3.62","0.54","","","8.23","2.73","39.55","0.13","","0.01","0.14","0.01","","","","","","","","","","","","","","","","0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","","","","","","","","2.5","","","","","0.3","2.2","2.2","0.8","0.2","","","","","","","","","","","","","2","0.2","0.2","0.02","0.3","0.05","0.04","0.16","0.04","0.31","0.07","0.26","0.04","0.29","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1014385",
"[20037]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB","","22.8","22.8","41.38","41.38","SAE","","","s_XN6 [20037]","PERIDOTITE, XENOLITH [20037]","","","","","","","","PROTOGRANULAR [20037] ","PER","","","F","","WR [20037] ","44.96","0.11","","2.01","0.42","","","9.04","1.1","43.39","0.13","","0.02","0.1","0.01","","","","","","","","","","","","","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","1.4","","","","","0.6","11.7","1","5.6","0.7","","","","","","","","","","","","","6","0.6","1.1","0.14","0.5","0.08","0.06","0.15","0.03","0.16","0.03","0.12","0.01","0.13","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1014386",
"[20037]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB","","22.8","22.8","41.38","41.38","SAE","","","s_XN7 [20037]","PERIDOTITE, XENOLITH [20037]","","","","","","","","PROTOGRANULAR [20037] ","PER","","","F","","WR [20037] ","45.24","0.03","","0.73","0.34","","","7.92","0.42","46.79","0.11","","0.01","0.01","0.01","","","","","","","","","","","","","","","","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","","","","","","","0.5","","","","","0.3","4","0.1","1.4","0.3","","","","","","","","","","","","","9","0.3","0.5","0.04","0.3","0.05","0.02","0.05","0.01","0.05","0.02","0.03","0.01","0.05","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1014387",
"[20037]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB","","22.8","22.8","41.38","41.38","SAE","","","s_XN8 [20037]","PERIDOTITE, XENOLITH [20037]","","","","","","","","PROTOGRANULAR [20037] ","PER","","","F","","WR [20037] ","44.17","0.08","","1.44","0.41","","","9.06","0.86","45.42","0.13","","0.02","0.05","0.01","","","","","","","","","","","","","","","","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","","","","","","","0.7","","","","","0.5","12","0.5","3.4","0.7","","","","","","","","","","","","","6","0.6","1.3","0.11","0.5","0.05","0.04","0.09","0.01","0.09","0.02","0.07","0.01","0.08","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1014388",
"[20037]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB","","22.8","22.8","41.38","41.38","SAE","","","s_XN9 [20037]","PERIDOTITE, XENOLITH [20037]","","","","","","","","PROTOGRANULAR [20037] ","PER","","","F","","WR [20037] ","45.51","0.07","","3.34","0.46","","","8.95","2.74","40.52","0.13","","0.01","0.12","0.01","","","","","","","","","","","","","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","","","","","","","","2.1","","","","","0.4","5.1","1.7","1.1","0.2","","","","","","","","","","","","","2","0.4","0.6","0.05","0.3","0.05","0.03","0.18","0.04","0.32","0.07","0.22","0.04","0.28","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1014389",
