"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19975]","INTRAPLATE VOLCANICS","AMAZONIAN CRATON / BRAZIL / RIO ALTO BLOCK / ALTO TERERE GROUP","","-21","-22","-57","-58","SAE","","","s_EA-85-A [19975]","PYROXENITE [19975]","","","","PROTEROZOIC [19975]","","","","","PLU","","","","","WR [19975] ","59.9","0.64","","13.43","0.01","","","7.8","13.33","2.2","0.1","","0.04","0.15","0.08","","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","274","61.6","","","20.7","35","54.4","","","","","","","0.9","622.7","15.9","59.9","1.3","","","","","","","","","","","","0.09","10","9.4","15.7","2.49","9.2","2.37","0.73","2.61","0.43","2.98","0.56","1.63","0.24","1.55","0.22","1.3","0.1","","","","","","","","","0.8","","1.9","0.3","","","","","","","","","","","","","","","","","","","","","","","","","1001407",
"[19975]","INTRAPLATE VOLCANICS","AMAZONIAN CRATON / BRAZIL / RIO ALTO BLOCK / ALTO TERERE GROUP","","-21","-22","-57","-58","SAE","","","s_EA-85C [19975]","PYROXENITE [19975]","","","","PROTEROZOIC [19975]","","","","","PLU","","","","","WR [19975] ","47.02","1.27","","16.38","0.01","","","11.29","16.77","3.69","0.14","","0.15","0.35","0.16","","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","310","82.14","","","36.5","49","57.8","","","","","","","3.2","292.1","32","108.2","2.8","","","","","","","","","","","","0.09","21","14.7","28.5","4.14","17.1","4.37","1.35","4.93","0.84","5.28","1.02","3.04","0.5","3.25","0.5","2.7","0.3","","","","","","","","","1.3","","2.8","0.5","","","","","","","","","","","","","","","","","","","","","","","","","1001408",
"[19975]","INTRAPLATE VOLCANICS","AMAZONIAN CRATON / BRAZIL / RIO ALTO BLOCK / ALTO TERERE GROUP","","-21","-22","-57","-58","SAE","","","s_JV-24 [19975]","PYROXENITE [19975]","","","","PROTEROZOIC [19975]","","","","","PLU","","","","","WR [19975] ","43.8","0.95","","17.36","0.01","","","10.67","19.08","2.38","0.11","","0.09","0.78","0.14","","","","","","","","","","","","","","","","3.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.45","","","","34.7","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","","","","0.512189","","","","","","","","","","","","","","","","","","","","","","","","1001409",
"[19975]","INTRAPLATE VOLCANICS","AMAZONIAN CRATON / BRAZIL / RIO ALTO BLOCK / ALTO TERERE GROUP","","-21","-22","-57","-58","SAE","","","s_JV-23 [19975]","PYROXENITE [19975]","","","","PROTEROZOIC [19975]","","","","","PLU","","","","","WR [19975] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512037","","","","","","","","","","","","","","","","","","","","","","","","1001411",
"[17805]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE","NORTH OF LAKE PAHKALAMPI","61","61","33","33","SAE","","","s_135/KP-68 [17805]","PYROXENITE, FELDSPAR [17805]","","","","ARCHEAN [17805]","","","","","PLU","","","","","WR [17805] ","48.24","0.3","","7.58","","6.34","0.32","","10.39","11.02","0.06","","9.62","1.08","2.67","","1.03","0.26","","1.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002589",
"[20006]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / LIAONING PROVINCE / SAIMA COMPLEX","","40.911","40.911","124.5491","124.5491","SAE","","","s_11SM29 [20006]","PYROXENITE [20006]","","","","TRIASSIC [20006]","","","","","PLU","","","","","WR [20006] ","46","1.05","","6.89","","","","5.16","16.88","13.9","0.1","","5.1","0.47","3.88","","","","","","","","","","","","","","","","2.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.6","","98.5","186","","","39.5","114","","","13.2","","","","","162","2165","32.1","258","11.8","","","","","","","","","","","","1.83","3631","180","372","46.3","192","33.1","7.46","20.6","2.05","8.58","1.16","2.24","0.24","1.3","0.18","5.88","0.84","","","","","","","","","27.2","","12.2","2.69","0.511855","","","0.709091","","","","","","","","","","","","","","0.282307","","","","","","","1010478",
"[20029]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD / JORDAN / HARRAT ASH SHAAM (SHAMAH) VOLCANIC FIELD / ASHAQEF USEFIR","","32","32","36","36","SAE","","","s_AS23B [20029]","PYROXENITE, GARNET [20029]","","","","","","","","","PLU","","","","","WR [20029] ","44.5","0.1","","14.95","0.16","","","5.7","15.8","14.75","0.12","","0.06","0.87","0.02","","","","","","","","","","","","","","","0.01","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","174","1320","","","43","277","17","13","9.2","","","","","0.9","40.6","5.3","8","0.6","","","","","","","","","","0.03","","0.15","9.9","0.8","1.8","0.2","1","0.26","0.15","0.54","0.11","0.78","0.18","0.64","0.09","0.64","0.08","0.4","","","","","","","","","","0.14","","0.07","0.02","0.512984","","","0.703323","","18.274","","15.532","","37.903","","","","","","","","","","","","","","","1011935",
"[20106]","INTRAPLATE VOLCANICS","BALTIC SHIELD / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KITTILÄ GREENSTO / SAVUKOSKI GROUP (SATTASVAARA KOMATIITE COMPLEX)","LOMALAMPI PGE MINERALIZATION, WESTERN FINNISH LAPLAND","68","68","27","27","SAE","","","s_R421 [20106]","PYROXENITE [20106]","","","PALEO [20106]","PROTEROZOIC [20106]","","","","","PLU","78","78","","","WR [20106] ","43.8","0.62","","8.59","0.27","","","12.36","7.05","18.6","0.14","","1.96","0.14","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1940","346","","","31.7","","213","","","","","842","85","120","","","0","","","0","13","11.2","38","0","","","","","","","","","","","","","53","1.43","4.03","0.68","3.46","1.25","0.35","1.85","0.35","2.06","0.43","1.16","0.18","1.12","0.17","0","","","","","","","","","","","","0","0.27","","","","","","","","","","","","","","","","","","","","","","","","","1020063",
"[20106]","INTRAPLATE VOLCANICS","BALTIC SHIELD / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KITTILÄ GREENSTO / SAVUKOSKI GROUP (SATTASVAARA KOMATIITE COMPLEX)","LOMALAMPI PGE MINERALIZATION, WESTERN FINNISH LAPLAND","68","68","27","27","SAE","","","s_R445 [20106]","PYROXENITE [20106]","","","PALEO [20106]","PROTEROZOIC [20106]","","","","","PLU","6.2","6.2","","","WR [20106] ","46","0.33","","5.59","0.4","","","8.81","8.92","22.2","0.14","","0.02","0","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2011","65","","","26.8","","130","","","","","1270","0","89","","","0","","","0","10","8.68","25.7","0.84","","","","","","","","","","","","","24","0.41","1.63","0.32","1.91","0.89","0.12","1.24","0.21","1.44","0.3","0.79","0.11","0.71","0.11","0.77","","","","","","","","","","","","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","1020064",
"[20106]","INTRAPLATE VOLCANICS","BALTIC SHIELD / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KITTILÄ GREENSTO / SAVUKOSKI GROUP (SATTASVAARA KOMATIITE COMPLEX)","LOMALAMPI PGE MINERALIZATION, WESTERN FINNISH LAPLAND","68","68","27","27","SAE","","","s_R444 [20106]","PYROXENITE [20106]","","","PALEO [20106]","PROTEROZOIC [20106]","","","","","PLU","86.65","86.65","","","WR [20106] ","40.3","0.39","","5.79","0.46","","","8.34","8.83","23.8","0.15","","0","0","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2775","87","","","24.5","","140","","","","","1327","101","66","","","0","","","0.71","13","8.99","28.3","0.88","","","","","","","","","","","","","20","0.88","1.73","0.29","1.97","0.67","0.14","1.32","0.22","1.81","0.35","0.87","0.13","0.67","0.1","0.94","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","1020069",
"[20236]","CONVERGENT MARGIN","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA","MENDOZA","-32.6928","-32.6928","-68.9967","-68.9967","SAE","","","s_LP PX [20236]","PYROXENITE [20236]","","","","","","","","","PLU","","","","","WR [20236] ","35.95","2.23","","4.94","","","","20.81","21.11","9.53","0.28","","0.07","0.26","2.25","","","","","","","","","","","","","","","","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","","612","0","","","87","0","380","150","17","","","","","2","420","23","102","0","","","","","","","","3","1.1","","","0.6","22","30.4","75.2","11.5","55.7","13.1","4.13","11.4","1.5","6.2","0.9","2.3","0.28","1.6","0.2","4.5","0.1","204","","","","","","","0","8","2.1","1.5","0.2","0.51277","","","0.70395","","18.7788","","15.7494","","38.954","","","","","","","","","","","","","","","1027041",
"[20236]","CONVERGENT MARGIN","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA","MENDOZA","-32.6928","-32.6928","-68.9967","-68.9967","SAE","","","s_US 2 [20236]","PYROXENITE [20236]","","","","","","","","","PLU","","","","","WR [20236] ","38.5","2.27","","4.95","","","","22.68","15.5","10.1","0.22","","0.7","0.13","2.58","","","","","","","","","","","","","","","","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","","554","89","","","66.4","39","187","110","16","","","","","35.1","476","20.3","616","0","","","","","","","","2.1","0.13","","","","637","25.2","63.6","8.76","47","10.7","3.19","10.1","1.03","5.39","0.79","1.97","0.2","1.3","0.17","2.7","0.26","","","","","","","","0.13","15","0","1.48","0.31","","","","","","","","","","","","","","","","","","","","","","","","","1027042",
"[20202]","INTRAPLATE VOLCANICS","AUSTRALIA / HALLS CREEK OROGEN / WESTERN AUSTRALIA / CUMMINS RANGE CARBONATITE COMPLEX","KIMBERLEY REGION","-19.29","-19.29","127.17","127.17","SAE","","","s_966 [20202]","PYROXENITE [20202]","","","","PROTEROZOIC [20202]","","","","","PLU","","","","","WR [20202] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.5","1008","","","","","","","","","","","","","","","","","","","","466.09","86.65","","","","","","","","","","","","","","","","","","","","","","","","0.511424","","","0.70635","","","","","","","","","","","","","","","","","","","","","1029608",
"[20206]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / JIANGXI PROVINCE","QICHUN AREA","30.2088","30.2088","115.4958","115.4958","SAE","","","s_04QC02 [20206]","PYROXENITE [20206]","","","","PROTEROZOIC [20206]","","","","","PLU","","","","","WR [20206] ","45.91","0.26","","2.02","","","","12.76","9.77","21.54","0.19","","0.02","","0.004","","","","","","","","","","","","","0.029","","","5.87","","","","","","","","","","","","","","0.185","0.087","","","","","","","","","","","","","61.6","","146","1764","","","93.4","395","96.2","67.4","3.74","","","","","0.164","18.6","8.36","9.64","0.15","0.125","","","","","0.061","","0.198","","","","0.009","11.9","1.93","3.9","0.723","3.87","1.23","0.257","1.44","0.248","1.52","0.288","0.775","0.102","0.62","0.09","0.38","0.019","","","","","","","","","1.21","","0.044","0.028","","","","","","","","","","","","","","","","","","","","","","","","","1030567",
