"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"ALKALI BASALT [4791] / NOT GIVEN [14081]",49.13,24.69,50.21,5.89,22.49,5.02,1.43,5.58,0.84,5.19,1.11,3.16,0.45,2.77,0.42,14.98,-87.98
"ALKALI BASALT [18602]",49.432,23.11600706085,50.67127762907,6.30139603630265,27.0456338045966,6.00067007161882,1.88988210091743,5.76278000587156,0.864784994495413,4.9320828409464,0.928071808448432,2.49204467083375,0.345264597301673,2.2414156530442,0.335585086113428,-36.337061,-69.400259
"ALKALI BASALT, OLIVINE [13623]",47.22,55.34,106.6,12,45.53,8.5,2.58,6.71,0.92,4.81,0.82,2.08,0.28,1.73,0.26,37.6,-1.32
"ALKALI BASALT [10529]",46.94,48.411,110.633,14.184,54.541,11.496,3.176,9.095,1.158,5.579,0.936,2.14,0.29,1.686,0.248,67.5,-31.5
"ALKALI BASALT [28543]",48.5889899678582,41.2679759296149,74.8379088645418,10.0886734727756,42.8397788844622,10.0886734727756,3.20480179282869,9.52660258964143,1.33101045816733,7.42532221115538,1.2980844123506,3.25468974103586,0.405090139442231,2.36734943559097,0.315291832669323,40,113.8
"BASALT [12504] / NOT GIVEN [19774] / ALKALI BASALT [7190]",46.75,7.53,15.85,2.2,9.9,2.69,0.97,3.04,0.49,2.98,0.6,1.64,0.24,1.52,0.24,22.09,-160.2183
"ALKALI BASALT [18524]",50.76,30.4,64.5,7.53,30.5,6.24,2.02,5.77,0.87,4.5,0.83,2.3,0.28,1.9,0.26,35.3,102.77
"ALKALI BASALT [12149]",48.87,12.3,28.4,3.88,16.9,4.02,1.47,4.4,0.76,4.91,1.05,2.87,0.43,2.97,0.44,45.1,141.27
"ALKALI BASALT [20550]",48.21,18.28,37.24,4.82,20.97,4.71,1.5,4.69,0.746,4.17,0.823,2.23,0.312,1.96,0.295,-34.5935,-68.5571
"ALKALI BASALT [15729]",47.37,28.73,56.4,6.43,26.61,5.59,2.02,5.77,0.83,4.96,0.99,2.28,0.34,1.97,0.31,33.25,54.5
"ALKALI BASALT [26281]",50.42,49.3,95.4,11.9,45.8,9.84,2.98,8.21,1.1,5.9,1,2.7,0.3,2.1,0.3,41.7865,127.9189
"ALKALI BASALT [17668]",41.5,54.4,112,13.8,54.7,10.2,3.05,8.58,1.16,6.01,1.05,2.56,0.331,1.99,0.28,50.5905,9.9358
"ALKALI BASALT [28546]",44.03,40.71,91.2,11.9,52.75,10.82,3.215,10.02,1.414,8.6,1.647,4.59,0.617,4.04,0.586,-15.6707,12.791
"ALKALI BASALT [16033]",48.3986272360294,36.04,67.49,8.01,34.49,7.17,2.29,6.82,0.91,5.2,0.9,2.37,0.31,1.86,0.23,33.4,126.5
"ALKALI BASALT [16064]",54.8,13.8,28.9,3.82,17.1,4.88,1.64,4.88,0.72,3.95,0.72,1.75,0.22,1.38,0.19,31.0322,61.4869
"ALKALI BASALT [17625]",44.09,21,46.4,5.77,24.5,5.27,1.77,5.39,0.838,4.85,0.907,2.38,0.328,2.07,0.295,35.2128,101.8212
"ALKALI BASALT [27174]",44.608326,9.75156485734005,27.731850499335,4.5067207062345,22.9850822246571,6.41046309881333,2.3641790190362,6.3776983776303,0.9734689458789,5.26675305903285,0.936630366675793,2.2732340289333,0.30883497773424,1.78837037575262,0.268140777942222,56.25,-6.4
"ALKALI BASALT [16336]",48.48,36.3,74.3,8.92,37.8,6.53,2.14,5.88,0.79,4,0.73,2.06,0.26,1.77,0.23,26.5,100.9
"ALKALI BASALT [15496]",42.58,63.3,132.3,15.1,53.4,8,2.24,6.74,0.82,3.86,0.71,1.69,0.24,1.53,0.2,14.91,77.375
"ALKALI BASALT [15721]",48.7,37.02,76.4,10.1,42.8,9.24,3.01,8.77,1.29,7.23,1.28,3.14,0.42,2.61,0.35,31.73,110.73
"ALKALI BASALT [26738]",53.2762671310468,38.4825332402877,79.7085779240954,9.73777103386996,39.6,8.6,2.39872768296376,8.46474520258695,1.31722705818346,7.90873246777619,1.5383688873727,4.1600314670188,0.608724646257995,3.71630212791463,0.553989525767591,41.3,83.3
"BASALT [21740]",49.939299950619,20.6220060034749,16.5035060883575,13.186383480655,11.8915914212787,8.77825380488805,8.29295788587351,6.96958872457079,5.90500120822015,5.21439945131213,4.54622480566476,4.20337290326356,3.63685093949515,3.62508630410724,3.4440333774063,-35.3,173.9
"ALKALI BASALT [20887]",46.62,35.9,61.9,8.25,31.4,6.83,2.32,6.55,0.875,4.55,0.745,1.74,0.213,1.22,0.148,32.41925,118.9573
"ALKALI BASALT [21878] / NOT GIVEN [22263]",44.69,89.9,161.1,18.25,66.79,11.49,3.57,10.22,1.32,7.63,1.36,3.65,0.52,3.19,0.48,-77.2569,166.9075
"ALKALI BASALT [18602]",46.817,12.7256131255127,28.8007767601216,3.84111867474662,17.7651178945054,4.49622753711397,1.56027115354406,4.71572003281378,0.722891937308406,4.04402932515867,0.761009149996845,2.0257338802297,0.292913914008589,1.80249629353419,0.260443851144753,-35.844228,-69.145338
"ALKALI BASALT [22774]",46.66,49.7379264981528,94.0173192690668,11.071068833136,43.124036598636,7.95361655836084,2.65281400811909,7.46899534139538,0.970830594212199,5.39757061289873,1.01430852209659,2.71337638897069,0.356268736167713,2.23970058773026,0.31812142077896,-72.651714,165.499241
"ALKALI BASALT [24535]",48.24,39.4,76.5,8.9,36,6.98,2.26,6.76,0.89,4.71,0.79,1.83,0.23,1.34,0.18,24.2193,118.037666666667
"ALKALI BASALT [8311]",47.15,17,39,4.9,21.7,5.5,2,5.8,1,5.6,1.1,3.1,0.46,2.7,0.38,63.4,-20.78
"ALKALI BASALT [25262]",40.52,54.9,97,11.1,43.5,7.52,2.6,6.51,1,4.8,0.8,2.13,0.26,1.77,0.21,37.50025,130.85635
"ALKALI BASALT [27174]",46.02677895,6.57699804968112,16.0046973420447,2.34943025876428,11.4505366323263,3.30684431728288,1.19320515198319,3.70901123005188,0.623883194236352,3.77755727041565,0.785111417714684,2.01793002743446,0.287915936325396,1.68590362253376,0.259586487620638,56.25,-6.4
"ALKALI BASALT, OLIVINE [20548]",48.1,35.06,64.04,7.91,31.69,6.59,2.17,6.03,0.92,4.48,0.74,1.66,0.21,1.31,0.19,32.4203,118.9582
"ALKALI BASALT [20856]",47.1,32,62.6,7.67,33,6.45,2.25,6.03,0.87,4.43,0.8,1.91,0.27,1.51,0.2,40.1382,114.1468
"ALKALI BASALT [1350] / ALKALI BASALT, OLIVINE [523]",47.84,25.3,57.4,7.85,33.5,7.67,2.7,7.53,1.08,6.1,1.04,2.63,0.33,1.95,0.27,-9.75,-139
"ALKALI BASALT [1254]",44.8,31.5,62.5,8.1,32.9,7.23,2.32,6.74,0.994,5.07,0.919,2.13,0.284,1.67,0.222,25,-158
"ALKALI BASALT [18348]",48,56.7,112,13.3,49.9,9.55,2.26,8.48,1.14,5.86,1.07,2.87,0.41,2.38,0.35,27.83,99.7
"ALKALI BASALT [7699] / BASALT [18207]",48.4,23.5,47.7,5.91,23.5,5.3,1.73,5.43,0.68,4.05,0.73,2.01,0.25,1.7,0.25,36.835,11.9467
"ALKALI BASALT [806] / BASALT [14783]",48,19.3,47.2,5.7,23.5,5.53,1.84,5.75,0.87,4.96,0.9,2.64,0.35,2.23,0.31,-27.045,-109.05
"ALKALI BASALT [9565]",48.08,29.5,64.2,7.57,29.5,5.83,1.84,5.21,0.722,4.05,0.769,2.06,0.285,1.85,0.257,64.965,-22.884
"ALKALI BASALT [21878]",50.9,134.3,210.4,21.21,67.14,10.11,2.97,8.56,1.16,6.75,1.26,3.56,0.56,3.62,0.57,-77,168
"BASALT [9391] / ALKALI BASALT [15598]",45.2,27.6,59.9,7.57,31.5,6.61,2.13,6,0.82,4.41,0.831,2.07,0.271,1.69,0.215,-40.32,-9.92
"ALKALI BASALT [8652]",49.09,31.23,63.14,7.99,32.95,7.63,2.55,7.83,1.17,6.21,1.11,2.65,0.37,2.2,0.33,40,113.8
"ALKALI BASALT [17625]",45.53,21.4,44.5,5.55,23.6,4.78,1.66,5.21,0.766,4.42,0.883,2.26,0.303,1.96,0.296,35.1036,101.8046
"ALKALI BASALT [19384] / BASANITE [24443]",44.46,36.4,72.2,8.9,35,7.32,2.45,6.35,0.94,4.86,0.87,2.08,0.26,1.52,0.21,40.8,114.5
"ALKALI BASALT [7776]",50.84,54.9,109,13.3,52.4,10.9,3.34,9.61,1.4,7.46,1.42,3.55,0.5,3.01,0.44,5.14,-87.54
"ALKALI BASALT [23488]",48.4854461588427,26.7509244197049,53.4403151842732,6.58527030052945,28.6182262726405,6.74227534069522,2.27503990831708,6.54871785462114,0.967269353774217,5.227181632132,0.914464227533593,2.28866194995826,0.297089631889906,1.64920746328607,0.226491799542139,44.250722,114.999194
"ALKALI BASALT [18602]",46.967,16.8909887947935,38.2591676949205,4.98252607082381,22.1992243372027,5.26630746253492,1.7680727680516,5.28618270944882,0.786947842105263,4.39017752859511,0.831242172060223,2.18969241433763,0.315107183649838,1.92987410365963,0.273147981164996,-36.393234,-69.392026
"ALKALI BASALT [24430]",50.38,39.58,83.2,9.94,37.76,8.8,2.36,6.66,1.12,5.69,1.21,3.57,0.45,2.99,0.4,-32.2,-64.6
"ALKALI BASALT [21554]",41.42,12.6,26.5,3.44,16.6,4.72,1.61,4.66,0.65,3.76,0.72,1.84,0.23,1.52,0.22,-4.2767,157.4003
"ALKALI BASALT [13292]",47.17,46.8,88.6,11,40.54,9.04,2.83,7.92,1.15,6.08,1.09,2.41,0.32,1.79,0.24,32.7223,118.1361
"ALKALI BASALT [16616] / ALKALI BASALT, OLIVINE [16780]",49.22,26.2,51.3,6.78,25.1,6.38,2.03,5.71,0.79,4.64,0.86,2.16,0.29,1.87,0.25,41.1,113.5
"ALKALI BASALT [9371]",45.69,26.9,55.6,6.63,26.9,5.86,1.87,5.8,0.832,4.66,0.861,2.2,0.3,1.88,0.269,36.4842,37.0383
"ALKALI BASALT [23341]",48.66,21.1,44.4,5.69,24.4,5.7,1.62,5,0.7,4.1,0.8,2.3,0.29,2.1,0.31,46.4189,11.7275
"ALKALI BASALT [22270]",45.15,45.4,87.4,11.2,42.6,9.01,3.34016254511979,8.31304286329835,1.18292590225917,6.09,1.15,2.88,0.344,1.91,0.282,45.2595,131.1964
"ALKALI BASALT, OLIVINE [15088] / ALKALI BASALT [24443]",47.64,25,52,6.31,25.6,5.41,1.74,4.91,0.715,3.85,0.716,1.8,0.25,1.46,0.209,36.1958,118.9988
"ALKALI BASALT [7776]",43.96,36.3,68.3,9.32,38.1,8.75,2.76,8.81,1.36,7.89,1.61,4.3,0.6,3.64,0.55,5.73,-86.92
"ALKALI BASALT [21180]",46.53,25.5,29,3.76,19,3.92,1.39,3.68,0.64,3.1,0.61,1.55,0.23,1.29,0.18,36,51
"ALKALI BASALT, OLIVINE [1133]",47.25,28.1,62.26,8.13,32.76,6.64,2.29,6.12,0.924,4.86,0.9,2.48,0.364,2.29,0.329,64.808,-23.427
"BASANITE [15088]",43.44,33.4195770239959,68.0956208071243,7.90402564621109,32.395889996176,6.51468432429459,2.06197919689952,5.82504027186327,0.922988725908541,4.60947778087022,0.849962333678378,2.07244907723757,0.256425479359899,1.58170587059712,0.222969273632533,36.5792,118.8034
"ALKALI BASALT [23895]",47.22,41.6,75.9,8.26,31.6,6,2.05,5.3,0.8,4.6,0.9,2.4,0.34,2.2,0.32,45.9683333,25.3422222222222
"ALKALI BASALT [9665]",43.8,18,41,5.8,27,7.2,2.4,7.5,1.02,6.4,1.1,2.9,0.37,2.3,0.3,-21.9,-68.8
"ALKALI BASALT [23333]",48.78,45.2,84.9,13.98,61.7,14.69,4.74,14.27,2.19,11.87,2.04,5.38,0.73,4.32,0.6,-33.761,-80.787
"TRANSITIONAL BASALT [3348] / NOT GIVEN [15508]",43.95,34.9,68.2,8.3,31.8,6.36,1.9,5.57,0.76,4.03,0.7,1.82,0.23,1.38,0.19,32.7328,-16.9647
"ALKALI BASALT [20197]",48.35,38,72.8,7.4,29.8,6.1,1.9,5.9,0.8,4.7,0.8,2.2,0.3,2,0.3,20.67938,-103.5796
"ALKALI BASALT [12149]",48.89,10.7,25.2,3.43,15.5,3.83,1.32,4.11,0.72,4.57,1.02,2.74,0.43,3.06,0.43,45.1,141.27
"ALKALI BASALT [9561]",44.93,32.9,69.63,8.93,34.17,6.37,1.71,5.16,0.65,4.14,0.78,2.3,0.3,2.03,0.32,61.05,-42.75
"ALKALI BASALT [18652]",45.15,58.7,131,17.2,75.5,16.48,5.41,15.09,2.05,10.47,1.79,4.07,0.51,2.71,0.39,-38.1717,-168.66
"ALKALI BASALT [12235]",47.2,37,80,9,34,7.1,2.1,6.5,1,5.9,1.2,3.3,0.5,3.2,0.5,32.35,84.5
"ALKALI BASALT [24186]",40.44,48.1,96.6,11.8,47.3,9.2,2.7,7.4,1.01,4.7,0.81,1.79,0.22,1.04,0.18,57,118
"ALKALI BASALT [5944]",42.09,52.2,121,15,61.9,12.5,3.59,10.5,1.31,6.3,0.99,2.28,0.26,1.62,0.21,68.5,-32.5
"ALKALI BASALT [20509]",45.51,32.15,64.8,8.39,34.98,8.87,2.69,7.81,1.12,5.92,1.08,2.44,0.31,1.71,0.23,44,115
"ALKALI BASALT [25807]",47.79,8.74,23.8,3.64,18.08,5.02,1.78,5.91,0.97,5.86,1.27,3.58,0.53,3.03,0.49,43.5,81
"ALKALI BASALT [10529]",47.17,55.897,125.877,16.181,65.62,12.541,3.565,10.257,1.235,5.935,0.989,2.217,0.275,1.64,0.222,67.5,-31.5
"ALKALI BASALT [19846]",45.7,35.1,77,9.51,39.1,8.45,2.78,7.91,1.15,6.1,1.12,2.8,0.35,2.08,0.29,39.8,78.8
"ALKALI BASALT [806] / BASALT [16704] / NOT GIVEN [17320]",48.17,26.5330129874976,59.9800326813193,7.45774480982698,31.9489349714629,7.28049322024587,2.37407967316022,7.36942010956459,1.13972375495489,6.7117235629204,1.2859336059476,3.38313730603948,0.476553618138526,3.05321398558888,0.444975998059519,-27.385,-109.675
"ALKALI BASALT [4868]",44.33,40.9,77.5,8.93,34.2,7.27,2.29,6.51,0.9,4.89,0.86,2.05,0.27,1.57,0.21,31,-16
"ALKALI BASALT [23973]",39.524,91.1603849081639,168.808875984545,18.7717756790083,75.0651525468407,14.2669019141481,4.43082356811539,11.669269787797,1.53463965437049,7.33776883777582,1.09196529348476,2.5609066131947,0.281690831385528,1.41282659754676,0.183511445016621,37.97127222,120.6028139
"ALKALI BASALT [16042]",46.1885,29.48,65.9,8.079,35.55,7.795,2.388,6.915,0.941,5.469,0.974,2.564,0.326,2.065,0.282,-46.75,37.75
"BASANITE [9391] / ALKALI BASALT [14579] / BASALT [26028]",42.2,48.3,105,13,53,9.63,2.92,7.72,0.982,5.05,0.939,2.26,0.284,1.78,0.218,-37.15,-12.25
"ALKALI BASALT [16224]",48.97,43.01,93.48,10.83,43.1,9.13,2.9,8.41,1.24,6.92,1.26,3.27,0.44,2.81,0.39,38.8666667,-28.7916667
"ALKALI BASALT [9420]",45.24,53.1,114,11.7,47.2,9.3,2.97,7.55,1.04,5.54,0.96,2.69,0.33,1.93,0.27,50.5,9.2
"ALKALI BASALT [18602]",49.27,12.937605085924,28.9810462125707,3.8834142991314,17.6727034517936,4.45129149627083,1.52440062756848,4.64961565061846,0.727440437478091,4.26173149501728,0.818399595989168,2.19187845463766,0.317991830301674,1.90608014012629,0.278832294784188,-35.829191,-69.175114
"ALKALI BASALT [25807]",47.31,9.31,24.97,3.93,19.41,5.12,1.78,5.95,0.93,6.12,1.23,3.52,0.51,2.88,0.44,43.5,81
"ALKALI BASALT [11859]",43.47,46.79,97.16,9.77,51.65,9.78,3.42,11.25,1.55,6.83,1.21,3.45,0.5,2.57,0.35,23.27,69.67
"ALKALI BASALT, OLIVINE [15088]",45.87,31.7122145539967,64.2614457432906,7.51664607187479,31.2352414804914,6.14995259386905,1.9168319316719,5.38398461835216,0.840172289398905,4.16335185936068,0.723479093111802,1.76508526426997,0.214468638827873,1.28440825619492,0.180093651085332,36.6461,118.9906
"ALKALI BASALT [4825]",47.31,16.2,36.23,5.11,22.26,5.35,1.65,6,0.78,4.66,0.79,2.72,0.33,1.91,0.33,64.807,-15.633
"ALKALI BASALT [18652]",47.58,31.8,71,9.45,44.34,10.11,3.35,9.43,1.41,7.78,1.42,3.42,0.44,2.51,0.37,-40.445,-165.74
"ALKALI BASALT [23973]",46.366,36.6748044549364,69.3236064006231,7.69457255638567,32.2420566942132,7.01476311178089,2.14139192648631,6.1522267449604,0.892866305370665,4.72857479158809,0.815340237390355,2.09626322514111,0.279311227487854,1.55323247479599,0.218366353841523,37.72945833,120.6675556
"ALKALI BASALT [20921]",45.89,16.94,37.97,4.7,21.82,5.34,1.9,5.96,0.94,5.29,0.96,2.62,0.36,2.2,0.352,25,-168
"ALKALI BASALT [25812]",44.52625,49.4977561456553,100.902702084329,12.0598500081964,48.2718790004237,9.32229911888311,2.89254230701389,8.38243385363171,1.10634995323099,5.61390394083887,0.977505480277359,2.35545307716577,0.290210633805494,1.63689585564592,0.233501911052072,-3.82631,-32.4013
"ALKALI BASALT [9584]",48,33,63,7.1,28,5.5,1.7,5.8,0.73,4.3,0.81,2.4,0.33,2.16,0.3,38.33,128.5
"ALKALI BASALT [25812]",47.23065,34.3075207531946,69.1875465195588,8.46902260166899,35.5575761436114,7.75700251656566,2.3400637653696,7.03147657044508,0.993631856914532,5.17518691770136,0.891413162898141,2.20068613023135,0.283482498093596,1.62115199242787,0.218129209379294,-7.337191,-36.172266
"ALKALI BASALT [22270]",47.93,40.3971392102259,72.7399194612261,8.50021930539172,32.8611735555556,7.61668797896769,2.21842403111365,6.36995609249897,0.860732298414886,4.26945850425289,0.808867045525903,1.98894501182033,0.263118229591999,1.58521127646169,0.224441792042083,44.0653,128.9494
"ALKALI BASALT [16033]",48.0321027973933,34.9,65.3,8.01,35.07,7.42,2.33,7.59,0.95,5.72,1,2.61,0.33,2.07,0.29,33.4,126.5
"ALKALI BASALT [20550]",45.53,36.91,70.12,9.18,36.44,7.24,2.03,6.79,0.95,5.01,0.937,2.56,0.352,2.16,0.332,-34.0772,-68.7434
"ALKALI BASALT, OLIVINE [17526]",49.65,24.9,49.1,6.1,25.6,5.81,1.94,5.77,0.9,4.71,0.85,2.09,0.28,1.59,0.22,47.3533,120.5967
"ALKALI BASALT [11706]",51.9,39.1,95.1,13.03,57.5,11.1,5.37,9.37,1.37,7.02,1.28,3.22,0.54,3.08,0.44,35.75,117.75
"ALKALI BASALT [16042]",47.597,30.13,68.13,8.282,35.87,7.786,2.537,7.361,1.01,5.827,1.036,2.695,0.342,2.129,0.288,-46.75,37.75
"ALKALI BASALT [20856]",46.7,33,63.6,7.91,32.6,6.82,2.12,6.2,0.85,4.52,0.79,1.99,0.26,1.43,0.22,40.1382,114.1468
"BASANITE [9391] / ALKALI BASALT [15598]",41.6,62.6,137,17.8,70.9,12.3,3.85,9.2,1.16,5.87,1.07,2.65,0.341,2.19,0.266,-37.15,-12.25
"ALKALI BASALT [27174]",43.6606995,12.0557017195597,32.0870359306581,5.03393431102964,23.7462430165866,6.28483450581136,2.1180480169306,6.1950144451069,0.921858597577237,4.90279574021066,0.887565731123166,2.23105916852601,0.307198372596197,1.85599165248169,0.27200525309036,56.25,-6.4
