"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"ANDESITE [27340]",63.28,23.5,46.6,5.53,20.1,4.33,1.4,3.29,0.41,2.05,0.36,0.98,0.137,0.89,0.137,-30.55138889,-69.50222222
"ANDESITE [19253]",60.65,41.72,75.81,8.67,30.23,4.71,1.17,3.22,0.4,2.46,0.4,1.21,0.14,0.97,0.14,39.224543,-120.166973
"ANDESITE [11867]",60.89,50.8,93.3,10.55,41.3,7.2,1.72,5.41,0.86,4.46,0.92,2.36,0.39,2.46,0.35,39.75,26.5
"ANDESITE [18105]",55.32,28.7,53.7,5.81,22.1,3.95,1.03,3.48,0.48,2.7,0.52,1.59,0.24,1.48,0.24,39.0727,26.3293
"ANDESITE, AMPHIBOLE [13685]",62.04,37.78,84.46,11.03,42.99,6.22,1.61,3.72,0.42,1.69,0.29,0.75,0.09,0.58,0.09,42.46,129
"ANDESITE [23153]",51.925,14.44537313,31.87641791,4.283283582,18.65104478,4.468258706,1.302189055,4.813233831,0.775323383,4.847462687,0.930945274,2.780497512,0.38039801,2.496716418,0.385472637,38.9711,8.422
"ANDESITE [20684]",64.1,45.2,76.1,7.73,26.2,3.8,0.98,2.51,0.33,1.76,0.3,0.8,0.11,0.8,0.12,38,48
"ANDESITE [10616]",57.84,5.82,14.84,2.05,7.32,1.88,0.63,2.61,0.4,2.42,0.54,1.61,0.25,1.72,0.26,-37.83,177.18
"ANDESITE [13695]",58.9,13.07456588,27.47138398,3.595959596,14.87025948,2.861476239,0.848411741,2.480694981,0.3307393,1.921979068,0.377176015,0.968955786,0.141086749,0.938953488,0.144955926,-15.3411,-72.9967
"ANDESITE [17876]",61.75,21.29,41.84,5.46,20.73,4.55,1.25,4.24,0.71,4.38,0.9,2.62,0.41,2.81,0.42,44.5,81.5
"ANDESITE [12583]",57.31,19.19,38.8,4.72,18.61,4.12,1.05,4.25,0.73,4.52,0.89,2.44,0.36,2.24,0.34,24.78,98.5
"ANDESITE [20267]",55.84815918,7.891344892,15.75848892,2.430325727,11.18824789,2.885488224,0.861923257,2.97856849,0.528695907,3.458862659,0.700894398,2.033803797,0.294133638,1.97888644,0.30158006,-39.55,175.3
"ANDESITE [26689]",48.46,8.7,19.8,2.82,12.5,3.23,1.13,3.17,0.5,2.79,0.56,1.49,0.23,1.37,0.21,-34.07148477,-70.33899681
"ANDESITE [9824]",61.96,39.58,68.64,6.87,24.37,4.13,1.15,3.69,0.45,2.74,0.52,1.47,0.23,1.55,0.26,38,95
"ANDESITE [24673]",56.04043655,16.75515292,36.29460639,4.608734385,18.89757294,4.05039403,1.074093967,3.762381039,0.568144228,3.310277995,0.649510054,1.793953267,0.260551032,1.689375822,0.250252698,-23.35,-67.666667
"ANDESITE [24514]",52.821,4.198307089,10.25516185,1.381568117,7.195424969,2.250260631,0.820289623,2.778680456,0.504955477,3.247483175,0.708572385,2.165031438,0.337946112,2.073872687,0.32063676,26.67356667,142.1541167
"ANDESITE [27245]",57.086172,35.256,75.626,9.43,34.576,6.747,1.87,5.242,0.676,3.043,0.544,1.391,0.175,1.026,0.161,-24.2024,-68.2909
"ANDESITE [23648]",56.22,30.1,57.7,6.53,24.7,4.78,1.38,4.01,0.57,3.29,0.65,1.87,0.25,1.54,0.23,50.5,15.5
"ANDESITE [26802]",56.93,26.86,66.14,8.25,33.34,6.89,1.95,6.36,0.92,5.39,1.1,3.15,0.44,2.85,0.42,37,98
"ANDESITE [18377]",59.05,15.4,31.5,3.52,16.3,4.2,1.02,4.4,0.69,3.98,0.85,2.75,0.44,2.63,0.39,40.45,39.49
"ANDESITE [26683]",62.89,25.2,48.3,5.6,22.2,3.74,1.06,3.4,0.53,3.19,0.64,1.89,0.31,1.93,0.31,1.08,-76.85
"ANDESITE [26506]",55.3,23.8,48.6,6.27,23.2,5.15,1.57,4.99,0.78,4.57,0.93,2.52,0.36,2.26,0.33,32.1,86.25
"ANDESITE [19250]",60.04,46.7,82.1,8.63,29.1,5.21,1.28,4.71,0.69,3.66,0.8,2.33,0.33,2.15,0.37,38.7167,27.1333
"ANDESITE [21408]",58.66,2.08,5.69,0.71,3.2,1.01,0.39,1.17,0.19,1.41,0.3,0.89,0.15,1.03,0.15,-15.95388,-173.77848
"ANDESITE [20240]",62.2,22.6,46,5.36,20.9,4.4,1.11,3.65,0.54,3.25,0.64,1.9,0.3,1.88,0.28,32,119
"ANDESITE [11802]",55.94,177,35.3,4.48,16,3.27,0.75,3.34,0.53,3.32,0.73,1.98,0.32,2.19,0.34,24.95,108.78
