"LOCATION","ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"CAROLINE ISLANDS / KOSRAE","ANKARAMITE [21069]",56.6,119,14.7,59.5,12.1,3.77,10.4,1.52,7.95,1.39,3.31,0.42,2.38,0.32,5.2943,163.0146
"DECCAN / NORTHERN DECCAN","ANKARAMITE [21424]",11.7160030718499,26.0625324534771,3.25505326898616,14.2338561735278,3.61136901219168,1.125590857461,4.07634623286163,0.636967390461476,4.1394570621295,0.904817953237237,2.37669612794977,0.332029111093863,2.12115758568128,0.313163988793658,22,71
"MARQUESAS / MOTANE","ANKARAMITE [21614]",43.32,95.06,12.33,51.04,11.14,3.51,9.75,1.41,7.39,1.28,2.81,0.35,1.92,0.27,-10,-139
"MARQUESAS / MOTANE","ANKARAMITE [21614]",30.11,68.96,9.42,41.61,10.08,3.34,9.34,1.36,7.52,1.31,2.94,0.39,2.1,0.28,-10,-139
"MARQUESAS / HIVA OA","ANKARAMITE [21614]",30.23,66.41,8.71,36.95,8.74,2.67,7.88,1.18,6.46,1.13,2.61,0.34,1.87,0.27,-9.8056,-139.0303
"MARQUESAS / NUKU HIVA","ANKARAMITE [21614]",28.28,62.04,8.14,35.04,8.29,2.87,8.01,1.18,6.39,1.09,2.5,0.3,1.68,0.23,-8.9269,-140.0947
"CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ANKARAMITE [22773]",17,37.5,4.5,17.4,3.7,1.2,3.5,0.5,2.9,0.6,1.6,0.2,1.4,0.2,36,102
"CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ANKARAMITE [22773]",18.9,41.4,5,18.9,4,1.2,3.7,0.5,3,0.6,1.6,0.2,1.4,0.2,36,102
"CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ANKARAMITE [22773]",17.7,40.4,5,19.6,4.2,1.3,4,0.6,3.3,0.7,1.7,0.2,1.5,0.2,36,102
"CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE","ANKARAMITE [22773]",18.5,41,5,19.1,4,1.3,3.8,0.6,3.2,0.6,1.7,0.2,1.5,0.2,36,102
