"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
19.74,-155.05,"ALKALI BASALT [1] / BASALT [14362]",22.7,55,7.62,32.8,7.81,2.41,7.6,1.07,6.7,1.15,2.99,0.37,2.21,0.3
33.07,-16.33,"BASALT [3348] / ALKALI BASALT [635]",43.2,83,9.55,37.8,7.49,2.28,7.14,0.99,5.39,1,2.72,0.36,2.22,0.31
37.6403,14.3278,"ALKALI BASALT [20054]",20,42.4,5.39,23.1,5.3,1.86,5.11,0.86,4.84,0.87,2.37,0.28,1.8,0.26
37.6403,14.3278,"ALKALI BASALT [20054]",20.8,42.6,5.46,22.7,5.4,1.9,5.3,0.87,4.73,0.91,2.24,0.31,1.7,0.36
37.6403,14.3278,"ALKALI BASALT [20054]",24.9,50.4,6.26,26,5.9,2,5.67,0.93,5.23,0.97,2.43,0.3,1.9,0.28
37.6403,14.3278,"ALKALI BASALT [20054]",23.2,47,6.14,25.7,5.8,2.12,5.7,0.89,4.93,0.96,2.47,0.3,1.8,0.37
37.6403,14.3278,"ALKALI BASALT [20054]",23.3,48.6,6.29,25.6,6.1,2.05,5.77,0.94,5.32,0.97,2.51,0.33,2,0.26
22.22,95.3,"ALKALI BASALT [20049]",54.6,110,13.8,54.7,10.2,2.76,7.21,0.97,4.42,0.8,2.1,0.28,1.71,0.25
22.22,95.3,"ALKALI BASALT [20049]",60.2,115,14.7,57.6,10.5,2.89,7.44,1.01,4.56,0.83,2.24,0.29,1.84,0.27
22.22,95.3,"ALKALI BASALT [20049]",52.8,105,13.4,53.3,9.99,2.72,7.11,0.96,4.38,0.79,2.09,0.28,1.68,0.24
22.22,95.3,"ALKALI BASALT [20049]",58.6,109,14.6,58.1,10.9,2.96,7.68,1.02,4.57,0.82,2.15,0.28,1.71,0.25
