"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
33.25356,134.182,"ANDESITE [19928]",5.7,12.7,1.8,10.8,3,0.9,2.9,0.5,2.9,0.7,1.8,0.3,2,0.3
29.5,121,"ANDESITE [18063]",20.35,37.36,4.64,18.43,4.54,1.28,4.7,0.64,3.25,0.62,1.44,0.17,1.48,0.26
55.80636,160.36394,"ANDESITE [19963]",10.1229734,23.1637764,3.19871902,14.9132996,3.75499654,1.24101996,4.04389811,0.623373747,3.93790436,0.708080232,2.30918908,0.408494473,2.63451099,0.418679565
-36.8,175.1,"ANDESITE [14571]",35.5,73.9,9.2,39.3,8.8,2.6,9.8,1.6,9,1.9,5.1,0.7,5.3,0.8
38.41,14.92,"ANDESITE [19952]",30.3,59.4,7.13,27.6,5.6,1.13,4.75,0.78,4.58,0.87,2.5,0.35,2.5,0.38
38.48,14.91,"ANDESITE [19952]",40.8,76.6,9.07,32.6,6.3,1.41,5.03,0.8,3.98,0.82,2.27,0.34,2.2,0.35
38.48,14.9,"ANDESITE [19952]",27.6,55.7,6.77,25.9,5.9,1.19,4.81,0.8,4.19,0.87,2.34,0.37,2.4,0.37
38.48,14.93,"ANDESITE [19952]",36.2,69.4,7.98,30.9,6.1,1.34,4.8,0.75,4.19,0.79,2.36,0.34,2.1,0.36
-19.52,169.42,"ANDESITE [19944]",16.6,37.42,5.15,23.24,5.4,1.48,5.4,0.79,5.02,1.06,3.17,0.46,3.07,0.47
-19.52,169.42,"ANDESITE [19944]",16.54,36.87,5.06,22.98,5.58,1.47,5.27,0.77,4.92,1.02,3.08,0.45,3.03,0.46
-19.52,169.42,"ANDESITE [19944]",18.19,41.24,5.65,25.37,6.01,1.57,5.66,0.86,5.37,1.08,3.36,0.51,3.33,0.5
-19.52,169.42,"ANDESITE [19944]",18.24,43.34,5.62,25.68,5.98,1.59,5.68,0.84,5.36,1.12,3.4,0.5,3.3,0.5
-19.52,169.42,"ANDESITE [19944]",18.38,41.49,5.74,25.98,6.17,1.6,6.04,0.85,5.5,1.08,3.43,0.51,3.39,0.5
-19.52,169.42,"ANDESITE [19944]",18.6,39.9,5.45,25.14,6.04,1.61,5.97,0.85,5.43,1.14,3.35,0.5,3.32,0.49
-19.52,169.42,"ANDESITE [19944]",19.09,42.66,5.9,26.73,6.24,1.64,6.29,0.88,5.67,1.15,3.54,0.52,3.39,0.52
-19.52,169.42,"ANDESITE [19944]",18.45,41.54,5.74,26.14,6.07,1.6,5.93,0.82,5.43,1.15,3.43,0.5,3.42,0.5
-19.52,169.42,"ANDESITE [19944]",18.64,41.69,5.7,25.97,6.25,1.68,6.04,0.87,5.63,1.15,3.53,0.51,3.37,0.52
-19.52,169.42,"ANDESITE [19944]",18.61,41.47,5.74,26.13,6.1,1.66,5.89,0.85,5.71,1.15,3.44,0.51,3.41,0.51
-19.52,169.42,"ANDESITE [19944]",17.69,39.13,5.45,24.81,6.37,1.51,5.54,0.82,5.2,1.08,3.25,0.49,3.37,0.49
-19.52,169.42,"ANDESITE [19944]",17.63,39.31,5.34,25.65,5.9,1.5,5.5,0.83,5.46,1.14,3.32,0.51,3.27,0.51
-19.52,169.42,"ANDESITE [19944]",17.49,38.98,5.32,25.55,5.96,1.52,5.4,0.82,5.29,1.11,3.26,0.48,3.34,0.49
-19.52,169.42,"ANDESITE [19944]",18.03,40.52,5.55,26.21,6.1,1.56,5.84,0.83,5.53,1.13,3.18,0.49,3.36,0.5
-19.52,169.42,"ANDESITE [19944]",18.35,40.11,5.6,26.48,6.26,1.52,5.66,0.85,5.53,1.14,3.44,0.48,3.46,0.5
-19.52,169.42,"ANDESITE [19944]",18.29,40.93,5.61,26.35,6.15,1.6,5.56,0.85,5.44,1.15,3.3,0.5,3.52,0.51
-19.52,169.42,"ANDESITE [19944]",18.46,41.86,5.56,26.69,6.26,1.51,5.85,0.89,5.66,1.17,3.34,0.5,3.33,0.49
-19.52,169.42,"ANDESITE [19944]",18.06,41.31,5.57,26.19,6.42,1.58,5.61,0.86,5.58,1.12,3.33,0.48,3.43,0.5
-19.52,169.42,"ANDESITE [19944]",18.11,40.95,5.55,26.23,6.11,1.57,5.53,0.85,5.55,1.07,3.29,0.5,3.29,0.51
-19.52,169.42,"ANDESITE [19944]",17.64,39.73,5.43,25.59,6.02,1.57,5.37,0.84,5.33,1.08,3.15,0.46,3.16,0.49
-19.52,169.42,"ANDESITE [19944]",17.04,36.88,5.15,23.58,5.63,1.52,5.62,0.8,5.04,1.07,3.23,0.49,3.13,0.46
-19.52,169.42,"ANDESITE [19944]",16.72,37.69,5.16,23.47,5.71,1.48,5.53,0.78,5.02,1.07,3.19,0.48,3.09,0.45
36.55,139.2,"ANDESITE [4697]",6.21,14.4,2,9.67,2.46,0.918,2.71,0.474,3.07,0.648,1.78,0.275,1.92,0.277
36.55,139.2,"ANDESITE [4697]",9.89,21.8,2.61,11.4,2.58,0.855,2.71,0.454,2.84,0.594,1.58,0.251,1.69,0.257
36.55,139.2,"ANDESITE [4697]",7.57,17.4,2.24,9.85,2.4,0.813,2.46,0.416,2.58,0.558,1.48,0.236,1.59,0.237
36.55,139.2,"ANDESITE [4697]",12.83,24.6,3.29,14.2,3.22,1.01,3.31,0.579,3.26,0.703,1.9,0.29,2.02,0.298
36.55,139.2,"ANDESITE [4697]",13.1,27.7,3.48,15.3,3.4,1.12,3.37,0.543,3.19,0.663,1.73,0.266,1.83,0.267
36.55,139.2,"ANDESITE [4697]",11.99,25.6,3.31,14.6,3.06,1.04,3.07,0.489,2.93,0.61,1.55,0.239,1.66,0.245
36.55,139.2,"ANDESITE [4697]",9.45,21.8,2.74,12,2.79,0.979,2.85,0.496,2.91,0.615,1.7,0.243,1.77,0.257
36.55,139.2,"ANDESITE [4697]",8.04,17.7,2.33,10.3,2.52,0.868,2.57,0.414,2.74,0.556,1.47,0.225,1.55,0.232
36.55,139.2,"ANDESITE [4697]",11.7,25.6,3.22,14.7,3.27,1.06,3.27,0.539,3.13,0.64,1.68,0.257,1.76,0.259
36.55,139.2,"ANDESITE [4697]",8.11,17.8,2.28,9.95,2.29,0.794,2.33,0.4,2.49,0.517,1.42,0.219,1.55,0.229
36.55,139.2,"ANDESITE [4697]",8.67,18.8,2.37,10.4,2.46,0.83,2.61,0.429,2.64,0.537,1.42,0.211,1.44,0.217
36.55,139.2,"ANDESITE [4697]",6.59,15.2,2.07,9.38,2.36,0.883,2.51,0.421,2.66,0.568,1.54,0.233,1.65,0.227
36.55,139.2,"ANDESITE [4697]",16.7,31.4,4.39,19,4.03,1.22,4.18,0.684,4.12,0.876,2.26,0.358,2.46,0.372
36.55,139.2,"ANDESITE [4697]",16.9,36.8,4.43,18.8,3.76,1.1,3.51,0.533,3.13,0.6,1.46,0.234,1.57,0.203
18.8306,-99.3981,"ANDESITE [20033]",26.9,55,8.5,32.3,6.7,1.9,5.1,0.83,4.2,0.79,2.2,0.31,2.02,0.29
18.8464,-99.4175,"ANDESITE [20033]",32.8,57,9.3,34.8,7.2,1.9,6,0.99,5.15,0.98,2.74,0.39,2.52,0.38
18.8606,-99.4308,"ANDESITE [20033]",42.6,63.1,12,44.7,9.1,2.5,7.5,1.28,6.73,1.28,3.56,0.51,3.2,0.48
18.8411,-99.4578,"ANDESITE [20033]",27,48.8,8.1,30.6,6.4,1.8,5.2,0.85,4.37,0.83,2.33,0.34,2.14,0.32
19.0528,-99.6767,"ANDESITE [20033]",13.92,32.68,4.04,17.55,3.81,1.3,3.35,0.55,2.83,0.52,1.47,0.21,1.41,0.2
18.8939,-99.6453,"ANDESITE [20033]",14.6,34.2,4.7,18.3,4.1,1.3,3.6,0.61,3.24,0.63,1.76,0.26,1.64,0.24
18.9067,-99.6461,"ANDESITE [20033]",17.59,37.18,4.96,21.52,4.65,1.43,4.11,0.65,3.35,0.63,1.79,0.26,1.68,0.24
18.94,-99.5914,"ANDESITE [20033]",14.62,31.86,4.25,18.61,4.13,1.3,3.84,0.63,3.3,0.61,1.78,0.25,1.69,0.24
19.24761,-99.60397,"ANDESITE [20034]",18,40,5.4,23,5.1,1.52,4.35,0.67,3.78,0.73,2.07,0.3,1.91,0.28
19.11247,-99.42642,"ANDESITE [20034]",17,35,4.7,20,4.4,1.41,3.97,0.6,3.28,0.62,1.81,0.27,1.67,0.24
19.23961,-99.41208,"ANDESITE [20034]",22,46,6.6,27,5.8,1.68,4.68,0.63,3.18,0.56,1.51,0.21,1.29,0.18
19.25008,-99.46008,"ANDESITE [20034]",16,34,4.5,19,4.3,1.29,3.76,0.58,3.08,0.58,1.66,0.24,1.51,0.22
19.11675,-99.55433,"ANDESITE [20034]",13,30,3.8,16,4.1,1.38,3.84,0.62,3.45,0.64,1.86,0.28,1.79,0.27
42.5193,119.8682,"ANDESITE [20063]",38.24,78.27,9.64,37.56,7.54,1.93,7.03,1.11,6.54,1.37,3.64,0.55,3.51,0.56
42.4067,119.693,"ANDESITE [20063]",17.27,34.51,4.34,18.77,4.09,1.1,3.45,0.54,3.2,0.65,1.75,0.26,1.68,0.25
