"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"THOLEIITIC BASALT [2426] / BASALT [14569]",52.8,15.12,31.7,3.79,16.97,3.88,1.19,4.01,0.64,3.98,0.8,2.21,0.32,2.08,0.3,70,-54
"BASALT [25040]",47.6,7.9,16.8,3.6,20.6,6.8,2.5,9.3,1.5,9.3,1.8,4.8,0.6,3.9,0.6,34.5,136.7
"BASALT [23384]",49.8889786,3.193951243,7.682639748,1.316881459,6.790886965,2.074771576,0.789556222,2.499489287,0.432909069,2.822886326,0.599688784,1.663059091,0.252164545,1.688544867,0.253361529,12.3,-86.3
"BASALT [24300]",47.23,3.4,10,1.56,9.1,3.6,1.2,4.56,0.82,5.41,1.13,3.42,0.48,3.4,0.46,46.002,102.5776
"BASALT [25588]",46.93,24.93,51.06,6.11,25.03,5.39,1.556,4.27,0.635,3.57,0.684,1.921,0.26,1.89,0.266,-37.9948,175.0943
"BASALT [20913]",52.45,5.4,15.17,2.52,13.37,4.09,1.24,3.41,0.89,5.88,1.15,3.19,0.47,3.35,0.47,44.4,146.3
"BASALT [15775]",47.692,18.54,46.37,5.92,25.18,6.338,1.994,6.828,1.101,6.711,1.322,3.72,0.539,3.645,0.566,38.67,42.2
"BASALT [25171]",52.582,17.87101807,36.83181116,4.615961186,18.96185786,4.486011027,1.409515835,5.061389573,0.754017241,5.17163468,1.037319559,2.968431907,0.406822365,2.66794748,0.398652159,-28.018913,-50.55512
"BASALTIC-TRACHYANDESITE [18881]",54.1,38.2,80.9,10.34,44.71,8.3,2.34,7.51,1.06,5.17,1.02,2.81,0.42,2.62,0.36,48.8944,115.255
"BASALT [9158]",50.85,1.9,3.7,0.73,4,1.4,0.53,2.04,0.32,2.08,0.49,1.51,0.2,1.52,0.22,18.25,-64.625
