"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"BASALTIC-ANDESITE [13633]",54.22,2.27,4.83,0.67,3.17,0.89,0.14,1.61,0.23,1.56,0.36,1.07,0.19,1.24,0.21,48,87
"BASALTIC-ANDESITE [11856]",54.83,32.43,71.41,8.71,34.61,6.79,1.78,6.04,0.98,5.36,1.13,3.46,0.5,3.22,0.49,35,112
"BASALTIC-ANDESITE [22595]",55.02,11.01,25.32,3.63,16.67,4.59,1.45,5.05,0.88,5.69,1.16,3.28,0.48,2.99,0.48,53.44905,-168.09422
"BASALTIC-ANDESITE [13667]",56.54,21.59,46.13,5.03,20.79,4.45,1.29,3.25,0.59,3.43,0.66,1.79,0.25,1.74,0.26,35.72,140.85
"BASALTIC-ANDESITE [9609]",55.89,11.8,23.9,3.17,13.5,3.02,1.04,2.94,0.462,2.76,0.582,1.66,0.249,1.63,0.252,10.467,-84.733
"BASALTIC-ANDESITE [2701] / NOT GIVEN [9837]",55.26,11.75,28.42,3.93,18.51,5.13,1.7,5.83,1.02,6.51,1.36,3.87,0.608,3.79,0.59,-56.1155,-30.3502
"BASALTIC-ANDESITE [7826]",55.52,27.9,58,6,25.01,4.98,1.4,4.5,0.7,4.5,0.94,2.72,0.37,2.37,0.36,49.55,7.4
"BASALTIC-ANDESITE [20102]",53.61,21.1,44.5,4.96,19.3,4.06,1.16,3.79,0.587,3.48,0.725,2.11,0.301,1.97,0.304,52,39
"BASALTIC-ANDESITE [20839]",52.1,28.5,55.41,6.86,26.45,4.75,1.4,4.13,0.53,2.87,0.55,1.46,0.2,1.28,0.19,8.726494,-82.520248
"BASALTIC-ANDESITE [9609]",55.55,13.9,26.9,3.45,13.9,2.95,1,2.83,0.425,2.46,0.516,1.46,0.213,1.41,0.218,10.467,-84.733
"BASALTIC-ANDESITE [13667]",56.2,19.87,45.97,4.99,19.26,4.13,1.39,3.79,0.71,3.85,0.68,2.14,0.25,1.79,0.23,35.72,140.85
"BASALTIC-ANDESITE [25792]",55.76,27.707,60.913,7.741,27.733,5.649,1.598,4.732,0.646,2.997,0.551,1.6,0.205,1.357,0.198,-24.4123,-68.3568
"BASALTIC-ANDESITE [12539]",52.34,1.539,3.97,0.708,3.57,1.203,0.473,1.514,0.2655,1.85,0.425,1.206,0.1866,1.283,0.2048,-18.82,-174.67
"BASALTIC-ANDESITE [19269]",56.08210081,10.40409945,22.73625532,3.203456406,13.46347884,3.218892844,1.045400951,2.968085484,0.520380605,2.807427236,0.609682784,1.669807318,0.229903197,1.426225268,0.228734208,19.6142,-103.5675
"BASALTIC-ANDESITE [22802]",51.7,17.5,36.2,4.12,16.8,3.87,1.11,3.31,0.53,3.22,0.68,1.98,0.3,2.04,0.3,38.4,14.985
"BASALTIC-ANDESITE [23135]",52.44474709,8.598308544,20.44700402,2.710831421,12.12252375,3.122677045,1.029672234,3.524254603,0.600638615,3.56521513,0.763345891,2.080890382,0.234505348,1.8278583,0.278747242,31.5469,-7.6708
"BASALTIC-ANDESITE [9489]",50.03,17.38,41.86,5.47,25.51,6.44,1.82,6.79,1.1,6.64,1.39,3.95,0.71,3.61,0.56,41,130
"BASALTIC-ANDESITE [15652]",52.84,11.19,23.9,3.29,14.4,3.53,1.13,3.6,0.58,3.43,0.74,2.05,0.31,2.01,0.3,-34.6,178.36
"BASALTIC-ANDESITE [9877]",57.78,12.04,26.5,2.98,12.05,2.27,0.86,2.35,0.4,2.54,0.55,1.65,0.28,1.7,0.45,41.5,33.67
"BASALTIC-ANDESITE [9608]",52.06,8.685,15.878,2.853,12.431,3.194,1.152,3.243,0.508,2.989,0.607,1.711,0.266,1.735,0.271,10.467,-84.733
"BASALTIC-ANDESITE [20107]",52.82,2.19,6.61,1.09,6.23,2.23,0.77,3.15,0.59,3.84,0.87,2.58,0.41,2.56,0.38,34.683,139.424
"BASALTIC-ANDESITE [19927]",53.39,42.4,97.1,12.3,51.5,9.26,2.65,7.98,1.18,5.69,1.12,3.09,0.41,2.59,0.38,48,122.8
"BASALTIC-ANDESITE [6909]",55.2,23.02,43.95,5.58,24,5.76,1.78,5.58,0.89,5.2,1.04,2.75,0.38,2.31,0.37,19.55,-100.468
"BASALTIC-ANDESITE [16502] / ANDESITE [21089]",56.0189,6.097,13.472,2.093,8.913,2.172,0.801,2.559,0.475,2.7985,0.602,1.805,0.288,1.918,0.327,-39.28,175.57
"BASALTIC-ANDESITE [20107]",52.82,2.14,6.53,0.99,5.71,1.98,0.78,2.86,0.55,3.77,0.83,2.42,0.37,2.42,0.37,34.658,139.449
"BASALTIC-ANDESITE [12568]",56.76,21.87,49.69,6.36,22.9,4.83,1.38,4.47,0.72,4.26,0.84,2.28,0.33,2.19,0.34,44.4506,120.7969
"BASALTIC-ANDESITE [17543]",52.36,18.7,42.1,4.89,21,4.52,1.26,4.71,0.83,4.66,0.97,2.79,0.41,2.57,0.4,-29.43,-49.28
"BASALTIC-ANDESITE [15100]",54.16,37.6,70,7.9,29.9,5.7,1.13,4.8,0.68,3.89,0.75,2.02,0.3,1.82,0.27,39.6,39.5
"BASALTIC-ANDESITE [20296]",56.15,10.5,20.9,3.5,16.2,3.9,1.3,4.1,0.7,3.8,0.8,2.4,0.4,2.3,0.3,18.9620175,-99.3530967
"BASALTIC-ANDESITE [21237]",55.21,19.4,42.3,5.34,21.8,4.87,1.23,5.01,0.82,4.53,0.97,2.8,0.43,2.89,0.45,40,27
"BASALTIC-ANDESITE [13757]",54.08,36.6,62.6,7.59,29.8,6.47,2.07,6.54,1.01,5.83,1.11,2.86,0.45,2.63,0.41,33.25,130.25
"BASALTIC-ANDESITE [4350] / SHOSHONITE [4435]",51.54,12.2,27.7,3.63,16.2,3.91,1.28,3.95,0.67,3.85,0.79,2.47,0.37,2.29,0.36,-15.8167,-70.08
"BASALTIC-ANDESITE [21517]",54.9,22.2,40.7,4.5,17.9,3.94,1.05,4.53,0.65,3.98,0.78,2.26,0.36,2.1,0.31,-6,-50
"BASALTIC-ANDESITE [9836]",53.62,8.33,23.82,3.91,19.18,4.81,1.55,5.22,0.981,6.09,1.32,3.79,0.545,3.34,0.517,45.125,82
"BASALTIC-ANDESITE [19756]",54.1,13.97,31.58,3.8,17.97,5.01,1.83,6,1.09,6.61,1.27,4.25,0.69,4.14,0.63,41,34
"BASALTIC-ANDESITE, CLINOPYROXENE [19747]",55.52,19.8,45.3,5.44,22.2,4.89,1.34,4.58,0.71,4.12,0.81,2.33,0.344,2.26,0.359,34.7911,132.2128
"BASALTIC-ANDESITE [16078]",54.85,15.28,32.79,4.532,19.35,4.609,1.258,4.209,0.66,3.894,0.815,2.205,0.328,2.101,0.328,51.865,-178.105
"BASALTIC-ANDESITE [25356]",53.54,18.8,39.8,4.64,19.5,4.28,1.17,4.64,0.75,4.36,0.86,2.49,0.36,2.26,0.36,-29.568905,-52.82312333
"BASALTIC-ANDESITE [23987]",52.81,10.95,18.12,1.98,8.28,2.29,0.71,2.28,0.46,2.84,0.62,1.86,0.34,2.09,0.25,-26.87,26.72
"BASALTIC-ANDESITE [19452]",53.19,8.8,21,3.04,14,3.38,1.07,3.33,0.505,2.98,0.603,1.67,0.252,1.71,0.267,52.4716,175.3297
"BASALTIC-ANDESITE [16047]",57.5,13.5,28.9,3.92,16.5,3.74,0.97,3.73,0.58,3.44,0.7,1.95,0.29,1.98,0.3,14.6501,-91.2248
"BASALTIC-ANDESITE [20615]",52.9,3.2,8.6,1.33,6.5,1.7,0.56,1.9,0.3,1.7,0.3,0.9,0.12,0.7,0.1,-3.8611,32.6708
"BASALTIC-ANDESITE [12415]",54,23.26,47.38,6.07,26.12,5.87,2,5.94,1.07,7.01,1.47,4.21,0.68,4.52,0.67,29.665,91.5
"BASALTIC-ANDESITE [12909]",56.77,12,26.1,3.7,16.4,4.1,1.15,4.66,0.763,4.72,0.995,2.96,0.424,2.83,0.435,38.125,140.46
"BASALTIC-ANDESITE [16319]",53.83,24.4,56.5,6.54,26.5,5.35,1.38,5.29,0.87,4.97,1,2.91,0.43,2.6,0.38,-29.3454,-49.7275
"BASALTIC-ANDESITE [16264]",54.94,12.68,24.59,3.41,14.63,3.11,1.027,2.76,0.388,2.74,0.50445,1.502,0.1818,1.274,0.207,36.58,27.22
"BASALTIC-ANDESITE [26672]",51.69,10.8,21.4,2.37,8.97,2.04,0.628,2.42,0.44,2.82,0.61,1.9,0.302,2.19,0.371,-28.70681423,-70.81166832
"BASALTIC-ANDESITE [11856]",50.48,15.25,33.66,4.37,17.74,3.94,0.99,4.02,0.71,4.24,0.94,2.83,0.44,2.82,0.43,35,112
"BASALTIC-ANDESITE [11773]",53.65,17.1,40.9,4.65,14.4,1.71,0.385,1.39,0.393,2.76,0.7,1.81,0.232,1.7,0.261,-41.222856,-71.933
"BASALTIC-ANDESITE [15956]",53.97,12.81,29.24,4,16.84,3.76,1.23,3.6,0.58,3.47,0.71,1.89,0.27,1.68,0.26,48.71485,-121.84753
"BASALTIC-ANDESITE [26660]",54.01058835,10.18285634,23.01536391,3.045507533,13.3238468,2.985830703,0.937370168,2.76314426,0.408985205,2.434814644,0.490941384,1.339277354,0.201707684,1.33815344,0.198425458,-35.721,-70.783
"BASALTIC-ANDESITE [13964]",55.48,60.5,130,13.5,53.9,9.33,2.55,8.7,1.01,4.83,0.86,2.16,0.3,1.91,0.29,36.15,119.75
"BASALTIC-ANDESITE [16588]",52.61,12.53,24.03,2.86,11.1,2.14,0.56,2.1,0.36,2.74,0.54,1.67,0.26,1.9,0.27,-25.9,30.625
"BASALTIC-ANDESITE [17846]",52.03,19.5,44,6.37,27.2,6,1.8,6.44,0.96,6.22,1.27,3.38,0.49,3.3,0.52,44.825,90.4
"BASALTIC-ANDESITE [15253]",53.6,9.3,20,2.7,12.4,3.4,1.22,3.5,0.58,3.6,0.72,1.9,0.27,1.65,0.26,44.17,-121.5
"BASALTIC-ANDESITE [11856]",54.15,32.71,69.16,8.38,33.52,6.56,1.73,5.96,0.97,5.52,1.13,3.44,0.52,3.39,0.54,35,112
"BASALTIC-ANDESITE [19963]",55.871,11.5737295,28.4544334,4.01671314,19.3501873,4.92724371,1.54384124,5.22076035,0.790587544,4.85485125,0.864791393,2.78891277,0.477268755,2.9849534,0.467793077,55.76458,160.43569
"BASALTIC-ANDESITE [9796]",53.81,6.12,14.2,1.99,9.28,2.59,0.909,3.14,0.539,3.49,0.755,2.2,0.327,2.17,0.338,38,140.75
"BASALTIC-ANDESITE [21081]",52.25,21.6,49.9,6.45,27.5,5.59,1.7,4.82,0.67,3.86,0.72,1.85,0.26,1.72,0.24,48,122
"BASALTIC-ANDESITE [15494]",54.75,17.85,36.55,4.47,19.54,4.66,1.54,4.4,0.67,3.99,0.79,2.1,0.29,1.82,0.29,63.3,153.75
"BASALTIC-ANDESITE [17503]",52.89,9.7,20.5,2.45,12.9,3.3,1.11,3.44,0.58,3.69,0.68,2.09,0.33,2.06,0.29,40,39
"BASALTIC-ANDESITE [24002]",48.75,23.1,51.2,7.26,31.6,6.89,2.08,7.07,1.01,5.7,1.15,3.26,0.45,2.75,0.43,42.5,92
"BASALTIC-ANDESITE [16502]",56.3228,5.04,11.496,1.76,7.91775,2.421,0.8055,2.793,0.493,2.9765,0.7105,1.857,0.2825,1.8155,0.295,-39.28,175.57
"BASALTIC-ANDESITE [27311]",52.77,38.27,85.23,11.02,48.26,9.51,2.6,8.19,1.27,6.17,1.12,3.21,0.46,2.91,0.46,32.25,58.25
"BASALTIC-ANDESITE [24590]",56.39,36.34,3.67,19.15,4.17,1.24,5.38,0.9,4.73,0.98,3.19,0.5,2.69,0.4,59,13.5,75.9
"BASALTIC-ANDESITE [12757]",52.57,51.8,109,13.8,56.9,11.1,3.23,9.54,1.36,7.54,1.4,3.6,0.47,3,0.42,26.825,102.175
"BASALTIC-ANDESITE [21408]",56.04,1.15,2.5,0.41,2.16,0.74,0.34,1.07,0.21,1.47,0.32,1.01,0.16,1.12,0.14,-15.85167,-173.75163
"BASALTIC-ANDESITE [20283]",52.77,8.3,18.5,2.6,11.5,2.9,0.9,2.8,0.5,2.9,0.6,1.6,0.2,1.5,0.2,18.96722,-101.71764
