"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"BASALTIC-TRACHYANDESITE [23797]",55.72,47.4,89.4,9.83,35.8,6.13,1.38,5.75,0.871,4.71,0.975,2.6,0.388,2.46,0.372,25.22,98.59
"BASALTIC-TRACHYANDESITE [19757]",52.96,21.1081244850443,49.8675681886877,6.76319468533503,32.1995861525773,7.14515607466167,2.12385793553896,5.4035014328191,0.776603961788447,3.66481335973217,0.556837745268074,1.30075500943022,0.143915963755566,1.04476867521936,0.147112194805853,48.9191,102.0704
"BASALTIC-TRACHYANDESITE [17034]",53.29,55,112,14,53,8.9,2.2,6,0.78,3.4,0.67,1.7,0.26,1.7,0.19,43.1,101.085
"BASALTIC-TRACHYANDESITE [23225]",53.5,81.4,135,14.85,58,8.86,1.97,5.95,0.8,4.64,0.87,2.49,0.33,2.11,0.32,38.24,44.34
"BASALTIC-TRACHYANDESITE [19630]",55.33,59,122,14,60,11.8,2.14,11.9,1.56,9.7,1.94,6,0.82,5.2,0.82,54,91
"BASALTIC-TRACHYANDESITE [19757]",51.65,27.5,54.1,6.61,28.3,6.18,1.91,5.43,0.74,3.95,0.66,1.5,0.18,1.18,0.15,48.0486,100.4632
"BASALTIC-TRACHYANDESITE [23572]",51.31,64.2,112,13.9,55,9.82,2.48,8.55,1.13,5.55,1.03,2.99,0.38,2.48,0.35,23.3,108.25
"BASALTIC-TRACHYANDESITE [15903]",55.14,51.43,123.16,9.78,41.88,6.71,1.59,5.57,0.72,4.31,0.67,1.94,0.3,2.05,0.34,31,117
"BASALTIC-TRACHYANDESITE [26334]",52.7,68.1,136,16.9,64.7,11.2,2.52,8.47,1.05,5.29,0.92,2.39,0.31,1.92,0.25,48.730172,110.199498
"BASALTIC-TRACHYANDESITE [22464]",55.03,51.71,108,13.37,52.79,11.2,3.17,10.12,1.44,7.34,1.28,3.63,0.53,2.89,0.47,-31,152
"BASALTIC-TRACHYANDESITE [19757]",51.03,53.968336,106.82492,12.552174,54.655246,10.573948,2.2800486,7.8422092,1.15938944631717,6.8156784,1.4181982,3.7995439,0.548962480995086,3.1944562,0.47694915,44.3929,102.3414
"BASALTIC-ANDESITE [17507] / SCORIA [23830] / BASALTIC-TRACHYANDESITE [24367]",54.07,10.62,26.39,3.79,17.2,4.69,1.58,5.22,0.93,5.87,1.2,3.31,0.48,3.01,0.47,-63,-61
"BASALTIC-TRACHYANDESITE [26672]",49.92,16,32.7,4.33,18,4.25,1.27,3.42,0.54,3.13,0.59,1.73,0.262,1.74,0.285,-30.25,-71.09
"BASALTIC-TRACHYANDESITE [16317]",52.817366249006,66.7788003582374,130.646956176541,15.8274482407035,66.2372232088536,13.6585557808244,4.13890132583667,12.1772766608824,1.58477217774086,9.00950499652288,1.54745019609132,3.88799055852016,0.524852043242933,3.01262046981608,0.408651484487643,33.4132,126.4848
"BASALTIC-TRACHYANDESITE [11270]",54.08,126,253,25,98.6,15.2,3.75,9.76,1.21,5.84,0.95,2.4,0.29,1.91,0.26,36.4,81.7
"BASALTIC-TRACHYANDESITE [26184]",53.65,24.303,49.981,6.304,25.454,5.162,1.437,4.79,0.722,4.143,0.826,2.182,0.32,2.085,0.311,35.5156,55.2283
"BASALTIC-TRACHYANDESITE [19757]",50.9,21.6201708132846,46.0766821212698,5.82446490998203,25.2242758522893,5.733384013406,1.94528687192134,5.62162484372933,0.826870113865862,4.43446852898777,0.764063389057225,1.84657370223982,0.231141220858203,1.56239045525274,0.181930386253134,47.4564,100.8631
"BASALTIC-TRACHYANDESITE [19408]",52.61,13.9,30.6,3.98,16,3.69,1.12,3.76,0.62,3.38,0.71,1.98,0.31,1.83,0.28,36,57
"BASALTIC-TRACHYANDESITE [14525]",51.2,5.23,11.03,1.73,9.34,2.81,1.02,3.87,0.73,5.44,1.14,3.56,0.55,3.69,0.5,8.64576,-83.20588
"BASALTIC-TRACHYANDESITE [23517]",55.7357113903526,20.8,37.9,5.43,21.5,4.1,1.07,3.57,0.5,2.84,0.58,1.59,0.23,1.5,0.25,38.33639,-119.09954
"BASALTIC-TRACHYANDESITE [9723]",51.82,75.358,144.546,16.052,60.708,8.993,2.303,6.353,0.701,3.448,0.62,1.598,0.218,1.317,0.189,-25.7833,-56.8167
"BASALTIC-TRACHYANDESITE [18348]",54.11,54.5,98.8,11.1,40.3,7.09,1.59,5.8,0.81,4.22,0.81,2.2,0.29,1.89,0.28,27.83,99.7
"BASALTIC-TRACHYANDESITE [19757]",49.57,23.2190059171696,54.3870891897168,8.27431061409923,37.150068209059,8.1232326330205,2.30060619050725,5.98916114055413,0.820497147679202,3.58311691674932,0.567799044302093,1.33165015336508,0.189053300021418,1.01780106930577,0.120559848330158,47.8301,102.972
"BASALTIC-TRACHYANDESITE [15438]",52.65,21.5,45,5.61,23.3,5.26,1.73,4.8,0.72,3.99,0.73,1.87,0.25,1.58,0.23,57.877,162.506
"BASALTIC-TRACHYANDESITE [19249]",51.47,34.59,65.75,7.62,31.04,7.07,2.31,6.17,0.8,3.81,0.62,1.33,0.16,0.92,0.12,19.8552,109.2929
"BASALTIC-TRACHYANDESITE [17034]",54.29,52,111,13,51,8.5,2.4,5.7,0.8,3.6,0.67,1.6,0.25,1.6,0.25,43.1,101.085
"BASALTIC-TRACHYANDESITE [24474]",53.06,20.3,41.3,5.15,21.64,4.32,1.05,3.82,0.59,2.76,0.56,1.48,0.24,1.36,0.21,46.3,12
"BASALTIC-TRACHYANDESITE [17299]",53.64,150.3,388.2,54.7,236.9,48.7,6.8,26.4,2.36,9.61,1.32,2.98,0.35,2.12,0.31,30.1,86.45
"BASALTIC-TRACHYANDESITE [15132]",55.72,71,147,15.6,57.3,8.3,2.1,6.3,0.75,3.26,0.6,1.51,0.18,1.29,0.16,51.3,106.315
"BASALTIC-TRACHYANDESITE [23278]",55.49,23.11,50.42,6.25,25.36,5.28,1.39,4.52,0.63,3.55,0.65,1.77,0.23,1.48,0.23,-21.3208,-68.2942
"BASALTIC-TRACHYANDESITE [12217] / ALKALI BASALT [10185]",51.65,26.36,55.28,7.14,30.88,6.71,2.24,6.14,0.82,3.99,0.67,1.51,0.18,1.09,0.15,48.2292,100.4403
"BASALTIC-TRACHYANDESITE [11943]",51.62,48.53,109.9,13.71,49.15,9.46,2.65,8.13,0.95,4.27,0.7,1.81,0.23,1.43,0.2,50,121.5
"BASALTIC-TRACHYANDESITE [19757]",51.98,38.0316535183679,74.8876721080348,9.4522130463513,37.3994744242188,7.03027620990031,2.15005028469385,6.73139520735283,0.879935616087439,4.55907416856827,0.84166961510676,2.41128597903044,0.308662727742415,2.04165401310414,0.274818201341774,45.1467,99.2932
"BASALTIC-TRACHYANDESITE [8477]",51.51,39.52,78.13,8.77,36.04,6.66,1.81,5.67,0.85,4.55,0.91,2.43,0.4,2.38,0.37,39.0731,26.8922
"BASALTIC-TRACHYANDESITE [15438]",54.94,14.2,30.3,3.83,15.9,3.76,1.23,3.52,0.55,3.16,0.6,1.59,0.22,1.41,0.2,57.852,162.495
"BASALTIC-TRACHYANDESITE [19186]",53,59,129,15,63.4,10.4,5.59,8.69,1.25,6.05,1.03,2.89,0.43,2.41,0.39,20.7482,82.649
"BASALTIC-TRACHYANDESITE [12011]",54.69,22,39.3,5.09,19.8,5.2,1.58,4.18,0.72,4.54,0.8,2.58,0.35,2.51,0.38,39.03,38.47
"BASALTIC-TRACHYANDESITE [18658] / NOT GIVEN [12340] / TEPHRITIC-PHONOLITE [20030]",52.47,128.4,335,52.7,239,48.5,6.8,28,2.88,11,1.44,3.67,0.38,2.4,0.35,30.04,86.5267
"BASALTIC-TRACHYANDESITE [25799]",55.6,105,275,41.9,170,34,4.99,18.1,1.75,7.36,1.17,2.63,0.33,1.97,0.29,30.84,86.67
"BASALTIC-TRACHYANDESITE [17034]",53.15,25,55,6.4,25,4.7,1.4,4.5,0.73,4,0.81,2.4,0.34,2.1,0.31,43.1,101.085
