"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"BASANITE [24535]",42.97,77.7,140.3,15.8,63.7,11.68,3.65,10.59,1.27,6.28,0.97,2.16,0.24,1.34,0.17,27.1561333333333,120.15995
"BASANITE [27273]",38.3408,75.9,157,19.2,77,14.8,4.41,12.5,1.65,8.13,1.35,3.25,0.387,2.18,0.297,-12.8,45.4
"BASANITE [27273]",45.2546333333333,99.4,203,24.2,93.5,15.8,5.85,13.2,1.71,8.54,1.5,3.67,0.474,2.65,0.37,-12.8711,45.685
"BASANITE [3526]",44.42,37.2,86.4,11.45,48.7,10.82,3.5,9.93,1.37,7.53,1.29,3.37,0.42,2.56,0.34,-33.96,-81.8333
"BASANITE [27273]",46.351,113,222,26.5,102,17.3,6.46,14,1.83,9.09,1.56,3.83,0.478,2.67,0.378,-12.9376,45.7066
"BASANITE [7665]",44.71,63,144,18,67,13,3.3,8.3,1.2,5.3,0.8,2.2,0.3,1.4,0.2,59.49,10.3
"BASANITE [14159]",43.24,54.7,118,14,59.1,11.8,3.56,9.34,1.28,6.68,1.24,2.9,0.333,2.34,0.303,24.9,5.95
"BASANITE [11135]",44.7408179213337,68.762,137.2746,16.0652,62.4725,11.6544,3.6436,10.0083,1.2915,7.1166,1.2538,3.2051,0.3997,2.4809,0.364,-27.546,-66.982
"BASANITE [15056]",43.5163057165474,85.4727431977432,156.356215796902,19.151977378448,75.127448660782,13.1939879050173,3.78695473548415,10.9754715499814,1.43805226795423,7.1216848533025,1.26443207913796,2.90882767794533,0.389048941990119,2.29215713039242,0.344100383806266,28.6,-17.9
"BASANITE [12930]",41.68,81.55,156.61,17.58,66.93,12.39,3.54,10.48,1.34,6.57,1.18,2.7,0.37,2.03,0.31,28.57,-17.87
"BASANITE, NEPHELINE [12818]",43.05,111.1,150,15,59,10,3,7.6,1.1,6.3,1,3,0.3,2.6,0.3,-35.8434,149.5417
"BASANITE [20923]",45.25,83.712054043802,145.187963318022,16.5928047843169,64.21520029811,11.4910893717235,3.41261210725307,9.65631165314314,1.11150143271469,5.48406221145316,0.842046180308796,2.05061562622491,0.234931461026095,1.25104355265801,0.159650005205554,49.551,123.7381
"BASANITE [22270]",44.38,54.3,97.2,11.1,40.2,7.32,2.64508453007887,6.44483531331494,0.941342443347088,5.15,0.96,2.5,0.319,1.75,0.276,44.537,129.9968
"BASANITE [11642]",47.07,75,131,15.2,53.8,9.7,2.99,8.2,1.2,6.1,1.1,3,0.4,2.5,0.36,-12.0553,49.2985
"BASANITE [21142]",42.82,52,94.8,10.8,41,7.77,2.55,6.96,0.974,5.17,0.926,2.29,0.305,1.86,0.273,22.4921,59.8403
