"ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"NOT GIVEN [16074] / BENMOREITE [14264]",84,152,16.9,59.7,10.1,2.8,9.08,1.2,5.6,1.03,2.6,0.37,2.3,0.3,37.73,15
"BENMOREITE [22299]",27.5804881333221,70.4834696740453,0,39.838482859243,0,0,0,0,0,0,0,0,0,0,24.2247,39.9086
"BENMOREITE [23391]",58.7763,116.7161,12.8738,46.8771,8.4119,2.5836,6.8682,1.0059,5.6844,1.0956,2.9108,0.4281,2.7516,0.4192,-21.0829,55.4863
"BENMOREITE [24534]",89.8,190,22.1,88.26,15.38,3.48,11.8,1.58,7.55,1.38,3.41,0.48,2.96,0.44,45.26277,111.06401
"BENMOREITE [15775]",37.19,79.4,9.81,38.35,9.231,1.39,9.487,1.637,10.24,2.105,6.178,0.941,6.394,0.98,38.67,42.2
"BENMOREITE [24534]",37.6784261611808,74.1245793620624,8.79145979094797,34.2928069042792,6.46334288193716,1.6092682664926,5.16744056634034,0.686514738893456,4.02351176038468,0.773566500404307,2.11402409238315,0.344694098878604,2.14638949343332,0.320449906191522,46.872486,112.307757
"BENMOREITE [20288]",54.8,113.6,12.25,43.1,8.4,2.75,8.11,1.44,8.92,1.76,5.37,0.8,5.2,0.8,39.2,44
"BENMOREITE [22299]",58.0182691257652,131.739140965813,16.9913920504245,69.4364245505258,14.8156045836417,4.58670858254502,13.5967209539554,2.17938267204419,12.9038212468418,2.47456734274176,6.51355082640313,0.917521189827704,5.73774327161573,0.932423235135238,24.2136,39.89
"BENMOREITE [14457]",161,323,37.8,125.77,20.12,6.35,13.3,1.74,7.89,1.47,4.07,0.544,2.99,0.392,80.9908,-66.9975
"BENMOREITE [27006]",20.3,45.5,5.53,23.5,3.95,1.13,2.96,0.4,1.88,0.31,1.01,0.13,0.94,0.13,-27.01,-69.21
