"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"BONINITE [24570]",52.94,0.69,2.035,0.335,1.796,0.489,0.172,0.656,0.119,0.71,0.174,0.529,0.082,0.563,0.089,28.4075,142.609
"BONINITE [24801]",66.42,1.45,2.83,0.43,1.8,0.45,0.18,0.59,0.07,0.6,0.15,0.49,0.06,0.58,0.09,27.3,142.3
"BONINITE [24570]",60.47,1.378,3.418,0.506,2.38,0.73,0.252,0.905,0.159,0.996,0.224,0.667,0.11,0.714,0.118,28.4096,142.6223
"BONINITE [18558]",58.8,0.73,1.46,0.21,1.03,0.32,0.11,0.43,0.07,0.48,0.13,0.42,0.08,0.52,0.1,27.62,142.17
"BONINITE [14379]",53.83,4,9,1.1,4.98,1.27,0.4,1.3,0.21,1.4,0.29,0.8,0.12,0.9,0.14,15.5,39
"BONINITE [24514]",58.5,0.936594879371444,2.29467557457496,0.326799348858862,1.60977341425622,0.504205297881752,0.178787594405272,0.654266500059109,0.126107155869458,0.884392244872924,0.213180034526598,0.669540023461999,0.103788083263475,0.787988858583085,0.135017753570266,27.104949,142.204714
"BONINITE [14379]",51.15,6,16,2.2,10.49,3,0.9,2.7,0.43,2.8,0.57,1.5,0.24,1.6,0.24,15.5,39
"BONINITE [5209]",56.5,1.06,2.79,0.405,2.15,0.696,0.261,0.977,0.202,1.6,0.412,1.27,0.207,1.51,0.234,48.65,-81.4
"BONINITE [5209]",57.9,2.4,6.26,0.882,4.27,1.37,0.434,1.92,0.433,3.55,0.94,3.06,0.502,3.42,0.522,48.6,-81.15
"BONINITE [7307]",48.29,1.69,3.3,0.46,2.09,0.59,0.26,0.99,0.25,1.73,0.48,1.39,0.22,1.44,0.24,16.125,78.75
"BONINITE [18558]",59.88,1.08,2.11,0.29,1.31,0.37,0.12,0.53,0.08,0.51,0.12,0.38,0.07,0.48,0.09,27.692,142.12
