"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
31.875,141.2267,"BONINITE [4679]",1.3,3,0.6,2.8,0.7,0.3,1.2,0.2,1.3,0.3,0.8,0.2,0.9,0.1
31.875,141.2267,"BONINITE [4679]",2.1,4.2,0.7,4,1,0.4,1.6,0.3,1.7,0.4,1.1,0.2,1.2,0.2
31.875,141.2267,"BONINITE [4679]",1.2,2.6,0.4,2,0.6,0.2,0.8,0.2,1,0.2,0.7,0.1,0.8,0.1
21.6496,85.3498,"BONINITE [20730]",8.87910545028488,18.248577645471,1.76105010125461,9.05439549903859,1.93049246061781,0.522278394031436,2.25061047290136,0.395143524058037,2.19399452659277,0.472530776186953,1.4953619012633,0.24312702645318,1.34253023006813,0.185452488957895
21.6496,85.3498,"BONINITE [20730]",7.01884028698014,14.601662002528,1.46618122203731,7.70843882051064,1.72263365816289,0.499907673939544,1.98276789548193,0.349221466089408,1.99659669960976,0.433266571953421,1.43598208729781,0.246080746186825,1.36312544133976,0.200333676597438
21.6496,85.3498,"BONINITE [20730]",7.99817223033797,15.8636510496193,1.53572017802067,7.96447728839934,1.6899716706365,0.491303298132654,1.93641752884786,0.333497497631419,1.93243626360707,0.419362461844622,1.37445373444463,0.22648462832314,1.27312751512944,0.191741333743523
21.6496,85.3498,"BONINITE [20730]",10.6614339257334,19.9033620069386,1.88464383709317,9.35928721886709,1.96793983953223,0.587349216927119,2.33812701312035,0.403231647128315,2.28284735662288,0.489073283192122,1.61806672650957,0.260752907185906,1.39493828430987,0.205190592949457
-40.87,172.82,"BONINITE [6778]",5.3,11,1.2,3.8,0.75,0.43,0.72,0.12,0.75,0.18,0.48,0.09,0.55,0.089
-40.87,172.82,"BONINITE [6778]",0.28,0.31,0.052,0.18,0.055,0.071,0.079,0.016,0.1,0.028,0.082,0.012,0.088,0.014
-40.87,172.82,"BONINITE [6778]",1.1,2.9,0.41,1.9,0.6,0.24,0.72,0.14,1,0.25,0.7,0.11,0.76,0.12
-40.87,172.82,"BONINITE [6778]",0.59,1.6,0.2,0.91,0.28,0.11,0.34,0.064,0.49,0.12,0.37,0.058,0.42,0.072
-40.87,172.82,"BONINITE [6778]",0.96,2.5,0.33,1.4,0.43,0.12,0.44,0.08,0.58,0.14,0.41,0.067,0.48,0.075
-40.87,172.82,"BONINITE [6778]",0.32,0.69,0.09,0.343,0.109,0.063,0.15,0.03,0.22,0.052,0.15,0.025,0.17,0.026
-40.87,172.82,"BONINITE [6778]",3,7.4,0.8,3.2,0.85,0.45,0.91,0.16,1.1,0.25,0.68,0.1,0.69,0.11
-40.87,172.82,"BONINITE [6778]",1.02,2.2,0.31,1.16,0.326,0.1,0.4,0.074,0.53,0.13,0.38,0.06,0.42,0.071
-40.87,172.82,"BONINITE [6778]",13,32,3.1,11.1,2.28,0.28,1.9,0.32,1.9,0.4,1.14,0.18,1.3,0.19
-40.87,172.82,"BONINITE [6778]",1.8,4.6,0.56,2.3,0.61,0.2,0.69,0.12,0.85,0.2,0.56,0.09,0.62,0.1
-20.88,118.03,"BASALT [7195] / BONINITE [18509]",3.33,6.76,0.81,3.06,0.61,0.12,0.68,0.13,0.97,0.25,0.82,0.15,1.09,0.173
26.367,142.95,"BONINITE, BRONZITE [17294]",0.54,1.17,0.18,0.89,0.26,0.11,0.34,0.07,0.47,0.11,0.33,0.06,0.46,0.08
26.283,142.8,"BONINITE, BRONZITE [17294]",0.64,1.3,0.21,1.03,0.31,0.11,0.38,0.07,0.52,0.12,0.36,0.06,0.5,0.08
27.6,142.2,"BONINITE, BRONZITE [17294]",0.73,1.31,0.23,1.11,0.31,0.12,0.42,0.08,0.52,0.12,0.35,0.06,0.47,0.07
27.6,142.2,"BONINITE, BRONZITE [17294]",0.65,1.25,0.2,1.02,0.31,0.11,0.4,0.07,0.5,0.12,0.34,0.06,0.44,0.07
27.6,142.2,"BONINITE, BRONZITE [17294]",0.96,1.88,0.3,1.45,0.42,0.16,0.55,0.1,0.66,0.17,0.44,0.08,0.6,0.09
27.62,142.17,"BONINITE, BRONZITE [17294]",2.21,3.41,0.73,3.67,1.01,0.36,1.5,0.27,1.88,0.46,1.3,0.22,1.54,0.24
27.4883,142.203,"BONINITE, BRONZITE [17294]",0.53,0.98,0.16,0.82,0.24,0.08,0.29,0.06,0.46,0.11,0.33,0.06,0.48,0.08
27.4883,142.203,"BONINITE, BRONZITE [17294]",0.75,1.52,0.24,1.2,0.33,0.12,0.46,0.09,0.6,0.15,0.43,0.08,0.65,0.1
27.4883,142.203,"BONINITE, BRONZITE [17294]",0.77,1.45,0.22,1.05,0.27,0.1,0.36,0.07,0.47,0.12,0.37,0.07,0.55,0.09
27.7,142.12,"BONINITE, BRONZITE [17294]",0.6,1.23,0.2,1.03,0.31,0.12,0.38,0.07,0.49,0.12,0.36,0.06,0.53,0.09
27.3,142.3,"BONINITE, BRONZITE [17294]",0.47,0.76,0.13,0.63,0.18,0.06,0.22,0.05,0.3,0.08,0.24,0.04,0.34,0.06
27.3,142.3,"BONINITE, BRONZITE [17294]",0.87,1.87,0.29,1.5,0.43,0.18,0.58,0.12,0.82,0.2,0.57,0.09,0.75,0.12
