"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"CALC-ALKALI BASALT [7218]",50.18,4.65,12.75,1.83,8.56,2.8,0.99,3.94,0.66,4.57,1.07,3.1,0.45,3,0.45,51.25,-91.25
"BASALTIC-ANDESITE [4450] / BASALT [3657] / CALC-ALKALI BASALT [20728]",49.8,20.76,49.6,7,26.45,5.2,1.47,4.2,0.66,3.27,0.67,1.71,0.259,1.5,0.24,40.534681,-121.196497
"CALC-ALKALI BASALT [8898] / NOT GIVEN [8858]",49.35,36.9,78.2,9.57,24.3,5.1,1.95,5.89,0.79,4.54,0.86,2.26,0.33,2.05,0.32,54.4805,-126.356
"CALC-ALKALI BASALT [16047]",49.24,9.64,22.1,3.25,14.9,3.65,1.26,3.86,0.64,3.93,0.81,2.21,0.32,2.18,0.33,14.0488,-89.6317
"BASALT [4032] / CALC-ALKALI BASALT [10608]",49.07,5.25,11,1.9,10.2,2.85,1.1,3.65,0.55,3.46,0.71,2,0.28,1.96,0.32,-13.583,167.616
"BASALT [5159]",51.45,14.8,30.05,3.75,16.24,4.3,1.44,4.58,0.76,4.76,0.97,2.68,0.38,2.35,0.38,19.15,-97.13
"CALC-ALKALI BASALT [12037]",45.73,6.01,14.56,2.23,10.09,3.76,1.14,4.26,0.81,5.5,1.07,2.95,0.49,2.89,0.53,46.18,121.4
"CALC-ALKALI BASALT [19246] / BASALTIC-ANDESITE [18091]",52.62342,11.184294699925,25.8246973863739,3.57766238869189,15.6562092224584,4.00424547391172,1.4293158046044,4.2800525312928,0.730766014698092,4.64484746494324,0.974381068349649,2.67032610921132,0.383645246491867,2.43513216258919,0.384729851743126,48.6366,-121.7299
"CALC-ALKALI BASALT [5844]",50.74,17.5,41.5,5.45,22,3.73,1.04,2.77,0.29,1.61,0.29,0.76,0.12,0.77,0.1,49.87,-74.35
"CALC-ALKALI BASALT [6087]",58.3,16.5,37.84,4.55,17.92,3.6,1.08,3.39,0.51,3.23,0.65,1.98,0.28,1.74,0.26,54.58,-102.25
"CALC-ALKALI BASALT [22162]",49.8957748769227,11.1258919463515,25.1745430992708,3.52334546109659,15.4562956804332,3.88317047213007,1.41982827603174,4.10854754088231,0.701059504036862,4.26756604818067,0.891102583210535,2.33230322457275,0.332424594575586,2.08104718054788,0.316220083247199,43.8282,-121.5402
"CALC-ALKALI BASALT [19246] / BASALTIC-ANDESITE [18091]",53.37,12.7117455149744,28.2628941430878,3.91255282185036,16.342548127883,3.65700178690798,1.16517591344912,3.56442542448578,0.560814256411411,3.44793108792946,0.700740869409626,1.82670250629521,0.28,1.66168231141138,0.259864366902644,48.7154,-121.8465
"CALC-ALKALI BASALT [7253]",51.5,23,50.1,6,24.1,5.5,1.5,4.9,0.84,5,2.6,1,0.44,2.7,0.4,-14.2883,-70.05
"CALC-ALKALI BASALT [8912]",50,10.36,24.77,3.53,16.14,4.06,1.3,4.08,0.6,3.47,0.69,1.95,0.29,1.86,0.28,59.58,-131.56
"CALC-ALKALI BASALT [8912]",51.72,13.37,31.06,4.25,18.82,4.5,1.32,4.32,0.66,3.93,0.79,2.18,0.32,2.03,0.31,59.58,-131.56
"CALC-ALKALI BASALT [13085]",50.85,11.32,25,3.3,15.18,4.24,1.5,4.52,0.77,4.73,0.98,2.66,0.37,2.37,0.37,44.014,-121.69911
"CALC-ALKALI BASALT [15721]",51.8,22.15,40.5,4.66,17.7,3.47,0.94,3.45,0.55,3.54,0.77,2.14,0.32,2.09,0.32,31.73,110.73
"BASALT [19528] / CALC-ALKALI BASALT [2577] / NOT GIVEN [19156]",51.77,3.34,8.08,1.36,6.75,2.03,0.74,2.57,0.46,2.98,0.65,1.8,0.3,1.92,0.31,14.125,-61
"DACITE [19528] / CALC-ALKALI BASALT [2577]",66.65,22.4,44.2,5.27,18.7,3.48,0.88,3.09,0.47,2.54,0.51,1.46,0.23,1.51,0.27,14.125,-61
"BASALT [15673] / BASALTIC-ANDESITE [3657] / CALC-ALKALI BASALT [20728] / NOT GIVEN [2261]",50.36,11.48,26.52,3.89,14.87,3.35,1.05,3.32,0.63,3.46,0.83,2.14,0.376,2.02,0.372,40.538965,-121.161916
"CALC-ALKALI BASALT [12037]",48.85,5.04,12.68,2.13,10.79,3.4,0.94,3.86,0.73,4.29,0.92,2.75,0.41,2.27,0.38,46.18,121.4
"DACITE [19528] / CALC-ALKALI BASALT [2577]",64.02,18.7,33.9,4.35,16.4,3.21,0.91,3.19,0.5,2.82,0.6,1.76,0.27,1.78,0.3,14.125,-61
"CALC-ALKALI BASALT [8912]",50.2,10.07,23.96,3.42,15.64,4.06,1.31,3.87,0.58,3.37,0.69,1.95,0.3,1.87,0.28,59.58,-131.56
"CALC-ALKALI BASALT [15721]",48.1,19.77,35.8,4.22,16,3.15,0.84,3.15,0.49,3.08,0.65,1.73,0.26,1.63,0.24,31.73,110.73
"CALC-ALKALI BASALT [16047]",48.22,3.2,7.46,1.25,6.28,1.91,0.71,2.24,0.39,2.56,0.54,1.53,0.23,1.53,0.23,12.5198,-86.6807
"CALC-ALKALI BASALT [12037]",45.46,4.99,13.99,2.03,10.28,3.87,1.47,4.6,0.9,5.52,1.28,3.21,0.53,2.97,0.43,46.18,121.4
"CALC-ALKALI BASALT [16047]",50.78,9.89,22.3,3.34,15.3,3.73,1.19,3.88,0.62,3.74,0.76,2.11,0.31,2.08,0.32,13.8572,-89.2287
"CALC-ALKALI BASALT [7218]",47.52,1.91,5.05,0.72,3.54,1.17,0.51,1.63,0.25,1.64,0.35,0.99,0.15,0.83,0.11,51.25,-91.25
"CALC-ALKALI BASALT [16047]",49.89,8.98,21.6,3.21,14.4,3.76,1.29,4.11,0.66,4.04,0.82,2.23,0.33,2.14,0.32,14.2942,-90.341
"CALC-ALKALI BASALT [8898] / NOT GIVEN [8858]",55.95,47,94.2,11.4,44.53,8.24,2.11,6.37,0.87,4.75,0.9,2.43,0.35,2.06,0.33,54.379,-126.374
"BASALTIC-ANDESITE [4450] / CALC-ALKALI BASALT [20728]",52.9,4.53,10.86,1.54,7.04,1.84,0.66,2.04,0.364,2.23,0.46,1.37,0.21,1.3,0.203,41.2616,-122.219
"CALC-ALKALI BASALT [8912]",49.49,12.04,28.58,4.04,18.48,4.56,1.37,4.45,0.65,3.87,0.74,2.1,0.3,2.02,0.3,59.58,-131.56
"BASALTIC-ANDESITE [4450] / CALC-ALKALI BASALT [20728]",52.2,27.48,57.36,7.08,27.63,4.81,1.43,3.69,0.51,2.83,0.51,1.51,0.218,1.27,0.185,43.022,-122.1928
"CALC-ALKALI BASALT [16047]",50.36,7.86,18.4,2.97,14.3,3.87,1.17,4.09,0.68,4.25,0.88,2.5,0.37,2.47,0.37,12.6857,-86.9553
"BASALT [4450] / CALC-ALKALI BASALT [20728]",49,22.35,50.15,6.9,27.51,5.14,1.67,4.5,0.65,3.76,0.72,2.11,0.286,1.74,0.277,46.0356,-121.4971
"CALC-ALKALI BASALT [6087]",49.19,30.56,73.77,9.37,38.51,7.27,1.9,4.93,0.69,3.87,0.72,1.93,0.28,1.7,0.27,54.58,-102.25
"CALC-ALKALI BASALT [7218]",48.66,3.46,8.43,1.11,5.15,1.55,0.61,2.19,0.36,2.29,0.5,1.28,0.19,1.18,0.16,51.25,-91.25
"CALC-ALKALI BASALT [16047]",48.46,3.2,7.45,1.24,6.22,1.92,0.75,2.3,0.4,2.58,0.54,1.53,0.23,1.52,0.23,12.5105,-86.7075
"CALC-ALKALI BASALT [5564]",47.93,6.71,13.37,1.59,5.79,1.46,0.44,1.39,0.24,1.69,0.33,0.99,0.14,1.11,0.17,51.25,-91.25
"CALC-ALKALI BASALT [13085]",49.39,8.06,17.98,2.46,12,3.58,1.3,3.98,0.67,4.23,0.87,2.36,0.34,2.09,0.33,44.083,-121.064
"BASALT [7175] / CALC-ALKALI BASALT [19246]",52.62,14.3882122507929,35.581102285417,4.50879215775261,18.7469776492972,3.97993611364131,1.28387479898878,3.96769662316758,0.619850291345469,3.71736629123538,0.747369659486578,2.21811975133112,0.328053851345137,2.07937557185785,0.313776242476278,47.98,-121.15
"CALC-ALKALI BASALT [4934] / BASALTIC-ANDESITE [11188]",53.8,10.4,20.5,3.39,13.8,3.36,1.38,3.28,0.69,3.15,0.8,1.92,0.4,1.84,0.32,19.2733,-101.6413
"CALC-ALKALI BASALT [19246]",53.77,18.7959879945817,45.0906351565927,5.87216071199882,24.4738284118525,5.13332498174854,1.6396452130589,4.85622483689855,0.741377438450901,4.38004957540789,0.917658325519362,2.56713807121096,0.397976787354815,2.41372172113249,0.383526678150123,47.9304,-121.263
"BASALT [5159] / CALC-ALKALI BASALT [8526]",49.09,12.89,27.88,3.58,16.62,4.64,1.6,5.02,0.84,5.16,1.05,2.76,0.4,2.4,0.38,19.15,-97.13
"BASALTIC-ANDESITE [19528] / CALC-ALKALI BASALT [2577]",54.08,6,12.8,1.87,8.6,2.36,0.87,2.95,0.51,3.27,0.69,1.9,0.33,2.04,0.32,14.125,-61
"ANDESITE [19528] / CALC-ALKALI BASALT [2577]",57.31,5.02,13,2.26,11.5,3.25,1.22,3.76,0.65,4.11,0.89,2.51,0.43,2.8,0.47,14.125,-61
"CALC-ALKALI BASALT [16047]",49.64,13.2,24.2,3.15,13.6,3.21,1.11,3.33,0.53,3.23,0.66,1.83,0.27,1.82,0.27,13.2896,-87.6418
