"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"CARBONATITE [17530]",20.69,529,1225,143,552,78.6,18.8,56.2,5.38,21.4,3.09,7.4,0.74,4.07,0.52,36.25,119.825
"CARBONATITE [12435]",2.28,430,512,40,104,9.4,2.3,4.6,0.5,2.2,0.4,1.1,0.1,0.1,0.05,-2.75,35.93
"CARBONATITE, CALCITE [18782]",7.22,55937,95227,10362,27425,3255,669,1557,125,261,21.7,27.8,2.6,16.8,2.06,42,110
"CARBONATITE [23481]",14.59,695.4,1384,163.4,596.5,87,24.7,72.9,9,40.8,6.5,15.1,1.8,9.1,1.2,59,100
"CARBONATITE [23674]",0.75340917652377,34.2,82.3,10.4,40.1,8.64,2.68,7.04,0.93,5.01,0.98,2.83,0.362,1.83,0.18,70.8862333333333,101.275616666667
"CARBONATITE [18857]",37.11,322,508,49,165,24.3,6.64,17.1,1.99,11.31,1.98,5.35,0.576,4.44,0.722,-2.804,35.953
"CARBONATITE [27197]",0.8,714,1200,122,407,59.2,15.7,36.6,4.72,21.3,3.29,8.31,1.06,6.12,0.826,21.0663,-11.412
"CARBONATITE, DOLOMITE [27127]",0.288975219158078,261.17816199196,506.803279542805,66.1563649845067,258.783303407879,48.7834872802981,15.4280194885353,45.8300854907365,7.28441500684055,36.9137202031693,5.8686176862305,11.550316235602,1.14018307775804,5.64227736222134,0.722646581972014,40,79
"CARBONATITE [18785]",3.4,922,1400,135,412,48.9,8.82,26.3,3.43,14.8,2.71,7.6,1.15,8.6,1.36,30.459012,63.577494
"CARBONATITE [18857]",36.79,305,471,45.3,156,23.5,6.47,17.8,2.11,11.88,1.97,5.36,0.571,4.48,0.587,-2.7972,35.9447
"CARBONATITE [22545]",7.8,2.23,4.23,0.51,1.83,0.34,0.08,0.31,0.05,0.28,0.06,0.16,0.03,0.18,0.03,42.3,118.4
"CARBONATITE [21705]",0.35,21,35,3,11,2,0.44,1.3,0.19,1.2,0.2,0.6,0.09,0.6,0.09,40.17,71.77
