"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"COMENDITIC RHYOLITE [19236]",74.8,32.3,64.6,6.74,20.5,4.7,0.12,5.52,1.34,10.1,2.13,6.39,1.04,6.67,0.87,-26.8736,152.9311
"COMENDITIC RHYOLITE [24944]",69.71,67.3,80.9,14.4,51.8,10.5,0.2,8.3,1.4,8.2,1.5,4.2,0.7,4.2,0.7,42.5,127.5
"COMENDITIC RHYOLITE [20439]",71.41,19.8,38.9,4.5,15.6,3.18,0.195,2.64,0.43,2.5,0.44,1.17,0.186,1.43,0.236,24.73,-99.9
"COMENDITIC RHYOLITE [17033]",77.08,41,95,12,44,9,0.86,9,1.7,10,2.2,6.7,1.1,6.8,1.1,43.1,101.085
"COMENDITIC RHYOLITE [19236]",74.4,118,174,35.5,131,38.8,0.83,38.4,6.22,35.8,6.56,17.4,2.49,15.2,1.99,-26.9336,152.9281
"COMENDITIC RHYOLITE [25801]",67.49,146,290,32.5,117,24.5,0.47,21.5,3.58,20,3.93,10.25,1.43,8.85,1.29,42.1923,128.3181
"COMENDITIC RHYOLITE [15981]",72.9,72,132,19,74,13.6,1.59,12,2.09,12.1,2.5,6.88,1.04,6.79,0.98,83.52,-38
"COMENDITIC RHYOLITE [19236]",72.6,91.6,200,23.7,84.1,21.6,0.43,23,4.02,25.9,5.21,14.8,2.18,13,1.74,-26.9528,152.9506
"COMENDITIC RHYOLITE [15510]",71.1665348776365,165.701614368608,295.844860499049,28.3898771775152,83.4,13.1,0.714191103565578,10.3485917380342,1.73683704251978,10.1662160669028,2.08208348462364,6.05315661535699,0.9942142011379,6.49947735750574,0.983492674465601,83.43,-39.92
"COMENDITIC RHYOLITE [20439]",53.81,9,20.3,2.58,10.8,2.6,0.14,2.6,0.6,3.7,0.8,2.4,0.34,2,0.27,24.98,-100.06
"COMENDITIC RHYOLITE [23745]",68.27,113.6,79.3,21.37,69.5,11.6,2.03,10.34,1.73,10.47,2.07,6,0.89,5.57,0.85,-13,-42.7
"COMENDITIC RHYOLITE [19236]",70.6,116,266,33.1,122,29.6,0.61,28.9,4.61,27.1,5.08,13.5,1.86,11.1,1.49,-26.9622,152.8956
"COMENDITIC RHYOLITE [15981]",73.7,114,275,29,110,20.4,1.44,17.3,2.99,16.9,3.25,9.07,1.31,8.51,1.23,83.52,-38
"COMENDITIC RHYOLITE [15981]",72.7,92,177,24,91,16.5,1.54,13.8,2.24,12.1,2.36,6.56,1,6.69,0.98,83.52,-38
"COMENDITIC RHYOLITE [17033]",71.13,49,114,14,62.6,13.6,1.4,11,2.1,13,2.8,8.1,1.3,8.6,1.3,43.1,101.085
"COMENDITIC RHYOLITE [17033]",75.31,58,134,17,63,14,0.64,14,2.8,16,3.7,9.7,1.6,10,1.4,43.1,101.085
"COMENDITIC RHYOLITE [19236]",75.6,62,122,12.7,40.8,11.6,0.26,12.6,2.86,20.9,4.37,13.2,2.11,13.6,1.86,-26.9281,152.9414
"COMENDITIC RHYOLITE [17033]",73.02,18,50,5.2,22,5.4,1.1,5.7,1,6.1,1.3,4.2,0.68,3.5,0.66,43.1,101.085
"COMENDITIC RHYOLITE [15775]",73.66,88.75,210.6,23.16,86.46,18.75,0.537,18.02,3.117,19.78,4.037,11.95,1.872,13,1.951,38.67,42.2
"COMENDITIC RHYOLITE [19236]",73.8,16.9,39.7,4.32,14.8,4.13,0.25,5.81,1.44,11.4,2.61,8.05,1.29,8.14,1.15,-26.9822,152.8969
"COMENDITIC RHYOLITE [15775]",74.039858490566,64.26,132.9,15.7,57.78,13.17,0.281,13.31,2.413,15.6,3.279,9.848,1.561,10.68,1.611,38.67,42.2
"COMENDITIC RHYOLITE [23153]",73.185,113.771622934888,226.7,27.0508260447036,99.7845481049563,19.702915451895,0.557337220602527,20.0652089407191,3.25179786200194,19.9645286686103,3.73197278911565,11.4375121477162,1.66540330417881,11.3962099125364,1.70563654033042,39.1577,8.2458
"COMENDITIC RHYOLITE [17033]",77.03,22,46,6.6,30,7.4,1.2,7.8,1.5,9.3,2,5.9,1,6.5,0.97,43.1,101.085
"COMENDITIC RHYOLITE [19236]",75.1,75.7,163,23.4,89.7,30.2,0.38,37.6,6.64,40.7,7.94,21.1,3.06,18.3,2.49,-26.3703,152.8436
"COMENDITIC RHYOLITE [19236]",71.3,40.5,137,10.9,36.3,9.61,0.33,10.4,2.07,14,2.94,8.74,1.42,9.62,1.45,-26.9672,152.8947
"COMENDITIC RHYOLITE [20439]",62.15,13.4,27.2,3.22,11.7,2.33,0.207,1.98,0.32,1.95,0.38,1.1,0.161,1.08,0.167,24.73,-99.9
"COMENDITIC RHYOLITE [23153]",74.27,104.819840478564,236.1,23.7255234297109,85.7583250249252,16.3412761714855,0.424127617148554,17.066999002991,2.68913260219342,16.2245264207378,2.95583250249252,8.95643070787637,1.2777666999003,8.6654037886341,1.28873379860419,39,8
"COMENDITIC RHYOLITE [23745]",69.33,127.2,108.5,26.5,92,15.4,2.41,13.85,2.32,14.01,2.74,7.64,1.13,7.33,1.09,-13,-42.7
"COMENDITIC RHYOLITE [15981]",72.8,22,298,6.8,26,5.9,0.2,6.43,1.46,10.1,2.33,7.28,1.16,8.39,1.3,83.52,-38
"COMENDITIC RHYOLITE [15775]",72.936,109.5,229.9,27.13,100.8,21.92,0.848,20.73,3.625,22.52,4.617,13.78,2.117,14.64,2.23,38.67,42.2
"COMENDITIC RHYOLITE [15775]",74.109,72.1,149.7,17.14,63.5,14.53,0.318,14.44,2.638,17.01,3.544,10.74,1.684,11.69,1.769,38.67,42.2
"COMENDITIC RHYOLITE [21827]",68.95,173,313,37,133,23.9,3.92,21.6,3.7,21.9,4.3,12.3,1.87,12,1.72,7,40
"COMENDITIC RHYOLITE [17033]",74.21,37,89,11,50.6,10.3,1,7.5,1.4,8.1,1.7,5.6,0.95,6.9,1.1,43.1,101.085
"COMENDITIC RHYOLITE [24944]",69.07,182,475.2,22.3,79.5,15.4,0.3,13.2,2.1,12.2,2.3,6.5,0.9,6.1,0.9,42.5,127.5
"COMENDITIC RHYOLITE [15981]",73.3,155,295,37,140,24.2,1.63,21.3,3.32,18.1,3.48,9.27,1.29,7.93,1.14,83.52,-38
"COMENDITIC RHYOLITE [19236]",73.9,193,424,41.4,137,27.5,0.64,24.2,3.9,23.2,4.37,11.7,1.61,9.28,1.24,-27,153
"COMENDITIC RHYOLITE [16391]",70.3,110,250,26.29,99.8,18.8,0.406,13.6,2.64,15.9,3.34,10.4,1.664,10.5,1.605,-30.75,-53.5
"COMENDITIC RHYOLITE [15981]",69.4,97,204,26,101,18.8,1.71,16.2,2.64,14.9,2.85,7.74,1.17,7.58,1.14,83.52,-38
"COMENDITIC RHYOLITE [25801]",69.21,154,311,33.8,124.3,26.7,0.43,24.2,3.99,22.5,4.44,11.6,1.62,9.99,1.45,42.1923,128.3181
"COMENDITIC RHYOLITE [19629]",72.84,134,281,28.8,114,23.8,0.9,25.6,4,26.2,5.5,16.2,2.38,16.3,2.48,38.573,42.2666
"COMENDITIC RHYOLITE [24944]",70.25,192.1,214.9,24.3,86,17.3,0.3,14.1,2.3,13.4,2.4,6.9,1,6.4,0.9,42.5,127.5
"COMENDITIC RHYOLITE [15775]",72.481,90.01,183.6,21.99,83.87,18.08,1.325,17.19,2.952,18.5,3.769,10.96,1.675,11.19,1.695,38.67,42.2
"COMENDITIC RHYOLITE [19236]",73.7,397,696,84.3,286,53.8,1.97,43,6.36,37.6,7.41,21.1,3,18,2.54,-26.8997,152.9111
"COMENDITIC RHYOLITE [17033]",69.45,47,115,14,62.2,13.6,1.5,11,2.2,13,3,8.8,1.4,9.3,1.4,43.1,101.085
"COMENDITIC RHYOLITE [28675]",73.4043814938713,241.629562894271,479.291328665587,51.1783530899905,189.837242452831,36.6270945461347,0.870508128319179,33.3286248372655,5.06776344846136,32.0132960354875,6.30199562951094,18.8589444981366,2.63241664304661,16.8622102097165,2.43064673365963,-20.41368,16.24642
"COMENDITIC RHYOLITE [17033]",77.69,39,87,12,47,10,1.4,9.8,1.9,11,2.4,7.6,1.2,7.1,1.1,43.1,101.085
"COMENDITIC RHYOLITE [20439]",73.87,12.9,42.8,5.08,21.7,5.18,0.933,4.8,0.82,5.04,1.01,2.97,0.455,3.17,0.526,23.8,-99.2
"COMENDITIC RHYOLITE [18206]",64.93,40.68,85.36,10.23,40.66,8.483,2.258,7.729,1.206,6.999,1.372,3.911,0.588,4.022,0.661,8.35,39.18
"COMENDITIC RHYOLITE [19236]",75.6,34.8,128,12.3,41.7,13.8,0.38,16.3,3.1,19.9,3.98,11.4,1.84,12.1,1.71,-26.5642,153.0883
"COMENDITIC RHYOLITE [17347]",73,70.57,156.7,19.12,67.81,12.39,0.73,10.43,1.729,10.06,2.011,5.646,0.8132,5.093,0.7205,51,105
"COMENDITIC RHYOLITE [20855]",71.15,62.6,110,13.6,41.6,7,0.2,4.7,0.8,4.6,1,2.9,0.51,3.9,0.68,-19.4321,46.9696
"COMENDITIC RHYOLITE [25801]",68.71,149,295,33.4,122,26,0.44,23.7,3.91,22.1,4.41,11.5,1.59,9.82,1.43,42.1923,128.3181
"COMENDITIC RHYOLITE [25801]",68.38,145,287,31.1,118,25.1,0.44,22.5,3.75,21,4.21,10.85,1.49,9.34,1.35,42.1923,128.3181
"COMENDITIC RHYOLITE [16391]",66.25,156,313,33.43,130,20.7,1.264,14,2.37,13.1,2.54,7.76,1.201,7.47,1.198,-30.75,-53.5
"COMENDITIC RHYOLITE [23745]",68.18,121.7,111.4,23.22,81.2,13.06,2.1,12.74,2.3,15.17,3.18,8.94,1.26,7.56,1.15,-13,-42.7
"COMENDITIC RHYOLITE [21827]",70.29,97.5,142,21.7,69.4,14.4,1.63,14.3,3.3,23.7,5.3,16.4,2.61,17,2.47,7,40
"COMENDITIC RHYOLITE [17347]",72.3,49.06,86.39,8.793,24.21,3.757,0.3034,3.71,0.5671,3.384,0.7161,2.235,0.374,2.642,0.3905,51,105
"COMENDITIC RHYOLITE [17033]",76.78,39,95,11,44,9.2,0.68,11,1.9,12,2.4,8.2,1.3,7.5,1.2,43.1,101.085
"COMENDITIC RHYOLITE [15775]",73.8527066823966,68.88,141.6,16.63,61,13.74,0.313,13.61,2.465,15.84,3.311,9.947,1.598,10.74,1.625,38.67,42.2
"COMENDITIC RHYOLITE [12013]",74.93,54.83,119.09,14.5,54.41,10.52,1.44,9.54,1.33,7.79,1.5,4.44,0.65,4.31,0.91,51.58,111.17
"COMENDITIC RHYOLITE [21827]",71.49,143,238,37.8,128,23.2,3.19,16.1,2.9,18.2,3.7,11.7,1.93,14.4,2.14,7,40
"COMENDITIC RHYOLITE [23745]",69.56,168.2,211.9,36.45,136.1,24.25,5.47,24.94,3.36,19.76,3.86,10.07,1.37,8.5,1.24,-13,-42.7
"COMENDITIC RHYOLITE [23745]",68.73,118,116,24.42,85.2,14.95,2.6,13.98,2.55,15.73,3.09,8.41,1.14,6.83,0.99,-13,-42.7
"COMENDITIC RHYOLITE [20439]",79.53,14.2,31.5,3.54,13.4,26.4,0.096,1.66,0.29,1.83,0.38,1.13,0.169,1.13,0.179,23.8,-99.2
"COMENDITIC RHYOLITE [18206]",69.35,78.36,154.7,17.38,62.63,11.91,2.116,10.08,1.676,9.983,1.993,5.845,0.903,6.145,0.963,8.35,39.18
"COMENDITIC RHYOLITE [24944]",67.49,72.5,131,15,56,11.1,0.3,8.3,1.4,8.1,1.5,4.6,0.7,4.5,0.7,42.5,127.5
"COMENDITIC RHYOLITE [17347]",72.66,59.59,102.1,11.05,31.98,4.585,0.4546,4.401,0.6149,3.487,0.7228,2.217,0.3544,2.466,0.3663,51,105
"COMENDITIC RHYOLITE [19629]",74.11,71.5,174,18.2,71.3,15.5,0.39,17,2.82,19.2,4.1,12.3,1.84,12.5,1.83,38.6752,42.2282
"COMENDITIC RHYOLITE [20416]",73.63,164.5,321.1,35.8,127.5,28,0.4,24.9,4,25,4.8,12.4,1.7,10.3,1.5,42,128
"COMENDITIC RHYOLITE [19236]",74,165,185,37.7,134,35.8,0.77,39,6.62,41.6,8.17,21.3,2.87,16.7,2.3,-26.9014,152.9372
"COMENDITIC RHYOLITE [18206]",66.88,77.89,157.9,18.07,66.77,13.57,2.157,11.83,2.003,12.02,2.417,6.809,1.051,7.08,1.079,8.35,39.18
"COMENDITIC RHYOLITE [17345]",75.38,86,161.5,19.3,66.7,12.1,1.62,10.69,1.64,9.73,1.84,5.67,0.89,5.59,0.41,51.58,111.17
"COMENDITIC RHYOLITE [23745]",69.03,82.4,148.4,14.37,51.2,8.59,1.95,7.71,1.13,6.82,1.36,3.55,0.53,3.37,0.48,-13,-42.7
"COMENDITIC RHYOLITE [23153]",73.575,470.298316831683,284.6,84.1242574257426,301.540396039604,46.0712871287129,1.01217821782178,43.5725742574257,5.93851485148515,35.0222772277228,6.2250495049505,19.500198019802,2.67524752475248,17.5293069306931,2.58653465346535,39.1436,8.2267
