"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"DACITE [8695]",66.76,36.1,71.99,8.46,30.17,5.34,1.56,4.23,0.58,3.22,0.59,1.603,0.27,1.75,0.33,26.5,-5
"DACITE [22071]",59.6,22.6,54.4,8.12,39.4,11.5,3.34,12.4,2.26,13.9,2.8,8.09,1.28,8.34,1.22,48.2875,-69.55
"DACITE [10897]",64.7,66.4,138,15.9,60.6,9.45,2.3,6.46,0.74,3.33,0.59,1.3,0.18,1.21,0.17,1.3389,34.1922
"DACITE [24308]",62.23,22.5,48.9,6.42,27.3,5.7,1.35,5.1,0.78,4.68,0.97,2.81,0.44,2.85,0.44,43.1967,106.406
"DACITE [26739]",69.09,64.6,143.6,19.6,76.1,12,2.76,10.8,1.89,9.74,1.71,4.22,0.63,3.47,0.47,28.3122,91.6707
"DACITE [19948]",65.5,22.7,46.3,5.42,20.7,4.32,0.93,4.63,0.82,4.97,1.07,2.98,0.44,2.78,0.45,46.9694,89.7263
"DACITE [26878]",59.32,31.5,62.7,7.44,25.7,5,1.42,3.49,0.45,2.05,0.33,0.82,0.11,0.67,0.1,-35.35396667,-68.42431667
"DACITE [15579]",66.26,10.4,20.1,2.42,9,1.58,0.65,1.4,0.2,0.8,0.18,0.5,0.07,0.4,0.06,-34.08,-70.35
"DACITE [11717]",66.13,36,67.9,8.31,31.6,5.9,1.26,4.25,0.52,2.58,0.42,1.11,0.15,1,0.15,-21.2915,-68.092
"DACITE, BIOTITE-HORNBLENDE [23770]",60.79718851,26.95656277,47.9287651,5.068521377,18.36099716,3.546003531,0.945469279,3.084003694,0.448528004,2.700430438,0.554105696,1.641817539,0.246433686,1.766416094,0.274131032,37.75,23.43
"DACITE [22652]",62.91,17.5,35.3,4.26,17.6,3.75,1.1,3.44,0.464,2.83,0.547,1.52,0.201,1.33,0.21,46.2071,-122.1669
"DACITE [23478]",75.49,15.9,27.5,2.93,10.4,2.2,0.39,2.36,0.42,2.61,0.56,1.99,0.32,2.13,0.35,40.5,42.3
"DACITE [24070]",64.49,15.9,29.2,2.87,10.5,1.58,0.52,1.7,0.25,1.54,0.24,0.81,0.12,0.75,0.11,41.18,41.82
"DACITE [10897]",70.6,52.5,105,11.3,38.86,5.21,1.33,3.56,0.4,1.73,0.3,0.74,0.1,0.72,0.11,1.3533,34.2461
"DACITE [23794]",67.67,9.3,17.8,2.5,9.3,1.85,0.55,2,0.24,1.4,0.24,0.6,0.05,0.3,0.04,-35,142
"DACITE [22285]",70.63,25.8,43.4,4.29,15.1,2.43,0.82,1.78,0.25,1.38,0.28,0.77,0.12,0.78,0.13,29.6745,120.4218
"DACITE [19676]",72,13.66,34.3,5.05,23.34,6.15,1.7,6.82,1.135,7.76,1.7,5.06,0.787,5.29,0.811,-31.14,-179.001
"DACITE [23914]",67.5,42.4,68.8,7,23.6,3.41,0.83,2.37,0.39,2.05,0.39,1.18,0.19,1.27,0.19,37.25,33.08
"DACITE [24228]",71.25,50.2,98,10.9,38.6,8.19,0.78,7.7,1.34,8.05,1.59,4.41,0.63,3.94,0.6,36,-106
