"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"DIORITE [25528]",63.16,30.72,59.71,6.8,25.49,4.47,1.43,3.85,0.5,3.24,0.66,1.94,0.27,1.78,0.29,29.1791,119.5784
"DIORITE, QUARTZ [13759]",62.5636240244316,27.3166666666667,50.713,5.58266666666667,22.7676666666667,3.888,1.16633333333333,3.16766666666667,0.473666666666667,2.40733333333333,0.487,1.41933333333333,0.176,1.66066666666667,0.257333333333333,42.9266,27.0872
"DIORITE [21860]",61.45,29.13,67.79,9.17,41.64,9.23,2.53,8.87,1.41,8.69,1.81,5.31,0.78,5.02,0.78,30,120
"DIORITE [28496]",62.72,18.7,31.3,3.81,14,2.51,0.743,2.28,0.399,1.96,0.395,1.06,0.182,1.14,0.151,30.6,80.1
"DIORITE [23619]",61.04,38.2,74.8,8.89,35.7,5.56,2.13,3.77,0.45,2.07,0.36,0.94,0.11,0.7,0.1,41.0931,111.9244
"DIORITE [26820]",57.19,30.87,68.26,7.99,31.27,6.84,1.75,7.53,1.37,8.34,1.68,4.65,0.68,4.35,0.64,32.152,108.3796
"DIORITE, PYROXENE-HORNBLENDE [19924]",59.02,20.4,41,4.94,19.3,4.41,1.29,4.41,0.57,3.52,0.65,1.84,0.29,1.57,0.29,32.375,59.1758
"DIORITE [24681]",52.03,57.36,123.07,12.68,64.36,11.91,3.28,10.2,1.46,7.36,1.33,3.49,0.42,2.41,0.27,47.7378,121.03925
"DIORITE [27239]",60.14,5.63,12.8,1.78,9.33,2.73,0.78,3.26,0.59,3.93,0.78,2.5,0.33,2.45,0.37,21.9078,100.8086
"DIORITE [25099]",49.97,30.9,58.7,7.98,33.9,7.29,1.75,7.4,1.3,6.64,1.21,3.44,0.55,3.2,0.45,26.1019,114.5356
