"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"DOLERITE [12872]",47.46,7.17,17.6,2.39,12.3,3.45,1.35,3.99,0.67,4.06,0.77,2.2,0.29,1.79,0.26,39.2,-6.6
"DOLERITE [18666]",50.5,8,17.9,2.4,10.8,3.2,1.12,3.4,0.6,3.6,0.71,2,0.3,1.9,0.28,42.4,0.1
"DOLERITE [23783]",48.54,13.4,30.1,4,17.9,4.43,1.39,4.63,0.76,4.65,0.97,2.6,0.39,2.58,0.4,41,120
"DOLERITE [20874]",46.02,10.44,24.01,3.28,14.21,3.8,1.25,3.87,0.67,3.93,0.8,2.18,0.35,2.03,0.3,41.3958,120.3123
"DOLERITE [11343]",50.4,26.8,58.8,7.9,36.7,9.5,2.9,9.2,1.5,8.4,1.5,4.2,0.6,3.5,0.5,28,92
"DOLERITE [19752]",47.66,15.2,33.6,4.74,20.7,4.93,1.71,4.71,0.85,5.18,1,2.76,0.399,2.75,0.452,60.696833,-46.408933
"DOLERITE [4586]",49.07,3.8,10.4,1.71,8.8,2.68,0.92,3.23,0.54,3.27,0.67,1.8,0.28,1.63,0.25,-21.2805,14.50125
"DOLERITE [24510]",53.429,42.9559514887293,91.9935678893631,10.271882383345,40.4020125679283,7.3656873794609,1.82727123037316,6.22929962605334,0.987636009119416,5.91768218549607,1.14429316439547,3.29243248531928,0.485470208479291,3.25177067752754,0.467133679331787,31.2544,111.0483
"DOLERITE [24330]",48.2964862142795,56.2,126.58,15.33,57.057,11.6424,3.0096,10.505,1.46671,8.6848,1.71465,4.5908,0.63503,3.841,0.4888,35.65,98.375
"DOLERITE [21859]",54.85,19.4,35.3,4.77,19.2,4.03,1.17,4.62,0.71,5.11,1.13,3.39,0.5,2.88,0.362,25,109
"DOLERITE [28638]",48.87685,38.8832278667908,82.3715965780579,10.7691374425735,44.4482137132214,9.42312784408419,2.77027284240534,8.94821405640187,1.41698888479469,8.44462001611951,1.65629216397172,4.38095333709254,0.61540896074375,3.82141918650177,0.598529532994373,61.316057356,25.650199425
"DOLERITE [29023]",49.568153180091,40.3009027081244,87.4824473420261,11.0651955867603,39.7793380140421,7.84152457372116,1.96068204613842,6.77231695085256,1.01524573721164,5.7839518555667,1.15594784353059,3.14894684052156,0.462948846539619,2.76489468405216,0.416830491474423,31.65,85.77
"DOLERITE [8886]",51.47,11.1,23.7,3.29,14.64,3.75,1.16,4.35,0.732,4.46,0.96,2.62,0.408,2.6,0.43,-29.574,29.5978
"DOLERITE [25892]",50.58,11.2,23.1,2.97,12.8,3.28,0.97,3.12,0.51,3.02,0.59,1.57,0.22,1.39,0.22,26.2278,78.1367
"DOLERITE [22422]",44.8,20.9,50.5,6.98,32.98,7.67,2.55,7.23,1.12,5.93,1.3,3.26,0.46,3,0.45,61.5,-75
"DOLERITE [21147]",52,1.71,3.88,0.52,2.37,0.63,0.27,0.78,0.15,1.04,0.23,0.75,0.12,0.77,0.13,48.2326,86.5927
"DOLERITE [4586]",45.66,21.2,46,6.02,24.7,4.94,1.49,4.58,0.63,3.32,0.59,1.47,0.21,1.17,0.17,-20.73955,14.26515
"DOLERITE [17324]",48.31,6.7,14.9,2.29,13.48,4.1,1.23,4.04,0.64,4.07,0.87,2.27,0.34,2.2,0.32,-15,-60
"DOLERITE [27300]",49.1079162728575,15.7749947618974,32.744928154256,3.973551900497,16.6439259458474,3.58986188266659,1.18125113869252,3.54886676109547,0.56646944079492,3.50369032080579,0.728789015135895,2.07084670694692,0.324820098395598,2.07353237926878,0.340503562289756,29.3905,89.2658
"DOLERITE [13642]",43.94,56.1,104,11.5,46.5,8.91,2.94,7.52,1.21,6.06,1.06,3.3,0.446,2.75,0.405,40.5,-4.25
"DOLERITE [26194]",52.09,8.1,18.8,2.67,13.5,4.2,1.5,4.6,0.8,4.8,1,2.7,0.39,2.5,0.35,24.4819,86.0539
"DOLERITE [22845]",48.29,40.5,85.4,12.2,55.1,11.6,4.01,10.4,1.47,7.62,1.56,4.27,0.62,3.77,0.61,46.5,84.9
"DOLERITE [20904]",41.97,97.2,186.9,20.21,76.3,12.16,3.57,8.85,1.17,5.48,0.88,2.02,0.3,1.5,0.21,31.0238,-3.9495
"DOLERITE [10785]",49.82,25.9,58.7,7.52,35.8,8.72,2.56,8.24,1.39,7.9,1.6,3.97,0.59,3.85,0.61,39.054,121.5461
"DOLERITE [26282]",53.350024,13.5316926128841,28.9661057325689,3.58304060677567,14.7809971794185,3.41048954851236,0.948383708974044,4.25426921149585,0.586330223702991,4.04002992310156,0.882834630202641,2.70623299972459,0.336883345935307,2.60887450536105,0.393525671787548,-77.35,161.166666666667
"DOLERITE [26249]",51.3,14.69,31.16,3.988,17.2,4.165,1.212,4.621,0.764,5.032,1.032,3.112,0.448,2.964,0.471,-32.2453,28.5856
"DOLERITE [25943]",49.77,8.26,18.5,2.62,12.4,3.41,1.16,3.84,0.6,3.92,0.72,2.03,0.29,1.76,0.25,40.8,123.6
"DOLERITE [19192]",51.7,19.2,43.51,5.86,24.14,4.95,1.3,4.29,0.66,3.76,0.75,2.05,0.31,1.99,0.29,41.41,91.675
"DOLERITE [11651]",50.48,23.25,44.87,4.76,23.93,5.343,1.28,3.91,0.7,3.72,0.75,1.75,0.29,1.65,0.25,28.4,110
"DOLERITE [24131]",51.7,9.2,22.6,3.01,13.8,3.55,1.68,3.4,0.6,3.66,0.76,2.17,0.34,2.23,0.35,43.37,91.7
"DOLERITE [24193]",48.7,18.9,46.1,6.36,29.4,7.49,2.31,7.79,1.18,6.94,1.38,3.54,0.49,2.92,0.41,68.325,38.575
"DOLERITE [18536]",50.3,8.16,17.3,2.29,10.2,2.71,0.94,3.46,0.57,3.8,0.77,2.31,0.33,2.18,0.33,-0.1729,31.1698
"DOLERITE [14692]",49.5,8.4,19.8,2.1,11.5,3.2,1.06,3.7,0.6,3.7,0.81,2.4,0.3,2.2,0.32,47.76,-3.38
"DOLERITE [11842]",44.68,48.8,106,12,51.3,9.73,2.58,8.38,1.28,6.26,1.04,2.77,0.33,2.31,0.31,29.9648,91.1253
"DOLERITE [19607]",48.02,9.6,23.8,3.45,15.7,3.8,1,3.34,0.48,2.68,0.55,1.56,0.22,1.45,0.22,10.6,123.85
"DOLERITE [23097]",47.09,15.875,35.505,4.855,22.22,5.305,1.63,5.31,0.805,4.995,1.03,2.905,0.3935,2.735,0.3925,62.63467,-42.73243
"DOLERITE [24330]",48.1478053424588,42.1,91.66,10.856,41.16,8.494,2.294,7.906,1.121,7.012,1.4106,3.986,0.566,3.594,0.5462,35.65,98.375
"DOLERITE [25892]",50.49,15.1,32.5,4.05,17.6,4.33,1.33,4.25,0.68,4.35,0.83,2.27,0.31,1.93,0.32,26.2614,78.1939
"DOLERITE [9397]",58.82,14.7,30.1,3.59,13.5,2.76,0.76,3.39,0.51,2.97,0.64,1.84,0.29,1.83,0.3,80.9433,-26.3317
