"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"DUNITE [24527]",40.79,0.32,1.14,0.18,0.81,0.19,0.03,0.22,0.03,0.2,0.04,0.1,0.01,0.08,0.01,53,-100
"DUNITE, XENOLITH [19423]",37.49,0.21,0.49,0.06,0.25,0.07,0.02,0.08,0.02,0.08,0.02,0.06,0.01,0.07,0.01,14.03,48.34
"DUNITE [22017]",41.71974462,0.24852019965018,0.560288051261388,0.0732287931970428,0.305598522634317,0.0680823615183243,0.014983175082585,0.0744458591405143,0.0155608238253214,0.128180722178449,0.0304600795203428,0.105665609650525,0.017805124312987,0.126408317877765,0.0218786897406819,64.98852,-51.55239
"DUNITE [18136]",41.7,0.74,1.81,0.27,1.24,0.33,0.08,0.37,0.06,0.39,0.08,0.21,0.03,0.2,0.03,67.0083,-115.2167
"DUNITE [26368]",38.022,0.08,0.189,0.025,0.123,0.042,0.008,0.05,0.009,0.06,0.014,0.041,0.007,0.062,0.012,57.2,119.6
"DUNITE, XENOLITH [20303] / LHERZOLITE, SPINEL, XENOLITH [22070]",43.4,0.53,1.13,0.15,0.653,0.195,0.09,0.36,0.07,0.48,0.1,0.31,0.04,0.3,0.05,53,-121
"DUNITE [21581]",40.9326791530945,0.0772,0.1821,0.0304,0.12865,0.03415,0.00259,0.0379,0.00688,0.0536,0.0115,0.0394,0.00672,0.04935,0.00871,58,-62.5
"DUNITE, AMPHIBOLE [25967]",40.41577242,0.40500327665666,0.81958243273912,0.0856389980000585,0.369674121940244,0.0954518230641316,0.0135200393636745,0.126726717090919,0.0277110138570236,0.20683866234634,0.0499955262493941,0.175673229312297,0.0292974535680284,0.234508047366889,0.0390149987268871,64.90675,-51.1957333333333
"PERIDOTITE, XENOLITH [12608]",40.09,0.271,0.543,0.0777,0.316,0.076,0.011,0.071,0.011,0.063,0.014,0.039,0.008,0.058,0.013,66.475416,-50.948256
"DUNITE [22017]",41.69682497,0.266784047115322,0.624511581577434,0.0749736426492336,0.30123606197187,0.0731169774156565,0.0175246074884702,0.122200911188319,0.0239021854710537,0.183938019368743,0.0447885112271133,0.139258639205905,0.0240369109630033,0.167268651325687,0.0290199918988575,64.98848,-51.55422
"DUNITE [27105]",53.35588505,0.477110728541948,1.59422530058831,0.262937140258152,1.29310554103266,0.423433546281632,0.164927717097877,0.691745611846685,0.151989991070703,1.12378596659618,0.278067028233508,0.823995084334409,0.130830601997596,0.839177968107285,0.141772372965467,64.997,-51.75162
"DUNITE [24454]",36.53,89.3,178,20.7,95.7,15.7,4.38,11.5,1.43,6.73,1.14,2.5,0.31,1.84,0.25,39.55,78.95
"DUNITE [12848]",34.97,0.0049,0.012,0.0014,0.0064,0.0026,7e-04,0.0017,7e-04,0.0058,0.0019,0.0062,0.0015,0.0129,0.0027,35.0305,73.7553
"DUNITE, GARNET [20886]",43.55,0.209,0.639,0.044,0.179,0.049,0.018,0.075,0.014,0.091,0.0162,0.038,0.0048,0.027,0.004,30.5011,116.305
"DUNITE, CLINOHUMITE [25967]",38.83887332,0.187714248142367,0.440932392872637,0.0496007879056206,0.196072411439497,0.0518576531659946,0.00893512074855692,0.0471689422010088,0.00925617150251922,0.0592159795639323,0.0157306383810889,0.0546290813180686,0.0096256558168954,0.0754485674627883,0.0140586046129317,64.9057833333333,-51.1998
"DUNITE [26368]",39.36,0.033,0.075,0.01,0.047,0.013,0.004,0.015,0.003,0.022,0.006,0.022,0.005,0.035,0.007,57.2,119.6
"DUNITE [21826]",39.82,0.26,0.45,0.05,0.2,0.04,0.02,0.05,0.01,0.07,0.02,0.06,0.01,0.09,0.02,56.3084,109.7876
