"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
58,7,"DIORITE, QUARTZ [19967]",59,141,18,77,14.9,3.5,11.5,1.7,8.8,1.7,4.5,0.57,3.91,0.56
58,7,"DIORITE, QUARTZ [19967]",69,162,21,91,17.9,4.3,14.4,2,10.3,2,5.1,0.68,4.39,0.62
58,7,"DIORITE, QUARTZ [19967]",61,138,18,73,14.4,3.5,11.3,1.7,8.4,1.7,4.3,0.55,3.49,0.49
58,7,"DIORITE, QUARTZ [19967]",69,155,20,83,15.8,3.7,12.6,1.9,9.6,1.9,4.9,0.67,4.41,0.64
58,7,"DIORITE, QUARTZ [19967]",62,138,18,76,15.4,3.5,12.1,1.8,9.3,1.8,4.7,0.63,4.02,0.56
52,39,"DIORITE [20102]",24.1,54.8,6.42,25.6,4.79,1.29,4.67,0.752,3.86,0.798,2.64,0.387,2.58,0.349
52,39,"DIORITE [20102]",22.6,51.3,5.88,23.6,4.49,1.3,4.31,0.691,3.78,0.774,2.5,0.37,2.49,0.345
52,39,"DIORITE [20102]",24.6,55.5,6.44,25.2,4.63,1.46,4.23,0.641,3.42,0.711,2.17,0.309,2.13,0.31
34.775,131.9044,"DIORITE, BIOTITE-HORNBLENDE-QUARTZ [19747]",13.5,31.2,3.98,17.1,4.02,1.2,3.82,0.59,3.51,0.69,1.97,0.291,2,0.265
34.8086,132.0711,"DIORITE, CLINOPYROXENE-BIOTITE-QUARTZ [19747]",15.8,35.4,4.1,17.1,3.87,1.13,4.13,0.68,4.06,0.84,2.49,0.379,2.5,0.402
37,121,"DIORITE [17467]",69,128.6,15.4,64.87,10.9,2.6,7.7,0.9,4.1,0.7,1.6,0.2,1.3,0.2
37,121,"DIORITE, PYROXENE [17467]",30.9,64.9,8.9,41.21,8.06,2.1,5.6,0.7,3.5,0.6,1.6,0.2,1.5,0.2
44.6096,91.7746,"DIORITE [17468]",9.25,20.86,2.58,9.826,1.949,0.67,1.65,0.25,1.47,0.3,0.85,0.13,0.87,0.14
44.5995,91.7947,"DIORITE [17468]",12.16,24.66,3,12.57,3.21,0.8,2.31,0.36,2.14,0.45,1.27,0.19,1.24,0.2
44.5995,91.7947,"DIORITE [17468]",15.05,33.12,4.46,18.16,3.9,1.07,3.19,0.49,3.03,0.62,1.79,0.28,1.8,0.28
44.602,91.7991,"DIORITE [17468]",7.33,18.24,2.78,13.27,4.025,1.44,4.51,0.78,5.2,1.1,3.07,0.46,2.93,0.44
44.6013,91.7963,"DIORITE [17468]",10.27,24.44,3.89,18.51,5.45,1.83,5.88,1.08,6.95,1.49,4.22,0.61,3.86,0.6
42,92,"DIORITE, QUARTZ [20329]",11,22.4,2.76,11.4,2.33,0.693,1.94,0.347,1.99,0.37,1.14,0.195,1.19,0.172
