"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"FOIDITE [13036]",39,231,487,47,157,21,5.5,13,1.81,11.6,2.1,5.1,0.7,4.3,0.6,-1.52,29.25
"FOIDITE [13036]",39.1,229,463,46,155,22,5.7,13.1,1.88,10.6,1.92,4.7,0.66,4,0.56,-1.52,29.25
"FOIDITE, ANALCIME-NEPHELINE [25213]",36.36,137.108734386021,210.461572862028,20.9263116490328,74.1597618542268,11.3255250480923,3.27361429000125,9.24854201955755,1.15527605640993,5.7252906415442,1.12334884578391,2.64800538714332,0.339734979159987,30.7406571283531,0.292209556200064,66.5571010205894,34.4444189686328
"FOIDITE [13036]",38.7,199,365,39,129,19,5.3,13.3,1.66,8.3,1.51,3.7,0.52,3.2,0.43,-1.52,29.25
"BASANITE [14732]",41.2786212187952,71.0328096118299,153.635859519409,18.6645101663586,77.6146025878004,14.0947319778189,4.28650646950092,13.0157116451017,1.65711645101664,7.21164510166359,1.13724584103512,2.76132162661738,0.30452865064695,1.79135859519408,0.232902033271719,27.9701,-15.5172
"FOIDITE [15670]",36.62,49.587818427109,105.877771605428,13.14097135148,53.0386199507976,10.5897718435045,3.47023611872074,9.18262854946376,1.22453587016903,6.13165542417268,0.997341480834854,2.27583352511705,0.272473692564082,1.5949484961511,0.206848623125149,-37.5327,-169.307
"FOIDITE, ANALCIME-NEPHELINE [25213]",41.86,90.5416228723404,163.609978794326,16.2367707446809,53.0604287943262,7.63617154255319,2.21185866223585,5.757953134999,0.732642328989115,3.48370000693758,0.685452659574468,1.84928313829787,0.25109335106383,17.6405718085106,0.230730196680851,66.5567179676145,34.444676041603
"FOIDITE [19757]",42.78,80.2235168945208,156.57796023838,18.1569444723875,71.3825120577221,13.2064290748279,4.01937516781365,10.9589483361989,1.51907941081695,6.15120576392593,1.21941812602561,2.0535151064699,0.269092013492997,1.20995369475217,0.176730039143673,48.1742,100.3843
"BASALT [14732]",45.3559009532091,58.57,118.8275,14.552,58.88725,11.706,3.7135,11.13925,1.4715,6.779,1.0915,2.70975,0.307,1.869,0.2465,27.9123,-15.5284
"FOIDITE [15670]",35.99,67.7332671852675,81.1689474519765,13.8894812668678,57.0322829020479,11.2855750912843,3.73152833941896,11.8869378802934,1.66677738529925,9.96578702968725,2.06291197015399,5.6929236386728,0.790485672328941,5.02351762184474,0.777406691538339,-36.0743,-169.5812
"FOIDITE [14499]",39.48,52.5,102,12.7,52.5,10.6,3.42,10.5,1.33,6.47,1.05,2.43,0.26,1.42,0.17,21.9369,-159.6112
"FOIDITE [14732]",37.98,68.5380517503805,146.428082191781,18.0308219178082,76.1923515981735,13.7945205479452,4.25951293759513,12.5705859969559,1.58904109589041,6.89478691019787,1.08713850837139,2.61301369863014,0.277016742770167,1.67694063926941,0.214231354642314,28.0901,-15.6769
"FOIDITE [15670]",37.42,33.0786870931894,71.6171574853151,9.71561438323543,41.2183640260359,8.95364462613113,3.02759983330687,8.24646620031226,1.16155389744404,6.17575488172726,1.06995753294174,2.5686980473091,0.330786870931894,1.96492201143039,0.269389307826639,-37.5427,-169.422
"FOIDITE [15670]",31.4,67.1340709197278,127.279611573208,16.3607919767581,65.447184303737,12.7239447606161,4.17351814382935,11.7496874119473,1.61559557448163,8.80795797349465,1.67202594818323,4.42606916862339,0.585791459386317,3.70914235682732,0.558680781629323,-33.7368,-171.4317
