"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"GABBRO, OLIVINE [25175]",39.09713825,66.3,141.5,19.45,82.1,14.4,4.23,10.15,1.34,6.98,1.28,3.14,0.4,2.46,0.38,48.8,-86.5
"GABBRO [26126]",47.42,16.38,36.84,4.9,20.67,5.11,1.71,4.48,0.87,4.79,0.86,2.44,0.38,2.08,0.43,32.8801565,86.538743
"GABBRO [23559]",50.01,10.5,23.1,3.01,12.5,3.06,0.97,3.06,0.56,3.31,0.67,2.01,0.29,2.21,0.32,-10.5,-54.5
"GABBRO [22772]",47.5,4,8.4,1.13,4.9,1.26,0.58,1.04,0.19,1.17,0.24,0.64,0.1,0.7,0.11,53.48193004,-64.71308199
"GABBRODIORITE [26747]",48.89905068,5.326666667,12.27166667,1.57,6.694333333,1.827,0.706666667,1.702666667,0.297666667,1.872333333,0.426,1.172,0.161333333,1.331,0.193,-14.95946276,-71.25514318
"GABBRO, HORNBLENDE [28490]",47.837,18.80716437,48.12340369,7.05940258,30.0179698,6.865173975,1.705471702,6.465390955,1.030692873,6.058504576,1.195625017,3.327910729,0.481737927,3.086049527,0.454303093,29.2129,94.0608
"GABBRO [22772]",47.2,22,49.7,6.6,30,6.82,1.88,6.11,0.97,5.91,1.21,3.02,0.49,2.89,0.5,53.88200994,-56.92790978
"GABBRO, HORNBLENDE [26317]",52.86,14.4,32.05,3.72,16.09,4.12,1.36,3.65,0.7,3.74,0.78,2.3,0.25,2.24,0.3,35.2074,137.3254
"GABBRO [13235]",49.35,63.5,107,10.7,39.9,6.33,2.21,5.66,0.76,4.6,0.89,2.34,0.33,2.02,0.32,35.2388,73.2002
"GABBRO [22772]",46.8,14.4,31.5,4.13,17.7,4.34,1.36,4.26,0.62,3.81,0.83,2.29,0.34,2.19,0.34,54,-65
"GABBRO [19478]",50.2,19.3,46,6.18,28,7.48,2.09,8.12,1.46,8.8,1.78,5.25,0.752,4.74,0.752,65.28571066,-131.5067368
"GABBRONORITE [21826]",50.38,13.2,22.8,2.72,11.4,2.41,0.71,2.57,0.42,2.64,0.53,1.6,0.24,1.53,0.24,56.3345,109.814
"GABBRO [22772]",43.9,12.6,27.2,3.62,15.9,4.07,1.25,3.87,0.6,3.72,0.8,2.2,0.29,1.89,0.33,53.524607,-65.41960903
"GABBRO, HORNBLENDE [28809]",46.02964025,6.25,15.2,2.46,12.6,3.53,1.24,3.77,0.67,4.27,0.85,2.28,0.35,2.13,0.31,43.7,92
"GABBRO [23413]",51.58,17.21,42.76,5.76,26.52,6.76,2.15,7.04,1.01,5.57,0.96,2.39,0.33,1.77,0.24,33.5,85
"GABBRO, AMPHIBOLE [21612]",39.18,1.81,5.86,1.03,6.7,2.49,0.974,2.63,0.46,2.74,0.53,1.46,0.204,1.27,0.186,45.892586,97.442223
"GABBRO [28680]",50.9,39.3,80.3,9.45,39.5,8.42,2.85,9.12,1.32,7.48,1.36,3.7,0.48,3.02,0.44,38.1127,44.9963
"GABBRODIORITE [8506]",51.5,14.4,29,3.59,13.47,3.43,0.8,3.64,0.69,4.37,1,2.78,0.41,2.66,0.41,23.52,105.75
"GABBRO [28788]",46.97,13.55603368,30.36226827,3.750982301,16.6653086,4.175740069,1.328743471,4.531017581,0.740665275,4.437629911,0.864813028,2.372470813,0.327677541,2.006979307,0.293000112,33.5,50.25
"GABBRO [25308]",47.23,67.1,142,16.8,66.1,12.5,3.7,11.4,1.47,7.17,1.27,3.09,0.409,2.31,0.322,39.55,78.93
"GABBRODIORITE [24317]",68.73,53.6,93.4,9.22,29.7,4.19,1.11,2.58,0.31,1.62,0.29,0.83,0.113,0.66,0.101,-22,15.8
"GABBRO, OLIVINE [19328]",41.60534682,3.68,8.38,1.16,5.14,1.43,0.45,1.46,0.25,1.68,0.3,0.92,0.14,0.87,0.15,71.4837548,-117.4457805
"GABBRO [8678]",49.87,17.9,44,5.77,24.9,5.59,2.08,5.37,0.95,5.6,1.13,3.14,0.428,2.68,0.385,59.65,-109.25
"GABBRO [26928]",49.42520131,12.78117164,27.11886813,3.376673182,15.20320879,3.987568458,1.535456234,4.665957442,0.806205739,5.401401886,1.043820027,2.734946748,0.408410726,2.34807462,0.325965363,36.15,59.15
"GABBRO [23247]",50.26,4.761312514,10.44084878,1.319781274,5.633816457,1.343514343,0.564085425,1.360036443,0.207819557,1.532920311,0.300181102,0.955359361,0.147542797,0.990520244,0.141484471,1.29,103.85
"GABBRO [21088]",52.06,4.6,12.5,1.85,8.85,2.37,0.714,2.44,0.399,2.38,0.487,1.3,0.185,1.17,0.178,48,86.5
"GABBRODIORITE [26747]",51.11936984,7.998666667,18.13566667,2.348333333,10.962,2.994666667,1.016333333,3.309,0.512333333,3.84,0.737666667,2.013,0.295333333,1.987333333,0.302,-14.94946927,-71.26159972
"GABBRO, OLIVINE [26186]",39.77,3.3,7.4,1.02,5.1,0.98,0.4,0.98,0.18,0.98,0.19,0.54,0.08,0.46,0.07,-13.63,15.42
"GABBRO [18928]",39.83,6.2,15.2,2.2,11,3.1,1.26,3.09,0.44,2.54,0.41,1.08,0.17,1.05,0.15,39.05,-28.05
