"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"GRANITE, 2-MICA [23320]",72.41,58.9,123,14.2,49.07,8.31,0.72,3.56,0.3,1.12,0.17,0.38,0.05,0.25,0.04,37.3,121
"GRANITE [22230]",72.16,74.4,157,15.4,66.6,11.6,0.49,8.33,0.84,4.08,0.6,1.49,0.18,1.06,0.16,47.1903,99.835
"GRANITE, 2-MICA [25208]",75.06,9.2,22.3,2.33,8.5,2.29,0.37,2.32,0.47,2.68,0.46,1.25,0.18,1.17,0.18,13.902,99.12533
"GRANITE [22309]",76.5,12.91,24.41,2.89,9.87,2.08,0.32,2.28,0.4,2.8,0.63,2.14,0.36,2.62,0.44,29.53,92.31
"GRANITE [26205]",73.5,15.4,31.4,3.52,14.3,3.4,0.432589139,3.525106659,0.589,3.49,0.676,2.07,0.341,2.44,0.36,34.32313667,109.9553683
"GRANITE [23796]",73.48,9.9,27,3.5,14.6,6.97,0.2,9.61,2.16,13.55,2.65,7.55,1.15,7.16,1.03,25.6431,113.2139
"GRANITE [23939]",59.09,22.08,45.08,5.4,20.3,3.9,1,3.2,0.5,2.6,0.5,1.4,0.2,1.4,0.2,28.51,32.97
"GRANITE [21221]",74.12,7.7,20.1,2.04,8.2,1.46,0.16,0.98,0.14,0.72,0.11,0.36,0.05,0.39,0.04,-14.0103,-48.0672
"GRANITE, ALKALI FELDSPAR [28678]",67,294.2,550.9,61.86,212.1,34.44,4.1,28.09,5.02,30.81,6.3,16.34,2.05,12.07,1.64,64.14678181,27.00426806
"GRANITE [24840]",72.51,33.8,59.1,6.9,23.6,3.97,0.87,3.07,0.41,1.85,0.31,0.82,0.1,0.67,0.09,33.562,111.1761
"GRANITE [25759]",75.35,104.37,201.58,22.08,69.78,12.5,0.49,10.25,1.75,9.63,1.9,5.9,0.98,6.79,1.04,25.5372,98.3425
"GRANITE [26649]",77.21751094,30.24,70.82,9.44,36.4,9.384,0.02272,10.32,1.943,12.536,2.77,8.246,1.2882,8.332,1.248,45,90.5
"GRANITE [21806]",72.47,17.81751189,48.73068455,3.893740161,13.83463139,2.901509627,0.496369768,2.520720565,0.427575504,2.699867103,0.57009471,1.723929505,0.297805539,2.070219434,0.300166567,42.0167,97.0783
"GRANITE [25991]",75.504,282.8417153,114.9825274,63.21960361,224.6926862,48.62927662,5.239057502,49.13608048,8.152638823,46.69069912,8.205006382,22.08998686,3.196628748,20.81685224,2.867702572,25.5,112.875
"GRANITE [24273]",74.72,109.2,211,22.6,76,13.3,1.05,10.2,1.6,9.89,2.17,6.44,0.99,6.98,1.06,9.9771,19.0718
"GRANITE [12881]",80.41,8.15,12.6,1.32,4.68,0.86,0.762,0.69,0.138,0.95,0.22,0.79,0.126,0.97,0.17,57.1,-153
"GRANITE, BIOTITE [25131]",73.6,64.2,136.5,14.22,53.8,10.26,0.43,10.06,1.57,10.19,2,5.97,0.88,5.76,0.75,-2.6103,106.5193
"GRANITE, 2-MICA [24465]",74.56,2,4.1,0.4,1.6,0.39,0.16,0.63,0.12,0.56,0.12,0.42,0.07,0.63,0.12,42.05,91.0131
"GRANITE [22893]",65.72,32.6,67,8.7,32.7,6.5,1.06,7.06,1.01,5.78,1.16,3.31,0.54,3.34,0.51,49.25,68
"GRANITE [25931]",71.32,77.52,150.97,18.64,67.06,15.93,0.37,14.27,2.48,14.87,2.99,9.24,1.41,9.67,1.41,25.5,98
"GRANITE, KALIFELDSPAR [23984]",69.98,51.47023816,112.3616011,14.60012553,58.75596078,13.3268848,0.951956429,12.36564293,2.203741102,13.3843707,2.691972146,7.355091414,1.183353897,7.243297983,1.020424854,44.5,113
"GRANITE, BIOTITE [23228]",67.79,42.17,81.58,9.184,34.06,5.924,1.168,4.949,0.631,3.196,0.559,1.374,0.185,1.169,0.17,31.5,90.5
"GRANITE [24759]",72.74,80.2,165,16.6,55.5,9.9,0.86,7.35,1.46,7.83,1.63,4.83,0.7,4.59,0.68,25.75,113.125
"GRANITE [26531]",71.9,33,145.4,9.05,30.2,5.8,0.74,3.87,0.61,3.13,0.66,1.7,0.28,1.9,0.27,-30.5,-52
"GRANITE [26466]",75.04,48.59,82.08,8.02,24.82,3.86,0.54,2.91,0.43,2.25,0.43,1.36,0.22,1.62,0.26,30.83,82.1
"GRANITE, PLAGIOCLASE [26782]",71.859,2.332120667,5.398111237,0.769674318,3.717371293,1.158516898,0.49175676,1.472250522,0.278171,1.903227889,0.426108655,1.33516813,0.199651639,1.386038658,0.219590592,36.7,98.5
"GRANITE [21874]",75.4,3.79,9.79,0.91,3.42,0.88,0.1,0.82,0.15,0.84,0.13,0.36,0.05,0.32,0.05,28.5,115
"GRANITE [25767]",76.07,19.09,34.62,3.555,11.76,2.361,0.5767,2.652,0.441,2.722,0.5909,1.795,0.2747,1.831,0.298,29.7069,92.6478
"GRANITE [17346]",69.49,27.68,52.85,6.42,17.46,3.02,0.45,2.24,0.31,1.71,0.36,1.15,0.19,1.18,0.2,50.5,106.5
"GRANITE [23798]",78.534,15.3,20.1,3.28,13.2,2.69,0.23,3.1,0.56,4.24,1.01,3.28,0.54,3.68,0.55,-33.5581,149.2253
"GRANITE, 2-MICA [27208]",77.1,17.9,31.9,3.32,11.3,2.38,0.54,1.72,0.3,1.44,0.23,0.63,0.09,0.58,0.08,38,127
"GRANITE [23625]",69.169,18.13491788,33.74330322,3.664857029,13.38871272,2.467798088,0.583436321,1.671854904,0.208914808,1.060158776,0.201127496,0.479064335,0.0746,0.406861512,0.0636,23.4,116.7
"GRANITE [27262]",70.92,15.3,30.1,3.36,12.2,2.07,0.625,1.72,0.208,0.928,0.157,0.43,0.0589,0.356,0.056,23,103
"GRANITE [25759]",75.54,9.7,15.9,4.29,15.8,8.6,0.1,5.23,2.1,14.6,3,8.9,2.3,14.69,2.1,25.1033,98.2842
"GRANITE [24880]",72.96,47.3,95.3,11.15,41,7.77,0.64,6.88,1.07,6.08,1.06,3.4,0.57,3.35,0.56,51,13.5
"GRANITE, ALKALIFELDSPAR [14737]",77.81,61.7,130,15.7,54.9,11.7,0.05,11.4,2.19,12.8,2.49,7.4,1.23,7.78,1.19,41,80
"GRANITE [22784]",65.1,73,130,14.2,50.8,8.14,1.65,6.59,0.93,4.44,0.83,2.35,0.31,1.98,0.29,27.5,116
"GRANITE, BIOTITE [21266]",72.17,28.29,56.81,6.52,33.97,6.53,0.46,3.84,0.47,2.83,0.52,1.46,0.2,1.21,0.18,26,118
"GRANITE [21917]",74.89,22.3,72.6,7.7,30,8.8,0.17,10.8,2.2,16,3.7,11.8,1.8,11,1.7,18,15
"GRANITE, BIOTITE [26469]",73.1,56.6,120,12.6,41.2,6.71,1.07,5.71,0.9,4.96,1.01,3.21,0.48,3.36,0.52,34.2,109
"GRANITE [21831]",70.18,36.4,73.7,8.27,31.2,6.27,1.09,5.42,0.911,5.24,1.07,2.96,0.441,2.72,0.367,26,108.5
"GRANITE [21358]",71.8,55.6,109,12.6,43.1,8.92,0.75,7.66,1.3,8.32,1.69,5.1,0.79,4.62,0.71,24.5,114
"GRANITE [24628]",74.68,288.6,590.55,74.36,294.2,72.55,4.29,91.54,13.54,84.99,17.52,48.09,6.8,47.47,6.82,23.55,41.175
"GRANITE [25267]",70.34,49.65,70.91,6.89,20.77,3.11,0.87,2.93,0.37,1.74,0.37,0.78,0.1,0.65,0.08,40.8,125.39
"GRANITE [27088]",69.79,62.1,114.5,12.75,46.3,7.87,1.58,6.03,0.89,5.38,1.05,2.99,0.43,2.8,0.43,-21.09,118.5131
"GRANITE [21732]",72.96,40.5,79.1,9.13,33.2,6.31,0.64,6.6,1.13,6.96,1.4,4.46,0.65,4.32,0.67,-17.2955,145.1174
"GRANITE [28876]",76.5,16,32,4.6,17,5.4,0.2,6.6,1.4,8.8,1.9,5.7,0.98,5.7,0.87,-34.47416667,-72
"GRANITE [25448]",75.08,16.4,34.2,4.1,15,3.11,0.29,3.06,0.52,3.05,0.53,1.43,0.2,1.35,0.18,23,105
"GRANITE, ALKALI FELDSPAR [29019]",70.99,170,330,38,140,27.5,4.2,34,5.2,25.5,4.9,15,2,11.8,1.7,64.14174699,26.94264547
"GRANITE [25173]",72.91,34.2,58.7,7.57,32.3,5.4,0.85,4.44,0.65,3.63,0.72,1.9,0.28,1.86,0.27,28.4835,97.05266667
"GRANITE, BIOTITE [25877]",70.83,21.78,55,7.31,36.38,10.44,1.67,12.31,2.1,12.75,2.55,4.57,0.5,2.82,0.39,24.7875,34.5875
"GRANITE [25347]",73.8,31,66.3,6.8,23.9,4.03,0.95,2.91,0.46,2.61,0.52,1.57,0.25,1.66,0.29,8.9856,-2.4985
"GRANITE [22492]",73.99,2.13,4.21,0.54,2.54,0.63,0.58,0.65,0.1,0.65,0.13,0.42,0.06,0.4,0.06,33.6,86
"GRANITE, GARNET-BIOTITE [27208]",72.07,57.6,107,11.1,37.2,6.11,0.85,3.34,0.42,1.9,0.27,0.65,0.08,0.45,0.06,38,127
"GRANITE [26979]",71.40236,29.1,61.32,6.756,24.16,4.99,0.7132,4.376,0.6652,3.772,0.717,2.054,0.3044,2.05,0.3008,36.4591,98.2671
"GRANITE [28918]",63.67,49.4,87.8,8.97,31.5,4.89,1.32,4.07,0.5,2.45,0.48,1.35,0.21,1.28,0.19,31.0195,110.922
"GRANITE [22520]",66.79,13.2,24.7,3.03,12.2,3.21,0.79,2.19,0.32,1.54,0.26,0.74,0.09,0.64,0.11,27,99.5
"GRANITE, ALKALIFELDSPAR [26458]",75.9,97.5,150.6,13.5,38.8,4.4,0.35,3.15,0.38,2.49,0.43,1.47,0.16,1.5,0.11,-16,-40
"GRANITE, ALKALIFELDSPAR [24967]",80.27448714,6.98185784,16.40827351,1.618073856,5.55156276,1.315504599,0.0942,1.23478598,0.223359877,1.51779931,0.321319872,1.003045784,0.174054566,1.215821304,0.187473752,43.057,106.6541
"GRANITE, BIOTITE [26469]",72.8,82.3,159,19.4,65.3,10.5,0.91,7.89,1.13,5.24,0.97,2.91,0.42,2.77,0.43,34.2,109
"GRANITE [28963]",69.7,59.9,116,13.7,52.9,9.92,1.45,9.2,1.32,7.66,1.46,4.25,0.595,3.76,0.569,63,26.45
"GRANITE [25364]",65.66,49.4,99.3,10.11,33.4,5.92,0.94,4.83,0.75,4.41,0.92,2.59,0.41,2.75,0.417,43.1192,134.3558
"GRANITE [22084]",73.66,14.9,27.1,3.12,11.1,2.74,0.42,2.6,0.55,3,0.57,1.36,0.3,1.92,0.27,38,90
"GRANITE [24759]",73.88,70.9,136,14.9,53.6,10.5,0.52,8.82,1.74,10.1,2.04,6.61,0.92,6.45,0.97,25.75,113.125
"GRANITE [23497]",75.3,34.46,67.84,7.151,23.35,3.813,0.574,3.101,0.448,2.562,0.505,1.439,0.223,1.551,0.237,47.5,122
"GRANITE [23086]",72.54,26.9,50.8,5.34,19.3,3.1,0.69,2.41,0.39,2.1,0.42,1.24,0.21,1.52,0.24,27,33
"GRANITE [26331]",74.33,27.8,62.2,6.8,25.47,5.96,0.4,5.97,0.79,4.04,0.69,2.03,0.28,1.97,0.27,69.0546,177.7815
"GRANITE, ALKALINE [26657]",74.78,39.28,84.93,11.18,41.81,11.77,0.29,13.07,2.33,15.39,3.19,9.5,1.44,9.26,1.38,26.8,113.8
"GRANITE [23570]",73.374223,19.194926,34.853944,3.85919,14.14363,2.364007,0.464719,2.303391,0.31318,1.606312,0.303078,0.85872,0.141436,0.717284,0.080821,-23,-47
"GRANITE [25272]",58.87,52.2,119,16,66,14.5,1.96,15.2,2.47,14.7,3.07,8.84,1.37,8.72,1.32,4.275333333,103.4726667
"GRANITE, ALKALI FELDSPAR [28909]",72.25,27.4,55.2,5.4,19,7.2,0.8,3.7,0.8,4,0.7,2.5,0.4,3.3,0.5,-6.8,-78
"GRANITE [15275]",67.37,12.35,27.71,3.82,16.7,3.8,1.08,3.56,0.54,3.49,0.69,2.11,0.36,2.46,0.41,12.33,-63.5
"GRANITE [24041]",65.55,41.7,72.9,8.11,26.4,5.02,1.152160413,3.818304681,0.575,2.64,0.453,1.22,0.177,1.09,0.146,34,104.5
"GRANITE [25496]",75.5,22.4,49.7,6.38,22.8,5.33,0.14,4.36,0.86,6.2,1.51,5.31,0.98,7.24,1.09,34,109.5
"GRANITE [27081]",73.22,22.35,45.11,4.01,13.13,2.17,0.6,1.82,0.24,1.34,0.25,0.73,0.11,0.8,0.13,39.023,96.1659
"GRANITE [25364]",69.87,26,56.2,5.91,21.1,4.44,0.96,4.22,0.68,4.2,0.89,2.51,0.394,2.59,0.383,43.6331,135.2175
"GRANITE [28953]",79.15,45.9,90.1,9.56,32.8,5.97,0.387,4.73,0.556,2.82,0.549,1.6,0.236,1.68,0.243,35.8,46
"GRANITE [23010]",71.9,24.1,45.4,4.41,17.13,3.34,0.34,2.44,0.36,1.91,0.32,0.82,0.1,0.59,0.175,21.8302,85.8075
"GRANITE [24041]",72.01,19.1,35.3,4.15,14,3.2,0.452956406,2.958682557,0.466,2.55,0.48,1.38,0.199,1.32,0.194,34,104.5
"GRANITE [23086]",80.22,5.1,17.6,2.49,11.5,4,0.03,4.62,0.95,6.52,1.49,5.33,0.96,6.66,0.98,27,33
"GRANITE, MUSCOVITE [25476]",74.83,18.3,32.5,3.79,13.5,2.45,0.69,1.66,0.2,1.08,0.19,0.62,0.08,0.55,0.09,40.635,106.215
"GRANITE [25691]",71.85,2,4.4,0.51,2.1,0.62,0.28,0.74,0.12,0.62,0.11,0.3,0.03,0.27,0.04,40,30.1
"GRANITE [24643]",75.2,21.5,48.5,5.59,22.6,5.22,0.62,4.78,0.81,5.7,1.05,2.97,0.41,3,0.46,47.8,88
"GRANITE [24140]",71.77,97.7,188,21.7,79.5,13.5,1.71,11.6,1.62,9.83,1.98,5.84,0.87,5.49,0.83,40,95
"GRANITE [25759]",64.13,32.26,61.78,7.25,28.02,5.42,1.2,5.07,0.85,4.89,0.96,2.53,0.42,2.45,0.36,25.6076,98.446
"GRANITE [22747]",73.37,218,21.9,71.9,13.6,0.48,12.5,2.01,12,2.3,7.03,0.97,6.02,0.86,480.57,37.2676,98.3864
"GRANITE [24007]",75.77,120,255,32.5,126,23.2,1.25,20.5,3.1,18.4,3.59,10.5,1.55,9.79,1.41,27.5,41.5
"GRANITE [25065]",68.03926214,40.3,84.6,10.1,37,6.88,0.91,6.26,0.91,6.34,1.26,4.11,0.59,3.79,0.59,-33,-54
"GRANITE [24840]",79.32,37.4,62.5,8.84,32.3,6.81,1.12,6.58,1.08,5.54,1.06,2.98,0.41,2.59,0.38,33.5394,111.0736
"GRANITE [25890]",67.77,55.3,84.9,10.7,39.3,6.61,1.6,4.74,0.56,2.57,0.46,1.24,0.17,1.02,0.15,26.15,100.45
"GRANITE [16208]",67.35,22.5,41.7,4.28,15.4,2.89,0.71,2.84,0.46,2.7,0.57,1.71,0.27,1.87,0.3,29.5003,96.6066
"GRANITE [22336]",72.09,24.2,46.7,4.62,18.4,3.86,1.09,4.41,0.74,4.87,1.16,3.84,0.67,4.53,0.73,25,73.5
"GRANITE, MUSCOVITE [27378]",71.7,37.5,65.4,7.13,22.8,3.8,0.72,3.18,0.47,2.61,0.51,1.64,0.25,1.8,0.26,-13.34,-44.64
"GRANITE, BIOTITE [25396]",73.84,17.1,26.2,3.6,12.9,2.67,0.422,2.66,0.511,3.44,0.771,2.53,0.417,2.95,0.465,23.8,116.8
"GRANITE [27158]",67.68,55.88455922,94.16003538,9.592319845,33.29313228,4.444106576,1.147814517,3.467509066,0.374250413,1.733654727,0.297512202,0.887876881,0.134352137,0.881127173,0.168379034,25.7,100.1
"GRANITE [28905]",71.16598112,36.7,69.8,7.89,27.2,5.22,0.9,4.54,0.75,4.33,0.85,2.59,0.39,2.72,0.39,22.83,103.2
"GRANITE [23348]",74.27,68.6,143,16.8,57.3,9.79,0.63,7.34,0.92,4.57,0.78,2,0.25,1.47,0.21,27.1806,102.0886
"GRANITE [16208]",75.61,33.7,80.1,9.62,36.6,10.6,0.11,11.1,2.42,15.6,3.38,10,1.57,10.3,1.48,29.3922,96.8515
"GRANITE, ALKALIFELDSPAR [24965]",70.17,87.7,165.8,18.1,64.7,11.4,1.05,9.35,1.44,8.68,1.62,4.73,0.71,4.69,0.67,24.6,115.3
"GRANITE, 2-MICA [25475]",76.32,8.7,22.3,3.1,14.62,7.2,0.1,10.5,2.3,16.5,3.6,11.4,1.9,13,1.9,25.6,114.4
