"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"GRANODIORITE, BIOTITE [11815]",65.96,11,21.7,2.01,7.3,1.74,0.76,1.7,0.33,2.08,0.46,1.47,0.25,1.7,0.26,37.5,140.5
"GRANODIORITE [25443]",67.43,48.6,89,10,36.4,7.79,1.33,6.06,1.02,5.47,1.04,2.85,0.35,2.13,0.31,21.4772,103.0703
"GRANODIORITE [23798]",78.736,39.7,180.5,10,40.7,8.06,0.41,7.53,1.17,7.84,1.75,5.3,0.85,5.57,0.83,-33.5266,149.1541
"GRANODIORITE [25947]",64.74,45.2,75.5,10.41,30.4,4.54,1.29,2.97,0.38,1.48,0.29,0.78,0.09,0.62,0.12,5.25,14.25
"GRANODIORITE [25678]",67.84,5.83,12.25,1.54,6.34,1.26,0.58,1.04,0.15,0.63,0.13,0.42,0.07,0.47,0.08,45.25,94.7
"GRANODIORITE [23870]",61.3,18.8,34.9,3.79,13.8,3.19,0.74,2.79,0.46,2.73,0.58,1.8,0.27,1.78,0.28,33,96
"GRANODIORITE [22277]",71.65,22.91,44.67,4.26,15.77,2.63,0.88,1.94,0.2,0.9,0.15,0.39,0.05,0.35,0.05,-28.33,116.68
"GRANODIORITE [23227]",69.91,34.08,65.48,7.03,22.47,4.37,0.79,3.7,0.51,2.87,0.6,1.72,0.26,1.79,0.29,35.8,101.2
"GRANODIORITE [26145]",60,104.550971933717,200.447723315738,22.0107684319327,83.0423870625831,13.4248124844564,2.86600807244891,10.0575898824646,1.16781429880913,5.50082356564549,0.937541655753192,2.46238742207682,0.339176828687315,2.09454225794487,0.308695413085777,36.5,80
"GRANODIORITE [25520]",64.35,28.1,54.4,6.59,24.2,4.14,0.909,3.13,0.437,2.55,0.52,1.41,0.208,1.34,0.208,50,41
"GRANODIORITE [25011]",71.65,47.3,95.6,9.2,29.7,4.4,0.9,3.2,0.4,2.5,0.5,1.3,0.2,1.3,0.2,4.75,11
"GRANODIORITE [28963]",60.4,40.8,83.6,10.7,42.2,9.06,1.66,9.24,1.44,8.43,1.65,4.46,0.666,4.05,0.617,63,26.45
"GRANODIORITE [22892]",70.85,21.2,44,4.35,16.7,3.46,0.92,3.15,0.5,2.95,0.53,1.47,0.19,1.12,0.16,24.5183,98.2861
"GRANODIORITE [22084]",68,39.2,80,9.68,36.9,7.07,1.37,6.13,1.02,5.44,1.17,2.73,0.49,2.56,0.32,38,90
"GRANODIORITE [25404]",58.18,57.4,107.8,12.75,44.7,7.83,1.39,6.24,0.97,4.94,0.99,2.61,0.44,2.68,0.42,40,27.5
"GRANODIORITE [22868]",68.9,18.7,32.6,3.95,14.7,3.06,0.62,2.76,0.47,2.8,0.6,1.86,0.27,1.98,0.31,42.5,91.9
"GRANODIORITE [25036]",65.64,30.1,56.6,6.26,22.6,3.92,1.11,3.12,0.37,2.49,0.51,1.39,0.19,1.3,0.21,25.7281,116.9589
"GRANODIORITE [24469]",65.45,44.4,82.2,9.4,33.6,5.31,1.42,4.7,0.59,2.98,0.56,1.53,0.22,1.5,0.24,25.1,116.3
"GRANODIORITE [21496]",67.4,35.5,63.4,6.51,22.6,3.9,0.98,2.78,0.38,2.04,0.38,1,0.14,0.96,0.14,36,98
