"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"HARZBURGITE [22430]",42.8,0.0290625694115946,0.0837955734527789,0.0137019553157734,0.0628437835582891,0.0241878007904344,0.0117530017641254,0.0300796149314735,0.00521839824027453,0.0335451295903123,0.00957221511975159,0.0303877467973955,0.00533422008012171,0.0431923427091303,0.00757050957944708,45.4,7.7
"HARZBURGITE, XENOLITH [15666]",43.82,1.7,3.7,0.4,1.55,0.27,0.08,0.25,0.03,0.14,0.03,0.07,0.01,0.08,0.01,49,126.25
"PERIDOTITE, GARNET, XENOLITH [17870] / HARZBURGITE, GARNET, XENOLITH [17406]",44,0.59,1.13,0.16,0.48,0.08,0.02,0.06,0.01,0.05,0.01,0.04,0.01,0.07,0.014,-3,37.3
"HARZBURGITE, AMPHIBOLE [21449]",39.96,0.404,0.992,0.165,0.784,0.215,0.056,0.219,0.041,0.306,0.0693,0.213,0.034,0.222,0.0361,58.5,-62.5
"WEBSTERITE, XENOLITH [8836] / HARZBURGITE, SPINEL, XENOLITH [8263]",50.45,0.44,1.34,0.23,1.09,0.43,0.2,0.6,0.11,0.79,0.17,0.48,0.08,0.52,0.08,37.18,15.12
"HARZBURGITE, SPINEL, XENOLITH [20779]",43.380764648955,0.0818234849579569,0.175992311921484,0.0212895428788931,0.0847897940130385,0.0176350034474329,0.00605025911072396,0.0135932847909253,0.00260191013392766,0.0114911203647047,0.00310852831481222,0.0108341150696938,0.00235191076906914,0.019146020689041,0.00373495655848838,-49,69
"HARZBURGITE, XENOLITH [17331]",40.35,0.24,0.47,0.05,0.2,0.05,0.01,0.07,0.016,0.14,0.034,0.11,0.019,0.14,0.025,48.0617,-109.59
"HARZBURGITE [26796]",40.04,1.28,2.84,0.38,1.61,0.44,0.16,0.62,0.11,0.74,0.16,0.51,0.07,0.51,0.08,51.828,10.5467
"HARZBURGITE, XENOLITH [12343]",43.72,1.56,4.09,0.52,2.32,0.44,0.13,0.35,0.041,0.2,0.03,0.069,0.008,0.047,0.008,55.6439,130.1025
"PERIDOTITE, GARNET, XENOLITH [19627] / HARZBURGITE, GARNET, XENOLITH [14820]",44.58,3.58,3.26,0.335,1.18,0.161,0.044,0.12,0.013,0.063,0.01,0.025,0.003,0.024,0.004,66.43485,112.31798
"PERIDOTITE, GARNET, XENOLITH [19627] / HARZBURGITE, GARNET, XENOLITH [14820]",44.46,3.38,5.38,0.536,1.88,0.277,0.117,0.206,0.024,0.113,0.017,0.038,0.005,0.028,0.005,66.43485,112.31798
"HARZBURGITE, XENOLITH [17331]",41.59,0.8,1.71,0.22,0.89,0.14,0.04,0.09,0.01,0.06,0.011,0.04,0.006,0.05,0.01,48.0617,-109.59
"HARZBURGITE, SPINEL, XENOLITH [18996]",41.61,0.45,0.97,0.18,0.53,0.13,0.05,0.2,0.04,0.1,0.02,0.08,0.01,0.06,0.007,10.56,13.52
"HARZBURGITE [25575]",41.2,0.228461413429872,0.390517923337875,0.0516435541353468,0.22401894530935,0.0657701789672472,0.0140623269654802,0.0426202545163088,0.00502461928282868,0.0292608672281799,0.00411814902078985,0.0149310328031303,0.00181479160107897,0.020100562317983,0.00297712451698408,31,117
"HARZBURGITE, SPINEL, XENOLITH [14168]",43.85,0.024,0.068,0.011,0.053,0.0147,0.0056,0.0157,0.0028,0.0189,0.0043,0.015,0.0026,0.022,0.0045,53.256,158.836
"HARZBURGITE, XENOLITH [14168] / HARZBURGITE, SPINEL, XENOLITH [15612]",43.67,0.0233,0.06,0.0088,0.04,0.0108,0.004,0.0112,0.0019,0.0129,0.003,0.0114,0.0021,0.019,0.0041,53.256,158.836
"HARZBURGITE, XENOLITH [12343]",43.31,0.3611885058,0.9280784592,0.1245097026,0.57584091888,0.13568858586,0.0491102541,0.168196158,0.02593482084,0.15897954816,0.03109623462,0.10284429546,0.01399675968,0.11583578952,0.01684804536,55.6289,130.1019
"HARZBURGITE [28759]",24.52,0.23,0.5,0.06,0.28,0.06,0.02,0.07,0.01,0.06,0.02,0.05,0.01,0.06,0.01,12.6619,76.3083
"HARZBURGITE, XENOLITH [17331]",40.9,0.36,0.51,0.04,0.11,0.02,0.01,0.01,0.001,0.01,0.002,0.01,0.002,0.02,0.004,48.0617,-109.59
"HARZBURGITE, XENOLITH [19581]",43.54,0.47,0.485,0.029,0.2151,1.23,0.005,0.014,0.003,0.014,0.003,0.015,0.003,0.031,0.005,-43.77,176.72
"HARZBURGITE, GARNET-SPINEL, XENOLITH [15322] / PERIDOTITE, XENOLITH [12608]",45.85,1.69,3.26,0.411,1.6,0.278,0.077,0.219,0.027,0.13,0.02,0.045,0.006,0.039,0.005,-28.92,28.65
"HARZBURGITE, XENOLITH [19204]",42.16,1.19,2.28,0.29,1.11,0.23,0.07,0.19,0.03,0.13,0.02,0.07,0.01,0.06,0.01,28.4,-14
"HARZBURGITE, GARNET, XENOLITH [15972] / PERIDOTITE, GARNET, XENOLITH [15972] / PERIDOTITE, XENOLITH [15428]",42.0953406558621,3.51625180912428,2.02206658075601,0.2382976,0.929772972972973,0.175105457909343,0.0775036496350365,0.119533037201555,0.0221497504159734,0.106864691753403,0.0159691011235955,0.086162724692526,0.014216049382716,0.105696310312204,0.0179433962264151,-28.385,23.445
"HARZBURGITE, XENOLITH [17969]",43.14,0.322,0.677,0.074,0.273,0.062,0.021,0.063,0.011,0.069,0.015,0.042,0.007,0.046,0.008,41,27
"HARZBURGITE [26796]",38.45,1.66,3.97,0.55,2.34,0.66,0.18,0.91,0.16,1.09,0.23,0.71,0.1,0.69,0.11,51.8261,10.5343
"HARZBURGITE, XENOLITH [7727]",43.57,0.53,0.98,0.11,0.45,0.096,0.035,0.105,0.017,0.096,0.018,0.049,0.008,0.047,0.008,3.9,38.21
"HARZBURGITE, GARNET, XENOLITH [16997]",42.65,1.26,2.22,0.23,0.87,0.14,0.044,0.13,0.019,0.117,0.023,0.061,0.009,0.059,0.01,66.43485,112.31798
