"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"HAWAIITE [7731]",47,29.3,62.9,8.43,35.7,7.81,3.07,8.37,1.1,5.56,1.05,2.49,0.33,2,0.29,36.8,12
"HAWAIITE [10915]",50.71,65.41,101.71,12.48,50.63,10.42,2.89,9.48,1.44,8.48,1.67,4.3,0.6,3.66,0.57,36,-106
"HAWAIITE [20364]",48.76,22.5,52.2,6.84,28.6,6.49,2.06,5.96,0.81,4.43,0.73,1.73,0.24,1.41,0.19,51.3772,101.2505
"HAWAIITE [7656]",50.91,32.96,63.65,7.49,29.66,5.69,1.69,5.11,0.73,3.91,0.73,1.7,0.27,1.36,0.2,40.38,9.7
"HAWAIITE [14465]",48.56,44.15,86.74,10.68,42.89,9.4,2.88,8.93,1.34,7.52,1.45,3.68,0.51,3.05,0.46,32.636,-121.481
"HAWAIITE [20364]",48.61,26.5,59.4,7.79,32.6,7.13,2.21,6.15,0.87,4.55,0.8,1.89,0.23,1.3,0.19,51.3726,101.2556
"HAWAIITE [22929]",51.07087245,76.8565171588534,171.721653889567,22.6669492171624,95.6498824184223,21.3533366899576,6.66666215424957,19.0996613009138,2.75709202359485,14.5228519589217,2.47929506123704,5.76684234417352,0.717005686060481,3.92708252080671,0.544740538340441,-14.3,-170.7
"HAWAIITE [22929]",47.2585212,61.2261406839419,126.681178670547,15.2724076931937,59.4159838746478,12.072380182986,3.60298700461401,10.2156613993281,1.47593287705892,7.62979424850261,1.30312578018243,2.94657397665233,0.365256661358399,2.04857092477319,0.282054732841774,-14.3,-170.7
"HAWAIITE [22929]",47.96803,72.0389486577132,146.317544544061,17.2158346115777,66.4675979707266,13.5722908700409,3.92529870763142,11.1572025008781,1.64643566635907,8.44084537268143,1.44994904034486,3.39149196113038,0.419079415321515,2.3609443334705,0.314461756263107,-14.3,-170.7
"HAWAIITE [17079]",45.83,46.76,90.75,10.62,41.9,8.32,2.68,7.75,1.02,5.49,0.99,2.54,0.32,1.97,0.27,6.07,10.25
"HAWAIITE [22299]",48.3719390072852,35.0821789246299,78.8662307312363,10.0667951540639,41.5293036877354,8.76716085248912,3.00016090195841,8.45642018062092,1.35771605164713,7.96594880843426,1.51462392950137,3.97084553320556,0.55361955254193,3.41410461925852,0.542814521582548,24.2432,39.6861
"HAWAIITE [10692]",47.3,40.6,91.4,13.8,61.9,14.3,4.47,13.53,2,10.57,1.92,4.66,0.63,3.6,0.49,21.1573,-157.2304
"HAWAIITE [7731]",48.6,29.6,63.1,8.18,34.1,7.49,2.71,7.99,1.08,5.6,1.07,2.57,0.35,2.14,0.32,36.8,12
"HAWAIITE [20364]",48.82,26.1,58.7,7.54,32.1,7.16,2.16,6.13,0.87,4.35,0.76,1.87,0.24,1.3,0.19,51.386,101.2849
"HAWAIITE [7528]",48.6,30.4,60.6,8.01,29.9,6.2,2.19,7.15,0.89,5.04,0.95,2.34,0.31,2,0.26,41,-170
"HAWAIITE [12969]",48.01,59.2,129.8,16.2,66.7,13.3,4.31,11.9,1.64,9.21,1.77,4.73,0.623,4.09,0.588,64.742,-23.743
"HAWAIITE [23948]",50.8,33.5,67.4,8.28,33.7,7.02,2.31,6.9,1.1,6.39,1.18,3.43,0.494,3.04,0.439,35.8549,12.8805
"HAWAIITE [18206]",50.56,32.71,70.87,9.209,39.32,8.731,3.056,8.233,1.234,6.86,1.293,3.435,0.47,3.063,0.45,8.35,39.18
"HAWAIITE [7603]",50.18,63.9,140.8,17.5,72.9,15,4.79,14.75,1.9,11.03,2.01,5.33,0.73,4.49,0.63,56.4,-130.7
"HAWAIITE [20364]",50.13,26.4,58,7.23,31,7.01,2.17,6.18,0.86,4.4,0.75,1.78,0.23,1.29,0.18,51.4264,101.1571
"HAWAIITE [14465]",48.72,58.45,107.26,12.34,46.75,9.07,2.9,8.07,1.21,6.95,1.35,3.51,0.49,2.96,0.46,34.049,-121.07
"HAWAIITE [12458]",48.76,45.1,101,12.2,51.6,11.6,4.22,10.9,1.77,9.75,1.78,4.71,0.624,3.7,0.524,38.5479202270508,-27.85172
"HAWAIITE, HYPERSTHENE [12818]",47.78,39,69,7.3,36,6.2,2,5,0.9,4.6,0.8,2.5,0.3,2.2,0.2,-35.8291,149.5434
"HAWAIITE [336] / NOT GIVEN [19774]",48.3,55.88,113.48,15.05,63.15,14.01,4.3,12.36,1.65,8.39,1.43,3.36,0.43,2.33,0.35,22.1529034196,-159.567493964
"HAWAIITE [20101]",46.44,17.6,39.4,4.75,21,4.62,1.49,4.78,0.76,4.29,0.9,2.54,0.37,2.3,0.37,40,30
"BASALT [6967] / HAWAIITE [9925]",48.76,36.37,75.05,9.26,35.63,7.55,2.43,7,0.99,5.31,0.91,2.14,0.28,1.54,0.22,-13.4753,-172.513
"HAWAIITE [22299]",48.0763417221224,48.8131303720951,110.516682510379,14.2074148683612,57.4248113028602,12.1883648425976,3.83044434452703,11.5589529471465,1.84624534232608,10.8669260705486,2.04913979138354,5.39737004516446,0.740041017326274,4.61627075546287,0.743559579940757,24.3271,39.7127
"HAWAIITE [7794]",48.59,49.3,95.5,10.8,47.9,9.37,2.85,7.39,0.94,5.16,0.89,2.38,0.3,1.89,0.27,39.54,8.63
"HAWAIITE [20364]",50.22,24.7,53.9,6.88,29,6.71,2.07,5.7,0.8,4.2,0.73,1.83,0.24,1.38,0.19,51.3764,101.252
"HAWAIITE [12458]",47.04,43.8,98,11.4,46.9,9.48,3.48,8.76,1.37,7.29,1.33,3.49,0.468,2.81,0.386,38.6816215515137,-28.204
"HAWAIITE [14483]",49.1,36.1,68.5,7.98,34.6,8.47,2.95,8.3,1.29,7.08,1.34,3.31,0.44,2.56,0.38,37.399,-123.4045
"HAWAIITE [8991]",51.4,44.58,84.9,10.515,37.3,8.179,3.095,7.173,1.028,5.879,1.089,2.675,0.39,2.3,0.351,-48.93,-71.63
"HAWAIITE [22774]",46.04,55.6558932890629,105.87499325362,12.3509819714441,48.4807697519354,9.09319825599233,3.06095353269995,8.39618382488299,1.07053078010057,6.08531323991655,1.10416520805801,3.01481722404138,0.384778347929979,2.51575797152921,0.353692992820046,-72.6523298118,165.498838
"HAWAIITE [14483]",48.1,35.9,66.9,7.75,32.8,8.4,2.77,7.93,1.25,7.25,1.35,3.39,0.45,2.56,0.38,37.369,-123.4025
"HAWAIITE [7589]",49.62,76,151,14.2,59,11.6,3.52,10.4,1.27,5.13,0.95,2.73,0.36,2.17,0.31,37.73,15
"HAWAIITE [9421]",47.59,62.06,134.53,15.28,57.35,10.98,3.21,8.46,1.18,5.97,1.02,2.71,0.34,2.13,0.31,50.5,9.2
"HAWAIITE [17079]",47.1,74.28,154.75,18.2,71.24,12.97,3.77,11.1,1.42,7.73,1.32,3.38,0.45,2.88,0.39,6.07,10.25
"HAWAIITE [20947]",49.5,67,148,19.7,85.5,19.2,5.5,18.3,2.92,16.5,3.22,8.68,1.26,7.61,1.03,9.8967,40.0611
"HAWAIITE [21873]",50.12,21.8,49.7,6.69,28.5,6.53,2.04,6.65,1.19,7.02,1.38,3.9,0.61,3.62,0.56,39,43.5
"HAWAIITE [7656]",49.89,32.15,62.89,7.55,30.04,5.67,1.89,5.13,0.72,3.86,0.71,1.69,0.23,1.33,0.2,40.38,9.7
"HAWAIITE [20947]",50.4,51.99,117.1,15.45,69.68,15.05,5.92,14.58,2.15,11.93,2.3,5.99,0.85,5.18,0.78,9.7856,40.0139
"HAWAIITE [20364]",48.98,26.3,58,7.11,30.2,6.93,2.08,5.63,0.78,4.17,0.7,1.56,0.21,1.25,0.19,51.3773,101.2477
"HAWAIITE [16042]",45.635,36.45,79.87,9.522,41.2,8.675,2.712,7.756,1.065,6.116,1.1,2.873,0.364,2.314,0.32,-46.75,37.75
"HAWAIITE [7519]",45.33,54.3718636867104,106.093415011226,12.0271968417309,46.3371685329393,8.73754686274806,2.54891068029233,7.5351844489105,0.947794550057123,4.86480649850599,0.822890218682937,2.06150851990907,0.26186575808545,1.56091789062675,0.208077145052675,37.6622,-1.1688
"HAWAIITE [10601]",46.96,27.8,58.7,7.25,29.8,6.57,2.13,6.36,0.926,5.26,0.976,2.51,0.341,2.14,0.298,32.6428,36.8053
"HAWAIITE [12241]",48.65,64.01,129.3,15.17,58.29,11.75,3.52,9.92,1.41,7.38,1.26,2.92,0.36,1.99,0.27,-14.09,-172.898
"HAWAIITE [20364]",47.38,26.7,59.7,7.79,32.9,7.65,2.27,5.95,0.84,4.34,0.75,1.78,0.23,1.28,0.19,51.3815,101.2274
"HAWAIITE [22774]",46.13,45.4420499049147,85.8016461951815,10.6235350749526,40.7792821285075,7.58430978212908,2.6461041279199,6.69902696799344,1.07591146428131,5.28728808800996,1.12754628490676,2.70215709500348,0.383409259286553,2.19533355881402,0.369032017966688,-72.652211,165.498334
"HAWAIITE [20101]",48.16,20.6,43,4.93,20,4.29,1.46,4.55,0.71,4.11,0.88,2.28,0.36,2.19,0.34,40,30
"HAWAIITE [14457]",47.3,207,425,54.1,195.13,35.92,9.37,21.2,2.48,11.1,1.93,5,0.627,3.22,0.402,80.9908,-66.9975
"HAWAIITE [14465]",50.55,54.3,96.63,11.02,40.91,8.05,2.41,6.99,1,5.52,1.04,2.82,0.4,2.52,0.4,34.051,-121.072
"HAWAIITE [12458]",48.02,47.1,107,12.8,54.7,12.2,4.24,11.6,1.82,9.91,1.74,4.76,0.638,3.81,0.527,38.5509490966797,-27.85875
"HAWAIITE [15915]",49.87,68.7,123,13.4,49,9.7,3.1,8.8,1.2,6.6,1.1,3.2,0.4,2.7,0.4,-12.2099,49.0219
"HAWAIITE [9371]",49.43,30.8,60.4,7.65,31.3,6.81,2.13,6.48,0.953,5.2,0.953,2.42,0.318,2,0.276,36.7869,36.8242
"HAWAIITE [17079]",47.58,79.29,164.09,19.11,74.18,13.26,3.97,11.77,1.44,7.76,1.35,3.58,0.48,2.98,0.42,6.07,10.25
"HAWAIITE [22774]",49.15,70.8581621805465,132.00026780603,15.0493675498047,58.1540509547848,10.1517868152141,3.05188759489007,8.96687178400323,1.14793414376555,6.36624219209402,1.18778629083004,3.2252029879893,0.422005132859418,2.67255910481,0.389301519761123,-72.758615,165.450791
