"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
41,27,"HARZBURGITE, XENOLITH [17969]",0.169,0.457,0.067,0.319,0.098,0.038,0.136,0.024,0.172,0.034,0.101,0.017,0.114,0.017
41,27,"HARZBURGITE, XENOLITH [17969]",0.215,0.575,0.079,0.385,0.109,0.04,0.144,0.027,0.19,0.044,0.131,0.021,0.143,0.022
41,27,"HARZBURGITE, XENOLITH [17969]",0.177,0.453,0.076,0.385,0.107,0.04,0.145,0.029,0.186,0.038,0.11,0.018,0.113,0.018
41,27,"HARZBURGITE, XENOLITH [17969]",0.145,0.49,0.096,0.559,0.185,0.081,0.294,0.055,0.362,0.084,0.253,0.036,0.235,0.041
41,27,"HARZBURGITE, XENOLITH [17969]",0.156,0.433,0.06,0.272,0.09,0.034,0.124,0.021,0.134,0.033,0.088,0.013,0.088,0.013
41,27,"HARZBURGITE, XENOLITH [17969]",0.13,0.37,0.05,0.26,0.08,0.033,0.102,0.019,0.114,0.024,0.064,0.01,0.068,0.01
41,27,"HARZBURGITE, XENOLITH [17969]",0.631,1.314,0.16,0.66,0.163,0.053,0.159,0.025,0.14,0.032,0.082,0.013,0.091,0.015
41,27,"HARZBURGITE, XENOLITH [17969]",0.322,0.677,0.074,0.273,0.062,0.021,0.063,0.011,0.069,0.015,0.042,0.007,0.046,0.008
41,27,"HARZBURGITE, XENOLITH [17969]",0.165,0.374,0.049,0.203,0.058,0.023,0.071,0.011,0.082,0.018,0.058,0.01,0.076,0.013
41,27,"HARZBURGITE, XENOLITH [17969]",0.149,0.379,0.053,0.232,0.066,0.023,0.074,0.012,0.085,0.018,0.06,0.011,0.078,0.013
28.53,-17.8,"HARZBURGITE, SPINEL, XENOLITH [915]",0.34,0.4,0.04,0.13,0.02,0.01,0.03,0.008,0.021,0.005,0.016,0.003,0.027,0.006
50.9583,14.4219,"HARZBURGITE, SPINEL, XENOLITH [20261]",0.34,0.66,0.065,0.28,0.043,0.016,0.043,0.005,0.038,0.007,0.027,0.005,0.038,0.005
50.565,14.0106,"HARZBURGITE, SPINEL, XENOLITH [20261]",0.64,1.3,0.14,0.49,0.076,0.033,0.085,0.01,0.037,0.007,0.025,0.003,0.026,0.004
