"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"KIMBERLITE [26419]",34.33,301.661,579.616,59.801,199.144,25.489,6.579,19.464,1.835,6.665,0.994,2.511,0.26,1.296,0.157,-18.4809,-46.7981
"KIMBERLITE [17047]",31.53,185.75,485.04,41.31,156.62,24.03,5.64,17.35,2.05,8.74,1.26,2.95,0.34,1.77,0.21,16.3331,77.9286
"KIMBERLITE [17616]",40.99,26,49,5.6,19,3,0.69,2.4,0.3,1.8,0.27,0.64,0.09,0.56,0.09,-25.674,28.15
"KIMBERLITE [15618]",25.06,143,261,24.6,81,9.4,2.08,5.54,0.63,2.67,0.42,1.01,0.12,0.73,0.1,66.5,112.5
"KIMBERLITE [13832]",29.35,132,243,23.6,77.1,9.94,2.5,5.57,0.55,2.13,0.3,0.66,0.07,0.33,0.04,52.67,-72.17
"KIMBERLITE [14143]",31.5,76.4,174.7,23,90.8,13.52,3.13,7.9,0.84,3.67,0.55,1.14,0.13,0.76,0.1,43.95,123.86
"KIMBERLITE [12166]",47.09,70.8,130,12.65,43.9,6.1,1.52,4,0.51,3.05,0.53,1.66,0.19,1.33,0.2,55.5,-117.5
"KIMBERLITE [18834]",37.89,88.6,161.5,16.7,53.5,6.3,1.41,5.64,0.53,1.5,0.22,0.64,0.04,0.34,0.04,70.697426,-80.215146
"KIMBERLITE [23639]",34.6216,165.891813747131,275.822989789032,28.0221214098517,89.9937407411772,11.1143905624428,2.7951006577819,6.59722705330474,0.737050096221698,3.39552014986016,0.566725657418931,1.31577957229621,0.167905288288262,0.957533290276813,0.134520445009868,62.95,28.25
"KIMBERLITE [13832]",31.88,66.2,137,10,29.3,5.01,1.02,3.48,0.35,1.4,0.21,0.46,0.05,0.27,0.03,52.67,-72.17
"KIMBERLITE [12788]",24.54,146.6,265.9,27.7,97.8,14.328,3.59,8.52,0.92,3.78,0.55,1.08,0.12,0.59,0.08,66.3928,-50.7408
"KIMBERLITE [22629]",24.65,160.169491525424,271.920399515738,30.7142857142857,99.6345338983051,13.1582929782082,3.30735472154964,8.35351089588378,0.879237288135593,3.6864406779661,0.576487643574487,1.27118644067797,0.153555366644694,0.826537597607998,0.112060450136413,62.5,113.88
"KIMBERLITE [22616]",42.96,204.8,306.6,27.91,80.4,7.36,1.48,4.19,0.37,1.48,0.22,0.52,0.06,0.42,0.05,63.575,-110.8667
"KIMBERLITE [17100]",30.22,14.91,27.51,3.49,14,2.82,0.68,2.25,0.32,1.74,0.29,0.82,0.12,0.65,0.09,64.65,116.62
