"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"KOMATIITE [17629]",47.1,0.76,1.83,0.31,1.57,0.56,0.18,0.79,0.16,0.96,0.22,0.65,0.1,0.64,0.09,13.14,76.04
"KOMATIITE [22846]",39.7,0.15,0.41,0.06,0.33,0.12,0.05,0.19,0.04,0.31,0.07,0.19,0.03,0.21,0.03,-25.8337,30.8905
"KOMATIITE [26693]",35.71,0.185,0.249,0.038,0.28,0.139,0.062,0.277,0.077,0.662,0.15,0.445,0.067,0.474,0.077,-20.0446,-43.4441
"KOMATIITE [24899]",46.35,0.586,1.89,0.332,1.75,0.588,0.217,0.841,0.15,1.01,0.23,0.668,0.104,0.674,0.102,-20.5,30
"KOMATIITE [24632]",41.44,1.6,4.5,0.71,3.8,1.2,0.4,1.4,0.2,1.3,0.2,0.6,0.08,0.5,0.08,22,86
"KOMATIITE [21048]",45.11,0.299,0.512,0.04,0.131,0.022,0.014,0.08,0.019,0.2,0.052,0.177,0.029,0.224,0.035,-27.375,30.75
"KOMATIITE [17129]",39.7,0.36,1.89,0.32,1.59,0.44,0.19,0.75,0.1,0.88,0.17,0.44,0.06,0.37,0.07,65.25,29.2
"KOMATIITE [26783]",42.98,0.774,1.803,0.333,1.639,0.529,0.148,0.639,0.116,0.717,0.14,0.374,0.056,0.356,0.053,-28.5907930042594,30.5854520201683
"KOMATIITE [17072]",45.22,2.64,6.9,1.07,5.41,1.7,0.57,2.21,0.35,2.24,0.45,1.38,0.18,1.09,0.16,48.2,-80
"KOMATIITE [4881]",41.78,0.479,1.71,0.336,2.34,1.13,0.378,1.74,0.35,2.08,0.435,1.25,0.164,1.01,0.148,67.675,25.49
"KOMATIITE [22846]",41.6,0.25,0.71,0.1,0.55,0.18,0.08,0.27,0.06,0.41,0.09,0.27,0.04,0.27,0.04,-25.8345,30.8764
"KOMATIITE [5952]",47.5,0.72,1.96,0.34,1.79,0.58,0.21,0.69,0.13,0.81,0.18,0.49,0.07,0.45,0.07,-25.77,31
"KOMATIITE [17349]",44.44,0.42,1.4,0.26,1.52,0.63,0.244,0.89,0.167,1.1,0.245,0.72,0.109,0.725,0.114,-31.2,121.67
"KOMATIITE [5319]",48.4,1.58,3.94,0.57,3.15,1.05,0.43,1.54,0.3,2.27,0.47,1.33,0.21,1.27,0.24,-31.2,121.67
"KOMATIITE [25247]",51.24,2.07,5.02,0.93,3.77,1.88,0.51,2.01,0.4,2.72,0.58,1.78,0.27,1.65,0.26,21.10875,85.83885
"KOMATIITE [4881]",41.18,1.64,4.27,0.702,4.01,1.45,0.587,1.87,0.346,1.99,0.407,1.14,0.147,0.892,0.129,67.675,25.49
