"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"LAMPROITE [22633]",45.73,102.3,198.2,21.03,74.4,10.05,2.35,6.67,0.77,3.36,0.51,1.29,0.17,0.98,0.14,68,-84
"LAMPROITE [18044]",57,117,319,46,203,38,6.6,21.8,2.38,8.8,1.12,2.16,0.31,1.96,0.27,38.26,-1.8
"LAMPROITE [26863]",45.8,160,404,51.2,216,39.7,6.07,22.4,2.5,7.69,1.12,2.78,0.32,2.37,0.29,29.4,90.2
"LAMPROITE [22633]",43.92,116.3,210.1,20.58,65.9,9,2.24,5.9,0.72,3.45,0.5,1.13,0.15,0.97,0.13,68,-84
"LAMPROITE [21758]",42.44,4.86,12.57,1.93,9.83,2.42,0.67,2.15,0.3,1.57,0.31,0.89,0.12,0.79,0.12,54.5,159.5
"LAMPROITE [17828]",33.3,26.52,65.42,9.25,41.46,9.95,2.91,10.57,1.42,7.26,1.43,3.62,0.52,3.35,0.53,16.9056,80.0856
"LAMPROITE [17828]",49.78,230.3,470.36,57.31,196.84,28.27,7.24,28.77,3.14,12.83,2.1,5.2,0.56,3.18,0.42,16.8,80.25
"LAMPROITE [24689]",46.29,68.164,148.106,17.851,70.379,11.105,3.263,8.19,0.881,4.021,0.646,1.549,0.187,1.069,0.144,-13.1164,31.5064
"LAMPROITE [22633]",45.23,113.8,221.6,21.3,72.5,9.25,2.07,6.47,0.76,3.78,0.63,1.6,0.21,1.34,0.17,68,-84
"LAMPROITE [15588]",49.11,377.551317643209,751.341298282564,82.7776205268864,280.049402912589,34.2998881489485,6.84795817651125,25.267734398004,2.3889839161075,9.12324813119243,1.4372776119403,4.03506820706026,0.423783445059749,2.48265262771124,0.339433179374574,17.3883,80.2683
"LAMPROITE [24689]",54.6,89.588,126.535,17.431,66.913,10.299,2.89,8.014,0.941,4.607,0.781,2.031,0.275,1.601,0.23,-13.0133,31.355
"NOT GIVEN [12502] / LAMPROITE [24937]",43.16,425.8,814.1,84.97,284.9,36.4,6.394,20.73,1.77,5.832,0.841,1.851,0.206,1.177,0.162,42,-109
"LAMPROITE [20391]",59.1,250,496,56.8,209,27.2,6.4,15.6,1.61,6.5,0.89,2.2,0.28,1.6,0.24,48.9309,15.3264
"LAMPROITE [16034]",64.02,99.875,180.29,17.84,60.08,8.8175,2.123,5.5025,0.67675,3.7375,0.682,1.9225,0.293,2.095,0.31675,38.57,30.18
"LAMPROITE [17828]",38.92,516.9,1396,128.1,320.1,59.04,10.57,24.22,3.74,14.53,1.86,5.8,0.47,2.98,0.42,16.8606,80.1264
"LAMPROITE [19570]",57.75,103,297,40.5,170,29.8,4.6,14.2,1.41,5.77,0.88,2.05,0.28,1.73,0.24,37.212,-1.9325
"LAMPROITE, OLIVINE-CLINOPYROXENE-PHLOGOPITE-LEUCITE-SANIDINE [7748]",51,98.8,203,26.8,107.4,17.5,3.6,12.5,1.7,7.2,1.2,3.3,0.5,2.9,0.4,44.0339,19.965
"LAMPROITE [22633]",46.67,143.8,263.6,26.53,87.2,12.06,2.63,7.75,0.84,3.63,0.49,1.12,0.16,1.03,0.13,68,-84
"LAMPROITE [20713]",51.06,68.2,132.9,15.38,57.2,9.03,2.13,6.85,0.83,4.59,0.73,2.05,0.29,1.85,0.28,30.648,39.418
"LAMPROITE [22633]",41.8,183.7,337.9,31.51,108.7,15.28,3.51,9.42,0.98,4.01,0.51,1.13,0.16,0.97,0.12,68,-84
"LAMPROITE [22633]",47.36,83.4,158.1,16.87,56.9,7.66,1.76,4.95,0.61,2.6,0.43,1.04,0.14,0.86,0.13,68,-84
"LAMPROITE [7519]",49.88,100.881466507293,263.383188430086,37.3324297362213,163.129930613363,31.0616685384892,4.98141487006839,17.8887717655996,1.85645176468674,7.37172189872573,1.14323856260238,2.73631453305494,0.336608499582477,2.097816481628,0.290532950266275,38.4667,-1.4695
"LAMPROITE [22633]",47.74,73.6,141.7,15.3,52.5,6.94,1.54,4.35,0.54,2.5,0.4,1.02,0.14,0.78,0.12,68,-84
"LAMPROITE [22300]",52.05,205.4,410.4,43.41,153.5,18.04,4.06,10.17,1.06,4.01,0.65,1.56,0.2,1.21,0.2,16.8836,79.2347
"LAMPROITE [22633]",45.95,102.2,204.4,21.31,75.4,10.7,2.33,6.83,0.76,3.37,0.48,1.14,0.16,1.05,0.14,68,-84
"LAMPROITE [22633]",42.6,103.3,190.5,20.45,76.2,10.74,2.74,7.27,0.88,3.63,0.57,1.29,0.18,1.06,0.15,68,-84
"LAMPROITE [15588]",46.7,150.630548912557,324.713617015744,37.9663482883377,140.353721403425,20.4541912387588,5.55446626084953,16.1624728733724,1.6833913072799,6.93562479600506,1.05921044776119,2.66055044752717,0.271411687554649,1.42890493851259,0.180271219807678,16.8131,80.1486
"LAMPROITE, OLIVINE-CLINOPYROXENE-PHLOGOPITE-LEUCITE-SANIDINE [7748]",50.9,90.2,194.5,24.5,96.4,16.1,3.6,11.1,1.5,6.2,1.1,2.7,0.4,2.4,0.4,44.0961,20.3073
"LAMPROITE [18461]",36.79,270,525,53.9,180,21.1,4.6,12.8,1.3,5.8,0.9,2.1,0.25,1.4,0.2,16.8807,79.3548
"LAMPROITE [16034]",48.05,92.93,162.76,19.2566666666667,75.4333333333333,12.91,3.15333333333333,9.16666666666667,1.06666666666667,5.83666666666667,0.966333333333333,2.53666666666667,0.340333333333333,2.30333333333333,0.339666666666667,38.43832,30.50742
