"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"LAMPROPHYRE [22994]",41.51,279,543,62.5,230,34.9,8.14,22.7,1.96,7.97,1.2,2.45,0.31,1.82,0.24,34.82,117.38
"LAMPROPHYRE [23268]",46.25,149,248,25.7,87,12.8,3.3,8.4,1.1,6,1.1,2.9,0.4,2.6,0.33,22,74
"LAMPROPHYRE [23123]",30.09,125.96,242.55,26.34,96.96,16.5,4.81,12.01,1.51,7.27,1.17,2.56,0.31,1.66,0.22,37.6633,-88.53
"LAMPROPHYRE [21610]",36.85,41.9,91.6,11.7,63.4,9.52,2.29,8.35,1.13,5.35,0.94,2.47,0.43,2.61,0.37,30,116
"LAMPROPHYRE [17949]",46.43,60.46,119,12.81,49.14,9.29,2.89,7.99,1.02,6.04,1.14,2.97,0.4,2.52,0.38,37.4,120.13
"LAMPROPHYRE [20318]",47.3,24.9,47.8,5.55,22.3,4.91,1.29,4.93,0.73,3.82,0.81,1.89,0.29,1.86,0.3,40,34
"LAMPROPHYRE [24802]",51.63,62.2,117.4,13.75,51.28,8.526,1.97,6.22,0.69,3.73,0.73,1.92,0.27,1.58,0.24,23.15,115.5
"LAMPROPHYRE [26656]",54.7,32.8,144,18.2,75.9,14,5.86,13.1,1.77,8.91,1.55,3.98,0.53,2.96,0.41,33.5,85.5
"LAMPROPHYRE [24556]",54.7,48,128,19.6,96,24.2,3.58,14.5,1.65,6.5,0.9,2.11,0.29,1.76,0.22,49.8858333333333,15.6398533333333
"LAMPROPHYRE [26656]",50.1,41.4,90.6,11.7,49.5,10.4,3.87,9.81,1.38,7.85,1.4,3.65,0.51,2.96,0.4,33.5,85.5
