"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"LATITE [20410]",56,74.1,122,16.4,60.5,10.6,2.65,8.46,1.16,6.38,1.18,3.22,0.447,2.96,0.435,50.69,7.23
"LATITE [20322]",60.93,53.4,94.2,11.12,41.1,6.9,1.58,6.46,1.07,6.12,1.22,3.62,0.55,3.69,0.56,39.2,43
"LATITE [7827]",53.71,56.3,113,12.9,49,9.5,2.4,7.3,1.03,5.66,1.08,2.79,0.39,2.58,0.41,40.821,14.426
"LATITE [21237]",55.51,19.3,40.6,5.4,23.5,4.8,1.28,5.18,0.7,4.83,0.9,2.65,0.39,2.76,0.42,40,27
"LATITE [20416]",60.28,58.9,113.1,13.1,49.6,10,2.4,8.7,1,7,1.3,3.1,0.4,2.5,0.4,42,128
"LATITE [24534]",58.1,33.2,68,7.97,32,6.13,1.57,5.07,0.74,4,0.78,2.13,0.32,1.93,0.28,46.919102,112.314586
"LATITE [10088]",53.66,59.1,117,13.5,50.2,9.5,2.4,7.4,1.03,5.5,0.96,2.4,0.44,2.6,0.41,40.821,14.426
"LATITE [18881]",56.68,44.42,85.13,10.54,37.33,6.83,1.59,5.28,0.72,3.63,0.71,1.81,0.27,1.67,0.24,46.2911,107.7814
"LATITE [17302]",54.01,49.4,97.9,10.55,50.6,9.12,2.46,8.46,0.95,5.46,0.99,2.72,0.35,2.82,0.35,40.7,13.9
"LATITE [14851]",51.95,50.1,109.1,14.45,58.4,9.47,2.08,6.38,0.85,4.31,0.75,1.99,0.29,1.89,0.28,39.1991,29.2912
"ANDESITE [17826]",57.51,34.13,66.54,7.03,27.5,5.52,1.48,4.38,0.63,3.64,0.71,2.05,0.32,2.09,0.3,32,119
"LATITE [12365]",60.41,124.3,243.5,27,97.1,13.8,2.26,9.66,1.36,4.6,0.55,1.61,0.44,1.34,0.12,35,91
"LATITE [24679]",58.69,53.99,102.03,11.63,42.98,7.61,1.99,5.49,0.72,3.25,0.66,1.67,0.23,1.54,0.23,9.353335,-83.2861498
"LATITE [14347]",52.58,38,75,9.3,37,7.7,2.1,6.4,0.9,4.8,0.8,2.2,0.3,1.9,0.3,40.79,14.04
"LATITE, QUARTZ [6919]",66.11,86.5,185,23.7,83.8,14.7,3.62,11.8,1.63,8.73,1.57,4.26,0.541,3.37,0.477,-18.557,12.2592
"LATITE [19737]",55.28,40.1,89.9,10.93,40.8,7.75,1.79,6.23,0.93,5.05,0.88,2.62,0.39,2.11,0.36,39.09,28.98
"NOT GIVEN [8252] / LATITE, OLIVINE [12849] / LAMPROITE [28819]",55.47,110,249,31.1,120,20,3.8,12.9,1.44,6.3,1.07,2.81,0.38,2.31,0.27,42.7519,11.9456
"LATITE [15759]",55.58,26.7,48.6,5.3,18.3,3.86,1.15,3.3,0.48,2.72,0.54,1.7,0.241,1.47,0.228,-6.64,-52
"LATITE [9456]",57.57,88,172,17.8,62,10.9,1.7,8,1.1,6,1.1,3,0.5,3.4,0.5,40.78,14.05
"LATITE, QUARTZ [22074]",62.76,76.9,169,19.4,80.9,14.6,3.65,12.2,1.642,9.74,1.754,4.69,0.62,3.96,0.55,-14.91632,12.39613
"LATITE [12365]",61.16,135.8,256.8,27.5,95.7,13.96,2.68,7.44,1.04,5.19,0.82,1.84,0.27,1.43,0.2,35,91
"LATITE [15796]",59.33,45.5,89,10.8,42,8.4,1.9,8.4,1.2,7.2,1.4,4.2,0.6,3.9,0.6,36.3,50.25
"LATITE [12365]",55.81,83.8,175.8,19.4,69.1,10.76,2.67,6.68,0.86,4.07,0.67,1.55,0.23,1.42,0.2,35,91
"LATITE [14851]",53.05,86.6,180.4,19.41,71,10.7,2.48,7.15,0.97,4.53,0.76,2.12,0.28,1.81,0.29,38.5299,27.2899
"LATITE [9456] / NOT GIVEN [15326]",57.35,70,133,15.3,56,9,2.5,7,1,5,1,2.7,0.4,2.6,0.4,40.78,14.05
"LATITE [20322]",56.64,32.6,67.1,7.16,28.6,4.87,1.35,4.58,0.72,4,0.84,2.35,0.35,2.28,0.35,39.2,43
"LATITE [24534]",56.88,85.5,169,19.9,78,13.3,3.28,9.72,1.16,5.47,0.97,2.54,0.3,1.9,0.26,46.51329,112.443361
"LATITE [7827]",54.76,56,114,12.5,51.9,9.9,2.3,7.5,1.04,5.48,1.08,2.63,0.37,2.61,0.39,40.821,14.426
"SHOSHONITE [15734] / LATITE [12849]",54.51,56.298,125.992,17.0352,67.02,10.8962,2.001,5.8266,0.8695,4.929,0.9563,2.625,0.363,2.16,0.34,42.8994,11.7675
"LATITE [25818]",56.354,38.36242003082,80.3037961053978,9.84169408168324,40.4937280569503,8.65193439957538,2.11853894841967,7.52987000678828,1.03353275657155,5.72699486587335,1.04731365127011,2.91325456306993,0.412300297813506,2.63392438006891,0.379664715094801,22.956,102.55
"LATITE [27006]",56.48,19.9,38.8,4.61,17.4,2.71,0.75,1.78,0.21,1.04,0.18,0.44,0.08,0.41,0.07,-27.01,-69.21
"LATITE, QUARTZ [14843]",63.96,68.7,136,14.8,49.9,9.13,2.73,6.73,0.91,5.01,0.89,2.22,0.32,1.91,0.34,45.3,11.7
"LATITE [21237]",59.9,54.4,101.2,10.99,40,7.07,1.61,6.21,0.84,4.69,0.92,2.72,0.38,2.52,0.38,40,27
"LATITE [15579]",59.89,13.9,27.9,3.68,14.1,2.8,0.78,2.2,0.3,1.5,0.3,0.8,0.12,0.8,0.11,-34.08,-70.35
"LATITE [20322]",60.13,45.4,88.7,10.12,37,6.07,1.49,5.54,0.94,5.22,1.03,3.22,0.47,3.08,0.48,39.2,43
