"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"LEUCITITE, CLINOPYROXENE [15021]",46.13,43,101.2,11.82,49.9,10.9,2.61,8.86,1.31,6.21,1.01,2.57,0.3,2.15,0.3,40.3,40.4
"LEUCITITE, OLIVINE [24398]",45.7,192,414,49.3,190,28.3,6.15,15.8,1.99,8.36,1.28,3,0.38,2.3,0.361,35.4081,91.2633
"LEUCITITE [13517]",46.515251718176,93,205,23.7,92.2,17.3,3.66,15.2,1.78,7.99,1.37,3.62,0.43,2.65,0.39,41.5167,13.3097
"LEUCITITE [22471]",41.42,62.5,121.4,13,45.5,6.1,1.61,3.33,0.4,1.72,0.26,0.61,0.08,0.5,0.07,-0.47,30.18
"LEUCITITE [20318]",46.77,51,91,9.35,35.9,6.71,1.81,6.24,0.92,4.21,0.89,2.29,0.33,1.89,0.31,40,34
"LEUCITITE [24969]",46.14,39.7,85.5,9.44,39.9,7.88,2.23,7.29,1.08,5.49,1.08,3.03,0.44,2.63,0.41,40.87,35.21
"LEUCITITE [20318]",48.68,35.5,62.3,6.86,26.1,5.01,1.39,4.65,0.7,3.04,0.66,1.69,0.28,1.54,0.26,40.87,35.21
"LEUCITITE [24969]",50.73,33.8,69.3,7.57,29.3,6.1,1.56,5.09,0.75,3.69,0.64,1.73,0.24,1.64,0.25,40.87,35.21
"NOT GIVEN [4923] / LEUCITITE [4673]",55.43,46.2,93.4,11.4,45.1,8.85,2.18,8.5,1.04,5.18,0.95,2.67,0.36,2.33,0.36,38.79,15.21
"LEUCITITE, OLIVINE [24398]",43.3,197,414,49.8,192,28.4,6.16,15.6,2.03,8.31,1.31,3.1,0.394,2.41,0.373,35.4081,91.2633
"LEUCITITE [8075]",43.25,84.6,168,20.9,80.6,14.3,4.2,12,1.46,6.94,1.16,2.54,0.313,1.86,0.248,-36.3401,145.5963
"LEUCITITE [20318]",44.38,47.1,90.4,10.23,43.9,8.42,2.33,7.45,1.08,5.76,0.94,2.64,0.33,2.3,0.38,41,34
"LEUCITITE, OLIVINE [24398]",45,191,408,48.3,189,28,6.06,15.3,1.92,8.37,1.31,3,0.388,2.37,0.37,35.4081,91.2633
"LEUCITITE [24969]",48.29,30.8,66.1,7.7,31.9,7.1,1.8,6.48,0.98,5.13,0.87,2.43,0.33,2.29,0.34,40.87,35.21
"LEUCITITE [24969]",48.34,35.6,77.3,8.96,36.3,7.9,1.95,6.88,1.07,5.55,0.96,2.57,0.31,2.42,0.35,40.87,35.21
"LEUCITITE, OLIVINE [24398]",44.8,212,452,53.4,209,30.7,6.61,15.9,2.02,9.04,1.4,3.3,0.415,2.55,0.393,35.4081,91.2633
"LEUCITITE [24969]",48.07,33.7,76.8,8.75,37.3,7.99,2.15,7.04,1.02,4.98,0.88,2.43,0.33,2.04,0.3,40.67,35.83
"LEUCITITE [22706]",44.16,144,268,26.9,97.7,16.4,4.1,10.3,1.2,5.7,1,2.7,0.37,2.4,0.38,38,30
"LEUCITITE [24969]",51.78,39.8,78.9,8.41,32.6,6.23,1.84,5.38,0.82,3.97,0.78,2.3,0.31,1.94,0.36,40.87,35.21
"LEUCITITE [7748]",51.6,100.5,220.5,26.8,109.1,22,4.9,15.5,2,9.7,1.8,4.3,0.6,3.8,0.6,42.3989,21.4008
"LEUCITITE [24969]",47.05,29.7,68.2,7.64,32.1,6.94,1.95,6.61,1,5.18,0.98,2.81,0.4,2.53,0.38,40.87,35.21
"LEUCITITE [16345]",50.54,84.77,180.12,21.23,91.69,21.86,5.64,17.27,2.73,13.25,2.27,7.5,1.17,7.96,1.25,13.14,76.04
"LEUCITITE [22706]",47.94,80.9,164,20,79.8,15.4,2.9,10.2,1.3,6.6,1.1,2.8,0.39,2.4,0.37,41.57,13.33
