"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"LHERZOLITE, GARNET, XENOLITH [12356] / PERIDOTITE, GARNET, XENOLITH [12358]",44.6,0.55,1.35,0.2,0.99,0.34,0.13,0.49,0.09,0.62,0.14,0.4,0.061,0.4,0.065,54,113
"LHERZOLITE, SPINEL, XENOLITH [11740]",45.3,0.464,1.057,0.168,0.843,0.297,0.124,0.433,0.079,0.535,0.116,0.35,0.051,0.341,0.054,61.393,155.56
"LHERZOLITE [28611]",44.45,0.13,0.28,0.03,0.15,0.05,0.07,0.07,0.01,0.09,0.02,0.05,0.01,0.07,0.01,41.53,94.82
"LHERZOLITE, XENOLITH [10615]",44.2112787416967,0.98913,0.98726,0.094611,0.3653,0.087954,0.057303,0.27021,0.057293,0.35121,0.092442,0.2196,0.048478,0.23678,0.040128,24.3335,5.86835
"LHERZOLITE, XENOLITH [19204]",40.66,3.65,7.45,0.98,4.11,0.87,0.28,0.7,0.11,0.49,0.09,0.23,0.03,0.18,0.02,28.4,-14
"LHERZOLITE, XENOLITH [17262]",43.52,0.3,0.58,0.07,0.27,0.07,0.02,0.09,0.02,0.12,0.03,0.09,0.01,0.1,0.02,4.05,38.3
"LHERZOLITE, GARNET, XENOLITH [16997]",43.62,1.06,2.02,0.23,0.96,0.2,0.068,0.227,0.037,0.246,0.049,0.128,0.017,0.115,0.019,66.43485,112.31798
"LHERZOLITE, XENOLITH [24495]",44.2,0.19,0.43,0.07,0.34,0.1,0.05,0.25,0.05,0.35,0.08,0.26,0.04,0.26,0.042,39,-4
"LHERZOLITE, SPINEL, XENOLITH [18926]",44.65,2.16,4.8,0.609,2.75,0.595,0.201,0.637,0.1,0.659,0.133,0.381,0.0537,0.349,0.0577,22.825,4.95
"LHERZOLITE, XENOLITH [18041]",44.81,0.529,1.53,0.171,0.666,0.119,0.035,0.117,0.014,0.068,0.014,0.046,0.007,0.047,0.007,49.99,12.2
"LHERZOLITE, XENOLITH [13760]",44.6,1.22,2.63,0.345,1.62,0.451,0.174,0.605,0.1,0.663,0.139,0.405,0.059,0.381,0.059,37.81,120.75
"LHERZOLITE, XENOLITH [15666]",43.92,0.6,1.47,0.24,1.16,0.35,0.12,0.41,0.08,0.48,0.11,0.3,0.05,0.31,0.05,49,126.25
"PERIDOTITE, GARNET, XENOLITH [16649] / PERIDOTITE, XENOLITH [12608]",45.97,3.5,4.94,0.483,1.51,0.167,0.04,0.098,0.008,0.037,0.004,0.01,0.001,0.006,0.001,65.9865,-111.4817
"LHERZOLITE, SPINEL, XENOLITH [23073]",45.0115088644274,0.727381091055826,1.47485199270918,0.174786151675481,0.773574218986199,0.194965150293091,0.0733470244958346,0.242986619949119,0.0428920343155343,0.313253070091141,0.0646015422270208,0.179715811155142,0.0277465505763943,0.195649638493939,0.032690644961965,48.2,100
"LHERZOLITE, XENOLITH [11732]",42.88,1.23,1.63,0.16,0.52,0.13,0.06,0.22,0.04,0.26,0.06,0.19,0.04,0.19,0.03,32.17,13.02
"LHERZOLITE, SPINEL, XENOLITH [12358] / PERIDOTITE, SPINEL, XENOLITH [12356]",45.45,0.65,1.43,0.24,1.17,0.39,0.16,0.57,0.1,0.73,0.16,0.45,0.067,0.44,0.071,54,113
"LHERZOLITE, SPINEL, XENOLITH [10574]",44.6,0.18,0.42,0.09,0.47,0.19,0.069,0.25,0.055,0.38,0.084,0.26,0.036,0.27,0.044,45.4,114.6
"LHERZOLITE, SPINEL, XENOLITH [23073]",46.0908208406467,0.594508272565018,1.3693235980513,0.207215558026718,1.1178091748458,0.348387021273808,0.141749504305123,0.513539984102301,0.0891450578026715,0.643265164747392,0.136528119695196,0.392347182104154,0.0586859115389638,0.385936877966799,0.0638105797215203,48.2,100
"LHERZOLITE, XENOLITH [21133]",51.71,2.32,7.41,1.16,6.28,2.02,0.79,2.73,0.46,3.25,0.7,2.05,0.29,2.01,0.29,46.8,17.43
"LHERZOLITE, XENOLITH [19139]",45.31,1.8,3.67,0.45,1.9,0.43,0.14,0.46,0.07,0.41,0.08,0.23,0.03,0.21,0.03,-51.994,-70.1686
"LHERZOLITE, SPINEL, XENOLITH [20838]",43.71,0.48,1.31,0.17,0.78,0.22,0.07,0.21,0.03,0.23,0.05,0.13,0.02,0.13,0.02,38.9958,-3.975
"LHERZOLITE, SPINEL, XENOLITH [23073]",45.1637989186006,0.781651665795779,1.68120493633974,0.22810606847785,4.6567,1.6614,0.151763136569353,0.555975630183703,0.0988463275876323,0.723574058073301,0.156535768330516,0.433737154840775,0.0655445241795743,0.437917446816179,0.263,48.2,100
