"LOCATION","ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"BALTIC SHIELD / KOLA-LAPLAND PROVINCE / KANDALAKSHA GRABEN","MELILITITE [25213]",189.677649607254,376.93366373301,41.6706543567826,146.199057564591,19.8524056110662,5.06717361926921,12.2546931449096,1.36529035907752,5.97241957006228,0.940153650225251,2.16693328991953,0.255732955989373,25.6950487563051,0.194650075195102,67.1236650366336,32.444632994011
"MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD","MELILITITE, OLIVINE [24417]",88,158,17.3,63.5,10.9,3.2,8.7,1.2,5.7,1,2.3,0.3,1.6,0.2,-19.2,48.8
"CAPE VERDE ISLANDS / BOA VISTA","MELILITITE [16601]",71.6,170,21.2,79.7,17.5,5.88,14.6,2,9.6,1.6,3.7,0.42,2.2,0.27,16.1,-22.85
"MAIMECHA-KOTUI PROVINCE / KOTUI RIVER BASIN / ARY-DZHANG (ARYDZHANGSKY) FORMATION","MELILITITE [21799]",123,230,26,92,12.4,3.6,9.2,0.92,4.13,0.64,1.36,0.16,1,0.13,73,102
"EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / UPPER RHINEGRABEN / KAISERSTUHL VOLCANIC COMPLEX","MELILITITE, HAUYNE [22482]",264.48828125,440.905598958333,40.5613606770833,134.0166015625,19.9541015625,5.80963745257418,16.0110969825037,2.00506139157387,10.97314453125,2.07210286458333,5.52663857828231,0.743489583333333,4.66845703125,0.678873697916667,48.1045,7.6988
"APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / SAN VENANZO (VULSINI VOLCANIC DISTRICT)","MELILITITE, LEUCITE-OLIVINE [24137]",84.9,190,23.7,93,17.9,3.46,12.2,1.6,7.7,1.3,3,0.39,2.3,0.33,42.95,13.63
"EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / EIFEL","MELILITITE [25797]",91.0237692158007,178.153473438412,19.8353935590582,73.2570976843744,11.5751081922553,3.20652119694863,9.14670139652771,1.1701665304534,5.85570023350846,1.03630804631251,2.57799271502238,0.341801554777194,2.10717591943958,0.302422822533567,50.4745,7.3047
"EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / PELLO HILL","MELILITITE, OLIVINE [16783]",73.2,130,14.8,58.1,9.8,2.5,8.4,1,5.2,0.8,1.9,0.2,1.1,0.2,-2.7641,36.0167
"APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / SAN VENANZO (VULSINI VOLCANIC DISTRICT) / LA SELVARELLE FLOW","MELILITITE, LEUCITE-OLIVINE [9100]",74.8,160,20.3,84.7,17.1,3.33,13,1.5,7.6,1.19,3.1,0.4,2.2,0.31,42.95,13.63
"NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE","MELILITITE, OLIVINE [9615]",61.2,123,15.1,61.6,12,3.41,8.86,1.12,5.85,0.96,2.19,0.28,1.6,0.22,-35.12,20.5
"EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / FRANCE / FRENCH MASSIF CENTRAL","MELILITITE [13413]",88.3,168.5,18.42,71.6,11.97,3.56,9.78,1.19,5.95,1.04,2.41,0.306,1.71,0.253,45.72,4.02
"EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT","MELILITITE, OLIVINE [15053]",82.9,163,18.7,70.7,12.6,3.76,9.82,1.29,6.37,1.04,2.54,0.322,1.89,0.259,-2.65,35.875
"APENNINIC-MAGHREBIDES CHAIN / APENNINE / LUCANIAN MAGMATIC PROVINCE / MONTE VULTURE / MONTICCHIO LAKES FORMATION","MELILITITE [9880]",183,309,33.6,125,22,5.57,18.4,2,10.2,1.52,4,0.5,2.9,0.41,40.95,15.62
"NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE","MELILITITE, OLIVINE [9615]",75.7,155,18.4,69.8,12.1,3.36,8.5,1.13,5.54,0.91,2.11,0.27,1.52,0.21,-34,20.9
"NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE / SALPETRE KOP","MELILITITE, OLIVINE [9615]",191,308,31.5,106,15.8,4.29,10.5,1.32,6.12,0.94,1.98,0.24,1.17,0.15,-32.35,20.9
"MADAGASCAR / MADAGASCAR / ALAOTRA DISTRICT / AMPARAFARAVOLA","NEPHELINITE, OLIVINE-LEUCITE [15764] / MELILITITE [15879]",99.4,180,20.2,75.2,12.9,4.19,10.3,1.4,6.6,1.1,2.6,0.31,1.7,0.23,-17.4751,48.3541
