"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"MUGEARITE [9501]",48.82,50.1138365031165,97.9906264983219,11.9602093655106,46.4386886686911,9.45152149592457,2.98867575883011,8.50204172659954,1.28410464280006,6.79502876778009,1.20720616909062,3.01511924644398,0.397874700335624,2.45475906984178,0.339751438389004,-52.5,169.17
"MUGEARITE [2994]",49.9,22.17,61.55,9.43,47.76,11.71,3.52,8.25,1.22,4.81,0.65,1.34,0.18,0.8,0.11,56.25,-6.4
"MUGEARITE [14222]",49.72,81.07,169.4,20.05,77.83,13.89,4.88,10.47,1.46,7.52,1.29,3.38,0.46,2.87,0.42,5.7208,10.1306
"NOT GIVEN [14912]",48.9698367748618,114.309851380777,257.410710618627,33.5914462830708,140.76714970273,28.8650879704285,8.78085983821242,24.5117946814176,3.32606601237123,17.1927925986116,2.95861522244612,6.822449457105,0.830192724027918,4.49694368949565,0.637758201695187,-14.4285,-171.267
"MUGEARITE [22299]",49.8297993562851,47.5373137186423,110.362636854874,14.6055189322435,61.2151535137469,13.1120377321347,4.35365844572704,12.5671868843037,1.88047403188402,10.7997019342987,2.03087913079683,5.22817866986185,0.704719730671225,4.17632623849357,0.624676641816623,24.2007,39.9306
"MUGEARITE [17005]",53.1,12.17,26.07,3.24,14.67,3.41,0.98,3.43,0.43,2.93,0.63,1.51,0.25,1.88,0.27,43.8204,21.9733
"MUGEARITE [22774]",50.5433333333333,85.7100907501294,155.600703380327,17.2493464004766,63.6004777994556,10.4303299851508,3.17800175120824,9.05294445870731,1.1276007287774,6.23993887451106,1.16290255027066,3.22055016451616,0.425641709516878,2.83329893439477,0.408799052308261,-72.6770833321,165.6392
"MUGEARITE [24534]",49.3,89,191,24.1,101.92,18.14,4.37,13.2,1.62,7.74,1.33,3.2,0.43,2.52,0.34,48.883665,111.360985
"MUGEARITE [24308]",54.72,27.2,64,8.83,40,8.95,2.36,8.06,1.28,7.72,1.55,4.26,0.64,3.99,0.6,43.0532,106.799
"MUGEARITE [22299]",51.8966773434621,49.2608749101945,115.372256410728,15.2022851924749,64.6111543403407,14.29241257709,4.63846878149472,12.9563757268548,1.98705323462914,11.2733543114125,2.07420115520126,5.22204801132393,0.698434930569827,4.19010466177682,0.636799449300518,24.1761,39.9391
"MUGEARITE [10915] / NOT GIVEN [10950]",52.86,48.97,83.83,8.96,34.24,6.98,2.07,5.99,0.88,5.01,0.96,2.46,0.34,2.04,0.32,35.584,-106.128
"MUGEARITE [14339]",52.19,45.1,85.6,9.7,36.7,6.6,2.1,5,0.7,3.4,0.6,1.3,0.2,1.1,0.2,40.5,8.5
"MUGEARITE [22299]",50.4695014183239,49.3721148023467,112.895951427554,14.4532463288041,58.8160655921637,12.7632856767007,4.13829481923163,11.3608441438959,1.79524930266918,10.4638602408847,1.99164347917066,5.23522823434673,0.718894299563212,4.58104217446879,0.710260460984556,24.2403,39.8462
"MUGEARITE [23956]",47.71,36.3,73.1,8.65,33.1,6.9,1.99,6.3,1,5.9,1.2,3.5,0.51,3.3,0.49,39.3271,41.1772
