"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"NEPHELINITE [19293]",40.35,203,376,40.9,155,27.9,8.46,24.7,3.13,16.4,2.85,7.41,0.87,5.16,0.68,39.55,78.95
"BASALT [17944] / NEPHELINITE [24902]",41.99,83,148.6,17.61,68.4,12.97,4,11,1.48,6.73,1.07,2.55,0.279,1.54,0.2,37.2151,120.7375
"NEPHELINITE [19293]",39.82,198,367,39.9,151,27.3,8.39,24.4,3.03,16.1,2.73,7.18,0.83,4.92,0.69,39.55,78.95
"CALC-ALKALI BASALT [8898] / NEPHELINITE [8858]",57.79,43,89.5,11.1,44.51,8.33,2.18,6.43,0.86,4.89,0.93,2.56,0.37,2.36,0.38,54.4837,-126.4993
"NEPHELINITE, OLIVINE [25196]",39.52,95.7983193277311,183,19.5,76.5,14.5,4.05,11.6,1.54,7.2,1.12,2.59,0.262,1.49,0.179,37.3,120.83
"NEPHELINITE [24698]",40.79,102,215,27,106,20,6.05,15,2.06,10.54,1.77,3.93,0.49,2.62,0.37,18.87166667,46.66102778
"NEPHELINITE [17042]",42.2,122,227,23.2,96.1,13.2,3.91,11.9,1.45,7.09,1.28,3.36,0.44,2.75,0.38,46.8383,15.8939
"NEPHELINITE [23583]",40.1,105,198,20.6,77.4,11.2,3.36,8.61,1.11,5.62,1,2.53,0.33,2.07,0.29,-26.5,16
"NEPHELINITE [24698]",40.71,84,181,23,96,19,5.78,15,1.99,10.07,1.66,3.62,0.43,2.33,0.32,18.87166667,46.66102778
"NEPHELINITE [18745]",38.53,90.01,161.78,21.02,76.29,13.12,3.53,11.18,1.43,6.62,1.09,2.79,0.34,1.99,0.27,38.9,-3.67
"NEPHELINITE [7765]",44.68,59.667,115.6,14.482,58.768,11.3705,3.582,9.856,1.297,6.101,0.96,1.9815,0.25,1.239,0.163,53.758,112.405
"NEPHELINITE [15023]",42.9,56.8,112.3,13.57,56.04,11.17,3.34,10.02,1.31,6.33,1.1,2.68,0.32,1.9,0.24,61.181,155.38
"NEPHELINITE [20714]",41.32,80.47,204.43,18.24,63.48,10.99,3.14,9.05,1.2,5.85,0.97,2.32,0.3,1.69,0.23,38.9,-3.67
"NEPHELINITE [17042]",41,123,220,23.6,95.6,13.5,3.98,12.1,1.48,7.21,1.29,3.4,0.44,2.77,0.38,46.8383,15.8939
"NEPHELINITE [7765]",43.76,57.28,109.27,13.84,56.89,10.97,3.54,10.06,1.26,5.88,0.93,1.92,0.24,1.26,0.17,53.5,112.75
"NEPHELINITE [23583]",40.22,59.2,116,12,47.3,7.8,2.61,6.98,0.93,4.77,0.86,2.24,0.29,1.84,0.26,-26.5,16
"NEPHELINITE [24902]",42.1,67.8,126.7,14.56,57,11.02,3.4,9.51,1.25,6.09,0.98,2.22,0.25,1.35,0.17,37.4032,121.2315
"NEPHELINITE [25335]",38.4,152,294,33.9,123,18.4,4.87,10.4,1.3,5.6,0.9,2.4,0.3,1.7,0.23,35.206355,49.5007916666667
"NEPHELINITE [12587]",39.79,48,99,12.2,49,9.5,2.96,8.3,1.11,5.83,1.04,2.48,0.31,1.9,0.26,16.6,-24.15
"NEPHELINITE, OLIVINE [15764] / NEPHELINITE [15879]",42.59,69.1,128,14.7,56.4,11,3.85,9.6,1.4,6.9,1.2,2.8,0.34,1.9,0.25,-19.33,48.98
