"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"OCEANITE [21614]",46.9,17.43,37.6,5.36,23.64,5.89,2,5.81,0.92,5,0.92,2.18,0.28,1.6,0.21,-8.8922,-140.025
"OCEANITE [23391]",46.771,25.0016,58.0706,7.2881,31.1121,7.1607,2.363,6.4235,0.9396,5.1388,0.9334,2.2166,0.2918,1.7274,0.246,-21.0436,55.5067
"OCEANITE [16975] / NOT GIVEN [13437]",43.57,8.39,19.4,2.59,11.3,2.76,0.94,2.93,0.441,2.56,0.475,1.24,0.164,1.02,0.141,-21.23,55.75
"OCEANITE [16975] / NOT GIVEN [13437]",42.86,7.45,18,2.31,10.1,2.48,0.84,2.61,0.393,2.31,0.427,1.12,0.148,0.912,0.127,-21.23,55.75
"OCEANITE [16975] / NOT GIVEN [13437]",43.93,7,16.8,2.16,9.48,2.3,0.78,2.45,0.366,2.12,0.399,1.04,0.138,0.86,0.119,-21.23,55.75
"OCEANITE [16975] / NOT GIVEN [13437]",43.6,7.5,18,2.3,10.1,2.48,0.83,2.59,0.384,2.26,0.42,1.12,0.145,0.894,0.125,-21.23,55.75
"BASALT [2193] / NOT GIVEN [22052] / OCEANITE [2724]",48.96,0.58,2.05,0.41,2.08,0.78,0.37,1.19,0.21,1.52,0.32,1.01,0.16,1.02,0.16,-58.42,-26.33
"BASALT [2193] / NOT GIVEN [22052] / OCEANITE [2189]",48.66,2.4209,7.2082,1.1194,5.8857,2.0671,0.76,2.8273,0.4865173,3.206,0.7076,2.0993,0.15,2.1192,0.334,-58.42,-26.33
"OCEANITE [20331] / NOT GIVEN [15250] / BASALT [21779]",42.81,5.60271264066537,13.0177218381561,1.71631902552466,7.57055640366373,1.83667153021988,0.592619734420447,1.88993248007503,0.267743259755184,1.58697478406742,0.314501157348373,0.782016892804904,0.104487334213625,0.658061835045234,0.0941840389708231,-21.2209,55.8073
"OCEANITE [20331] / NOT GIVEN [15250] / BASALT [21779]",42.16,7.8355170473358,18.2272154063597,2.45521170933226,11.0008241857647,2.75635807720626,0.908143143762134,2.87630691718977,0.417560749449557,2.49018569311333,0.492105053792031,1.22128563511609,0.162550415206849,0.985887394269426,0.140450176246039,-21.2793,55.7953
"OCEANITE [16975]",45.63,9.9,23.1,3.12,13.9,3.44,1.18,3.74,0.559,3.26,0.608,1.59,0.208,1.28,0.178,-21.23,55.75
"OCEANITE [16975]",44.17,9.28,21.7,2.94,13.2,3.35,1.15,3.61,0.541,3.18,0.59,1.55,0.203,1.26,0.173,-21.23,55.75
"OCEANITE [16975]",42.9,7.43,17.9,2.31,10.2,2.5,0.86,2.68,0.4,2.33,0.439,1.14,0.149,0.925,0.132,-21.23,55.75
"OCEANITE [16975]",42.88,7.12,17.1,2.23,9.78,2.43,0.82,2.58,0.388,2.25,0.421,1.11,0.147,0.903,0.126,-21.23,55.75
"OCEANITE [20331] / BASALT [21779]",42.31,8.68566525911181,20.2815333366991,2.76802335106261,12.700816206132,3.21082335649386,1.0700287983221,3.4088580583485,0.496198948425166,2.99157530535985,0.591150451236037,1.46741281663564,0.193788665473201,1.18330127404868,0.168307605258042,-21.2787,55.7849
"OCEANITE [20331] / BASALT [21779]",43.68,15.0032212979525,34.1691734899394,4.40054290212561,19.2389711484441,4.41626610250335,1.45044956792223,4.56661515091047,0.647077175257051,3.817844350866,0.758514149159601,1.89712108412567,0.247571360427924,1.5205134936441,0.219767992903428,-21.168,55.8022
"OCEANITE [18591]",43.15,7.257,15.81,2.212,9.664,2.427,0.81,2.328,0.358,2.117,0.387,0.985,0.135,0.853,0.124,-21.2806,55.7743
"OCEANITE [18591]",43.48,7.812,16.8,2.345,10.16,2.58,0.851,2.527,0.387,2.227,0.407,1.063,0.146,0.917,0.135,-21.2806,55.7743
"OCEANITE [18591]",43.21,6.963,15.28,2.135,9.348,2.345,0.802,2.304,0.353,2.061,0.381,0.989,0.134,0.839,0.124,-21.2825,55.778
"OCEANITE [18591]",42.72,7.101,15.5,2.144,9.457,2.343,0.782,2.292,0.353,2.058,0.382,0.951,0.134,0.823,0.125,-21.2797,55.7737
"OCEANITE [18591]",44.15,8.741,19.12,2.663,11.56,2.882,0.982,2.792,0.438,2.504,0.451,1.177,0.163,1.019,0.151,-21.25,55.75
"OCEANITE [18591]",43.25,7.289,15.87,2.213,9.726,2.435,0.812,2.352,0.361,2.129,0.384,0.991,0.139,0.841,0.128,-21.25,55.75
"OCEANITE [18591]",43.63,7.856,17.16,2.392,10.37,2.562,0.867,2.514,0.388,2.232,0.405,1.049,0.146,0.926,0.131,-21.284,55.7903
"OCEANITE [18591]",43.47,7.612,16.6,2.307,10.06,2.478,0.828,2.43,0.374,2.143,0.393,0.998,0.142,0.873,0.129,-21.287,55.805
