"ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"ORE [28678]",7074.7,15638.5,1852.38,6741.1,1314.19,123.55,1113.48,155.58,754.17,120.41,286.25,35.97,204.92,25.03,64.127674058,27.018965148
"ORE [28678]",5277.9,11959.4,1355.53,4829,935.15,88.16,868.15,149.76,867.54,168.27,450.68,56.99,299.3,34.82,64.127674058,27.018965148
"ORE [28678]",3580.6,8163.6,895.38,3249.6,605.34,59.83,511.63,80.87,446.26,84.99,219.3,27.36,143.96,16.74,64.125592369,27.023151625
"ORE [28678]",776,1358.1,156.71,565.7,98.84,11.15,82.52,11.93,69.67,13.97,39.72,5.65,34.21,4.62,64.138065971,27.041666429
"ORE [28678]",1024.2,2001.5,229.89,892.1,182.15,20.57,147.06,24.36,145.94,31.98,102.36,17.22,134.11,21.81,64.137913523,27.041501901
"ORE [28678]",1038.1,2028.9,235.93,921.9,183.42,20.87,147.28,24.43,143.63,31.4,100.98,17.17,133.3,21.91,64.137913523,27.041501901
"ORE [28678]",1102.8,2047.7,238.39,916.7,173.43,19.07,135.48,21.21,128.08,28.31,89.55,14.65,105.97,17.53,64.137913523,27.041501901
"ORE [28678]",1106.2,2078.9,240.25,923.4,176.35,19.47,141.18,22.57,136.57,29.85,96.7,15.7,113.65,18.71,64.137913523,27.041501901
"ORE [28678]",1194.2,2204.7,257.61,1009.6,186.05,20.27,145.14,22.51,133.9,29.43,94.57,15.2,112.63,18.32,64.137913523,27.041501901
"ORE [28678]",544,1072.9,132.1,514.2,102.52,11.31,86.88,17.25,121.79,31.31,108.68,18.2,132.61,19.61,64.137734158,27.041357874
"ORE [28678]",771,1475.7,172.8,658.1,144.41,16.77,139.79,28.13,202.24,52.66,187.25,30.95,227.32,35.31,64.137734158,27.041357874
"ORE [28678]",1122.4,2307.4,268.98,1028.9,198.86,22.63,166.52,30.24,194.49,45.37,140.9,20.62,141.18,21.83,64.137734158,27.041357874
"ORE [28678]",1146.3,2331.2,273.48,1050.9,205.86,23.38,170.09,31.1,203.04,47.12,146.13,21.3,145.46,22.03,64.137734158,27.041357874
"ORE [28678]",737.6,1448.5,179.61,688.3,124.68,13.76,99.53,18.98,127.94,31.11,103.25,16.09,114.19,18.02,64.137734158,27.041357874
"ORE [28678]",240.7,467.9,54.87,196.1,34.75,3.99,29.69,4.45,24.64,4.8,13.56,1.77,10.74,1.48,64.136416348,27.038316508
"ORE [28678]",22.6,39,4.19,15,2.26,0.22,1.78,0.25,1.15,0.27,0.82,0.11,0.73,0.11,64.136416348,27.038316508
"ORE [28678]",306.7,596.3,70.44,246.8,41.39,4.56,30.94,4.6,24.61,4.85,14.5,2.1,14.28,2.03,64.136416348,27.038316508
"ORE [28678]",432.2,815.8,97.37,354,67.67,7.94,64.57,10.77,64.24,13.2,38.35,5.3,32.59,4.5,64.136416348,27.038316508
"ORE [28678]",1159,2569.3,295.42,1087,193.3,21.73,174.36,33.12,228.09,55.32,175.14,24.8,161.77,23.76,64.136416348,27.038316508
"ORE [28678]",644.7,1238.9,149.02,536.5,98.42,11.15,84.39,15.81,110.7,27.88,96.16,15.81,116.71,18.83,64.136416348,27.038316508
"ORE [28678]",1656.1,3300.9,391.45,1528.9,275.49,29.77,216.08,32.47,194.79,43.35,136.29,21.43,149.66,22.56,64.136416348,27.038316508
"ORE [28678]",961,1765.8,188.6,632.1,90.88,10.43,80.68,12.6,79.18,17.95,59.23,9,59.92,8.85,64.136416348,27.038316508
"ORE [28678]",828.3,1560.4,174.75,620.8,104.91,12.06,92.5,14.75,87.5,18.53,54.66,7.93,49.95,6.92,64.136416348,27.038316508
"ORE [28678]",221.8,443.8,54.9,209.4,43.65,5.44,44.04,7.45,42.01,7.82,20.26,2.48,13.78,1.74,64.136182509,27.040616281
"ORE [28678]",1086,2530.1,299.46,1087.6,196.58,22.01,162.36,28.19,175.94,38.72,118.83,17.05,103.36,13.75,64.13455158,27.034022093
"ORE [28678]",3120,6434.3,709.58,2594.4,418.97,44.96,325.4,56.59,381.48,88.97,283.3,40.5,262.23,39.42,64.13455158,27.034022093
"ORE [28678]",5240,12000,1330,4890,948,96.6,969,141,723,124,318,35.2,180,18.8,64.127484764,27.025206174
"ORE [28678]",2470,5650,764,2770,550,53.1,535,78.8,396,69.2,177,20,103,11.4,64.126417303,27.025205227
"ORE [28678]",717,1380,159,592,106,12.6,111,16.3,88.8,17.3,50.4,6.57,39.2,5.08,64.126417303,27.025205227
"ORE [28678]",1060,2110,235,844,147,16.5,150,21.2,112,21.5,62.1,8,49.4,6.29,64.126417303,27.025205227
"ORE [28678]",763,1470,168,613,106,13.4,110,15.4,84,16.6,49.3,6.25,37,4.78,64.126417303,27.025205227
"ORE [28678]",765,1450,165,606,105,14.5,108,15.4,84.5,16.6,48.7,6.22,37.8,4.8,64.126417303,27.025205227
"ORE [28678]",768,1500,171,623,107,12.4,111,15.5,82.4,15.5,46.2,5.92,36.3,4.65,64.126417303,27.025205227
"ORE [28678]",2905.25,5999.83,656.79,2329.56,375.93,40.47,299.6,49.46,348.92,79.13,244.75,34.38,223.47,33.94,64.13455158,27.034022093
"ORE [28678]",360,840,110,440,180,90,150,20,120,30,360,20,130,20,64.137734158,27.041357874
"ORE [28678]",590,1250,160,700,240,110,250,50,220,50,560,50,280,40,64.137734158,27.041357874
"ORE [28678]",710,1550,200,750,230,110,230,60,160,10,440,30,140,10,64.137734158,27.041357874
"ORE [28678]",300,760,130,570,270,110,250,60,280,50,580,40,120,20,64.137410938,27.042384271
"ORE [28678]",150,370,50,180,100,70,80,20,40,10,380,10,20,10,64.137410938,27.042384271
"ORE [28678]",580,1130,130,540,190,100,210,40,150,10,580,40,130,20,64.137410938,27.042384271
"ORE, MAGNESITE [14811]",0.39,1.47,0.26,1.26,0.4,0.07,0.47,0.12,0.85,0.19,0.63,0.09,0.61,0.08,40.75,122.75
