"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"ORTHOPYROXENITE [23305]",51.7923090656,1.97921882172915,4.2377916838205,0.514273381294964,1.90345434131737,0.414124555160142,0.148566696508505,0.494724847137299,0.0854548335974643,0.605723961005644,0.1229421875,0.409563360881543,0.069,0.471020254357042,0.077,0.75,10.25
"ORTHOPYROXENITE [26063]",49.02,2.4,4.47,0.48,1.8,0.35,0.09,0.37,0.07,0.45,0.11,0.32,0.05,0.37,0.06,36.5,93
"ORTHOPYROXENITE, OLIVINE [22462]",35.76,0.78,2.13,0.31,1.43,0.38,0.11,0.45,0.08,0.52,0.1,0.33,0.05,0.32,0.05,66,25
"ORTHOPYROXENITE [25575]",49.95,0.73,1.54,0.23,1.21,0.61,0.28,1.43,0.32,2.07,0.4,1.05,0.15,1.02,0.14,31,117
"ORTHOPYROXENITE, OLIVINE [22462]",46.5,1.51,2.84,0.34,1.39,0.32,0.09,0.28,0.05,0.32,0.07,0.18,0.03,0.24,0.03,66,25
"ORTHOPYROXENITE [26063]",50.73,2.3,4.19,0.45,1.7,0.36,0.09,0.33,0.06,0.41,0.1,0.31,0.05,0.34,0.06,36.5,93
"ORTHOPYROXENITE, OLIVINE [22462]",39.28,1.28,3.03,0.42,1.91,0.5,0.12,0.49,0.1,0.63,0.12,0.35,0.06,0.36,0.06,66,25
"ORTHOPYROXENITE [23812]",54.01,0.47,1.05,0.13,0.59,0.16,0.06,0.19,0.03,0.22,0.05,0.16,0.02,0.17,0.03,68,33
"ORTHOPYROXENITE, GARNET, XENOLITH [20421]",50.57,0.743689320388349,1.44563106796117,0.145631067961165,0.506796116504854,0.107766990291262,0.0398058252427185,0.192233009708738,0.0398058252427185,0.319417475728155,0.0766990291262136,0.25631067961165,0.0407766990291262,0.287378640776699,0.0466019417475728,48.3403,15.6611
"ORTHOPYROXENITE [23852]",54.1,3.94,9.83,1.12,4.91,1.23,0.228898613023821,1.19855305602215,0.213,1.21,0.264,0.811,0.125,0.781,0.127,36.5,93
"ORTHOPYROXENITE [20886]",55.23,2.839,0.826,0.404,1.661,0.263,0.074,0.285,0.055,0.345,0.07,0.179,0.023,0.143,0.023,30.5011,116.305
"ORTHOPYROXENITE [23305]",51.7645193032802,2.47872392314189,4.70459749243407,0.549249836065574,2.04123918174666,0.445640510948905,0.189375706214689,0.489348390739695,0.0963834951456311,0.673905670376259,0.138704006410256,0.468661395348837,0.0794606413994169,0.533,0.0870716510903427,0.75,10.25
"ORTHOPYROXENITE [28938]",52.37,0.595651,1.387322,0.164604,0.698631,0.181615,0.044137,0.215334,0.046331,0.37506,0.09132585,0.357774,0.062442,0.421796,0.074026,-6,-50
"ORTHOPYROXENITE [24795]",51.79,2.67,5.98,0.778,3.36,0.841,0.292,0.936,0.164,1.04,0.225,0.66,0.106,0.686,0.107,36.5,93
"ORTHOPYROXENITE [26063]",46.58,1.3,2.87,0.38,1.6,0.37,0.12,0.43,0.08,0.52,0.12,0.36,0.06,0.41,0.07,36.5,93
"ORTHOPYROXENITE [24795]",53.34,3.48,7.08,0.836,3.24,0.717,0.172,0.734,0.125,0.801,0.175,0.516,0.0848,0.575,0.0919,36.5,93
"ORTHOPYROXENITE, XENOLITH [23355]",59.61,0.889,2.387,0.34,1.714,0.521,0.129,0.498,0.086,0.483,0.107,0.283,0.043,0.289,0.046,56.65,161.4
"ORTHOPYROXENITE [14422]",52.9,0.4,0.91,0.14,0.72,0.22,0.06,0.32,0.06,0.39,0.093,0.33,0.053,0.42,0.067,-22,47
"ORTHOPYROXENITE [26063]",47.95,1.4,2.98,0.38,1.7,0.43,0.11,0.42,0.07,0.53,0.12,0.39,0.06,0.44,0.07,36.5,93
"ORTHOPYROXENITE [24795]",51.08,2.06,4.22,0.545,2.34,0.625,0.473,0.72,0.125,0.768,0.161,0.447,0.0653,0.41,0.0596,36.5,93
"ORTHOPYROXENITE [26521]",52.72,2.601,4.963,0.718,3.344,0.877,0.272,1.012,0.169,1.181,0.258,0.741,0.121,0.78,0.121,-24.8446,30.0282
"ORTHOPYROXENITE [27105]",52.6257179,0.239560190690831,1.04305296044411,0.213043121036279,1.23884818905425,0.447275773499696,0.140248652965522,0.766599576402771,0.171966954629475,1.33272998042576,0.309761543886764,0.921068823323026,0.144534183187429,0.98060751080056,0.159213894607856,65.00281,-51.74396
"ORTHOPYROXENITE [23852]",54.2,3.54,8.66,1.03,3.99,1.03,0.17815051511549,1.06689858593444,0.163,1.12,0.202,0.698,0.105,0.557,0.114,36.5,93
"ORTHOPYROXENITE [25575]",52.51,2.64,7.12,1.26,7.03,2.8,0.88,3.34,0.47,2.38,0.4,1.07,0.15,0.94,0.13,31,117
"ORTHOPYROXENITE [23305]",50.2577754246341,3.11309364073427,6.87744558521561,0.778205398696866,2.79648244958925,0.57420583898555,0.212053744493392,0.610009317621266,0.108237947122862,0.692728938661237,0.142838544891641,0.451036734693878,0.0760169491525424,0.477863039399625,0.0827095808383234,0.75,10.25
"ORTHOPYROXENITE [14422]",52.7,0.72,2.16,0.36,1.88,0.56,0.17,0.63,0.1,0.65,0.14,0.41,0.055,0.42,0.065,-22,47
"ORTHOPYROXENITE [23305]",52.4632075372946,1.36079391891892,1.81362386511025,0.218069508196721,0.803756884343037,0.181446472019465,0.0910659133709981,0.220308300395257,0.0415970873786408,0.364110227874934,0.0745104166666667,0.269835348837209,0.0472740524781341,0.32,0.0566978193146417,0.75,10.25
"ORTHOPYROXENITE [27105]",53.6725378,0.170981728434285,0.626639759909416,0.117242888252292,0.675752479978378,0.216169321890715,0.0838714822971078,0.338629039722053,0.0775103193519308,0.554459524536895,0.132383847120935,0.402614329486328,0.0631463255467707,0.423155588481548,0.0701814473697616,65.00132,-51.76256
"ORTHOPYROXENITE [24106]",40.77,1.2,3.45,0.49,2.39,0.76,0.35,0.96,0.19,1.18,0.24,0.71,0.1,0.61,0.1,7,-6
"ORTHOPYROXENITE [25350]",41.56,7.6,16,1.74,6.7,1.41,0.47,1.49,0.22,1.45,0.3,0.92,0.14,0.88,0.15,51.7611,-86.7307
"ORTHOPYROXENITE [20886]",56.86,2.478,4.702,0.625,2.477,0.517,0.126,0.424,0.051,0.212,0.035,0.0857,0.0121,0.073,0.012,30.5011,116.305
"ORTHOPYROXENITE [23305]",53.9707117970701,0.919229781771502,2.81024091293322,0.330256179775281,1.22075,0.285432645631068,0.0914986123959297,0.310211123723042,0.0553531300160514,0.42122972972973,0.0885609523809524,0.30075703564728,0.0512973760932945,0.339269976359338,0.059921875,0.75,10.25
"ORTHOPYROXENITE [20886]",56.34,1.72,1.943,0.369,1.726,0.484,0.138,0.541,0.101,0.6542,0.136,0.371,0.048,0.293,0.0488,30.5011,116.305
"ORTHOPYROXENITE, PLAGIOCLASE [23812]",50.1,1.13,2.58,0.33,1.47,0.39,0.11,0.54,0.09,0.72,0.16,0.57,0.09,0.66,0.11,68,33
"ORTHOPYROXENITE [23305]",54.8639352389772,2.57428058242109,3.88303719180944,0.4633531269741,1.72309035687168,0.383873697118332,0.127189873417722,0.436148514851485,0.0786206896551724,0.544109702457956,0.113951577287066,0.36135497049478,0.0611773255813954,0.419948196114709,0.066,0.75,10.25
"ORTHOPYROXENITE [24795]",71.81,13.6,29.2,3.13,10.7,3.37,0.277391919824038,4.02685867567246,0.896519069785301,6.38,1.37,3.65,0.668,3.65,0.549,36.5,93
"ORTHOPYROXENITE, PLAGIOCLASE [23812]",53.18,0.8,1.8,0.23,1.03,0.26,0.12,0.35,0.06,0.4,0.09,0.39,0.04,0.32,0.05,68,33
"ORTHOPYROXENITE [25575]",55.15,42.32,75.77,7.9,28.08,4.1,0.87,3.05,0.52,3.31,0.69,1.87,0.29,1.85,0.26,31,117
"ORTHOPYROXENITE, OLIVINE [24048]",46.4,1,1.7,0.19,0.7,0.16,0.03,0.18,0.03,0.24,0.06,0.24,0.03,0.38,0.06,-6,-50
"ORTHOPYROXENITE [25575]",53.48,0.16,0.28,0.03,0.16,0.09,0.06,0.4,0.1,0.79,0.16,0.43,0.06,0.41,0.06,31,117
"ORTHOPYROXENITE [25575]",52.65,0.76436622133393,1.2761582577733,0.169149784670383,0.706686417828673,0.32631784495904,0.172298474111719,1.10990386454218,0.28315179163414,1.90581304183677,0.381458076673145,1.03575048868966,0.144676819647893,0.974127779957635,0.144500686796667,31,117
"ORTHOPYROXENITE, XENOLITH [20354]",47.7,0.81,1.06,0.2,0.93,0.3,0.15,0.3,0.04,0.24,0.04,0.12,0.02,0.15,0.02,40.5,114.5
"ORTHOPYROXENITE [27105]",51.8324424,1.00831978433082,2.71890108135116,0.453928449548457,2.15633139395495,0.681306530864187,0.223359066480588,1.08844940442658,0.236486772425096,1.73576081238046,0.396409758722978,1.119098939566,0.182281483205476,1.19189684010232,0.18872556799043,64.99815,-51.75637
"ORTHOPYROXENITE [25575]",44.85,0.4,0.41,0.08,0.34,0.22,0.12,0.82,0.23,1.67,0.39,1.13,0.17,1.12,0.17,31,117
"ORTHOPYROXENITE [23305]",53.3574982520384,1.59183340549903,3.22262763268745,0.382538363171355,1.45153757668712,0.320406015037594,0.0873976234003656,0.422763473889975,0.0718853503184713,0.491108115115375,0.102824375,0.344888536474853,0.0611773255813954,0.392928739971685,0.0665902140672783,0.75,10.25
"ORTHOPYROXENITE [23305]",53.8417205786607,1.31567998724625,2.49623819473464,0.302357548957675,1.17376993166287,0.291422440220723,0.113278481012658,0.329336633663366,0.0589655172413793,0.46455575679172,0.100412776025237,0.335614616432138,0.0611773255813954,0.397692876965772,0.068,0.75,10.25
"ORTHOPYROXENITE, OLIVINE, XENOLITH [13328]",49.15,0.78,2.61,0.59,4.23,1.87,0.24,1.93,0.33,1.67,0.34,0.9,0.13,0.71,0.1,37.65,-1.15
"ORTHOPYROXENITE, OLIVINE [25470]",53.73,11.734,23.137,2.616,9.602,2.158,0.612,2.393,0.391,2.444,0.516,1.598,0.255,1.591,0.232,22.5671,85.8928333333333
"ORTHOPYROXENITE [20886]",48.73,9.009,17.434,2.06,7.76,1.8072,0.59,2.935,0.6784,4.463,0.8784,2.301,0.338,2.225,0.352,30.5011,116.305
"ORTHOPYROXENITE [24795]",53.51,7.43,15.6,1.83,7.22,1.69,0.348,1.82,0.303,1.83,0.376,1.06,0.166,1.05,0.153,36.5,93
"ORTHOPYROXENITE [20886]",56.68,0.201,0.536,0.054,0.2,0.0633,0.025,0.115,0.0259,0.188,0.042,0.117,0.017,0.108,0.016,30.5011,116.305
