"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"PANTELLERITIC RHYOLITE [22611]",67.02,135.1,244.1,28.12,103.2,20.31,3.46,18.82,3.11,18.28,3.52,10.54,1.46,9.87,1.43,36.83511,11.96942
"PANTELLERITIC RHYOLITE [18206]",68,93.43,191.5,22.62,85.88,17.68,2.969,15.75,2.604,15.61,3.084,8.732,1.319,8.731,1.328,8.35,39.18
"PANTELLERITIC RHYOLITE [18206]",68.6112650238115,121.790944456027,235.595166943124,23.9900437953207,112.681077662761,24.2212814845487,5.98250351897002,24.3317829004589,3.75081004049864,25.6866636039301,5.03239135785319,15.5765891209636,2.16365579943221,15.02036561308,2.10738291568668,8.97,39.9
"PANTELLERITIC RHYOLITE [18206]",67.91,94.41,196.9,22.79,86.96,17.92,2.997,16.26,2.675,16.04,3.173,9.009,1.368,9.033,1.374,8.35,39.18
"PANTELLERITIC RHYOLITE [18206]",70.16,96.81,197.7,23.29,87.62,18.17,3.503,16.55,2.74,16.21,3.219,9.086,1.35,8.911,1.357,8.35,39.18
"PANTELLERITIC RHYOLITE [22885]",67.67,320,676,69.9,228,43.7,0.701,35.9,6.45,41.5,8.24,25.4,4.16,29.7,4.75,37.389,-116.6611
"PANTELLERITIC RHYOLITE [21827]",73.03,158,218,41.3,150,26.9,3.38,18.3,2.8,15.1,2.9,8.5,1.32,8.5,1.21,7,40
"PANTELLERITIC RHYOLITE [14082]",66.51,207,386,43.4,153,30.6,4.36,30,5.19,29.9,5.85,17.4,2.52,15.7,2.27,36.8,12
"PANTELLERITIC RHYOLITE [14082]",66.13,202,378,41.3,149,30,4.3,29,4.97,28.7,5.63,16.5,2.47,15.1,2.14,36.8,12
"PANTELLERITIC RHYOLITE [18206]",68.84,209.8,412,48.59,181.6,37.14,5.569,33.75,5.547,33.26,6.472,18.49,2.769,18.25,2.778,8.35,39.18
"PANTELLERITIC RHYOLITE [18206]",70.63,287.2,580.3,67.84,258.4,53.55,9.081,49.26,8.081,49.28,9.381,26.32,3.889,25.19,3.745,8.35,39.18
"PANTELLERITIC RHYOLITE [18206]",66.96,96.03,205.6,22.05,80.58,16.14,2.237,14.5,2.412,14.58,2.948,8.398,1.262,8.519,1.291,8.35,39.18
"PANTELLERITIC RHYOLITE [17033]",73.18,65,158,19,75.2,16.4,1.8,15,3,20,4.2,14,1.9,13,1.9,43.1,101.085
"PANTELLERITIC RHYOLITE [13004]",70.8,316,549,57.1,211,41.4,4.89,37.7,6.82,38.8,7.59,23,3.46,20.4,2.93,36.7594,11.9994
"PANTELLERITIC RHYOLITE [23064]",69.13,69,162,18,70,12.7,0.64,11.3,1.84,12.1,2.54,8.4,1.33,10.1,1.53,56,93
