"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"LHERZOLITE, XENOLITH [12232] / PERIDOTITE, XENOLITH [16687] / PERIDOTITE, GARNET, XENOLITH [16688]",43.19,3.19,4.08,0.38,1.58,0.37,0.112,0.42,0.059,0.423,0.099,0.33,0.043,0.342,0.05,73.47,-90.97
"PERIDOTITE [22697]",39.24,1.2882,2.9193,0.4494,2.3066,0.7378,0.2534,0.9902,0.1736,1.1938,0.2633,0.7369,0.1086,0.7743,0.1186,48.5,-90
"HARZBURGITE, SPINEL, XENOLITH [19627]",47.8898545010095,3.52850675353914,6.66025292451297,0.682823805242422,2.39286216227833,0.291338037194598,0.0788800982096212,0.18458054053787,0.0183407477867273,0.0813751891287186,0.010911044386868,0.0308150200630493,0.00365865371814807,0.0224018271869686,0.00422541589578085,66.43485,112.31798
"PERIDOTITE, XENOLITH [23590]",45.1029918372247,0.969054536989171,0.800026127215081,0.232039192911344,1.15788262047598,0.366245989279323,0.138907873979486,0.503943854896586,0.0915262054389069,0.669511675941564,0.143573967284458,0.439455782136207,0.065604878204828,0.444612844515419,0.0668003154882015,28.2,-16.68
"PERIDOTITE, GARNET, XENOLITH [16649] / PERIDOTITE, XENOLITH [12608]",41.59,3.257,4.68,0.453,1.53,0.197,0.059,0.145,0.019,0.091,0.015,0.042,0.005,0.037,0.006,65.9865,-111.4817
"LHERZOLITE, GARNET-SPINEL, XENOLITH [12269] / PERIDOTITE, XENOLITH [12608]",41.3,1.82,3.24,0.382,1.47,0.289,0.087,0.255,0.03,0.143,0.023,0.054,0.008,0.048,0.009,73.291,-93.967
"PERIDOTITE [26422]",41.98,1.28,2.75,0.33,1.38,0.37,0.11,0.34,0.06,0.41,0.1,0.29,0.04,0.28,0.04,22,86
"PERIDOTITE, XENOLITH [19271]",43.13,46.19,97.74,12.13,49.58,10.03,3.1,8.38,1.17,6.19,1.09,2.79,0.36,2.1,0.29,4.6,9.4
"PERIDOTITE, XENOLITH [12608]",40.34,2.81,5.21,0.642,2.32,0.362,0.102,0.283,0.035,0.173,0.029,0.068,0.009,0.056,0.009,61.424276,-48.277874
"PERIDOTITE [21684]",40.06,0.42,0.81,0.18,0.95,0.38,0.13,0.53,0.09,0.61,0.12,0.34,0.052,0.31,0.044,35.4144,74.1346
"PERIDOTITE, XENOLITH [11986]",41.3,3.34,6.12,0.77,3.08,0.61,0.17,0.49,0.06,0.32,0.06,0.15,0.02,0.14,0.02,35.9,114.2
"PERIDOTITE, XENOLITH [20037]",45.24,0.3,0.5,0.04,0.3,0.05,0.02,0.05,0.01,0.05,0.02,0.03,0.01,0.05,0.01,22.8,41.38
"PERIDOTITE [13997]",44.9,0.44,0.89,0.14,0.75,0.24,0.17,0.32,0.06,0.39,0.09,0.27,0.04,0.28,0.04,63.1367,-50.6144
"PERIDOTITE [27105]",43.6195782,0.493253153918412,1.05260613046266,0.127386522023516,0.507058389386949,0.131581658575634,0.0387867613207861,0.218049021650164,0.0505802673036341,0.408331239754959,0.110312505660707,0.378107477890576,0.0633589570250965,0.502997440968038,0.0909174427121739,65.00164,-51.75494
"PERIDOTITE, GARNET, XENOLITH [17870] / LHERZOLITE, GARNET, XENOLITH [17406]",44.7,0.43,0.78,0.13,0.51,0.12,0.04,0.12,0.02,0.09,0.02,0.07,0.01,0.1,0.02,-3,37.3
"HARZBURGITE, GARNET, XENOLITH [16997] / PERIDOTITE, XENOLITH [20705]",42.3,0.82,1.5,0.17,0.73,0.19,0.071,0.257,0.043,0.271,0.05,0.122,0.016,0.094,0.015,66.43485,112.31798
"PERIDOTITE, XENOLITH [11944]",43.65,0.31,0.46,0.057,0.4,0.213,0.084,0.263,0.058,0.397,0.086,0.227,0.038,0.236,0.034,41.52,128.11
"LHERZOLITE, XENOLITH [15522] / PERIDOTITE, SPINEL, XENOLITH [16938] / PERIDOTITE, XENOLITH [11925]",44,1.24,3.38,0.52,2.38,0.64,0.24,0.75,0.14,0.82,0.16,0.44,0.066,0.43,0.071,40.8,114.5
"PERIDOTITE, XENOLITH [11944]",42.51,1.15,4.11,0.7,3.5,0.91,0.28,0.76,0.13,0.66,0.13,0.27,0.041,0.27,0.039,41.52,128.11
"PERIDOTITE, XENOLITH [23355]",40.07,0.194,0.239,0.043,0.177,0.032,0.01,0.021,0.004,0.014,0.003,0.008,0.001,0.01,0.002,56.65,161.4
"PERIDOTITE, SPINEL, XENOLITH [17444] / PERIDOTITE, XENOLITH [12608]",45.29,1.717,3.319,0.379,1.402,0.2,0.052,0.135,0.013,0.056,0.008,0.016,0.002,0.016,0.004,-28.741,24.764
"LHERZOLITE, GARNET, XENOLITH [15322] / PERIDOTITE, XENOLITH [12608]",45.63,3.06,5.93,0.739,2.87,0.471,0.122,0.314,0.034,0.15,0.022,0.046,0.006,0.035,0.005,-29.00359,28.86751
"PERIDOTITE, XENOLITH [11875]",44.45,0.13,0.39,0.07,0.42,0.17,0.08,0.29,0.05,0.38,0.09,0.24,0.04,0.27,0.05,40.1382,114.1468
"PERIDOTITE, XENOLITH [12608]",41.54,1.12,1.95,0.238,0.842,0.153,0.051,0.16,0.027,0.157,0.032,0.078,0.012,0.068,0.012,66.475416,-50.948256
"PERIDOTITE, OLIVINE-PYROXENE-SPINEL, XENOLITH [20303] / LHERZOLITE, SPINEL, XENOLITH [22070]",43.4,0.35,0.55,0.08,0.342,0.152,0.09,0.35,0.07,0.46,0.11,0.33,0.05,0.33,0.05,53,-121
"PERIDOTITE, XENOLITH [23590]",44.5761529253118,0.0363403231144968,0.123896383512036,0.0445464227048791,0.390990272266582,0.220309646072023,0.0870099450217181,0.349369369741683,0.066195152454483,0.51033255200311,0.110521540276302,0.342158207221603,0.0506753559767534,0.351777340225676,0.0539131790935495,43,133
"PERIDOTITE, XENOLITH [14458]",41.88,2.41,2.96,0.38,1.38,0.22,0.077,0.155,0.019,0.073,0.014,0.033,0.006,0.047,0.01,-16.7122,128.3975
"PERIDOTITE, SPINEL, XENOLITH [15972] / HARZBURGITE, GARNET, XENOLITH  [19840]",44.5620058535151,4.80423632589517,7.20022698072805,0.662469151670951,2.09769040247678,0.263360590224408,0.112473157415833,0.193631593636617,0.0280401337792642,0.133309460181721,0.0221205673758865,0.0515107296137339,0.00919565217391304,0.0503900573613767,0.00695611285266458,-22.434,29.321
"LHERZOLITE, GARNET-SPINEL, XENOLITH [12269] / PERIDOTITE, XENOLITH [12608]",41.1,0.77,1.48,0.187,0.749,0.167,0.05,0.115,0.009,0.037,0.005,0.013,0.002,0.013,0.002,73.291,-93.967
"PERIDOTITE, XENOLITH [12608]",40.02,3.58,5.87,0.738,2.66,0.408,0.116,0.325,0.044,0.196,0.036,0.083,0.011,0.059,0.011,61.424276,-48.277874
"PERIDOTITE, GARNET, XENOLITH [17870] / LHERZOLITE, GARNET, XENOLITH [17406]",45,1.4,2.01,0.33,1.22,0.19,0.05,0.17,0.02,0.14,0.03,0.07,0.01,0.06,0.009,-3,37.3
"LHERZOLITE, SPINEL, XENOLITH [12358] / PERIDOTITE, SPINEL, XENOLITH [12356]",45.09,0.64,1.56,0.22,1.07,0.32,0.12,0.42,0.075,0.5,0.11,0.31,0.047,0.3,0.05,54,113
"PERIDOTITE, GARNET, XENOLITH [16649] / PERIDOTITE, XENOLITH [12608]",42.19,2.13,3.11,0.316,1.06,0.164,0.051,0.135,0.023,0.116,0.022,0.064,0.008,0.058,0.009,65.9865,-111.4817
"PERIDOTITE, XENOLITH [23590]",44.4378974775058,0.268120441015518,0.588990105278732,0.0988895348520685,0.57882178409621,0.225628812752586,0.0860146879360857,0.318996246752113,0.0605556713737767,0.453308889810684,0.0978971417116973,0.304191005829433,0.0432761922605521,0.305981239745012,0.0477900743518054,43,133
"PERIDOTITE, XENOLITH [24349]",42.59,2.59,4.535,0.552,2.025,0.363,0.096,0.278,0.034,0.189,0.031,0.083,0.011,0.073,0.01,49.58,123.75
"PERIDOTITE, SPINEL, XENOLITH [20624]",41.88068385,0.974281537351389,1.99157341304529,0.231473597624059,0.989489082408827,0.219081494395431,0.0803593105194633,0.201763829924674,0.0356606370756648,0.203097450298599,0.0423326183034822,0.121792663766521,0.0173119514493817,0.111879958993343,0.0209073486664479,21.34,-157.92
"PERIDOTITE, XENOLITH [11875]",44.35,0.988,3.443,0.532,2.551,0.548,0.176,0.481,0.074,0.407,0.078,0.212,0.032,0.2,0.032,39.18,113.27
"PERIDOTITE, SPINEL, XENOLITH [16779]",40.54,0.26,0.5,0.09,3.11,0.23,0.1,0.38,0.08,0.59,0.13,0.38,0.06,0.38,0.06,33.16,-107.18
"PERIDOTITE, XENOLITH [15972]",39.34,5.3,8.68,0.9,2.78,0.3,0.12,0.26,0.02,0.12,0.02,0.07,0.01,0.07,0.01,-28.2457,24.5151
"PERIDOTITE, XENOLITH [11875]",44,0.183,0.445,0.051,0.211,0.049,0.013,0.037,0.006,0.029,0.005,0.013,0.002,0.015,0.003,40.1382,114.1468
"PERIDOTITE, XENOLITH [11945]",44.61,0.52,1.01,0.14,0.61,0.21,0.07,0.25,0.057,0.4,0.1,0.25,0.043,0.3,0.047,40.73,124.78
"PERIDOTITE, XENOLITH [20037]",44.96,0.6,1.1,0.14,0.5,0.08,0.06,0.15,0.03,0.16,0.03,0.12,0.01,0.13,0.02,22.8,41.38
"PERIDOTITE, SPINEL, XENOLITH [16649] / PERIDOTITE, XENOLITH [12608]",45.14,1.84,2.56,0.243,0.786,0.096,0.024,0.058,0.004,0.027,0.003,0.008,0.001,0.006,0.001,65.9865,-111.4817
"PERIDOTITE [10277]",38.37,1.58,4.03,0.607,3.02,0.86,0.292,1.146,0.203,1.326,0.283,0.868,0.125,0.81,0.121,61.5,-73.7
"HARZBURGITE, SPINEL, XENOLITH [15522] / PERIDOTITE, SPINEL, XENOLITH [16938]",43.11,0.97,2.66,0.38,1.67,0.43,0.14,0.38,0.045,0.23,0.032,0.078,0.009,0.054,0.01,40.8,114.5
"PERIDOTITE [24304]",45.73,0.303,0.528,0.068,0.269,0.06,0.02,0.066,0.012,0.075,0.017,0.05,0.008,0.05,0.008,36,94.9
