"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"PHONOLITE [9456] / PUMICE [15326]",59.15,106,210,22,77,13.6,1.8,10.3,1.4,7,1.5,4.3,0.7,4.2,0.6,40.78,14.05
"PHONOLITE [26157]",59.56,117.5,221.8,20.52,63.6,8.54,1.33,5.82,1.03,5.84,1.14,3.24,0.51,3.42,0.51,-3.838365,-38.926381
"PHONOLITE [14597]",63.451674544906,157.736024940709,236.339687842576,32.5545018720575,132.5487190937,20.2035019080066,4.92277795914268,17.2347849124738,2.5267950310501,14.7566690623936,2.5143031946469,7.50590250117383,1.0180514736707,5.67211289685349,0.66821363042128,27.84,-15.61
"PHONOLITE, NOSEAN [28518]",51.1139884776536,99.4877288579141,168.479633021417,15.7062232135219,47.3448377175364,6.45917367801262,1.78374442726207,4.6957097460248,0.636425263415889,3.48927374222417,0.710968898469314,2.01236504986903,0.308207737977139,2.05353528846809,0.321462619312532,47.805017,8.800298
"PHONOLITE [13441]",56.24,97.3,168.1,16.73,54,8,2.07,4.62,0.72,3.66,0.66,1.85,0.3,2.33,0.36,39.56,31.38
"PHONOLITE [26393]",52.57,89.3,150,13.6,39.1,4,0.76,1.9,0.2,1.2,0.2,0.7,0.1,0.7,0.1,40.821,14.426
"PHONOLITE [14339]",59.72,160.7,239.5,19.8,51.1,5.4,1.2,3.9,0.5,3.1,0.6,1.9,0.3,2.3,0.4,40.5,8.5
"PHONOLITE [11852]",57.5,59,126,11,31,3.8,0.5,4.1,0.4,1.9,0.4,1.2,0.2,1.4,0.2,40.821,14.426
"PHONOLITE [25812]",54.2269,82.2604899990386,118.502521193355,9.73426297603355,27.669648685037,3.56971670549651,1.00828377584284,2.76736314543763,0.432516770691745,2.60095687378506,0.523672390654073,1.6169054168286,0.273992795640502,1.89896859182945,0.303443627824821,-3.817038,-38.426746
"PHONOLITE [26157]",57.51,154.9,239.2,22.67,61.5,7.54,1.45,5.62,0.83,5.26,1.11,3.78,0.61,4.35,0.62,-3.786481,-38.854627
"PHONOLITE [20288]",57.17,116.2,216,22.95,79.1,14.31,1.99,14.49,2.94,18.97,4.56,15.47,2.54,16.61,2.66,39.2,44
"PHONOLITE [12972]",57.7,78,145,15.4,53,9.57,2.01,6.85,0.98,5.21,0.94,2.75,0.43,2.84,0.41,40.85,14.3
"PHONOLITE [12972]",57.51,77,147,15.5,56,9.19,1.94,7.15,0.96,5.27,0.94,2.63,0.44,3.08,0.4,40.85,14.3
"PHONOLITE [19916]",59.4,73.1,98.2,8.05,25,3.9,1.08,3,0.5,2.5,0.5,1.5,0.25,1.8,0.31,-20.5,-29.3
"PHONOLITE [12335]",56.3,111,198,21.9,75.3,13.2,1.25,13.5,1.75,9.77,1.87,5.37,0.818,5.36,0.835,40.78,14.05
"PHONOLITE [22174]",64.6,103,191,21.9,70,12,1.53,11.1,1.99,11.9,2.52,6.8,0.98,6.26,0.89,32.5,85
"PHONOLITE [17097]",59.39,189.7,281.5,24.2,64.4,8,0.8,5.8,1.1,7.5,1.6,5.3,0.9,5.7,0.9,32.17,13.02
"PHONOLITE, NOSEAN [28518]",50.267808509572,62.8969630058149,117.803817958813,11.5396425604547,36.9618858956472,5.53481588946543,1.60021000876929,4.2698078227994,0.58946931771673,3.31551726755987,0.676751852676043,1.97440876068812,0.322021562717899,2.18071724031662,0.35850132509902,47.798777,8.820079
"PHONOLITE [16910]",50.41,59.6,99.4,8.93,27.5,4.11,1.35,2.96,0.56,3.51,0.71,2.27,0.362,2.44,0.382,14.8617,-24.7467
"PHONOLITE [25380]",54.33,114,154,11.4,30.4,3.7,1.02,3,0.5,3,0.6,2,0.34,2.5,0.4,-23.803045,-41.51859
"PHONOLITE [28935]",57.77,163,282,27.4,86.2,12.9,3.8,9.7,1.6,9.1,1.9,5.6,0.86,5.5,0.77,-20.2753,14.7923
"PHONOLITE [25380]",51.74,118,161,12.2,33.5,3.8,1.03,3,0.4,2.7,0.6,1.8,0.31,2.3,0.38,-23.803045,-41.51859
"PHONOLITE [13441]",55.96,100,182,17.6,56.3,9.2,2.19,5.65,0.79,4.04,0.76,2.23,0.37,2.49,0.368,39.56,31.38
"PHONOLITE [12635]",56.93,102.8,189.4,20.05,67.55,11.07,2.58,8.41,1.03,5.29,0.92,2.49,0.37,2.45,0.38,41.278,13.9847
"PHONOLITE [23110]",55.72,149.2,296.1,31.7,107.3,15.34,3.73,11.08,1.39,7.13,1.34,3.56,0.55,3.61,0.54,33.6667,85.3167
"PHONOLITE [14597]",62.9603399433428,160.22140526929,326.777680452419,34.2663339122948,126.159515893813,19.0214960072266,4.66585268300205,15.2434762396512,2.29591426172942,14.2453789695827,2.62112511576252,7.05045349916352,0.919722698556932,6.45345850526257,0.947380070653495,27.84,-15.61
"PHONOLITE [24971]",56.35,155,192,17.8,51.1,6.79,2.24,6.34,1.01,6.06,1.27,4.24,0.68,4.64,0.69,39.55765,78.9336
"PHONOLITE [20288]",54.34,72.4,144,15.24,53.6,10.42,1.86,9.78,1.92,11.87,2.65,8.62,1.47,9.66,1.51,39.2,44
"PHONOLITE [21077]",55.52,87.7,134.3,12.66,38.6,5.08,1.51,4.05,0.56,2.92,0.58,1.65,0.26,1.77,0.27,-24.7,-48.04
"PHONOLITE [8508]",58.86,169,287,30.3,96,15.5,1.44,10.9,1.74,9.7,2,5.8,0.93,6,0.95,40.78,14.05
"PHONOLITE [14597]",63.3834055852405,115.5,239,24.65,89.35,15.6,3.22,11.05,1.535,8.825,1.31,4.27,0.3935,3.28,0.441,27.8,-15.67
"PHONOLITE [11852]",56.42,100,174,17,48,6,0.8,6.2,0.6,2.6,0.5,1.6,0.3,1.8,0.3,40.821,14.426
"PHONOLITE [8508]",59.35,185,323,32.9,105,16.9,1.48,11.9,1.85,10.6,2.16,6.3,1.01,6.4,1.02,40.78,14.05
"PHONOLITE [19993]",55.94,137,205,18.1,57.9,7.99,2.22,6.15,0.82,4.9,0.98,2.72,0.44,2.7,0.43,28.56,-19
"PHONOLITE [20288]",57.56,56.6,114.4,12.44,45.3,8.63,2.48,8.2,1.45,8.68,1.83,5.87,0.96,6.19,0.97,39.2,44
"PHONOLITE [26393]",47.49,32.6,71.4,8.89,37.6,8.8,2.09,6.9,0.9,4.7,0.8,2.1,0.28,1.7,0.25,40.821,14.426
"PHONOLITE [26393]",48.31,52.3,106,12.4,48.2,9.4,2.45,7.3,0.9,5,0.9,2.4,0.33,2,0.29,40.821,14.426
"PHONOLITE [12761]",53.5,32.32,60.76,7.22,27.72,5.31,1.42,4.69,0.75,4.21,0.85,2.25,0.37,2.49,0.35,30.612,54.934
"PHONOLITE [18414]",55.21,425,800,89.9,362,82.2,22.9,67.1,12.4,67.2,12.2,35.9,4.76,32.6,3.67,68.15,36.22
"PHONOLITE [11852]",56.99,102,181,17,47,5.5,0.6,5.9,0.5,2.3,0.4,1.4,0.2,1.6,0.3,40.821,14.426
"PHONOLITE [14597]",61.2073436365522,214.797637765468,353.63179706251,42.1645141758689,152.803353800048,25.1361195895515,5.15959567436562,19.9231167360199,2.76979497391032,18.5773264532909,3.21598992954866,8.95823386375075,1.21853057353224,8.18117466422424,1.15575582560229,27.87,-15.71
"PHONOLITE [11852]",56.92,71,142,13,36,4.3,0.5,4.5,0.4,2,0.4,1.2,0.2,1.5,0.2,40.821,14.426
"TRACHYTE [9453] / PHONOLITE [6817]",57.58,144,263,30,105,18.6,1.4,13.4,2.1,12.4,2.4,6.4,1,6.2,1.1,40.78,14.05
"PHONOLITE [25812]",55.95,101.486476961726,139.444683970296,10.7485257639987,28.5421293879622,3.42707899913423,0.892044064934808,2.71497209896927,0.45026077670438,2.83862402139905,0.641164900782083,2.13307782944248,0.375903137593325,2.83257493183659,0.466444983347726,-3.817038,-38.426746
"PHONOLITE [12802]",55.08,161,311,33.4,110,18.9,3.63,14.4,2.34,13.3,2.66,7.6,1.16,7.28,1.14,-77.53,167.15
"PHONOLITE, NOSEAN [22482]",48.037,179.978065802592,304.304586241276,28.8060817547358,86.4032901296112,10.2253240279163,2.4289545950832,6.94374479329242,0.770893212823151,3.98703888334995,0.717846460618146,1.84225956705611,0.259222333000997,1.64905284147557,0.243768693918245,48.0967,7.6668
"PHONOLITE [18742]",56.5756351125866,112.921828683307,153.741643378689,16.9081458553818,55.3510589857322,9.08098199002575,0.402242179128435,7.0933874400758,1.19727587026552,7.74782635731104,1.65009411282301,4.78211620573063,0.709243352814072,4.87688234388813,0.764638433385935,-13.03,49.52
"PHONOLITE [12930]",52.3,141.94,228.73,22.65,75.86,11.82,3.25,9.37,1.27,6.69,1.26,3.18,0.48,2.91,0.43,28.57,-17.87
