"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"PHONOLITIC-TEPHRITE [10088]",48.42,52,104,12.3,47.1,9.7,2.5,7.4,0.94,5.1,0.88,2.2,0.31,2.3,0.31,40.821,14.426
"PHONOLITIC-TEPHRITE [20926]",43.51,23,48,5.8,23,4.7,1.33,4.86,0.63,3.69,0.69,1.83,0.24,1.46,0.21,26.17,100.19
"PHONOLITIC-TEPHRITE [9723]",49.51,80.068,159.973,17.685,65.295,8.714,2.187,5.578,0.583,2.736,0.469,1.144,0.147,0.845,0.122,-25.7,-56.4167
"PHONOLITIC-TEPHRITE [4795]",45.38,145.1,264.8,31.19,111.9,18.62,5.05,13.73,1.9,9.58,1.69,4.48,0.58,3.68,0.53,28.5,-18
"PHONOLITIC-TEPHRITE [10619]",48,142,247,35.89,133,19.39,6.14,15.14,1.81,8.87,1.48,3.51,0.48,2.59,0.36,-22.5669,-42.6575
"PHONOLITIC-TEPHRITE [24602]",48.38,157,316,34.7,130,17.9,4.57,13.1,1.38,6.31,0.96,2.36,0.28,1.59,0.22,50.7417666666667,124.791816666667
"PHONOLITIC-TEPHRITE [23182]",48.71,97.1,192,20.9,76.5,12.5,3.45,9.98,1.15,5.92,1.05,2.44,0.34,1.97,0.3,-24.7,-49
"PHONOLITIC-TEPHRITE [22469]",50.33,46.16,85.24,10.27,41.59,8.68,2.52,7.73,1.03,5.48,1,2.66,0.38,2.46,0.38,38.6839,47.5536
"PHONOLITIC-TEPHRITE [19757]",51.31,47.93,101.1,11.86,18.803145577498,4.32472138817114,2.29,5.61,0.76,3.94,0.61,1.52,0.19,1.05,0.14,45.8288,101.1655
"PHONOLITIC-TEPHRITE [24602]",48.48,153,309,34.3,126,17.5,4.37,12.8,1.34,6.17,0.93,2.26,0.27,1.51,0.21,50.7045666666667,124.742516666667
"PHONOLITIC-TEPHRITE [25938]",43.62,165,269,25.3,80.1,10.6,3.02,7.45,0.926,4.93,0.92,2.5,0.346,2.3,0.346,-20.0409,16.7467
"PHONOLITIC-TEPHRITE [9723]",50.96,69.488,132.424,15.915,63.682,9.998,2.482,7.497,0.849,4.336,0.83,2.214,0.301,1.84,0.274,-25.8167,-56.8333
"PHONOLITIC-TEPHRITE [13059]",47.72,111.21,223.68,25.47,96.12,18.36,3.754,13,1.76,7.54,1.08,2.69,0.363,2.18,0.297,41.8207,12.691
"PHONOLITIC-TEPHRITE [11135]",50.306825559721,73.3716,121.0943,12.1148,41.4198,6.5274,2.0005,5.4301,0.7688,4.4502,0.8328,2.3502,0.3232,2.1503,0.3153,-23.9177,-66.33
"PHONOLITIC-TEPHRITE [24969]",51.09,44.4,85.6,10.24,36.9,7.55,2.17,6.99,0.91,4.92,0.84,2.45,0.32,2.01,0.31,40.67,35.83
"PHONOLITIC-TEPHRITE [13059]",46.01,116.34,240.96,27.54,106.6,20.05,4.107,13.6,1.8,8.06,1.18,2.98,0.388,2.45,0.342,41.848,12.8215
"PHONOLITIC-TEPHRITE [7734]",53.1,145.8,314.8,40.7,167.1,30.1,5.3,19.9,2,8.2,1.1,2.7,0.4,2.1,0.3,29,88
"PHONOLITIC-TEPHRITE [9723]",48.8,118.494,231.486,25.61,97.124,13.997,3.863,10.413,1.124,5.424,0.951,2.316,0.305,1.766,0.251,-25.7833,-56.8167
"PHONOLITIC-TEPHRITE [8262]",49.52,90.1,182,23,88.2,17.2,3.27,11.2,1.28,6.48,1.02,2.26,0.32,2.14,0.28,42.1378,12.4764
"PHONOLITIC-TEPHRITE [4795]",46.03,134.2,244.5,26.94,96.57,16.4,4.68,13.6,1.75,8.74,1.58,4.1,0.53,3.3,0.45,28.5,-18
