"LOCATION","ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"CENTRAL ASIAN FOLDBELT - PROTEROZOIC / BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT","PHOSCORITE [20287]",223,521,60.9,237,42.2,10.3,22.6,2.93,11.4,1.61,2.95,0.32,1.62,0.2,54,108
"CENTRAL ASIAN FOLDBELT - PROTEROZOIC / BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT","PHOSCORITE [20287]",285,661,82.4,330,57.7,15.2,44.4,5.08,21.8,3.2,6.36,0.72,3.76,0.48,54,108
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",421,1000,117,433,63,15.6,38,3.95,17,2.56,5.44,0.581,2.78,0.357,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",349,902,106,416,61.8,16.7,39.2,4.19,17,2.48,5.69,0.56,2.76,0.356,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",688,1710,199,780,113,27.6,68.3,7.42,31.7,4.67,10.3,1,4.84,0.596,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",699,1570,189,727,105,29,66.8,7.5,31.1,4.74,11.4,1.2,6.27,0.796,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",329,727,76.4,275,40.6,11.6,26.8,3.35,15.7,2.65,6.66,0.873,4.88,0.7,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",266,595,68,248,35.5,9.41,23,2.51,11.2,1.8,4.43,0.494,2.8,0.363,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",534,1140,125,454,68.1,19.3,45,5.5,25.2,4.03,9.84,1.12,5.92,0.767,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",464,1110,137,494,75,17.8,46.1,5.06,22.1,3.07,7.2,0.78,3.7,0.468,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",651,1570,180,672,98.3,24.5,60.2,6.43,27.3,4.19,10.2,1.02,5.3,0.651,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",323,823,95.4,371,54.8,14.8,34.8,3.83,15.8,2.35,5.31,0.528,2.62,0.318,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",428,1110,147,549,80.5,20.1,48.1,5.22,21.7,3.2,7.39,0.727,3.62,0.456,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",379,961,116,442,65.7,16.4,40.8,4.21,17.4,2.59,6.08,0.573,3.07,0.365,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",667,1540,194,689,99.3,24.9,59.6,6.82,29.4,4.61,10.7,1.16,5.87,0.733,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",287,719,91.4,336,48,12,28.5,3.17,13.4,2.02,4.61,0.501,2.48,0.319,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",194,444,48.4,178,25.8,7.12,16.4,1.86,7.9,1.24,3.01,0.342,1.96,0.291,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",615,1440,161,598,84.5,21.2,51.7,5.51,24.5,3.61,7.84,0.875,4.54,0.573,36.5,126.5
"CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","PHOSCORITE [20560]",101,219,26,93.2,14.9,3.49,10.6,1.47,7.98,1.56,4.21,0.629,3.82,0.594,36.5,126.5
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE [24061]",29,66,8.86,36,5.31,2,4.75,0.52,2.34,0.4,0.92,0.11,0.51,0.07,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE [24061]",57,128,16,69,9.6,2.6,8.2,0.98,4.8,0.75,1.9,0.2,1.2,0.14,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE [24061]",41,90,11,48,6.5,1.8,5,0.66,3,0.45,1.1,0.11,0.59,0.075,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE [24061]",113,256,32,138,19,5.4,17,2.1,9.7,1.6,3.8,0.4,2.2,0.27,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE [24061]",2.9,5.3,0.54,2.5,0.26,0.17,0.2,0.028,0.17,0.025,0.069,0.011,0.053,0.01,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE [24061]",14,28,3.3,14,1.9,0.53,1.4,0.18,0.89,0.14,0.33,0.037,0.25,0.025,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE [24061]",155,437,42,158,23,6.1,22,2,7,1,2.5,0.19,1,0.12,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE [24061]",22,43,4.5,16,2.2,0.83,2.5,0.22,0.96,0.16,0.45,0.05,0.34,0.05,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE [24061]",9.2,20,2.3,7.7,1.1,0.59,1.4,0.14,0.72,0.13,0.33,0.03,0.2,0.03,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE [24061]",83,168,19,84,9.9,2.7,7.7,0.94,4.1,0.66,1.7,0.19,1,0.14,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE [24061]",88,199,25,107,15,4.2,13,1.6,7.7,1.2,2.9,0.31,1.7,0.22,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE [24061]",114,264,32,137,16,4.2,13,1.3,5.3,0.69,1.5,0.14,0.81,0.1,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE [24061]",141,310,35,154,17,4.4,12,1.4,5.4,0.75,1.7,0.16,0.82,0.1,67.5667,30.4833
"SARMATIAN CRATON / KURSK BLOCK / DUBRAVINSKY COMPLEX","PHOSCORITE [26910]",341.440185269814,1000.15520275377,150.505990265265,669.437992031438,125.300913957033,32.9168592705244,94.0702796625079,11.2548418231144,48.6368235486964,7.20192405756448,14.3077131494023,1.51826349613979,7.98027629067471,0.890319307726272,51,38
"SARMATIAN CRATON / KURSK BLOCK / DUBRAVINSKY COMPLEX","PHOSCORITE [26910]",444.004747684005,1257.94398112042,184.706915083027,802.63539919285,139.557706427917,35.9973878602499,103.868565277464,11.639271651708,48.8639043125297,7.09013706677439,13.8214142629905,1.45879374337222,7.55505811014234,0.883931277247555,51,38
"SARMATIAN CRATON / KURSK BLOCK / DUBRAVINSKY COMPLEX","PHOSCORITE [26910]",370.01862703311,1015.06684215457,144.157490123558,613.187385595385,106.787049162452,27.2280195103958,76.8538789347249,8.8760473340124,37.0555820939769,5.48894462336189,11.1113948406084,1.21870516571442,6.4289859713381,0.753807031989455,51,38
"BALTIC SHIELD / BELOMORIAN PROVINCE / SOKLI COMPLEX","PHOSCORITE [26961]",68.5,166,19.6,75.9,12.7,3.35,8.1,0.9,4.1,0.5,1.4,0.16,0.8,0.1,67.8,29.45
"BALTIC SHIELD / BELOMORIAN PROVINCE / SOKLI COMPLEX","PHOSCORITE [26961]",204,457,51.7,197,34.2,9.1,21.7,2.5,11.1,1.5,3.6,0.4,1.8,0.24,67.8,29.45
"CENTRAL ASIAN FOLDBELT - PROTEROZOIC / SIBERIA_PROTEROZOIC / ALDAN-STANOVOI BLOCK / ARBARASTAKH COMPLEX","PHOSCORITE [27249]",254,667,96,423,68,17,51,5,18,2.9,5.8,0.6,2.9,0.4,56.9,131.59
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE, CALCITE-FORSTERITE-MAGNETITE [19393]",98.8,234,30,114,17.4,3.84,12.6,1.3,5.91,0.69,1.55,0.13,0.84,0.05,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE, APATITE-FORSTERITE [19393]",37.2,72.5,8.72,30.4,4.76,1.27,3.91,0.43,1.79,0.28,0.64,0.07,0.38,0.05,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE, APATITE-FORSTERITE-MAGNETITE [19393]",32.1,70.5,9.17,33.3,5.45,1.43,4.5,0.51,2.19,0.35,0.77,0.08,0.48,0.06,67.5667,30.4833
"BALTIC SHIELD / BELOMORIAN PROVINCE / KOVDOR MASSIF","PHOSCORITE, CALCITE-FORSTERITE-MAGNETITE [19393]",31.2,56.3,6.2,20.5,2.96,0.87,2.55,0.27,1.17,0.19,0.47,0.05,0.48,0.05,67.5667,30.4833
