"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"PICRITE, BIOTITE [15130]",43.88,1.75,4.12,0.58,2.53,0.73,0.24,0.78,0.15,0.97,0.21,0.57,0.09,0.58,0.09,50,91
"PICRITE [13267]",44.3970312184711,1.38517392130774,4.41817206224289,0.770458360232408,4.33334544793749,1.52477244972727,0.538432082794308,2.03156470856448,0.353661030279198,2.36905763452609,0.490464944649446,1.40744479495268,0.217992166972386,1.28741935483871,0.192975736915982,70.5,-53.57
"PICRITE [14974]",41.2,0.26,4.7,0.1,0.6,0.37,0.18,1,0.21,1.8,0.44,1.5,0.24,1.5,0.22,55,157
"PICRITE [14605]",47.91,17.05,34.96,4.37,14.5,3.81,1.03,3.67,0.59,3.39,0.67,1.74,0.26,1.67,0.26,28.05,101.45
"PICRITE [23597]",46.52,1.58,4.02,0.7,3.79,1.48,0.62,2.22,0.41,2.78,0.6,1.69,0.25,1.52,0.23,67.08,-62.215
"PICRITE [1702]",48.08,9.4,22.7,3.34,16,4.12,1.35,4.58,0.7,3.98,0.74,1.97,0.29,1.63,0.24,17.5,74
"PICRITE [12751]",41.51,11.8382437313351,27.8686494967064,3.75448977136329,16.3626148322195,3.48028546221878,0.943895602632063,3.2338531279748,0.448218582255449,2.34655610710206,0.432399102881727,1.18118779323789,0.152921633945977,0.975534561379506,0.147648474154736,48.4234,-81.8172
"PICRITE [21284]",48.13,16,37.7,4.44,19,3.88,1.36,3.73,0.57,3.28,0.6,1.65,0.22,1.33,0.18,26.5,100
"PICRITE [15670]",41.93,25.3293592604399,56.53016018489,7.63087025820848,31.5815428753586,6.67300366592286,2.22665267261715,5.93519127119987,0.805169030921262,4.07193496971629,0.66249099458081,1.51782778729678,0.189268827701626,1.11056415364998,0.149230805706089,-37.6363,-169.1633
"THOLEIITIC BASALT [14399] / PICRITE [225]",50.62,12.7,30,4.18,20.9,6.41,2.23,7.08,1.17,6.75,1.31,3.2,0.44,2.46,0.35,20.16,-156.42
"PICRITE [26161]",53.198,11.862801946401,27.0856646860557,3.64156594795144,16.3566824853478,4.10855141597894,1.37987856034011,4.80616816065538,0.715605167050473,4.16371676433753,0.802966488110562,2.10351823066253,0.297620345672645,1.77189298588731,0.254085776396338,68.92,-32.77
"PICRITE [8880]",49.22,14.4,30.8,4.064,18.6,4.39,1.322,4.44,0.68,3.74,0.7,1.92,0.288,1.8,0.264,47.9,-80
"PICRITE  [22697]",45.96,1.1435,3.3599,0.5584,3.01,1.02,0.449,1.4489,0.2618,1.8133,0.3784,1.1276,0.1643,1.0805,0.1593,48.5,-90
"PICRITE [15261]",45.85,16.2,38.38,5.02,22.4,5.58,1.73,5.37,0.74,4.73,0.91,2.14,0.31,1.83,0.24,7.3209645,-80.917369
"PICRITE [15069]",44.22,43.56,89.95,10.24,40.9,8.14,2.69,7.85,1.07,5.19,0.8,2.24,0.23,1.71,0.25,42.4,76
