"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"PYROXENITE [24648]",48.11,3.80934245457019,12.8160399880068,2.30377565046269,11.3802234300917,2.95476614773386,0.789512627589454,2.70080328937978,0.392131975333201,2.08215118713795,0.378333898698224,1.02528829151238,0.138351853710895,0.94361174406021,0.129301628614573,40.5,114.5
"PYROXENITE [22450]",46.47,12.9,41.5,6.88,34.34,9.032,1.1,8.54,1.17,6.71,1.25,3.13,0.42,2.54,0.39,41,111
"PYROXENITE [21817]",43.46,75.7431480012087,148.377808297043,16.9283978219601,62.4559482818833,11.9945661212578,2.48954467022557,10.6505143469865,1.35347492241,8.04946269253979,1.48202233726719,4.51464710114901,0.704715199339719,4.63479524837999,0.751663482671014,41.5925,113.1744
"PYROXENITE, XENOLITH [20927]",56.67,2.12,4.96,0.76,3.62,0.69,0.17,0.45,0.05,0.27,0.05,0.15,0.02,0.15,0.02,48.17625,-84
"PYROXENITE [22697]",48.86,3.4065,10.4534,1.6654,7.598,2.162,0.7549,2.6383,0.4149,2.5311,0.4823,1.3819,0.1881,1.2103,0.1749,48.5,-90
"PYROXENITE, PLAGIOCLASE-OLIVINE [13958]",43.13,12.1,27.2,4.07,17.6,4.16,1.33,3.86,0.53,2.85,0.51,1.25,0.16,0.95,0.14,26.5,101.7
"PYROXENITE, AUGITE [13164] / LHERZOLITE, XENOLITH [12134]",48.8,1.47,5.6,1.13,6.29,1.9,0.66,2.08,0.31,1.79,0.35,0.92,0.12,0.75,0.11,40.5,114.5
"PYROXENITE, OLIVINE [23305]",49.6549549165764,1.13587990222128,2.97594233180109,0.357331648768162,1.26743735763098,0.296446965052115,0.12520253164557,0.347138613861386,0.059948275862069,0.472412936610608,0.0913869085173501,0.328684521107581,0.0551598837209302,0.356085106382979,0.063,0.75,10.25
"PYROXENITE [23306]",45.5,0.044,0.131,0.025,0.187,0.11,0.076,0.229,0.046,0.36,0.079,0.223,0.032,0.197,0.032,35.0168,73.7028
"PYROXENITE, PLAGIOCLASE [17008]",51.93,5.762,12.879,1.65,6.3655,1.737,0.799,1.63,0.238,1.372,0.259,0.725,0.102,0.657,0.105,40.5,114.5
"PYROXENITE [26910]",39.8,23.3,49.2,6.2,23.5,4,4.4,1.1,3.2,0.44,1.8,0.3,0.73,0.092,0.54,51,38
"PYROXENITE [18616]",36.84,113,238,30.1,133.9,21.76,6.31,14.2,1.8,7.9,1.2,2.8,0.29,1.9,0.25,26,92.5
"PYROXENITE, OLIVINE [23305]",51.9406869494119,5.50579894004637,11.5786204081633,1.3152947761194,4.63948632668145,0.927735849056604,0.278361963190184,0.987784133837021,0.176101851851852,1.12764955300128,0.214811455108359,0.685402288732395,0.115991379310345,0.710987412587413,0.114820359281437,0.75,10.25
"PYROXENITE [22254]",42.65,2.73,6.49,0.9,4.92,1.24,0.37,1.43,0.25,1.56,0.32,0.91,0.13,0.82,0.12,42,95.5
