"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"RHYODACITE [15783]",68.7,54.7,110,12.7,45,8.1,1.3,5.6,0.76,3.4,0.7,1.7,0.24,0.9,0.21,-26.01285,-66.81186
"RHYODACITE [15783]",70.1,47.9,96,11,39.2,7.5,1.2,5.4,0.75,3.8,0.66,1.7,0.23,1.4,0.22,-25.93,-66.815
"RHYODACITE [15783]",71.1,39.4,57.7,6.5,22.8,4.5,0.7,3.3,0.51,2.9,0.5,1.3,0.19,1,0.18,-26.13378,-67.13994
"RHYODACITE [21120]",63.33,26.4,53,6.44,24.8,5.74,1.18,6.31,1.06,6.8,1.52,4.64,0.72,4.8,0.75,36.4,25.45
"RHYODACITE [19452]",69,9.9,23.6,3.18,13.6,2.56,0.81,1.73,0.234,1.08,0.182,0.45,0.061,0.4,0.059,53.624,171.67
"RHYODACITE [12689]",56.97,20.5,43.52,6.71,20.93,4.22,0.98,3.84,0.61,3.9,0.78,2.25,0.31,2.11,0.33,44.59,2.23
"RHYODACITE [16225]",63.82,73.96,129.6,13.68,45.99,6.57,1.27,4.22,0.56,2.93,0.54,1.47,0.22,1.44,0.22,27.34,99.2565
"RHYODACITE [20851]",68.91,33.9,74,7.1,27.2,4.69,1.62,3.88,0.57,3.16,0.59,1.7,0.23,1.38,0.22,41,115
"RHYODACITE [24969]",73.34,44.8,68.8,6.64,21,3.15,0.73,2.32,0.33,1.79,0.37,1.05,0.15,1.07,0.16,40,37
"NOT GIVEN [13542]",68.4,24,43.7,5.1,18.3,2.86,0.69,2.08,0.24,1.24,0.22,0.46,0.08,0.54,0.08,-18.20737,-69.14503
"RHYODACITE [21522]",69.05,32.1,59.3,6.02,20.8,2.54,0.73,1.32,0.18,0.87,0.17,0.53,0.09,0.57,0.1,31,54
"RHYODACITE [22071]",72.38,37.4,84.7,10.9,45.7,11.6,1.98,11.9,2.05,13.6,2.67,7.86,1.14,6.92,1.13,48.3397,-69.5566
"RHYODACITE [19288]",68.42,35.9,74.7,9.16,32.9,7.4,1.88,6.34,1.01,6.23,1.26,3.42,0.49,3.22,0.51,27.685,32.96
"RHYODACITE [24267]",72.94,4.37,11.9,1.69,7.16,1.91,0.61,1.9,0.33,2.07,0.43,1.29,0.2,1.43,0.24,32,140
"RHYODACITE [26929]",72.1,54.3581062660987,80.9562317475368,9.35878169204152,28.9556844887713,4.15311978960079,0.805174580581128,3.09416531435919,0.453601440934192,2.52236146339173,0.50919280221022,1.46631764025389,0.241164790335934,1.57366532746229,0.247765796946062,30.0069,122.3825
