"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"RHYOLITE [9551] / OBSIDIAN [9811]",74.13,50.83,111.1,13.48,58.12,13.97,2.5,13,2.48,15.19,3.67,9.32,1.54,10.01,1.55,65.72,-16.73
"RHYOLITE [14967]",71.54513004,23.25269662,43.07867921,5.541536095,21.71798583,4.617135692,0.744338057,4.240194561,0.682491274,4.52555491,0.887945521,2.626868824,0.406242922,2.802089076,0.389321541,-36,174.2
"RHYOLITE [24194]",72.70619076,21.4270141,44.78406833,5.339920526,21.07238728,4.614477189,1.226254783,4.714213015,0.741532511,4.698756185,1.002693844,2.954709543,0.454074111,3.05095377,0.471580617,-38.8,176
"RHYOLITE [16007]",74.15,17.18,32.77,4.44,16.67,3.59,0.73,3.21,0.54,3.11,0.67,2.07,0.34,2.12,0.33,44.75,142.55
"RHYOLITE [23223]",69.24,29.7,43.3,4.5,14.1,2.06,0.6,1.95,0.25,0.96,0.15,0.37,0.05,0.31,0.05,37.6176,46.44444
"RHYOLITE [8695]",74.49,36.5,74.3,8.83,34.14,6,0.815,4.38,0.619,3.46,0.692,1.95,0.293,2.14,0.316,26.5,-5
"RHYOLITE [26447]",73.74,27.01,50.63,5.049,19.05,3.208,0.5422,2.319,0.2379,1.034,0.1739,0.4697,0.06527,0.4674,0.06657,36.93,96.5731
"RHYOLITE [24880]",74.51,44.1,84.9,9.02,30.7,6.3,0.53,4.76,0.86,6.01,1.14,3.48,0.54,3.74,0.51,51,13.5
"RHYOLITE [7462]",72.68,59,112,12.6,47,8.7,0.41,7,1,6.4,0.9,4,0.7,3.3,0.8,36.25,136.85
"RHYOLITE [16193]",76.44,22.01,37.71,4.18,14,2.66,0.47,2.17,0.35,2.21,0.49,1.57,0.28,1.94,0.33,42.15,139.25
"RHYOLITE [23288]",74.49,60,108,11.6,39,6.3,1.03,5.09,0.68,3.36,0.63,1.8,0.26,1.9,0.28,40.1482,-116.6285
"RHYOLITE [25065]",78.29419171,37.3,81.7,7.52,28.7,5.29,0.88,4.18,0.69,3.79,0.8,2.59,0.43,2.6,0.41,-33,-54
"RHYOLITE [20622]",75.1,37.1,75,8.99,33.5,6.19,0.97,5.29,0.905,5.5,1.2,3.49,0.565,3.79,0.592,43.5,90.5
"RHYOLITE [23517]",71.86639153,41.16075043,64.83868052,6.126714528,20.21074288,3.340283364,0.743489833,2.283523579,0.330836091,1.858918101,0.358543475,1.028950608,0.160680547,1.096086966,0.183959048,38.1672,-119.1
"RHYOLITE [19174]",67.67,59,112.2,11.84,43.9,6.9,1.33,5.57,0.88,5.15,1.06,3.21,0.53,3.58,0.53,-1,-60
"RHYOLITE [15953]",74.15,39.2,67.7,7.13,23.8,3.59,0.74,2.74,0.42,2.36,0.47,1.37,0.25,1.63,0.25,39.34,29.26
"RHYOLITE [24306]",69.8,143,284,33.6,121,25,0.69,22.9,3.52,21.8,4.14,12.6,1.88,13.2,1.74,49,93
"RHYOLITE [21732]",70.89,42.4,83.7,9.34,33.1,6.31,0.75,5.67,0.96,5.53,1.15,3.47,0.49,3.23,0.49,-17.3597,145.185
"RHYOLITE [26603]",68.36274851,37.36,82.43,9.07,33.82,6.32,1.6,4.89,0.66,4.29,0.85,2.02,0.33,2.45,0.31,6.6058,-5.1428
"RHYOLITE [16343]",77.50437767,62.98235549,119.9552214,13.51196739,48.76309095,10.18399025,0.7224497,9.352653266,1.610539528,9.888125435,1.970348604,5.336609221,0.774116255,4.801991513,0.725617912,44.7447,-110.4622
"RHYOLITE [23774]",74.27,161.2,216.9,36.26,133.1,29.87,1.13,28.92,5,28.6,5.4,14.49,1.98,12.27,1.59,-22.866511,148.154382
"RHYOLITE [24859]",71.82,35.9,73.4,8.33,30.3,6.4,0.98,5.8,0.9,5.7,1.2,3.5,0.52,3.5,0.56,25.972304,-105.362532
"RHYOLITE [12644]",73.32,26,41.3,3.82,11.1,1.92,0.38,1.39,0.26,1.66,0.35,1.13,0.19,1.31,0.23,36.7687,27.0195
"RHYOLITE [11795]",73.3,28,60,7.3,26,5.9,0.78,6,1,6.2,1.3,3.4,0.5,3.2,0.46,47.35,-66.125
"RHYOLITE [16928]",76.89,29.1,52.6,5.37,18.5,2.76,0.58,2.23,0.33,1.93,0.42,1.2,0.18,1.3,0.2,-42.916,-72.716
"RHYOLITE [15981]",74.3,71,175,19,77,14.2,1.53,12.1,1.99,11.4,2.21,5.94,0.85,5.49,0.79,83.52,-38
"RHYOLITE [11610]",76.89,41.55,82.97,9.43,35.11,5.9,0.95,4.02,0.65,4.29,0.82,2.51,0.4,2.5,0.43,23.5,-99.5
"RHYOLITE [24783]",74.79,139.9,282.3,30.01,107.8,17.61,0.56,14.57,2.23,12.19,2.38,6.5,0.99,6.72,1.05,-30.5,-54
