"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
13,14,"RHYOLITE [19957]",69.7,148,16.8,67.8,14,2.67,12.33,1.95,11.27,2.12,5.79,0.836,5.52,0.838
13,14,"RHYOLITE [19957]",73.2,156,17.5,71.8,14.9,3.02,13.6,2.11,12.24,2.28,6.23,0.905,5.88,0.888
13,14,"RHYOLITE [19957]",69.9,152,17.2,69.7,14.42,2.89,12.82,1.96,11.21,2.08,5.58,0.799,5.27,0.797
13,15,"RHYOLITE [19957]",74,167,18.4,74.4,15.65,2.87,14.03,2.25,13.03,2.4,6.52,0.93,5.99,0.911
13,14,"RHYOLITE [19957]",393.5,599,94.3,330.4,62.74,5.64,49.1,7.5,42.25,7.95,22.44,3.3,21.3,3.058
13,14,"RHYOLITE [19957]",268.4,503,57.8,209.8,41.75,3.08,37.92,6.2,36.26,6.87,18.81,2.671,17.1,2.457
25.9,118.9,"RHYOLITE [18059]",81.8,149,15,53,8.11,0.59,6.07,0.81,5.01,1.03,2.93,0.54,2.94,0.47
25.9,118.9,"RHYOLITE [18059]",110,170,24.4,91.2,15.7,2.05,12.1,1.84,10.2,2.04,5.82,1.11,5.41,0.85
25.9,118.9,"RHYOLITE [18059]",105.3,180.7,21.01,83.74,14.75,1.11,12.75,1.9,10.98,2.34,6.19,0.93,5.9,0.88
25.9,118.9,"RHYOLITE [18059]",43.3,92.2,10.6,40.3,8.46,0.75,7.09,1.16,6.26,1.31,3.63,0.77,3.63,0.54
25.9,118.9,"RHYOLITE [18059]",56.1,129,13.1,49.9,9.35,0.49,7.61,1.16,7.19,1.49,4.2,0.74,3.92,0.58
25.9,118.9,"RHYOLITE [18059]",37,80.8,8.31,29.5,5.82,0.73,4.4,0.83,3.88,0.9,2.45,0.53,2.51,0.38
64.03,-16.68,"RHYOLITE [4594]",82.9,137,16.57,64.18,14.66,1.9,13.8,2.45,15.06,3.05,8.5,1.21,7.5,1.13
38.53,14.95,"RHYOLITE [19952]",36.7,75.4,8.59,31,6.5,0.14,5.28,0.97,5.45,1.12,3.45,0.53,3.7,0.54
38.53,14.95,"RHYOLITE [19952]",28.8,58.2,5.94,19,3.7,0.11,2.95,0.54,2.94,0.62,2.05,0.34,2.2,0.33
38.53,14.95,"RHYOLITE [19952]",44,88.5,10.3,36.9,7.9,0.8,6.09,1.03,5.57,1.15,3.19,0.53,3.4,0.56
38.4,14.9,"RHYOLITE [19952]",37.6,80.7,9.48,34.4,7.6,0.12,6.34,1.16,6.73,1.39,4.07,0.64,4.5,0.7
38.4,14.9,"RHYOLITE [19952]",53.2,110,12.8,44,9.4,0.29,7.54,1.31,7.01,1.44,4.22,0.63,4.4,0.7
38.4,14.9,"RHYOLITE [19952]",51.6,103,11.4,39.5,8.1,0.11,6.34,1.14,6.6,1.34,4.43,0.71,4.6,0.68
38.44,14.92,"RHYOLITE [19952]",51.7,101,11.1,37.7,7.9,0.16,6.26,1.17,6.58,1.37,3.97,0.62,4.6,0.73
38.44,14.92,"RHYOLITE [19952]",65.7,126,13.8,46.5,8.5,0.14,7.11,1.22,6.93,1.45,4.49,0.72,4.9,0.71
46.5,11.15,"RHYOLITE [19915]",21.2,60.7,4.5,17.5,3.9,0.4,3.7,0.6,3.9,0.8,2.4,0.4,2.7,0.4
46.5,11.15,"RHYOLITE [19915]",30.8,64.4,6.4,24.9,5,0.7,4.4,0.7,4.2,0.8,2.2,0.4,2.4,0.4
46.5,11.15,"RHYOLITE [19915]",37.1,94.3,7.9,27.3,5.2,0.9,4.3,0.7,3.9,0.7,2.1,0.3,2.1,0.3
46.5,11.15,"RHYOLITE [19915]",35.5,72,7.5,28.1,5.5,0.3,4.9,0.8,5.1,1,2.9,0.5,3.1,0.5
46.5,11.15,"RHYOLITE [19915]",48.2,92.2,9.5,35.7,6.5,0.6,5.3,0.8,4.5,0.9,2.4,0.4,2.4,0.4
46.5,11.15,"RHYOLITE [19915]",42.7,80.2,7.5,27,4.4,0.5,3.6,0.5,3.3,0.7,2,0.3,2.1,0.3
46.5,11.15,"RHYOLITE [19915]",15.6,35,4.1,16.3,4.8,0.1,5.2,1.1,7.1,1.4,4.2,0.7,4.5,0.7
46.5,11.15,"RHYOLITE [19915]",29.6,61.5,7.3,29.9,6.6,0.2,5.7,0.9,5.8,1.2,3.2,0.5,3.3,0.5
46.5,11.15,"RHYOLITE [19915]",24.5,51.7,7,29.5,7.4,0.2,6.6,1.1,6.6,1.3,3.6,0.6,3.9,0.6
37.3193,90.4916,"RHYOLITE [20048]",24.66,49.66,5.34,18.96,3.68,0.81,3.42,0.53,3.35,0.72,2.25,0.35,2.39,0.36
37.3194,90.4894,"RHYOLITE [20048]",29.04,56.42,6.02,20.74,3.65,0.82,3.22,0.48,2.95,0.64,2.01,0.31,2.18,0.34
37.3194,90.4883,"RHYOLITE [20048]",39.06,74.82,7.62,24.88,4.12,0.64,3.48,0.51,2.98,0.61,1.85,0.28,1.93,0.29
37.3234,90.4882,"RHYOLITE [20048]",32.34,63.9,6.78,22.74,3.97,0.51,3.38,0.5,3.07,0.64,1.95,0.3,2.11,0.32
37.1156,90.8157,"RHYOLITE [20048]",35.8,66.86,6.9,22.38,3.78,0.5,3.26,0.48,2.86,0.59,1.76,0.28,1.91,0.29
37.1156,90.8157,"RHYOLITE [20048]",32.46,61.7,6.28,20.5,3.45,0.48,2.99,0.44,2.64,0.54,1.67,0.25,1.75,0.27
