"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"SHOSHONITE [19990]",54.95,30.02,64.44,8.61,33.45,5.97,1.66,5.13,0.66,3.44,0.65,1.69,0.27,1.61,0.26,-8.95,148.15
"SHOSHONITE [12014]",53.3,53.8,106,12.1,47.6,8.96,2.46,7.78,1.19,6.06,1.13,3.08,0.452,2.95,0.423,38.79,15.21
"SHOSHONITE [25162]",53.54,63.9,113.7,11.76,40.3,6.93,1.44,5.31,0.79,4.25,0.82,2.35,0.35,2.42,0.34,37,27
"SHOSHONITE [12730]",54.3750937017317,63.010344,128.633328,13.449917,52.484521,10.548154,2.398551,8.118026,1.20977818,5.919369,1.080859,3.076233168,0.44123346,2.837114,0.414254,41.3008,13.9783
"SHOSHONITE [4673] / BASALTIC-ANDESITE [8183]",54.01,54.4,100.2,12.48,49,8.92,2.19,7.88,1.06,5.52,1.07,2.77,0.43,2.66,0.44,38.79,15.21
"SHOSHONITE [16083]",59.61,84.2,127.2,13.3,43.6,5.37,1.63,3.33,0.37,1.9,0.31,0.84,0.11,0.77,0.12,35.951,52.109
"SHOSHONITE [23341]",51.78,29.3,62.2,7.35,30.2,6.6,1.64,6.2,0.8,4.7,0.9,2.6,0.37,2.4,0.35,46.0475,11.5578
"SHOSHONITE [15734]",55.37,60.984,131.016,16.312,63.78,10.43,1.9389,5.727,0.8413,4.898,1.0147,2.562,0.3564,1.9,0.3012,42.9019,11.7667
"SHOSHONITE [9456] / SCORIA [15326]",53.35,58,114,13.9,51,10.1,2.6,8,1.1,5,1,2.6,0.4,2.4,0.4,40.78,14.05
"SHOSHONITE [19551]",59.3,48,87.3,10.1,39.7,6.64,1.75,5.63,0.89,4.53,0.81,2.48,0.4,2.46,0.38,31.0386,117.5277
"SHOSHONITE [15796]",53.57,38,73,8.8,34.5,6.7,1.7,6.7,1,5.7,1.1,3.4,0.5,3.1,0.5,36.3,50.25
"SHOSHONITE [28818]",57.57,22.72,53.44,5.98,22.59,4.36,0.86,3.51,0.69,3.91,0.84,1.99,0.29,2.01,0.29,32.9,52.5
"SHOSHONITE [21241]",60.48,82.8,147,16.9,60.4,9.15,2.32,7.48,0.99,5,0.95,2.65,0.36,2.43,0.37,28.5797,118.7567
"SHOSHONITE [19551]",61,96.4,159,17.7,67.5,10.9,2.91,7.22,0.95,4.01,0.7,2.16,0.33,2.18,0.35,31.1318,117.4481
"SHOSHONITE [20926]",50.88,27,55,6.6,26,5.2,1.28,4.85,0.58,3.05,0.54,1.51,0.2,1.33,0.2,25.54811,100.46304
"NOT GIVEN [8859] / SHOSHONITE [10151]",53.64,84,207,30,144,30,5.3,16,1.8,7.8,1.14,2.5,0.31,2.1,0.3,32.05,81.98
"SHOSHONITE [4923]",65.03,38.8,83.2,8.93,33,5.99,1.53,6.14,0.83,4.66,0.94,2.89,0.43,2.94,0.48,38.79,15.21
"SHOSHONITE [22566]",51.64,17.7,32.9,3.95,15.8,3.23,1.1,2.94,0.45,2.55,0.49,1.37,0.205,1.4,0.227,43.3544,145.7853
"SHOSHONITE [8774]",59.45,64.3,104,12.22,48.6,8.12,1.98,5.53,0.63,3.01,0.47,1.37,0.18,1.17,0.18,-36.62,-67.25
"SHOSHONITE [15999]",54.53,74.9,142.8,18.83,70.1,11.91,2.69,9.56,1.4,7.23,1.35,3.89,0.56,3.6,0.51,39.09,28.98
"SHOSHONITE [19737]",49.19,57.8,119.6,13.41,54.5,9.07,2.17,7.41,1.1,5.76,0.95,2.75,0.4,2.64,0.39,39.09,28.98
"SHOSHONITE [24534]",49.05,87.2,185,23,94.48,16.8,4.01,12.4,1.6,7.89,1.32,3.24,0.42,2.57,0.35,48.001291,111.026774
"SHOSHONITE [21869]",52.46,74.4,121,12.9,45.2,7.6,1.93,6.9,0.9,4.1,0.8,2.2,0.31,1.9,0.29,39.0828,39.6853
"SHOSHONITE [23175]",53.94,90.7,180,20.8,81.6,12.6,3.17,8.84,1.18,4.2,0.75,2.27,0.24,1.61,0.242,32,96
"SHOSHONITE [4923] / BASALT [11126]",50.05,36.9,71.4,8.85,35.1,6.77,1.77,6.99,0.89,4.77,0.91,2.53,0.35,2.22,0.35,38.79,15.21
"SHOSHONITE [15796]",52.52,30,60.6,7.1,27.7,6,1.7,5.7,0.9,4.9,0.9,2.7,0.4,2.6,0.4,36.3,50.25
"SHOSHONITE [28818]",54.57,24.18,40.79,4.78,22.76,5.07,1.09,6.61,0.84,4.29,0.82,2.34,0.29,2.19,0.29,32.9,52.5
"SHOSHONITE [12282]",46.09,49.6,94,11.2,43.4,8.9,2.3,8.1,1.1,5.5,1,2.7,0.36,2.2,0.31,30,90
"SHOSHONITE [18714]",45.61,70.3,135.6,16.1,60.8,10,2.5,7.4,1.1,5.5,1,3,0.4,2.5,0.4,40.86,26.63
"SHOSHONITE [13358]",49.8,12.48,28.19,3.68,16.36,4,1.09,3.65,0.54,3.35,0.69,1.99,0.29,1.91,0.29,56.42,161.92
"SHOSHONITE [20818]",53.9816502673904,53.2654593395763,95.2555235847137,12.6406121949287,48.3509890043931,9.11508914822275,2.1988766967391,7.89872787010504,1.01687496064916,5.91270772521331,1.07482181777005,2.78441600251358,0.394679017139967,2.55766274358955,0.377123463499261,40.71639,13.93917
"SHOSHONITE [13358]",47.88,13.42,33.01,4.29,19.47,4.89,1.6,4.53,0.65,3.48,0.78,2.47,0.34,1.83,0.33,56.42,161.92
"SHOSHONITE [12869]",60.7,76,138,12.7,50,8.9,2.06,6.1,0.8,4.3,0.8,2.3,0.34,2.2,0.32,39.909,25.143
"SHOSHONITE [7518]",54.66,26,52,6.8,27,5.1,1.2,5,0.72,4.4,0.89,2.2,0.35,2.3,0.35,27.55,116.04
"SHOSHONITE [24534]",52.83,74.5,143,16.7,61.7,10.2,2.24,7.33,0.94,4.64,0.76,2.07,0.27,1.79,0.25,48.969955,114.133922
"SHOSHONITE [14553]",51.24,23.7,45.5,5.76,23.8,4.86,1.38,4.1,0.57,3.02,0.58,1.57,0.24,1.45,0.23,25.7725,100.3203
"SHOSHONITE [13246]",69.99,33.9,59.3,5.77,19.5,3.34,0.657,2.72,0.45,2.86,0.61,2.07,0.387,2.58,0.413,39.92,25.25
"SHOSHONITE [21840]",58.5,108,199.8,22.21,82.9,10.89,2.73,6.85,0.75,3.74,0.57,1.49,0.25,1.47,0.22,46.0836,25.8336
"SHOSHONITE [14559]",64.65,118.6,245.4,26.27,94.6,13.5,3.52,7.39,0.97,4.39,0.64,1.73,0.21,1.47,0.17,38.37,26.75
"SHOSHONITE [23341]",52.18,34.1,68.3,8.35,33.4,7.1,1.81,6,0.8,4.6,0.9,2.5,0.36,2.4,0.37,46.4406,11.7424
"SHOSHONITE [10088]",50.28,42.5,87.1,10.4,41.1,8.5,2.2,6.5,0.89,4.6,0.79,2,0.34,1.9,0.31,40.821,14.426
"SHOSHONITE [23341]",52.43,33.6,67.6,7.93,32.8,6.7,1.7,5.7,0.8,4.7,0.9,2.3,0.35,2.3,0.33,46.4969,11.6444
"SHOSHONITE [18494]",53.61,56,115,12.9,43,8.6,2.2,7.1,1.1,5.1,0.9,2.5,0.36,2.3,0.36,38.809986,15.220644
"SHOSHONITE [20926]",49.45,152,282,30.8,110,16.6,4.04,11.7,1.24,5.94,1,2.6,0.34,1.98,0.29,25.5278,100.42578
"SHOSHONITE [14851]",51.03,48.9,107.5,14.25,58.6,9.5,2.02,6.4,0.84,4.3,0.71,1.87,0.3,1.91,0.27,39.1991,29.2912
"SHOSHONITE [19737]",49.87,47.2,103.2,11.83,44.1,7.79,1.81,5.88,0.83,4.22,0.77,2.08,0.3,1.88,0.28,39.09,28.98
"SHOSHONITE [12869]",65.6,65,118,12.6,46,6.7,1.64,4.7,0.6,3.2,0.6,1.9,0.28,1.8,0.28,39.853,25.066
"SHOSHONITE [21241]",63.37,92.1,173,18.4,64.9,9.57,2.29,7.69,0.96,5.06,0.97,2.71,0.38,2.56,0.41,27.8669,117.9025
"SHOSHONITE [10663]",58.56,100.3,209.1,17.65,61.31,7.52,1.95,4.48,0.59,2.72,0.5,1.32,0.18,1.13,0.17,35.951,52.109
"SHOSHONITE [12282]",45.42,50.3,97,11.8,45.8,9.6,2.6,9.1,1.2,6.1,1.1,2.8,0.38,2.3,0.32,30,90
"SHOSHONITE [22566]",54.03,14.4,29.3,3.94,16.6,4.2,1.31,4.23,0.66,3.88,0.78,2.25,0.341,2.25,0.353,43.3314,145.5731
"SHOSHONITE [9448]",52.48,32.8,67.8,7.66,34.79,5.885,1.86,5.25,0.708,3.85,0.759,2.18,0.274,1.94,0.304,31,117
"SHOSHONITE [9840]",53.28,63.2,128,16.4,66.7,13.3,2.78,11.87,1.72,9.12,1.74,4.91,0.77,4.34,0.65,19.402,-96.647
"SHOSHONITE [14436]",53.5,89,146,19.8,74.2,11.78,2.97,12,1.49,8.25,1.59,4.28,0.62,3.8,0.56,30.5,90.5
"SHOSHONITE [23341]",51.48,31.8,64.8,8.01,31.9,6.7,1.88,5.6,0.8,4.8,0.9,2.5,0.34,2.3,0.37,46.3542,11.6333
"SHOSHONITE [13517] / LEUCITITE [28819]",48.6642965807913,39.1,82.2,9.81,38.8,7.71,1.94,7.45,0.99,5.13,0.96,2.63,0.35,2.15,0.33,41.5536,13.35
"SHOSHONITE [15373]",55.58,78,106,9.6,37,6.6,1.6,5.8,0.7,3.2,0.62,1.45,0.19,1.25,0.17,66.5,77
"SHOSHONITE [19551]",54.94,57.3,112,11.7,47.1,7.72,1.7,5.86,0.9,4.31,0.79,2.39,0.38,2.66,0.4,31.1174,117.4246
"SHOSHONITE [13358]",51.49,12.34,30.76,3.88,18.57,4.63,1.64,4.84,0.8,4.27,1.07,3.13,0.38,2.72,0.45,56.42,161.92
"SHOSHONITE [23341]",51.48,28.5,59.4,7.31,29.9,6.2,1.59,5.6,0.8,4.5,0.9,2.5,0.34,2.1,0.35,46.4999,11.6496
"SHOSHONITE [18881]",52.24,80.49,148.55,21.52,80.58,14.65,3.01,11.51,1.48,7.25,1.31,3.32,0.45,2.71,0.39,46.2275,107.7981
"SHOSHONITE [9456]",51.81,54,109,12.3,44.4,9,2.3,7,0.9,5,1,2.5,0.4,2.3,0.3,40.78,14.05
"SHOSHONITE [15796]",56.33,30.9,60.9,7.5,29.8,6.4,1.8,6.3,1.1,5.6,1.1,3.3,0.5,3.1,0.5,36.3,50.25
"SHOSHONITE [10088]",50.06,43.4,88,10.6,41.8,9.1,2.2,6.5,0.94,4.7,0.82,2.1,0.3,1.9,0.3,40.821,14.426
"SHOSHONITE [15796]",56.09,30.3,60.1,7.4,28.6,6.3,1.8,6.2,1,5.6,1.1,3.2,0.5,3,0.5,36.3,50.25
"SHOSHONITE [18051]",53,28.2,53.5,5.78,22.7,4.57,1.21,4.33,0.69,3.3,0.68,1.88,0.31,1.88,0.3,40.65,8.8
"SHOSHONITE [18051]",54.65,24.1,48.5,5.62,22.6,4.64,1.11,4.42,0.74,3.66,0.77,2.13,0.36,2.11,0.34,40.65,8.8
"SHOSHONITE [23341]",51.06,32.7,64.9,7.74,30,6,1.78,5.2,0.7,4.4,0.9,2.5,0.35,2.2,0.35,46.4517,11.9039
"SHOSHONITE [21241]",71.96,62.2,118,13.6,49,8.17,0.92,6.32,1.08,5.95,1.14,3.39,0.54,3.45,0.52,28.7517,119.2147
"SHOSHONITE [16345]",62.66,56.87,126.42,13.89,61.31,14.72,3.99,13.85,2.55,14.17,2.6,8.67,1.44,8.66,1.4,13.14,76.04
"SHOSHONITE [18556]",61.27,60.8,109.3,11.6,40.4,7.01,1.52,5.43,0.69,3.76,0.68,1.85,0.27,1.78,0.26,42.03,35.16
"SHOSHONITE [18494]",53.36,60,120,13.5,46,9,2.2,7.5,1.1,5.3,1,2.7,0.39,2.5,0.36,38.810308,15.222097
"BASALT [12550] / SHOSHONITE [15953]",49.59,73,154,18.1,63.5,11.9,2.81,7.31,1.11,5.73,0.91,2.8,0.39,2.35,0.35,38.9286,29.0746
"SHOSHONITE [18556]",50.67,55.7,106.9,11.83,42.9,7.86,1.79,6.56,0.91,4.88,0.93,2.47,0.36,2.4,0.34,42.03,35.16
"SHOSHONITE [21241]",64.8,138,256,26.5,89.2,11.9,1.76,8.89,1.07,5.42,1.01,2.81,0.41,2.74,0.43,27.8669,117.9025
"SHOSHONITE [21241]",64.05,62.1,120,14.4,56.3,10.2,3.11,8.38,1.29,7.06,1.35,3.82,0.55,3.48,0.55,28.5797,118.7567
"SHOSHONITE [18494]",52.9,55,111,12.6,42,8.3,2.1,6.8,1,4.9,0.9,2.4,0.35,2.2,0.32,38.810795,15.222018
"SHOSHONITE [9840]",52.12,62,115.7,13.94,54.3,10.22,2.93,7.95,1.1,5.34,0.94,2.46,0.34,2.07,0.28,19.62,-96.758
"SHOSHONITE [10088]",50.33,45.9,95.6,11.6,46.4,9.4,2.5,7.3,1,5.1,0.89,2.1,0.29,2,0.3,40.821,14.426
"SHOSHONITE [23341]",49.77,34.5,69.5,8.04,31.7,7.2,1.89,6.4,0.9,4.6,0.9,2.6,0.36,2.2,0.34,46.0413,11.6131
"SHOSHONITE [12869]",60.4,70,133,14.6,55,9.2,2.04,6.8,0.9,4.5,0.8,2.4,0.35,2.3,0.33,39.965,25.154
"SHOSHONITE [15999]",52.91,69.6,140.2,16.52,60.7,10.24,2.42,7.87,1.18,6.45,1.16,3.12,0.5,3.04,0.47,39.09,28.98
"SHOSHONITE [21241]",64.34,138,254,26.4,89.3,11.8,1.7,8.95,1.07,5.54,1.03,2.86,0.42,2.76,0.44,27.8669,117.9025
"SHOSHONITE [9448]",51.83,33.5,70,7.92,34.94,6.684,1.91,5.32,0.675,3.79,0.767,2.11,0.33,1.99,0.29,31,117
"SHOSHONITE [13717]",53.63,128,225.4,23.2,81.8,12.4,3.2,8.2,1,5.8,1,2.8,0.4,2.7,0.4,-0.538,-77.626
"SHOSHONITE [18556]",51.55,51.1,102.4,11.59,44.6,7.74,1.81,6.22,0.91,4.59,0.81,2.31,0.33,2.32,0.33,42.03,35.16
"SHOSHONITE [23175]",53.76,88.4,174,20.3,76.8,11.9,3.07,8.45,1.19,4.3,0.74,2.23,0.21,1.57,0.248,32,96
"SHOSHONITE [9717]",53.26,84.79,163.6,18.08,73.68,12.29,3.08,8.67,1.11,5.04,0.85,2.15,0.31,1.91,0.28,-24.7897,-66.1767
"SHOSHONITE [20818]",55.3703203067896,36.3812647897977,71.2969336046509,8.23320091807033,32.6741690884676,6.30206269226116,1.98286514257191,5.55202239920135,0.770731059764908,4.56058982791539,0.870736432172883,2.31046894873597,0.324155345046538,2.09494012889119,0.312085731135231,40.7525,13.86889
"SHOSHONITE [22566]",55.82,24.4,48.4,6.23,26.4,6.22,1.72,5.73,0.91,5.25,1.06,3.08,0.458,3.12,0.471,43.0808,144.62
"SHOSHONITE [19551]",61.27,66.3,105,13.8,33.36,6.12,2.24,6.77,1.02,4.9,0.81,2.52,0.39,2.58,0.41,31.0058,117.4713
"SHOSHONITE [14851]",51.72,51.5,113.8,14.82,60.4,9.79,2.12,6.58,0.89,4.22,0.77,2.12,0.32,1.92,0.29,39.1673,29.1922
"SHOSHONITE [13246]",65.21,33.1,58.7,5.78,18.8,3.35,0.261,2.86,0.47,2.78,0.56,1.82,0.331,2.13,0.326,39.92,25.25
"SHOSHONITE [14553]",52.28,21.5,42.5,5.54,23.5,4.98,1.45,4.4,0.62,3.31,0.63,1.69,0.25,1.54,0.25,25.4358,100.3712
"SHOSHONITE [7827]",52.48,55.1,112,12.4,50.9,9.7,2.3,7.7,1.03,5.47,1.09,2.58,0.36,2.36,0.39,40.821,14.426
"SHOSHONITE [21241]",69.51,89.5,168,17.8,60.8,9.23,1.41,7.29,1.01,5.44,1.05,2.97,0.44,2.87,0.45,28.7517,119.2147
"SHOSHONITE [12048]",49.02,49.89,97.99,11.86,45.11,7.76,1.95,5.8,0.68,3.79,0.71,1.78,0.26,1.41,0.21,28.47,117.97
"SHOSHONITE [21241]",68.06,107,204,23.7,88.3,15,1.29,12.2,1.88,10.2,1.91,5.34,0.74,4.69,0.73,28.5797,118.7567
"SHOSHONITE [25818]",52.686,27.2389707544287,55.1344358079777,6.64673175583248,27.3467577000795,5.76755920637532,1.50742805872263,4.76910512116081,0.619378928017396,3.15383924165587,0.57693778453427,1.56739718112194,0.236127067119331,1.38903945224753,0.211803964420989,22.894,103.09
"SHOSHONITE [19143]",51.62,55.3,103,11.3,43.6,8.5,1.97,6.9,0.96,5,1,2.6,0.4,2.44,0.35,38.79,15.21
