"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"SUBALKALI BASALT [13569]",48.4,14.76,33.5,4.42,21.05,5.26,1.71,5.77,0.9,5.58,1.14,3.04,0.42,3.04,0.42,22.5,78.625
"SUBALKALI BASALT [11274]",48.75,3.34,8.72,1.31,7.47,2.34,0.75,3.45,0.51,3.83,0.78,2.35,0.35,2.52,0.41,48.55,-56.65
"SUBALKALI BASALT [22232]",51.41,21.4,50.6,7.83,38.5,10.9,3.33,13.4,2.22,14.4,3.12,9.09,1.28,8.06,1.23,36,102
"SUBALKALI BASALT [8676]",53.43,7.6,15,1.74,7.6,1.8,0.53,2,0.4,2.3,0.5,1.5,0.24,1.4,0.22,18.7847,81.2589
"SUBALKALI BASALT [24288]",50.86,10.4,24.7,3.38,15.5,4.5,1.62,5,0.9,5.3,1,2.8,0.4,2.5,0.37,21.26,71.8
"SUBALKALI BASALT [23341]",50.18,24.3,50.4,5.99,25.4,5.6,1.43,5,0.8,4.4,0.8,2.3,0.34,2,0.31,46.3044,11.8859
"SUBALKALI BASALT [21062]",48.59,20,46.6,6.23,29.5,7.49,2.53,8.24,1.23,7.34,1.47,3.98,0.555,3.42,0.49,28.4981,30.5671
"SUBALKALI BASALT [11274]",51.94,6.65,16.7,2.18,11.83,3.08,1.07,4.2,0.48,3.77,0.77,2.37,0.28,2.31,0.33,48.55,-56.65
"SUBALKALI BASALT [16336]",48.47,27.5,62.6,8.01,33.1,7.5,1.97,7.2,1.05,6.02,1.09,3.15,0.42,2.74,0.34,25.775,100.45
"SUBALKALI BASALT [11696]",48.94,24.23,50.8,6.7,30.7,7.94,2.62,7.6,1.14,6.41,1.19,3.06,0.44,2.51,0.34,5.155,10.345
"SUBALKALI BASALT [21062]",47.51,18.8,44.6,5.86,27,6.75,2.31,7.35,1.13,6.68,1.31,3.56,0.481,3.02,0.431,28.1877,30.8371
"SUBALKALI BASALT [17313]",51.07,16.4,36.6,4.59,19.3,4.65,1.47,4.8,0.736,4.35,0.873,2.27,0.317,1.96,0.279,21.5,73.8
"SUBALKALI BASALT [16336]",48.73,19.4,41.4,5.4,22.8,5.41,1.71,5.87,0.93,5.64,1.09,3.3,0.45,2.9,0.44,26.5,104.5
"SUBALKALI BASALT [18473]",50.0560747660193,30.57,60.23,8.188,35.45,7.276,2.431,6.987,0.9638,5.445,0.8857,2.561,0.3379,2.225,0.3329,34,131
"SUBALKALI BASALT [21062]",45.42,17.4,42.9,5.6,25.6,6.3,2.19,6.91,1.05,6.24,1.24,3.33,0.464,2.91,0.417,28.1877,30.8371
"SUBALKALI BASALT [8676]",51.47,5.5,11,1.32,6.1,1.5,0.47,1.8,0.4,2.3,0.5,1.5,0.24,1.6,0.24,18.8952,81.3556
"SUBALKALI BASALT [6126]",48.42,24.29,53.3,7.17,30.96,7.17,2.3,6.77,1,5.62,1.03,2.62,0.34,2.11,0.3,-25.36,-129.25
"SUBALKALI BASALT [22232]",49.85,9.92,22.5,3.37,15.1,4.03,1.46,4.28,0.7,4.31,0.9,2.49,0.34,2.17,0.31,36,102
"SUBALKALI BASALT [18473]",51.1280473946575,35.94,65.03,7.72,28.63,5.066,1.611,4.219,0.5772,3.328,0.6242,1.62,0.2378,1.553,0.2265,34,131
"SUBALKALI BASALT [19432]",48.86,6.35,13.4,1.71,7.6,2.14,0.77,2.82,0.53,3.63,0.81,2.41,0.37,2.29,0.36,22.5,72
"SUBALKALI BASALT [18844]",51.14,8.1,16.2,2.08,8.2,2.3,0.76,2.7,0.5,3,0.6,1.8,0.27,1.7,0.27,13,78
"SUBALKALI BASALT [11274]",51.24,2.58,7.81,1.28,6.59,2.21,0.82,2.94,0.43,3.41,0.7,2.11,0.33,1.9,0.27,48.55,-56.65
"SUBALKALI BASALT [13569]",49.56,16,36.51,4.89,23.72,6.13,2.03,7.03,1.07,6.35,1.26,3.34,0.46,3.15,0.43,22.5,78.625
"SUBALKALI BASALT [13152]",48.43,12.2,30.4,4.3,18.34,5.09,1.8,6.7,1.1,7.1,1.4,3.8,0.5,2.8,0.4,-45.3468,169.2211
"SUBALKALI BASALT [18844]",50.49,6.4,13,1.69,6.8,1.9,0.68,2.4,0.4,2.6,0.5,1.6,0.24,1.5,0.24,13,78
"SUBALKALI BASALT [21062]",47.2,17.4,41.4,5.72,27,6.74,2.39,7.21,1.06,6.28,1.22,3.23,0.422,2.63,0.367,28.1877,30.8371
