"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
40,30,"SHOSHONITE [20101]",29.6,53.5,5.78,22.4,4.29,1.32,4.45,0.68,3.96,0.76,2.33,0.34,2.21,0.37
-8.95,148.15,"SHOSHONITE [19990]",30.4,64.51,8.56,33.45,5.95,1.68,5.09,0.64,3.35,0.63,1.65,0.26,1.55,0.25
-8.95,148.15,"SHOSHONITE [19990]",30.02,64.44,8.61,33.45,5.97,1.66,5.13,0.66,3.44,0.65,1.69,0.27,1.61,0.26
38.404,14.962,"SHOSHONITE [20172]",57.55,106.2,12.44,44.19,8.64,1.66,7.4,0.94,4.62,0.84,2.21,0.31,2.1,0.3
25.54811,100.46304,"SHOSHONITE [20926]",27,55,6.6,26,5.2,1.28,4.85,0.58,3.05,0.54,1.51,0.2,1.33,0.2
25.5278,100.42578,"SHOSHONITE [20926]",152,282,30.8,110,16.6,4.04,11.7,1.24,5.94,1,2.6,0.34,1.98,0.29
25.5278,100.42578,"SHOSHONITE [20926]",196,363,37.5,127,17.7,3.59,11.75,1.22,5.89,0.98,2.63,0.32,1.95,0.27
26.17,100.19,"SHOSHONITE [20926]",24,49,5.8,24,4.8,1.31,4.93,0.66,3.76,0.72,1.87,0.25,1.59,0.23
25.77359,100.65682,"SHOSHONITE [20926]",73,168,19.2,79,14.8,3.5,12.2,1.31,6.4,1.08,2.77,0.34,2.02,0.28
40.71639,13.93917,"SHOSHONITE [20818]",53.2654593395763,95.2555235847137,12.6406121949287,48.3509890043931,9.11508914822275,2.1988766967391,7.89872787010504,1.01687496064916,5.91270772521331,1.07482181777005,2.78441600251358,0.394679017139967,2.55766274358955,0.377123463499261
40.7525,13.86889,"SHOSHONITE [20818]",36.3812647897977,71.2969336046509,8.23320091807033,32.6741690884676,6.30206269226116,1.98286514257191,5.55202239920135,0.770731059764908,4.56058982791539,0.870736432172883,2.31046894873597,0.324155345046538,2.09494012889119,0.312085731135231
28.7517,119.2147,"SHOSHONITE [21241]",86,161,18.3,64.5,10.5,1.39,7.32,1.21,6.54,1.25,3.5,0.52,3.26,0.5
28.7517,119.2147,"SHOSHONITE [21241]",85.9,161,18.4,65.7,10.5,1.41,7.43,1.23,6.68,1.24,3.44,0.51,3.25,0.49
28.7517,119.2147,"SHOSHONITE [21241]",64.5,118,13.5,46.4,7.78,0.7,6.53,1,5.73,1.15,3.33,0.51,3.44,0.53
28.7517,119.2147,"SHOSHONITE [21241]",62.2,118,13.6,49,8.17,0.92,6.32,1.08,5.95,1.14,3.39,0.54,3.45,0.52
28.7517,119.2147,"SHOSHONITE [21241]",89.5,168,17.8,60.8,9.23,1.41,7.29,1.01,5.44,1.05,2.97,0.44,2.87,0.45
28.5797,118.7567,"SHOSHONITE [21241]",83,157,18.8,70.6,12.4,2.67,10.1,1.59,8.99,1.69,4.78,0.68,4.25,0.68
28.5797,118.7567,"SHOSHONITE [21241]",62.1,120,14.4,56.3,10.2,3.11,8.38,1.29,7.06,1.35,3.82,0.55,3.48,0.55
28.5797,118.7567,"SHOSHONITE [21241]",82.7,169,19.1,72,12.7,3.03,11.1,1.57,8.58,1.71,4.57,0.67,4.31,0.68
28.5797,118.7567,"SHOSHONITE [21241]",88.7,188,21.7,83.7,15.1,2.45,13,1.92,10.4,2.03,5.45,0.79,5.06,0.77
28.5797,118.7567,"SHOSHONITE [21241]",77.8,149,17.5,64.7,11.6,2.3,9.2,1.47,8.26,1.53,4.38,0.64,4.04,0.62
28.5797,118.7567,"SHOSHONITE [21241]",70.7,127,14.4,51.6,7.91,1.84,5.44,0.83,4.46,0.83,2.31,0.34,2.21,0.35
28.5797,118.7567,"SHOSHONITE [21241]",92,177,20.9,79.1,13.6,1.88,11.4,1.72,9.55,1.78,5.02,0.72,4.58,0.71
28.5797,118.7567,"SHOSHONITE [21241]",107,204,23.7,88.3,15,1.29,12.2,1.88,10.2,1.91,5.34,0.74,4.69,0.73
27.8669,117.9025,"SHOSHONITE [21241]",106,197,22.1,76.2,11.8,0.64,8.71,1.46,8.09,1.5,4.47,0.68,4.46,0.67
27.8669,117.9025,"SHOSHONITE [21241]",61.2,119,14.2,52.5,9.79,1.25,8.16,1.33,7.26,1.34,3.84,0.59,3.88,0.58
27.8669,117.9025,"SHOSHONITE [21241]",59.1,115,13.9,51.1,9.48,1.28,7.87,1.28,7,1.28,3.64,0.54,3.44,0.53
27.8669,117.9025,"SHOSHONITE [21241]",60.8,119,14.3,53.5,9.74,1.24,8.08,1.28,7.32,1.34,3.68,0.58,3.77,0.54
27.8669,117.9025,"SHOSHONITE [21241]",62.2,121,14.4,53,9.83,1.44,7.9,1.29,6.88,1.28,3.55,0.53,3.49,0.53
27.8669,117.9025,"SHOSHONITE [21241]",60.3,116,14,52.7,9.82,1.32,8.37,1.31,7.47,1.41,3.91,0.61,4.05,0.59
27.8669,117.9025,"SHOSHONITE [21241]",92.1,173,18.4,64.9,9.57,2.29,7.69,0.96,5.06,0.97,2.71,0.38,2.56,0.41
27.8669,117.9025,"SHOSHONITE [21241]",138,256,26.5,89.2,11.9,1.76,8.89,1.07,5.42,1.01,2.81,0.41,2.74,0.43
27.8669,117.9025,"SHOSHONITE [21241]",138,254,26.4,89.3,11.8,1.7,8.95,1.07,5.54,1.03,2.86,0.42,2.76,0.44
27.8669,117.9025,"SHOSHONITE [21241]",125,219,24.3,86,11.5,1.75,7.07,1.16,6,1.1,3.16,0.47,3.04,0.47
27.8669,117.9025,"SHOSHONITE [21241]",66.7,120,14,51,8.06,2.31,5.68,0.85,4.61,0.86,2.43,0.36,2.4,0.37
28.5797,118.7567,"SHOSHONITE [21241]",83.7,149,17,61.7,9.27,2.6,7.71,0.97,4.86,0.94,2.49,0.36,2.34,0.37
28.5797,118.7567,"SHOSHONITE [21241]",85.9,164,17.6,62.2,9.57,2.36,7.87,1.01,5.1,1.01,2.73,0.4,2.61,0.4
28.5797,118.7567,"SHOSHONITE [21241]",82.8,147,16.8,59.5,9.05,2.26,7.34,0.95,4.94,0.96,2.59,0.37,2.42,0.38
28.5797,118.7567,"SHOSHONITE [21241]",85.8,164,17.6,63.2,9.66,2.33,7.94,1.02,5.29,0.99,2.68,0.39,2.46,0.39
28.5797,118.7567,"SHOSHONITE [21241]",82.8,147,16.9,60.4,9.15,2.32,7.48,0.99,5,0.95,2.65,0.36,2.43,0.37
28.5797,118.7567,"SHOSHONITE [21241]",87.4,162,17.6,62.5,9.53,2.49,7.72,1.01,5.02,0.96,2.56,0.37,2.34,0.37
28.5797,118.7567,"SHOSHONITE [21241]",159,275,28.4,95.6,12.5,1.53,9.59,1.14,5.88,1.13,3.08,0.46,3.08,0.47
27.9225,117.1656,"SHOSHONITE [21241]",216,368,39.4,130.4,14.5,1.73,8.78,1.04,5.25,0.95,2.75,0.41,2.58,0.42
27.9225,117.1656,"SHOSHONITE [21241]",173,296,29.7,98.2,12,1.67,8.34,0.87,4.46,0.83,2.23,0.34,2.22,0.35
27.9225,117.1656,"SHOSHONITE [21241]",187,323,34.9,115,13.5,1.9,8.16,0.97,4.97,0.88,2.71,0.39,2.47,0.39
46.0836,25.8336,"SHOSHONITE [21840]",108,199.8,22.21,82.9,10.89,2.73,6.85,0.75,3.74,0.57,1.49,0.25,1.47,0.22
46.0497,25.8119,"SHOSHONITE [21840]",49.9,96.2,10.68,39.6,5.76,1.53,4.06,0.49,2.61,0.49,1.39,0.2,1.36,0.19
39.0036,39.6261,"SHOSHONITE [21869]",54.8,102,11.3,42,7.6,1.99,7.3,1,4.7,0.9,2.5,0.34,2.2,0.35
39.0036,39.6261,"SHOSHONITE [21869]",61,111,12.6,47.6,8.3,2.17,7.5,1,5.1,1,2.5,0.33,2,0.32
39.0828,39.6853,"SHOSHONITE [21869]",74.4,121,12.9,45.2,7.6,1.93,6.9,0.9,4.1,0.8,2.2,0.31,1.9,0.29
43.0808,144.62,"SHOSHONITE [22566]",24.4,48.4,6.23,26.4,6.22,1.72,5.73,0.91,5.25,1.06,3.08,0.458,3.12,0.471
43.0808,144.62,"SHOSHONITE [22566]",14.5,29.9,3.97,17.5,4.32,1.38,3.98,0.62,3.61,0.71,2.04,0.299,1.88,0.275
43.3314,145.5731,"SHOSHONITE [22566]",14.4,29.3,3.94,16.6,4.2,1.31,4.23,0.66,3.88,0.78,2.25,0.341,2.25,0.353
43.3503,145.5919,"SHOSHONITE [22566]",15.9,29.9,3.55,14.1,3.23,1.05,2.79,0.44,2.57,0.53,1.5,0.229,1.53,0.237
43.3703,145.6311,"SHOSHONITE [22566]",14.2,26.4,3.13,12.1,2.75,0.917,2.61,0.42,2.39,0.47,1.42,0.209,1.37,0.211
43.3806,145.8111,"SHOSHONITE [22566]",18,34.1,4.09,16.3,3.62,1.12,3.12,0.46,2.59,0.51,1.42,0.213,1.46,0.227
43.3625,145.8014,"SHOSHONITE [22566]",6.85,14,1.84,8.04,2.13,0.729,2.1,0.33,2.08,0.41,1.2,0.185,1.24,0.193
43.3544,145.7853,"SHOSHONITE [22566]",17.7,32.9,3.95,15.8,3.23,1.1,2.94,0.45,2.55,0.49,1.37,0.205,1.4,0.227
43.3283,145.7006,"SHOSHONITE [22566]",12.7,26.4,3.54,15.5,3.75,1.21,3.6,0.58,3.39,0.7,2.03,0.317,2.12,0.32
43.3208,145.6153,"SHOSHONITE [22566]",12.4,26,3.49,15.1,3.73,1.21,3.65,0.61,3.57,0.71,2.05,0.319,2.07,0.305
43.2778,145.5881,"SHOSHONITE [22566]",12.6,26,3.48,15.8,3.87,1.22,3.67,0.62,3.52,0.71,2.03,0.296,1.98,0.314
43.1747,145.3317,"SHOSHONITE [22566]",13.3,27.1,3.62,15.7,3.85,1.17,3.67,0.61,3.59,0.72,2.01,0.298,1.96,0.307
44.6,-122.33685,"SHOSHONITE [13085]",83.94,184.6,24.35,100.09,17.49,4.59,10.35,1.11,4.85,0.74,1.64,0.2,1.07,0.16
44.361,-121.76194,"SHOSHONITE [13085]",24.55,58.46,8.12,35.48,6.64,2.09,4.79,0.67,3.83,0.74,1.91,0.27,1.68,0.26
