"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
33.31417,134.19356,"BASALTIC-ANDESITE [19928]",10.3,21,2.9,16,4,1.1,3.8,0.6,3.5,0.7,2.2,0.3,2.5,0.3
25.9,118.9,"BASALTIC-ANDESITE [18059]",60.24,106.5,13.64,55.81,9.54,2.39,7.45,0.95,4.9,0.98,2.36,0.33,1.82,0.27
25.9,118.9,"BASALTIC-ANDESITE [18059]",39.2,169,8.73,34,6.44,1.49,5.68,0.85,4.12,0.93,2.31,0.62,2.04,0.32
55.7908,160.40867,"BASALTIC-ANDESITE [19963]",13.738306,32.2504921,4.57392216,21.7244835,5.49264002,1.71644676,5.92620373,0.869634509,5.30606508,0.938652933,2.98465061,0.50875473,3.212008,0.500849724
55.792,160.40628,"BASALTIC-ANDESITE [19963]",12.6012621,29.5954399,4.25322723,20.5083847,5.26636457,1.62620234,5.65584612,0.852364659,5.26416302,0.93205893,2.96638846,0.506303191,3.13234425,0.490421563
55.76458,160.43569,"BASALTIC-ANDESITE [19963]",11.5737295,28.4544334,4.01671314,19.3501873,4.92724371,1.54384124,5.22076035,0.790587544,4.85485125,0.864791393,2.78891277,0.477268755,2.9849534,0.467793077
55.78814,160.39144,"BASALTIC-ANDESITE [19963]",14.6157236,33.6355591,4.52128601,20.9671097,5.13818073,1.57128239,5.32544136,0.777623415,4.72861338,0.833947957,2.68036366,0.459307134,2.90561795,0.457463413
55.78608,160.409,"BASALTIC-ANDESITE [19963]",12.3946705,28.9224606,4.07437801,19.3649139,4.89705563,1.54860854,5.20574856,0.784729421,4.80896854,0.849772871,2.72735095,0.466290861,2.91749549,0.457850873
55.86244,160.35606,"BASALTIC-ANDESITE [19963]",8.482828431,21.11459893,3.126346383,15.232145,3.696859925,1.220521792,4.053224922,0.611908563,3.837112796,0.781948835,2.251873858,0.320963153,2.141914576,0.327291497
55.86353,160.29303,"BASALTIC-ANDESITE [19963]",9.877531853,23.55325932,3.55395325,17.04685094,4.194168594,1.383381389,4.739446369,0.720811394,4.515450393,0.932848377,2.728964884,0.393882865,2.659043372,0.410365905
55.91894,160.30219,"BASALTIC-ANDESITE [19963]",11.53488476,27.39505353,4.180787849,19.98567399,4.792001809,1.461667808,5.250634217,0.763707013,4.636300816,0.933021145,2.669533886,0.375040181,2.479427552,0.379237802
55.86431,160.38719,"BASALTIC-ANDESITE [19963]",8.749768869,22.81364868,3.48829437,17.36454922,4.434714575,1.473411166,4.933693746,0.748014424,4.675674136,0.955806722,2.738329698,0.391281015,2.620230323,0.401249062
55.79203,160.39322,"BASALTIC-ANDESITE [19963]",10.8784046,26.0286522,3.74372554,18.0853214,4.69121361,1.49888098,4.98461103,0.736491203,4.50199747,0.786748827,2.48231316,0.427264899,2.65933657,0.410185397
55.78269,160.39103,"BASALTIC-ANDESITE [19963]",10.7858114,26.0080624,3.78091407,18.586237,4.95878983,1.55158162,5.32678938,0.798690856,4.88520288,0.853060186,2.6824472,0.452254981,2.78502345,0.428466737
55.87019,160.34333,"BASALTIC-ANDESITE [19963]",9.311129813,23.15122224,3.42555881,16.54095107,4.01970971,1.320100958,4.45592286,0.663410697,4.08750841,0.829222821,2.395159195,0.341487837,2.273734748,0.347214144
55.85903,160.35678,"BASALTIC-ANDESITE [19963]",9.988354229,23.22050206,3.494268996,16.52784574,3.977680118,1.297807588,4.488675678,0.664400003,4.106248069,0.842530264,2.442278618,0.351684046,2.357512721,0.361506072
55.91761,160.30156,"BASALTIC-ANDESITE [19963]",7.145682433,18.2730295,2.807124018,14.06022903,3.648778534,1.224846074,4.195048102,0.648341614,4.074397356,0.834848654,2.394160341,0.340968937,2.276888176,0.347410584
55.80194,160.34267,"BASALTIC-ANDESITE [19963]",19.93038957,53.41296644,8.048906998,37.31604823,8.423575754,2.296347815,9.158533146,1.315125324,7.924796581,1.596782005,4.59664465,0.650861417,4.314270508,0.651923474
55.90003,160.37908,"BASALTIC-ANDESITE [19963]",8.491430486,21.83480251,3.368940856,16.78137718,4.33311618,1.448595893,4.921544583,0.751578277,4.675954525,0.947189226,2.69897621,0.382423648,2.531498836,0.382525935
55.89733,160.35933,"BASALTIC-ANDESITE [19963]",10.19637143,25.0657922,3.565621298,16.8328992,4.042807371,1.29950721,4.486283895,0.666904595,4.12929966,0.849487639,2.467502283,0.355577154,2.401744667,0.370768986
