"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
28.56,-19,"BASANITE [19993]",85.9,168,19.1,76.5,13.8,4,11.5,1.44,8.05,1.42,3.37,0.43,2.63,0.35
28.56,-19,"BASANITE [19993]",86.6,176,19.6,74.5,13,4.17,11.2,1.44,7.95,1.43,3.47,0.49,2.58,0.33
28.56,-19,"BASANITE [19993]",82.6,159,18,67.4,12.2,3.88,11,1.4,7.61,1.33,3.42,0.45,2.5,0.31
56,14,"BASANITE [19997]",60.1,111,12.6,46.8,8.4,2.54,7.38,1.01,5.41,0.98,2.71,0.36,2.12,0.33
56,14,"BASANITE [19997]",60.8,112,13,49,8.57,2.64,7.72,1.07,5.65,1.03,2.81,0.37,2.21,0.34
56,14,"BASANITE [19997]",74.7,127,13,47.2,7.92,2.43,7.11,0.96,5.08,0.92,2.5,0.33,2,0.32
56,14,"BASANITE [19997]",61.4,109,11.8,44,7.75,2.44,7.07,0.96,4.99,0.91,2.43,0.31,1.96,0.29
56,14,"BASANITE [19997]",68,123,13.8,51.3,9.13,2.79,8.09,1.09,5.69,1.02,2.68,0.33,2.04,0.31
56,14,"BASANITE [19997]",45.3,80.3,9.44,35.5,6.61,2.08,6.25,0.86,4.56,0.85,2.26,0.3,1.9,0.29
56,14,"BASANITE [19997]",58.8,105,12.4,45.6,7.99,2.07,7.23,0.98,5.14,0.93,2.49,0.32,1.98,0.31
56,14,"BASANITE [19997]",54.1,97.6,11.8,42.8,7.72,2.43,6.85,0.96,5.03,0.92,2.57,0.34,2.03,0.33
56,14,"BASANITE [19997]",55.8,101,12.2,45.2,7.97,2.48,7.05,0.96,5.1,0.94,2.54,0.32,2.06,0.32
56,14,"BASANITE [19997]",54.6,98.5,11.9,44.6,7.93,2.45,7.13,0.97,5.16,0.93,2.52,0.34,2.07,0.32
40,30,"BASANITE [20101]",41.7,82.3,10.47,41.5,6.86,1.98,6.1,0.73,4.6,0.83,2.21,0.3,1.84,0.28
40,30,"BASANITE [20101]",37.1,71.2,8.57,31.7,5.97,1.75,5.35,0.7,4.49,0.82,2.15,0.32,2.12,0.29
-36,148,"BASANITE [20248]",89,120,11,35.5,8,2.6,6,0.85,4.7,0.81,2.2,0.3,1.85,0.3
-36,148,"BASANITE [20248]",120,160,18.5,61,9,3.3,7,0.96,4.8,1.05,2.3,0.3,2,0.33
-36,148,"BASANITE [20248]",110,155,15,47,10,3.4,7.5,1.05,5.5,0.89,2.3,0.3,1.85,0.29
-36,148,"BASANITE [20248]",125,170,15,48.5,10,3.3,7.5,1.05,5.5,0.91,2.4,0.35,1.95,0.31
-35.725,148.205,"BASANITE [20248]",67,110,14,49,7.5,2.8,6,0.84,4.4,0.96,2.2,0.3,2,0.32
28.5,-18,"BASANITE [4795]",68.02,128.4,14.66,55.23,10.19,3.02,8.81,1.18,5.9,1.04,2.66,0.33,2.05,0.28
-19.41,47.2,"BASANITE [20343]",51,98.8,11,42.6,7.8,2.6,6.6,1,5,0.9,2.3,0.3,2,0.3
-19.41,47.2,"BASANITE [20343]",48.8,97.6,11.3,45.6,8.7,2.9,7.5,1.1,5.4,1,2.4,0.3,2,0.3
-19.41,47.2,"BASANITE [20343]",35.5,72.5,8.5,34.4,7.2,2.3,5.9,0.9,4.7,0.8,2.1,0.3,1.8,0.3
-19.41,47.2,"BASANITE [20343]",56.1,113,13,53.8,10.2,3.6,8.2,1.1,5.5,1,2.5,0.3,1.9,0.3
31,-16,"BASANITE [4868]",54.2,105,12.5,46.8,9.04,2.75,8,1.09,5.44,0.95,2.24,0.27,1.65,0.22
31,-16,"BASANITE [4868]",37.1,71.9,8.53,32.9,6.85,2.18,6.34,0.9,4.79,0.87,2.08,0.26,1.62,0.22
31,-16,"BASANITE [4868]",40.7,84.4,10.5,41.3,8.23,2.46,7.16,1.02,5.31,0.95,2.37,0.3,1.85,0.26
31,-16,"BASANITE [4868]",43.2,88.8,10.9,42.5,8.39,2.52,7.4,1.03,5.4,0.98,2.42,0.31,1.93,0.26
31,-16,"BASANITE [4868]",42.7,87.2,10.8,42.1,8.36,2.5,7.22,1.03,5.36,0.98,2.4,0.3,1.88,0.27
31,-16,"BASANITE [4868]",58.9,113,13.1,49.3,9.27,2.78,8.02,1.1,5.5,0.95,2.28,0.28,1.65,0.22
31,-16,"BASANITE [4868]",40.1,79.8,9.86,39.3,7.84,2.3,6.71,0.91,4.86,0.86,2.16,0.27,1.64,0.23
31,-16,"BASANITE [4868]",85.4,161,18.7,68.8,12.2,3.47,9.89,1.32,6.36,1.07,2.53,0.3,1.8,0.24
43.5,116,"BASANITE [20509]",46.6,89,11.28,45.36,10.2,2.93,8.31,1.18,6.02,1.02,2.48,0.32,1.82,0.25
43.5,116,"BASANITE [20509]",52.07,99.1,12.43,49.4,11.09,3.15,9.02,1.25,6.31,1.07,2.45,0.3,1.62,0.21
43.5,116,"BASANITE [20509]",52.12,99.1,12.44,49.69,10.98,3.15,9.05,1.24,6.26,1.07,2.43,0.3,1.57,0.21
43.5,116,"BASANITE [20509]",37.97,71.8,9.17,37.31,8.65,2.5,7.18,1.04,5.42,0.98,2.22,0.29,1.66,0.23
43.5,116,"BASANITE [20509]",45.51,88.4,11.13,45.22,10.41,3.1,8.92,1.26,6.38,1.11,2.5,0.31,1.67,0.24
32.4618,118.9322,"BASANITE [20548]",50.05,91.21,10.32,41.01,8.57,2.81,7.86,1.05,5.52,0.92,2.23,0.28,1.45,0.19
32.9998,118.1403,"BASANITE [20548]",58.91,100.98,12,47.58,8.81,2.92,7.85,1.13,5.33,0.81,1.86,0.22,1.29,0.16
30.7602,116.8485,"BASANITE [20548]",76.74,133.35,15.87,61.39,10.54,3.12,9.08,1.25,5.88,0.94,2.22,0.27,1.66,0.23
31.5363,118.7048,"BASANITE [20548]",63.98,114.94,12.55,48.4,8.76,2.8,7.32,0.99,4.97,0.87,2.23,0.29,1.66,0.21
31.5363,118.7048,"BASANITE [20548]",66.68,119.74,13.16,50.5,9.15,2.89,7.49,0.99,5.23,0.9,2.24,0.29,1.65,0.22
32.5978,118.5345,"BASANITE [20548]",52.8,103,11.3,46.4,10.3,3.31,8.68,1.24,6.53,1.05,2.42,0.3,1.6,0.21
32.4618,118.9323,"BASANITE [20548]",56.2,96.46,11.79,47.28,9.34,2.92,8.51,1.21,5.91,1.01,2.25,0.31,1.73,0.25
32.4618,118.9322,"BASANITE [20548]",50.55,93.07,10.58,41.96,8.43,2.87,8.05,1.08,5.63,0.92,2.28,0.27,1.47,0.19
-53.12,73.5,"BASANITE [1007] / BASALT [23527]",43.9657059684657,96.4218542143003,12.1738021280481,53.3566704427325,10.8230286291949,3.50108938132915,9.32,1.24805860931851,6.48364385116179,1.0488099661992,2.61343698538491,0.307120784644808,1.6558055081214,0.213900547225334
51,10,"BASANITE [20135]",81.9,156,18.2,66.9,11.6,3.3,8.7,1.2,6,1,2.5,0.4,1.9,0.3
51,10,"BASANITE [20135]",97.6,188,21.5,80,13.5,3.8,10.5,1.4,7.1,1.3,3.11,0.4,2.3,0.3
28.9883,-13.6894,"BASANITE [6665] / NOT GIVEN [15508]",54.9,116,14.9,58.2,11,3.26,9.05,1.2,5.94,0.99,2.45,0.29,1.71,0.22
28.0261,-15.4333,"NOT GIVEN [6665] / BASANITE [15508]",73.3,156,18.36,71.3,12.5,3.67,10.71,1.32,6.27,1.05,2.61,0.3,1.88,0.25
