"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
39.0523,121.9282,"DOLERITE [19978]",11.4,28.2,3.95,18.4,5.08,1.79,5.24,0.88,5.58,1.1,2.96,0.44,2.68,0.39
39.0592,121.5892,"DOLERITE [19978]",14,34.9,4.83,22.3,5.8,1.97,6.49,1.08,6.54,1.28,3.56,0.51,3.11,0.47
39.0538,121.586,"DOLERITE [19978]",16.3,38.2,5.25,24.2,6.47,2.33,7.01,1.16,6.87,1.4,3.85,0.56,3.33,0.5
39.0402,121.5337,"DOLERITE [19978]",32.5,68.3,9.25,40.6,9.84,3.22,10.2,1.57,9.47,1.82,4.97,0.7,4.37,0.63
39.046,121.5282,"DOLERITE [19978]",22.1,48.9,6.9,30.9,7.69,2.73,8.42,1.38,8.42,1.65,4.61,0.65,3.96,0.58
39.0292,121.5185,"DOLERITE [19978]",41.9,88.2,12.3,53.6,12.5,3.78,13.1,2.1,12.6,2.47,6.57,0.93,5.81,0.85
39.032,121.5777,"DOLERITE [19978]",24.8,57.2,7.78,35.4,9.27,3.05,10,1.59,9.94,1.95,5.3,0.78,4.66,0.69
39.0118,121.5117,"DOLERITE [19978]",24.3,55.1,7.15,30.9,7.12,2.08,6.97,1.11,6.64,1.27,3.33,0.47,2.85,0.41
39.0432,121.8878,"DOLERITE [19978]",20.2,44.3,5.69,24.6,5.85,2.13,5.9,0.97,5.73,1.1,3.01,0.43,2.66,0.39
39.0313,121.8917,"DOLERITE [19978]",7.04,16.5,2.45,11.3,3.1,1.33,3.6,0.59,3.66,0.76,2.05,0.31,1.86,0.27
39.033,121.8895,"DOLERITE [19978]",9.42,23.4,3.24,14.7,3.96,1.64,4.39,0.74,4.53,0.93,2.65,0.35,2.23,0.32
38.9952,121.828,"DOLERITE [19978]",25.4,56.2,7.41,32.8,7.93,2.83,8.29,1.36,8.11,1.64,4.45,0.64,3.95,0.59
38.9042,121.6745,"DOLERITE [19978]",14.9,32.6,4.85,22,5.7,1.99,6.27,1.02,6.22,1.24,3.39,0.47,2.84,0.43
38.9032,121.6818,"DOLERITE [19978]",12.3,29.5,4.19,19.3,5.02,1.76,5.65,0.9,5.4,1.07,3.03,0.42,2.62,0.37
38.9617,121.4817,"DOLERITE [19978]",19.7,43.3,5.75,25.5,6.26,2.25,6.61,1.1,6.5,1.29,3.57,0.51,3.05,0.46
39.435,121.7958,"DOLERITE [19978]",22.5,64.7,7.19,32.8,8.53,2.43,9.63,1.59,9.65,1.97,5.4,0.77,4.69,0.71
39.437,121.8008,"DOLERITE [19978]",14.9,37,4.98,22.7,5.94,2.19,6.26,1.04,6.46,1.27,3.44,0.48,3.08,0.44
39.45,121.7833,"DOLERITE [19978]",29.7,66.4,9.16,41.1,10.4,3.41,11.1,1.75,10.7,2.14,5.91,0.84,5.38,0.8
35.52972,135.80583,"DOLERITE [19928]",28.8,62.3,8.2,36.8,8.1,2.8,8.2,1.2,6,1.1,3.2,0.4,2.8,0.3
35.52972,135.80611,"DOLERITE [19928]",33,68.4,8.6,39.2,8.9,2.9,7.5,1.3,6.8,1.1,3.4,0.4,2.6,0.4
35.69417,136.65722,"DOLERITE [19928]",9.8,24.8,3.5,18.7,5.3,2,6.2,1.1,7,1.4,3.9,0.5,3.4,0.5
35.69417,136.65778,"DOLERITE [19928]",8.7,19.9,2.9,15.4,4.6,1.7,5.5,1.1,5.7,1.1,3.3,0.4,2.7,0.3
33.51981,133.76097,"DOLERITE [19928]",12.4,28.9,3.9,19.4,4.9,1.8,5.9,0.9,5.8,1.1,3.4,0.5,2.9,0.4
33.51978,133.76092,"DOLERITE [19928]",15.2,35.2,4.5,22,5.5,2,6.7,1.1,5.7,1.2,3.5,0.4,3,0.5
55,-4,"DOLERITE, OLIVINE [20039]",18.46,38.86,5.07,21.33,4.52,1.51,4.58,0.72,3.72,0.69,1.91,0.28,1.73,0.26
55,-4,"DOLERITE, OLIVINE [20039]",19.2,39.82,5.27,21.58,4.65,1.49,4.64,0.7,3.68,0.72,2.01,0.28,1.72,0.27
37.5835,89.7873,"DOLERITE [20048]",35.16,70.8,8.04,30.14,5.71,1.63,5.17,0.7,4.05,0.79,2.19,0.29,1.91,0.27
37.5835,89.7873,"DOLERITE [20048]",37.96,79.12,8.6,32.44,6.11,1.84,5.47,0.73,4.22,0.81,2.27,0.3,1.96,0.28
37.5835,89.7873,"DOLERITE [20048]",40.86,84.64,9.4,35.68,6.72,1.97,6.06,0.81,4.62,0.88,2.47,0.32,2.11,0.3
37.5835,89.7873,"DOLERITE [20048]",49.66,97.6,10.2,37.32,6.73,1.97,5.96,0.78,4.45,0.85,2.36,0.31,2.05,0.29
37.5835,89.7873,"DOLERITE [20048]",49.92,99.34,10.38,38.18,6.94,2.03,6.1,0.8,4.58,0.87,2.41,0.32,2.11,0.3
37.5835,89.7873,"DOLERITE [20048]",46.46,96.8,10.57,39.68,7.31,2.14,6.44,0.85,4.76,0.9,2.51,0.33,2.16,0.31
37.5835,89.7873,"DOLERITE [20048]",45.3,94.88,10.34,38.94,7.2,2.15,6.35,0.83,4.67,0.89,2.46,0.33,2.11,0.3
37.0186,90.9466,"DOLERITE [20048]",40.44,82.14,8.71,31.3,5.58,1.37,4.77,0.64,3.62,0.7,1.97,0.27,1.76,0.25
20.9896,82.774,"DOLERITE [20199]",5.1,11.3,1.34,6.9,1.7,0.6,2,0.4,2.1,0.4,1.2,0.19,1.3,0.22
40.8108,75.2869,"DOLERITE [20222]",17.6,40.5,5.3,27.6,7.2,2.9,8.2,1.3,7.5,1.5,4.4,0.6,4.2,0.5
40.8108,75.2869,"DOLERITE [20222]",18.2,41.5,5.6,26.8,7.1,2.3,8.8,1.3,8.2,1.5,4.2,0.6,3.1,0.5
40.8108,75.2869,"DOLERITE [20222]",9.7,21.8,3.1,15.1,4,1.3,4.3,0.7,4.5,0.9,2.3,0.3,2,0.3
40.8108,75.2869,"DOLERITE [20222]",10,22.4,3.1,14.2,4.2,1.5,4.5,0.7,4.6,0.8,2.6,0.3,2.5,0.3
41.1506,76.4506,"DOLERITE [20222]",39.9,90.4,11.4,53.2,11.6,3.8,11.8,1.8,9.9,1.8,4.7,0.6,4.2,0.5
37.408,120.1443,"DOLERITE [20271]",29.1,75.7,6.87,29.6,6.18,2.1,5.28,0.84,5.36,0.91,2.56,0.37,1.81,0.29
37.398,120.1338,"DOLERITE [20271]",27.6,74.7,6.95,29.31,5.78,2.1,5.82,0.88,5.35,0.9,2.42,0.34,1.81,0.28
37.3981,120.1339,"DOLERITE [20271]",32.2,70.8,8.7,34.93,7.56,2.41,7.04,0.91,5.35,1.06,2.55,0.34,2.04,0.3
37.4076,120.1443,"DOLERITE [20271]",31.6,87.5,8.1,33.91,6.59,2.23,6.44,0.94,5.66,0.94,2.49,0.39,2.01,0.31
37.4003,120.1357,"DOLERITE [20271]",31.9,63.3,8.39,35.46,7.07,2.23,6.55,0.83,5.14,0.96,2.5,0.31,1.93,0.28
37.408,120.1443,"DOLERITE [20271]",36.7,76.6,9.23,38.81,7.68,2.41,7.12,0.94,5.63,1.06,2.57,0.34,2.08,0.31
37.408,120.1443,"DOLERITE [20271]",36.6,80.8,9.5,39.36,7.64,2.38,6.99,0.94,5.5,1.02,2.53,0.34,2.1,0.3
37.408,120.1443,"DOLERITE [20271]",38.4,82.5,9.37,38.13,8.15,2.39,6.97,0.94,5.67,1.13,2.72,0.34,2.14,0.31
37.398,120.1338,"DOLERITE [20271]",33.6,74.1,8.91,38.79,7.66,2.48,7.34,0.95,5.89,1.07,2.62,0.35,2.1,0.3
