"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
41,27,"DUNITE, XENOLITH [17969]",0.31,0.68,0.081,0.33,0.077,0.029,0.095,0.016,0.099,0.021,0.057,0.009,0.063,0.01
51.1,15.95,"DUNITE, XENOLITH [20261]",2.3,5.2,0.67,2.4,0.32,0.09,0.29,0.03,0.18,0.04,0.06,0.01,0.07,0.01
53,-121,"DUNITE, XENOLITH [20303]",1.03,1.83,0.18,0.66,0.1,0.03,0.09,0.01,0.07,0.01,0.05,0.01,0.05,0.01
-21,56,"DUNITE, XENOLITH [20331]",0.301393815913979,0.630877896686011,0.0909663754846495,0.403666927874348,0.0934729316957129,0.0301835531872409,0.10091979553077,0.0144644979526703,0.0880771896004284,0.0186103283386978,0.0541994500016733,0.00839177327504087,0.0622747397456113,0.0104383024836234
-21,56,"DUNITE, XENOLITH [20331]",0.375256907585415,0.871955072953279,0.1128336702912,0.512657027944062,0.115712867967781,0.0399184453835488,0.128041820985808,0.0191032287334694,0.115387738475737,0.02433214544972,0.0671606292690954,0.0106719178860832,0.0746625251213309,0.012095596818855
-21,56,"DUNITE, XENOLITH [20331]",0.124325784676669,0.256933256241791,0.0399676421146124,0.18161398126931,0.045635414405045,0.0137097759907596,0.0509098134292824,0.00756749022303938,0.0496227770548179,0.0114038245181672,0.0335082003791774,0.005912412245841,0.0444932509256641,0.00884885385729398
-21,56,"DUNITE, XENOLITH [20331]",0.070748781392288,0.159968278333721,0.0225744298417425,0.103185825851088,0.0269832234031358,0.00868322730486677,0.030018316646715,0.00491620602742607,0.0336504893013,0.00869832082202033,0.0282907813702658,0.00493193300524697,0.0395127462304904,0.00774554522190893
-21.2303,55.6654,"DUNITE, XENOLITH [20331]",0.448192122732485,1.03536845202243,0.132456994530662,0.574476286161368,0.134850424681248,0.0451870523993422,0.142604367945761,0.020467124531602,0.123604158256422,0.025903780556607,0.069812551394917,0.0110530708800051,0.0775254952623304,0.0130809773350672
-21,56,"DUNITE, XENOLITH [20331]",0.0969854515843226,0.197401030865603,0.0287609806668337,0.122858639068306,0.0309072426311559,0.0106067743581422,0.0366894652092734,0.00537643829967261,0.0372420491864983,0.00860131951209948,0.0281198633370527,0.00524695708376067,0.0420106962287307,0.00774368793756064
-21,56,"DUNITE, XENOLITH [20331]",0.330340738741431,0.627640715101303,0.0764146842911599,0.2783698707567,0.0511546470249853,0.0130017405038271,0.0566896258106914,0.00832506377359004,0.05237969129183,0.0116789105613925,0.0356988470582625,0.00620969839824516,0.047741923082503,0.00964895443819893
-21,56,"DUNITE, XENOLITH [20331]",0.16485026738958,0.328433554461911,0.0486437957789682,0.22682733194779,0.0612100630704958,0.021293191257456,0.0696791415920672,0.0108131371032782,0.0729477241189043,0.0162582521324212,0.0476709013068564,0.00724100203612517,0.057328743029476,0.00997367996349461
-21,56,"DUNITE, XENOLITH [20331]",0.10916060287723,0.245792508860489,0.0384606828072882,0.18483766849195,0.0482362774895698,0.0172112706504095,0.0539505821553668,0.00881867846828017,0.0612776470757529,0.0137641737220302,0.0389053416614845,0.00581717371235883,0.0448333951881359,0.00853892660907856
-21,56,"DUNITE, XENOLITH [20331]",0.206308910900916,0.523515844937871,0.0884126514059402,0.43807341112532,0.123645851911041,0.0370057006650577,0.126361177625227,0.0197327615418496,0.124954331959025,0.0265003540992983,0.0726922962199699,0.0112292663968868,0.0804989629214293,0.0143841938286072
-21,56,"DUNITE, XENOLITH [20331]",0.28645381016947,0.728158026770095,0.113034760684801,0.559113101902651,0.152840547540626,0.0460988621175363,0.162198655283662,0.0244730573286783,0.14887854280796,0.0328747014148602,0.0870148866630358,0.0131065666748567,0.0915862209524566,0.0155555825203547
-21,56,"DUNITE, XENOLITH [20331]",0.110407866418884,0.269278092862021,0.0347089646494689,0.150246966699772,0.0331519562450032,0.0106763082318627,0.0381297980650469,0.00591509241253897,0.0433485850740336,0.0109301044054,0.0355900779450759,0.00650209129280581,0.0515281482011546,0.00993458051018458
