"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
59,7.5,"GRANITE [19967]",220,395,49.7,160,24.1,3.3,11.8,1.53,8.11,1.54,3.63,0.54,2.79,0.38
60,7.5,"GRANITE [19967]",97,207,25.9,100,17.8,4,15.2,2.3,12.38,2.76,7.16,1.07,7.24,1.03
60,7.5,"GRANITE [19967]",218,468,61,246,46.3,6.2,37,5,30.3,6.3,15.8,2.3,14.8,2.3
60,7.5,"GRANITE [19967]",31,57,6,17,3.7,0.2,2.8,0.59,3.77,0.88,2.6,0.59,5.05,0.89
60,7.5,"GRANITE [19967]",76,136,12.8,35,5.6,0.4,4.1,0.74,4.58,1.04,3.2,0.66,5.05,0.86
58,7,"GRANITE [19967]",82,203,24.1,98,18.4,4.5,16.6,2.6,14.8,3.11,7.54,1.09,7.25,1.07
58,7,"GRANITE [19967]",110,224,26.2,91,16.5,1.4,11.8,1.6,8.02,1.61,3.33,0.48,2.83,0.39
58,7,"GRANITE [19967]",92,207,24.1,83,14,1.2,10,1.48,7.69,1.62,3.54,0.47,2.7,0.41
58,7,"GRANITE [19967]",97,214,29,123,25.1,5.7,21,2.5,17.9,3.7,9.3,1.3,8.6,1.2
58,7,"GRANITE [19967]",122,255,39,163,32,7.5,28.6,4.07,22.47,4.62,11.66,1.58,9.88,1.24
58,7,"GRANITE [19967]",51,100,9.6,29,3.6,0.7,2.4,0.29,1.98,0.52,1.53,0.29,2.12,0.36
58,7,"GRANITE [19967]",154,282,26.9,83,12.7,1.6,9.7,1.36,7.54,1.79,4.88,0.72,4.75,0.6
58,7,"GRANITE [19967]",124,222,20,60,6.9,1.1,4.4,0.55,3.1,0.8,2,0.31,2,0.33
58,7,"GRANITE [19967]",176,279,23.9,67,7.8,1.1,4.9,0.73,3.22,0.71,1.87,0.31,2.06,0.31
58,7,"GRANITE [19967]",158,319,43.4,163,29.2,6.5,23.3,3.7,19.5,3.8,10.4,1.5,9.3,1.4
58,7,"GRANITE [19967]",161,351,46.7,175,30.1,5.4,22,3.6,18,3.6,9.3,1.3,8.1,1.2
58,7,"GRANITE [19967]",148,323,43.6,167,30,6.4,22.7,3.3,17.7,3.6,9.1,1.3,7.7,1.1
58,7,"GRANITE [19967]",167,352,46.5,173,30.1,5.9,22.5,3.7,17.7,3.4,9.1,1.3,7.9,1.2
58,7,"GRANITE [19967]",96,211,28.1,109,19.1,4.2,15.3,2.8,11.6,2.3,6.1,0.8,5.6,0.8
58,7,"GRANITE [19967]",157,345,47.6,189,34.4,7.4,27.8,4,22.8,4.5,11.9,1.6,10.1,1.5
58,7,"GRANITE [19967]",146,362,53.2,215,42.5,7.3,34.7,5.2,30.4,6,16.6,2.3,15,2.1
58,7,"GRANITE [19967]",143,331,46.6,184,35.6,7,29.9,4.3,25,5,13.6,1.9,12.2,1.8
58,7,"GRANITE [19967]",147,298,38.6,180,27.2,5.6,27.8,4.1,24.1,4.9,13.5,2.4,13.4,2.2
58,7,"GRANITE [19967]",136,292,39.3,146,25.1,5.2,19.7,2.7,15.3,2.9,7.9,1.1,7,1
58,7,"GRANITE [19967]",114,250,33.6,132,23.9,5.2,19.5,2.8,16.7,3.2,9,1.2,7.9,1.2
58,7,"GRANITE [19967]",151,305,46.2,183,34,5.9,29.4,5,24.4,4.6,12.3,1.6,9.9,1.4
58,7,"GRANITE [19967]",141,292,37.5,137,23,4.1,16.6,2.4,12.8,2.4,6.6,1,6.1,0.8
58,7,"GRANITE [19967]",143,265,43.3,164,30.5,5.4,24.1,396,20.9,391,11.1,1.5,9.5,1.4
58,7,"GRANITE [19967]",89,224,29.4,114,20.9,4.8,16.9,2.5,13.8,2.7,7.4,1,6.7,1
58,7,"GRANITE [19967]",78,150,18.8,72,12.5,4.6,9.7,1.4,7.7,1.5,3.9,0.6,3.4,0.5
58,7,"GRANITE [19967]",116,272,40,154,29.3,6.1,23.8,3.5,20.9,4.1,11.3,1.5,9.9,1.4
58,7,"GRANITE [19967]",52,391,11,35,5.2,1.4,3.7,1.4,2.5,0.5,1.2,0.2,1,0.1
58,7,"GRANITE [19967]",98,187,24,82,15.1,2.6,12,1.8,10.3,2.2,5.9,0.9,6.2,0.9
58,7,"GRANITE [19967]",187,387,47,156,25.6,3.1,18.6,2.7,14.4,2.7,7,1,5.7,0.8
58,7,"GRANITE [19967]",51,104,13,48,9.8,1.8,8.7,1.4,8.2,1.8,5,0.8,5.1,0.8
58,7,"GRANITE [19967]",65,111,13,43,6,1.7,4.9,1.4,3.3,0.7,1.9,0.3,2.1,0.4
58,7,"GRANITE [19967]",39,67,7,22,2.2,0.7,1.4,1.1,0.7,0.2,0.3,0.1,0.5,0.1
58,7,"GRANITE [19968]",159,278,33,100,13,2.1,9,1.2,6.6,1.4,3.7,0.6,3.4,0.5
58,7,"GRANITE [19968]",121,244,26.2,91,13.2,1.9,9,1.3,7.8,1.6,4.5,0.7,4.1,0.6
58,7,"GRANITE [19968]",93,149,16.1,52,7.7,1.3,5,0.7,2,0.3,2,0.3,2.1,0.3
-8,35,"GRANITE [19976]",43,119,12.7,33.6,5.57,1.04,5.4,0.7,3.9,0.7,2,0.32,2.2,0.4
-8,35,"GRANITE [19976]",370,145,79.2,277.8,44.6,8.47,31.7,4.4,22.3,4.1,10.7,1.45,9.1,1.3
-8,35,"GRANITE [19976]",53.7,102,10.7,35.4,5,0.84,3.3,0.4,2.1,0.4,1.3,0.21,1.5,0.3
