"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
24.616,80.036,"KIMBERLITE [17971]",264.64,573.58,64.86,242.57,30.06,6.77,24.21,1.78,6.8,0.82,2.38,0.2,1.29,0.16
24.616,80.036,"KIMBERLITE [17971]",228.31,517.88,58.2,217.35,29.98,7.05,23.9,0.25,7.97,1.01,2.75,1.96,1.59,0.21
24.616,80.036,"KIMBERLITE [17971]",252.42,553.18,63.76,240.85,30.6,6.86,23.86,1.84,7.01,0.86,2.46,0.21,1.34,0.17
24.616,80.036,"KIMBERLITE [17971]",248.93,529.52,57.82,210.98,26.29,6.01,21.34,1.63,6.1,0.76,2.21,0.18,1.19,0.15
24.616,80.036,"KIMBERLITE [17971]",184.07,437.04,48.72,179.81,25.13,5.79,18.88,1.48,5.72,0.69,1.97,0.18,1.09,0.15
20.1883,82.2417,"KIMBERLITE [17971]",135.83,237.4,21.49,74.83,11.45,3.23,9.42,0.78,3.49,0.5,1.35,0.15,1.01,0.14
19,82,"KIMBERLITE [17971]",53.22,116.35,12.34,47.17,8.67,2.17,7.33,0.74,3.61,0.54,1.39,0.17,1.14,0.16
19,82,"KIMBERLITE [17971]",92.47,161.89,15.27,55.82,9.34,1.96,8.06,0.74,3.6,0.51,1.37,0.16,1.04,0.14
19,82,"KIMBERLITE [17971]",108.68,187.34,17.51,63.43,10.05,1.73,8.72,0.81,3.88,0.56,1.44,0.16,1.06,0.13
16.7675,77.4856,"KIMBERLITE [17971]",152.45,290.23,28.07,101.88,16.2,4.35,13.77,1.18,5.23,0.69,1.75,0.17,1.03,0.13
16.7675,77.4856,"KIMBERLITE [17971]",205.35,374.4,36.6,131.45,21.36,6.05,17.14,1.5,6.46,0.85,2.22,0.22,1.39,0.18
16.7675,77.4856,"KIMBERLITE [17971]",117.07,223.14,21.65,78.52,13,3.54,10.79,0.96,4.31,0.58,1.48,0.14,0.94,0.12
