"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
-30.82,119.52,"KOMATIITE [16962]",1.24,2.63,0.3,1.39,0.54,0.211,1.01,0.2,1.42,0.32,1.01,0.163,1.14,0.189
-30.82,119.52,"KOMATIITE [16962]",1.07,2.21,0.26,1.1,0.36,0.187,0.78,0.15,1.02,0.22,0.7,0.11,0.73,0.113
-30.82,119.52,"KOMATIITE [16962]",1.75,5.77,0.9,4.83,1.7,0.445,2.12,0.41,2.66,0.55,1.67,0.26,1.79,0.292
-6.5,-50,"KOMATIITE [20057]",21.8,8.8,3.8,15,3.1,0.9,4,0.7,4.1,0.8,2.2,0.3,1.8,0.2
-6.5,-50,"KOMATIITE [20057]",28.6,16.4,4.9,19.3,3.7,1,4.9,0.8,4.7,0.9,2.7,0.3,2.1,0.2
-6.5,-50,"KOMATIITE [20057]",2.8,4.4,0.9,4.5,1.3,0.3,1.5,0.2,1.8,0.4,1.2,0.1,0.9,0.1
-6.5,-50,"KOMATIITE [20057]",0,0.6,0,0,0.1,0,0.2,0,0.4,0.1,0.3,0,0.3,0
-6.5,-50,"KOMATIITE [20057]",1.6,1.2,0.5,2.8,0.9,0.3,1.1,0.2,1.6,0.3,0.9,0.1,0.8,0.1
-6.5,-50,"KOMATIITE [20057]",0,0,0,0.6,0.4,0,0.6,0.1,1,0.2,0.6,0,0.5,0
-6.5,-50,"KOMATIITE [20057]",6.1,10.2,1.9,8.8,1.8,0.4,2.2,0.3,2.4,0.5,1.4,0.2,1.3,0.2
-6.5,-50,"KOMATIITE [20057]",0.6,1,0.1,0.9,0.3,0,0.5,0,0.6,0.1,0.4,0,0.4,0
-6.5,-50,"KOMATIITE [20057]",3.8,3.8,1,4.9,1.3,0.4,1.7,0.3,1.9,0.4,1.1,0.1,0.9,0.1
-6.5,-50,"KOMATIITE [20057]",3.2,2.4,0.7,3.9,1.1,0.3,1.6,0.3,2,0.4,1.2,0.1,1,0.1
