"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
20.9896,82.774,"LAMPROITE [20199]",108,224,24.8,66.47,11.95,5.33,13.3,1.7,7.7,1.3,3,0.34,1.8,0.26
20.9896,82.774,"LAMPROITE [20199]",108,224,25.1,87.16,15.64,5.3,13,1.7,8.1,1.4,3.1,0.37,2.1,0.3
20.9896,82.774,"LAMPROITE [20199]",113,232,25.9,95.82,17.04,5.42,13,1.8,8.4,1.4,3.2,0.39,2.1,0.31
20.9896,82.774,"LAMPROITE [20199]",105,218,24.2,82.06,14.6,5.28,13.2,1.6,7.6,1.3,2.9,0.36,2,0.28
20.9896,82.774,"LAMPROITE [20199]",100,211,23.8,58.7,10.48,5.12,12.4,1.6,7.8,1.2,2.9,0.32,1.8,0.24
20.9896,82.774,"LAMPROITE [20199]",99.2,202,22.9,43.91,7.76,4.86,11.9,1.6,7.1,1.2,2.8,0.33,1.7,0.24
20.9896,82.774,"LAMPROITE [20199]",99.2,208,23.6,85.23,15.37,5.08,12.4,1.6,7.3,1.2,2.8,0.32,1.9,0.27
15.3075,78.0033,"LAMPROITE [20200]",272,509,50.3,170,18.7,4.6,9.7,1,4,0.6,1.3,0.15,0.9,0.12
15.3075,78.0033,"LAMPROITE [20200]",269,502,49.7,168,18.2,4.5,9.4,1,3.9,0.6,1.3,0.16,0.9,0.12
15.3075,78.0033,"LAMPROITE [20200]",243,455,44.8,150,16.2,3.79,8.1,0.8,3.3,0.5,1,0.12,0.7,0.1
15.3075,78.0033,"LAMPROITE [20200]",334,666,69.7,250,32.4,7.48,18.8,2.3,10.5,1.7,4,0.49,2.6,0.36
15.3075,78.0033,"LAMPROITE [20200]",285,567,59.5,215,27.6,6.44,16,1.9,9,1.4,3.4,0.42,2.3,0.31
48.842,15.3148,"LAMPROITE [20391]",93.2,223,29.4,121,20.1,4,11.5,1.47,6.7,1.14,2.9,0.45,3,0.46
49.1962,15.8432,"LAMPROITE [20391]",100,214,25.2,95.5,15.7,3.1,8.6,1.16,5.3,0.85,2.4,0.33,2.3,0.33
49.2171,15.8401,"LAMPROITE [20391]",81.4,165,19.2,73.1,12.4,2.8,8.6,1.1,5.2,0.93,2.6,0.38,2.3,0.34
50.0315,16.6891,"LAMPROITE [20391]",169,391,42.1,158,23.6,3.3,12.9,1.49,6.4,0.89,2.2,0.32,2.1,0.29
50.1946,16.4688,"LAMPROITE [20391]",101,215,23.9,83.7,13.4,2,7.7,1.06,5.1,0.84,2.2,0.32,2,0.29
50.3738,16.7486,"LAMPROITE [20391]",197,432,45.6,160,19.5,3.3,9.4,1.08,4.6,0.65,1.6,0.24,1.3,0.22
34.03333,-93.6725,"LAMPROITE [18948]",145,288,31,102.1,12.3,2.94,9.58,0.89,2.82,0.44,1.15,0.12,0.79,0.11
34.03333,-93.6725,"LAMPROITE [18948]",147,293,31.6,101.9,12.3,3.35,10.9,1.06,3.36,0.52,1.33,0.13,0.87,0.11
30.648,39.418,"LAMPROITE [20713]",68.2,132.9,15.38,57.2,9.03,2.13,6.85,0.83,4.59,0.73,2.05,0.29,1.85,0.28
49.000668,-110.647314,"LAMPROITE [17643]",104.7,226.5,28.9,112.9,15.37,3.22,9.61,1.02,4.36,0.68,1.74,0.27,1.69,0.23
49.000545,-110.648231,"LAMPROITE [17643]",115.1,291.3,38.1,146.1,19.47,4.15,12.06,1.32,5.31,0.81,1.87,0.29,1.53,0.19
48.999846,-110.649152,"LAMPROITE [17643]",94.6,215.9,28.2,114.6,16.05,3.4,10.13,1.08,4.85,0.74,1.78,0.28,1.57,0.22
48.999587,-110.649673,"LAMPROITE [17643]",77.3,162.7,19.9,77.9,10.5,2.16,6.19,0.69,2.98,0.43,1.12,0.16,0.93,0.13
65,31,"LAMPROITE [19485]",386,774,84.38,320,48,14,32.54,3.1,10.2,1.49,3.05,0.4,2.3,0.4
65,31,"LAMPROITE [19485]",85,206,23.46,96,15,4,11.05,1.2,4.96,0.86,2.04,0.25,1.6,0.3
65,31,"LAMPROITE [19485]",182,447,50.3,194,32,11,20.6,2,7.97,1.21,2.79,0.33,2.1,0.4
65,31,"LAMPROITE [19485]",275,584,64.67,251,42,13,29.08,3.2,13.13,1.96,4.08,0.43,2.6,0.4
69.3067,88.1417,"LAMPROITE [21618]",92,198,24,94,16,3.5,12.2,1.25,5.85,1.03,2.47,0.32,1.94,0.29
69.3067,88.1417,"LAMPROITE [21618]",108,230,29,111,19,3.3,13.8,1.49,6.97,1.16,2.84,0.39,2.27,0.32
69.3067,88.1417,"LAMPROITE [21618]",129,242,34,134,21,5.4,13.8,1.56,7,1.12,2.8,0.35,2.2,0.3
69.3067,88.1417,"LAMPROITE [21618]",124,239,30,117,18,3.7,14.2,1.55,7.59,1.32,3.41,0.46,2.82,0.38
20.835,82.6454,"LAMPROITE [21717]",15.5,35.6,4.87,20.5,4.73,1.24,4.11,0.61,3.35,0.64,1.62,0.23,1.37,0.21
20.8346,82.64,"LAMPROITE [21717]",101,187,23.9,91.9,20.3,6.46,19.1,3.42,19.3,3.58,8.58,1.22,7.29,1.03
20.8342,82.6405,"LAMPROITE [21717]",85.1,150,18.8,75.3,17.4,4.99,18.2,3.32,20.2,4.04,11.4,1.94,13.1,1.95
20.8333,82.6422,"LAMPROITE [21717]",259,481,62.5,211,38.8,9.36,29.5,4.6,26.2,5.29,14.3,2.27,15.7,2.35
20.8333,82.6422,"LAMPROITE [21717]",352,681,90.7,302,50.6,11.4,34.4,4.95,25.3,4.86,12.6,2.1,14.5,2.16
24,82,"LAMPROITE [21735]",52.9,108,11.5,46.6,12.4,2.5,8.3,0.9,4.8,0.8,2.1,0.3,2.1,0.3
24,82,"LAMPROITE [21735]",52.1,107,11.3,45.6,12.2,2.5,8.2,0.9,4.8,0.8,2.1,0.3,2.1,0.3
24,82,"LAMPROITE [21735]",56.2,114,12,47.9,12.6,2.5,8.3,0.9,4.9,0.8,2.2,0.3,2.2,0.3
24,82,"LAMPROITE [21735]",101.1,206,21.3,84.3,22,4.4,13.1,1.2,5.6,0.8,1.9,0.2,1.6,0.2
24,82,"LAMPROITE [21735]",95,194,20.1,79.8,20.8,4.2,12.4,1.1,5.4,0.8,1.9,0.2,1.6,0.2
24,82,"LAMPROITE [21735]",89.3,183,18.9,75,19.6,4,11.9,1.1,5.1,0.7,1.8,0.2,1.5,0.2
24,82,"LAMPROITE [21735]",91.6,187,19.3,77.4,20.2,4.3,12.2,1.1,5.4,0.8,1.9,0.2,1.6,0.2
24,82,"LAMPROITE [21735]",97.8,200,20.7,82.4,21.5,4.4,13,1.2,5.7,0.8,2,0.2,1.6,0.2
54,159,"LAMPROITE [21758]",4.86,12.57,1.93,9.83,2.42,0.67,2.15,0.3,1.57,0.31,0.89,0.12,0.79,0.12
54,159,"LAMPROITE [21758]",4.5,11.39,1.65,8.29,2.01,0.58,1.83,0.25,1.33,0.27,0.77,0.11,0.71,0.11
54,159,"LAMPROITE [21758]",5.04,13.15,1.98,11,2.79,0.81,2.67,0.4,2.38,0.5,1.51,0.21,1.36,0.21
54,159,"LAMPROITE [21758]",5.7,14.66,2.24,11.49,2.87,0.83,2.81,0.39,2.21,0.44,1.3,0.18,1.16,0.17
54,159,"LAMPROITE [21758]",8.09,19.67,2.77,12.99,2.99,0.88,2.94,0.43,2.52,0.54,1.66,0.23,1.61,0.24
54,159,"LAMPROITE [21758]",7.45,19.1,2.85,14.8,3.57,0.97,2.98,0.4,2.1,0.4,1.14,0.15,1.01,0.15
16.9176,79.0837,"LAMPROITE [22300]",226,473,52.9,185,23.6,5.62,13.6,1.7,8.3,1.3,2.7,0.3,1.5,0.2
16.9176,79.0837,"LAMPROITE [22300]",263,538,60.3,206.7,26,5.98,14.2,1.8,8.4,1.3,2.7,0.28,1.4,0.16
16.9176,79.0837,"LAMPROITE [22300]",253,530,59.8,208,27.9,6.75,16.2,2.1,10.4,1.7,3.6,0.38,1.9,0.22
16.9176,79.0837,"LAMPROITE [22300]",264.9,538.9,57.73,195.6,24.24,5.97,14.39,1.74,7.28,1.14,2.57,0.31,1.59,0.22
16.9154,79.0898,"LAMPROITE [22300]",362,652,65.5,214,24.5,6.04,12.8,1.5,7.1,1.1,2.8,0.34,1.9,0.26
16.9154,79.0898,"LAMPROITE [22300]",341,615,61.9,205.8,23.9,5.54,11.8,1.3,6.2,1,2.4,0.31,1.7,0.25
16.9154,79.0898,"LAMPROITE [22300]",360,654,65.2,212,24.1,5.77,12.5,1.4,6.6,1,2.5,0.32,1.7,0.23
16.9154,79.0898,"LAMPROITE [22300]",400,731,73.7,241.2,25.5,6.28,11.7,1.3,5.8,0.9,2.3,0.28,1.7,0.22
16.9154,79.0898,"LAMPROITE [22300]",404,746,76.3,252,28.2,6.82,13.1,1.4,5.9,0.9,2.2,0.27,1.6,0.21
16.9154,79.0898,"LAMPROITE [22300]",389,775,80.3,260,29.8,8.03,14.6,1.6,7,1.1,2.9,0.4,2.4,0.35
16.9154,79.0898,"LAMPROITE [22300]",379.3,762.7,78.9,253.2,27.85,6.97,16.15,1.66,6.23,0.93,2.1,0.29,1.74,0.24
16.9154,79.0898,"LAMPROITE [22300]",400.9,787.5,77.23,242.5,26.99,6.54,15.2,1.59,6.35,1.1,2.43,0.31,1.73,0.26
16.9162,79.0901,"LAMPROITE [22300]",381,699,71.5,234,26.1,6.01,12.4,1.4,6.2,0.9,2.3,0.26,1.4,0.2
16.9162,79.0901,"LAMPROITE [22300]",357,654,66.1,217,25.4,5.92,12.2,1.4,6.3,1,2.4,0.3,1.7,0.21
16.9162,79.0901,"LAMPROITE [22300]",344.7,668.3,67.24,215.3,24.53,6.32,14.21,1.62,6.88,1.03,2.59,0.28,1.57,0.22
16.9162,79.0901,"LAMPROITE [22300]",322.9,627.4,65.26,221,27.57,7.17,17.36,1.96,8.44,1.44,3.12,0.45,2.41,0.34
16.9162,79.0901,"LAMPROITE [22300]",452,837,85.8,290,32.7,7.65,14.9,1.5,6.5,0.9,2.3,0.24,1.2,0.16
16.9162,79.0901,"LAMPROITE [22300]",423,791,81.3,267,31.1,7.32,15.5,1.9,9.1,1.5,3.7,0.46,2.6,0.35
