"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
40,30,"LATITE [20101]",34.5,64.1,6.41,23.2,4.39,1.26,4.11,0.61,3.42,0.75,2.19,0.32,2.26,0.38
38.404,14.962,"LATITE [20172]",74.89,137.38,14.78,49.21,9.03,1.76,7.64,1.1,5.07,0.97,2.66,0.39,2.69,0.39
38.404,14.962,"LATITE [20172]",70.95,128.75,14.35,48.33,9.03,1.56,7.6,0.99,5.08,0.96,2.64,0.39,2.66,0.39
39.2,44,"LATITE [20288]",48,98.3,11.35,43.7,7.86,2.65,7.42,1.32,7.43,1.64,4.81,0.74,4.98,0.76
39.2,43,"LATITE [20322]",64.6,129.3,14.87,58.3,9.22,2.08,8.43,1.36,8.1,1.58,4.46,0.68,4.34,0.63
39.2,43,"LATITE [20322]",59.5,120.7,13.26,48.3,8.75,1.91,7.56,1.2,6.99,1.36,3.96,0.59,3.66,0.56
39.2,43,"LATITE [20322]",56.9,94.3,12.15,45.4,8.18,1.86,7.64,1.24,7.12,1.42,4,0.62,3.9,0.59
39.2,43,"LATITE [20322]",52.3,88.3,10.79,40.9,6.96,1.63,6.19,0.98,5.56,1.11,3.43,0.52,3.33,0.5
39.2,43,"LATITE [20322]",52.8,106.8,11.72,43.9,8.14,1.81,7.35,1.22,6.92,1.33,3.72,0.57,3.57,0.55
39.2,43,"LATITE [20322]",46.1,96.3,10.53,39.6,7.44,1.88,7.54,1.36,8.22,1.57,4.51,0.66,4.07,0.64
39.2,43,"LATITE [20322]",42.3,83.8,9.33,35.2,6.31,1.58,5.52,0.92,5.4,1.07,3.1,0.47,3.05,0.49
39.2,43,"LATITE [20322]",43.5,84.5,9.74,37.8,6.88,1.63,6.22,1.04,5.89,1.2,3.45,0.55,3.36,0.52
39.2,43,"LATITE [20322]",50.4,93.2,11.03,40.5,6.95,1.63,6.39,1.04,5.95,1.22,3.55,0.52,3.53,0.52
39.2,43,"LATITE [20322]",46.6,92.4,10.39,37.5,6.35,1.59,6.08,0.98,5.51,1.1,3.43,0.5,3.39,0.52
39.2,43,"LATITE [20322]",49.6,90.8,10.99,39.4,6.85,1.58,6.4,1.06,5.9,1.17,3.51,0.53,3.48,0.5
39.2,43,"LATITE [20322]",45.3,90.5,10.24,36.3,6.18,1.51,5.58,0.95,5.47,1.04,3.33,0.5,3.2,0.49
39.2,43,"LATITE [20322]",46.1,93.7,10.54,38.3,6.37,1.5,5.78,0.98,5.79,1.12,3.41,0.54,3.47,0.5
39.2,43,"LATITE [20322]",53.4,94.2,11.12,41.1,6.9,1.58,6.46,1.07,6.12,1.22,3.62,0.55,3.69,0.56
39.2,43,"LATITE [20322]",42.9,78,9.1,32.3,5.58,1.4,5.16,0.81,4.89,0.97,2.81,0.44,2.8,0.43
39.2,43,"LATITE [20322]",32.6,67.1,7.16,28.6,4.87,1.35,4.58,0.72,4,0.84,2.35,0.35,2.28,0.35
39.2,43,"LATITE [20322]",47.2,92.8,9.92,36.1,6.19,1.53,5.32,0.9,5,1.03,3.05,0.47,3.19,0.48
39.2,43,"LATITE [20322]",57.3,93.9,11.59,41.9,7.29,1.66,6.48,1.08,6.07,1.21,3.5,0.53,3.49,0.52
39.2,43,"LATITE [20322]",42.7,79.7,9.22,33.2,6.01,1.42,5.39,0.87,5.03,1.02,2.9,0.45,2.9,0.43
39.2,43,"LATITE [20322]",48.2,95.5,11.07,41.6,7.26,1.62,6.13,1.03,5.81,1.17,3.53,0.51,3.4,0.5
39.2,43,"LATITE [20322]",44.9,86.2,10.17,37,6.93,1.62,5.76,0.96,5.52,1.07,3.1,0.44,3.05,0.44
39.2,43,"LATITE [20322]",48,94.2,10.83,40.4,6.86,1.65,5.99,0.99,5.46,1.09,3.34,0.49,3.25,0.49
39.2,43,"LATITE [20322]",51.5,94.1,11.02,40.9,6.89,1.69,6.22,1.03,5.52,1.15,3.24,0.47,3.03,0.46
39.2,43,"LATITE [20322]",62.4,128.5,12.7,46.8,7.46,1.3,5.99,1.05,6.04,1.27,3.92,0.65,4.12,0.64
39.2,43,"LATITE [20322]",52.9,102.9,11.82,44.9,8.18,2.01,7.03,1.18,7,1.32,3.82,0.59,3.68,0.59
39.2,43,"LATITE [20322]",48.3,82.8,10.37,38.1,6.35,1.53,5.92,0.95,5.17,1,2.93,0.45,2.99,0.43
39.2,43,"LATITE [20322]",47,85.4,10,36.5,6.22,1.46,6,0.95,5.5,1.1,3.32,0.5,3.33,0.49
39.2,43,"LATITE [20322]",42.5,87.3,9.76,35.2,5.97,1.41,5.3,0.89,4.95,1.02,3.07,0.48,2.99,0.47
39.2,43,"LATITE [20322]",45.4,88.7,10.12,37,6.07,1.49,5.54,0.94,5.22,1.03,3.22,0.47,3.08,0.48
39.2,43,"LATITE [20322]",52,87,10.82,39.5,6.61,1.56,6.31,1.03,5.81,1.15,3.33,0.51,3.26,0.47
39.2,43,"LATITE [20322]",51.3,103.4,11.68,43.3,7.39,1.94,7.07,1.16,6.68,1.35,3.86,0.56,3.58,0.54
39.2,43,"LATITE [20322]",48.7,84.9,10.32,39.7,6.72,1.51,6.08,0.97,5.66,1.12,3.31,0.51,3.39,0.52
39.2,43,"LATITE [20322]",36.9,71.1,8,30.1,5.56,1.37,5.08,0.82,4.68,0.92,2.68,0.41,2.66,0.4
39.2,43,"LATITE [20322]",34,61.9,7.71,29,5.43,1.39,5.32,0.86,4.98,1.07,2.92,0.44,2.88,0.43
39.2,43,"LATITE [20322]",34.4,64.7,7.59,28.3,5.31,1.39,5.17,0.84,4.94,1.03,2.96,0.45,2.81,0.43
50.6923,7.2266,"LATITE [20410]",75.9,149,16.8,61.7,10.8,2.81,8.24,1.12,6.03,1.09,2.94,0.397,2.52,0.354
50.6923,7.2266,"LATITE [20410]",75.6,145,16.6,59.9,10.6,2.77,8.03,1.1,5.99,1.08,2.97,0.403,2.6,0.364
50.6651,7.2519,"LATITE [20410]",69.8,110,12.3,41.6,7.01,1.79,5.12,0.7,3.72,0.67,1.84,0.259,1.72,0.247
50.65,7.28,"LATITE [20410]",84.9,152,16.4,60.1,9.94,2.63,7.69,1.07,5.9,1.09,3.01,0.432,2.77,0.415
50.69,7.23,"LATITE [20410]",74.1,122,16.4,60.5,10.6,2.65,8.46,1.16,6.38,1.18,3.22,0.447,2.96,0.435
42,128,"LATITE [20416]",58.9,113.1,13.1,49.6,10,2.4,8.7,1,7,1.3,3.1,0.4,2.5,0.4
32,82,"LATITE [18619]",60.53,159.4,24.97,112,20.75,3.37,12.35,1.3,5.26,0.79,2.19,0.27,1.51,0.22
32,82,"LATITE [18619]",66.28,164.55,25.82,109.5,22.49,3.6,12.16,1.33,5.35,0.9,2.5,0.32,1.87,0.28
40.75433,12.69451,"LATITE [20721]",51,93,10.7,40,7.6,1.9,6.2,1,5.3,1,2.9,0.4,2.9,0.5
48.873177,-111.384751,"LATITE [17643]",34.7,75.6,8.9,35.2,6.95,2,5.02,0.73,3.59,0.67,1.79,0.27,1.68,0.26
48.872051,-111.382451,"LATITE [17643]",34,80.2,9.8,39.2,6.99,2.16,5.3,0.79,3.61,0.65,1.8,0.26,1.56,0.22
26.16601,100.19207,"LATITE [20926]",45,93,10.9,42,8.1,2.02,6.9,0.83,4.32,0.74,1.87,0.24,1.48,0.21
26.16601,100.19207,"LATITE [20926]",50,104,11.8,47,8.8,2.09,8,0.94,4.69,0.83,2.12,0.26,1.64,0.23
26.59196,99.90211,"LATITE [20926]",51,108,12.2,49,10.2,2.5,9.94,1.28,7.21,1.4,3.93,0.55,3.57,0.53
40,27,"LATITE [21237]",19.3,40.6,5.4,23.5,4.8,1.28,5.18,0.7,4.83,0.9,2.65,0.39,2.76,0.42
40,27,"LATITE [21237]",19.5,40.5,5.04,19.9,4.47,1.24,4.67,0.76,4.69,0.92,2.79,0.42,2.74,0.43
40,27,"LATITE [21237]",37.4,71.7,8.73,33.4,6.53,1.43,5.73,0.87,5.14,0.99,2.88,0.46,2.94,0.5
40,27,"LATITE [21237]",32.3,62.4,7.63,28.7,5.46,1.34,4.88,0.76,4.44,0.85,2.29,0.37,2.4,0.4
40,27,"LATITE [21237]",54.4,101.2,10.99,40,7.07,1.61,6.21,0.84,4.69,0.92,2.72,0.38,2.52,0.38
40,27,"LATITE [21237]",52.8,96.6,10.93,40,7.55,1.77,7.02,0.97,5.74,1.15,3.16,0.48,3.27,0.47
2.74,-75.51,"LATITE, QUARTZ [21647]",39.62,74.68,8.49,33.11,6.46,2.7,5.24,0.94,4.6,0.91,2.86,0.36,2.37,0.36
2.74,-75.51,"LATITE, QUARTZ [21647]",42.26,74.3,8.84,29.49,5.33,2.89,4.4,0.77,3.52,0.73,2.28,0.3,2.08,0.33
2.74,-75.51,"LATITE, QUARTZ [21647]",44.38,80.73,9.72,35.35,6.24,3.12,5.09,0.89,4.1,0.85,2.69,0.36,2.44,0.39
7,40,"LATITE [21827]",118,83.4,19.9,85,15.1,6.1,17.2,2.5,14.7,3.1,8.6,1.14,7,1.02
-14.69243,12.3474,"LATITE, QUARTZ [22074]",88.7,185,19.6,77,12,2.49,9.29,1.331,8.29,1.542,4.49,0.647,4.29,0.632
-15.17988,12.33282,"LATITE, QUARTZ [22074]",63.8,141,15.4,68.7,10.5,2.42,8.61,1.197,7.35,1.386,3.98,0.553,3.66,0.527
-15.18308,12.33723,"LATITE, QUARTZ [22074]",76.3,166,19.1,79.8,14,3.44,11.4,1.5,8.91,1.578,4.29,0.577,3.67,0.512
-15.17037,12.32427,"LATITE, QUARTZ [22074]",68.7,158,19.2,78,15.9,3.8,13.3,1.867,11.1,2.02,5.58,0.751,4.84,0.71
-14.91632,12.39613,"LATITE, QUARTZ [22074]",76.9,169,19.4,80.9,14.6,3.65,12.2,1.642,9.74,1.754,4.69,0.62,3.96,0.55
-14.82148,12.3989,"LATITE, QUARTZ [22074]",70.6,158,18.1,75.6,14.1,3.27,12,1.66,10.1,1.84,5.15,0.691,4.49,0.625
-14.83743,12.41787,"LATITE, QUARTZ [22074]",78.8,170,20.7,81.1,15.3,3.62,12,1.666,9.71,1.738,4.72,0.632,4.12,0.6
-14.77982,12.27462,"LATITE, QUARTZ [22074]",71.8,156,17.3,70.1,12.1,2.88,10.2,1.405,8.8,1.625,4.59,0.639,4.18,0.594
-15.21208,12.27462,"LATITE, QUARTZ [22074]",65,145,17.2,72.9,14.2,3.58,12.5,1.704,10.6,1.925,5.38,0.721,4.69,0.649
-14.71045,12.36361,"LATITE, QUARTZ [22074]",79.8,189,19.5,69.8,12,2.4,9.25,1.345,8.19,1.531,4.47,0.637,4.28,0.647
-14.70929,12.36606,"LATITE, QUARTZ [22074]",63.8,150,18,73.1,14.9,3.89,12.9,1.893,11.6,2.1,5.77,0.756,4.92,0.703
-14.70088,12.36311,"LATITE, QUARTZ [22074]",74.7,161,18.7,70.9,13,3.04,10.6,1.516,9.13,1.687,4.79,0.66,4.38,0.657
-14.70679,12.33903,"LATITE, QUARTZ [22074]",93.3,193,21.7,77,13.2,2.7,10.2,1.467,8.96,1.682,4.79,0.678,4.78,0.687
-14.70254,12.34673,"LATITE, QUARTZ [22074]",74.4,159,18.4,69.6,12.8,3,10.7,1.519,9.17,1.692,4.827,0.658,4.37,0.663
-14.77185,12.38956,"LATITE, QUARTZ [22074]",73.6,161,19.5,76.6,15.1,3.48,12.8,1.82,10.8,1.992,5.57,0.755,4.89,0.721
-14.75283,12.39814,"LATITE, QUARTZ [22074]",80.1,176,20.8,81.5,15.3,3.67,12.4,1.701,9.85,1.747,4.73,0.625,4.02,0.594
43.8033,21.9993,"LATITE [17005]",18.93,35.86,4.63,20.63,4.52,1.29,3.18,0.62,4.12,0.81,2.31,0.39,2.33,0.31
-6.64,-52,"LATITE [15759]",26.7,48.6,5.3,18.3,3.86,1.15,3.3,0.48,2.72,0.54,1.7,0.241,1.47,0.228
-6.64,-52,"LATITE [15759]",35.8,66.2,7.11,23.2,4.57,1.16,3.59,0.51,2.81,0.57,1.75,0.257,1.57,0.222
-6.64,-52,"LATITE, QUARTZ [15759]",42.6,77.4,8.11,26,4.93,1.16,3.59,0.5,2.64,0.52,1.56,0.223,1.37,0.205
40.821,14.426,"LATITE [7827] / TEPHRITE [8436]",55.5,110,12.3,48.2,9.2,2.3,7.4,1,5.24,1.04,2.57,0.35,2.48,0.36
40.821,14.426,"LATITE [7827] / TEPHRITE [8436]",56,112,13.2,51,9.7,2.3,8,1.09,5.8,1.15,2.81,0.37,2.56,0.38
42.7519,11.9456,"NOT GIVEN [8252] / LATITE, OLIVINE [12849] / LAMPROITE [28819]",110,249,31.1,120,20,3.8,12.9,1.44,6.3,1.07,2.81,0.38,2.31,0.27
42.7497,11.95,"LAMPROITE [7613] / LATITE, OLIVINE [12849] / NOT GIVEN [23164]",94,247,29.8,116,18.4,3.68,12.4,1.39,6,1.05,2.67,0.37,2.39,0.34
32,96,"LATITE [23175]",86,171,19.6,74.9,11.7,3.06,8.32,1.14,3.91,0.68,2.06,0.22,1.45,0.217
32,96,"LATITE [23175]",88.2,176,20.5,77.1,11.7,3.15,8.38,1.2,4.3,0.7,2.17,0.24,1.5,0.222
32,96,"LATITE [23175]",71.9,142,16.2,62.2,10,2.53,7.34,1.02,3.97,0.7,2.22,0.25,1.69,0.24
32,96,"LATITE [23175]",73.3,146,16.6,62.5,9.95,2.51,6.82,1.07,3.92,0.72,2.26,0.26,1.64,0.257
32,96,"LATITE [23175]",70.6,140,16.3,61.7,9.35,2.4,6.93,1,3.78,0.68,2.23,0.24,1.6,0.246
32,96,"LATITE [23175]",72.7,143,16.5,62.6,9.55,2.45,7.16,0.97,3.86,0.68,2.17,0.24,1.72,0.262
32,96,"LATITE [23175]",74.2,146,16.6,63.5,9.73,2.48,7.21,1,4.17,0.71,2.12,0.26,1.87,0.259
61,33,"LATITE [23194]",32.9,65.6,7.79,28.6,4.98,1.54,4.11,0.57,3.07,0.53,1.64,0.23,1.41,0.22
61,33,"LATITE [23194]",33.5,69.9,8.43,33.7,5.33,1.88,5.2,0.75,3.8,0.78,2.16,0.28,1.99,0.27
46.3324,11.5893,"LATITE [23341]",39,77.7,9.13,35.3,6.9,1.76,5.5,0.8,4.4,0.9,2.5,0.35,2.3,0.37
45.7526,11.364,"LATITE [23341]",47.5,83.3,10.1,40.3,8.3,2.04,7.9,1.1,5.9,1.2,3.2,0.44,2.8,0.42
-19.0575,12.573,"LATITE [6857]",43.4,91.7,12.21,43.1,8.92,2.17,7.76,1.28,7.73,1.59,4.22,0.609,3.86,0.599
-18.4462,12.2055,"LATITE [6919]",73.8,156,20.49,75.8,14.3,3.97,11.8,1.68,8.96,1.59,4.22,0.528,3.24,0.453
-18.4833,12.2238,"LATITE [6919]",78.8,169,22.3,82.6,15.5,4.29,12.9,1.81,9.74,1.74,4.59,0.565,3.5,0.494
-18.4795,12.2317,"LATITE [6919]",90.2,186,25.04,91.6,16.5,4.46,12.8,1.81,9.79,1.76,4.61,0.569,3.51,0.496
-18.5445,12.1988,"LATITE [6919]",90.1,192,24.78,88.9,15.9,4.31,12.8,1.78,9.48,1.71,4.55,0.565,3.52,0.501
-18.4787,12.2283,"LATITE [6919]",95.6,204,25.9,91.1,15.7,4.1,12.6,1.7,9.04,1.6,4.38,0.537,3.4,0.485
-19.0238,12.5313,"LATITE [6919]",90.1,193,24.4,85.6,15.1,3.77,12.6,1.71,9.28,1.7,4.62,0.579,3.63,0.52
-18.557,12.2592,"LATITE, QUARTZ [6919]",86.5,185,23.7,83.8,14.7,3.62,11.8,1.63,8.73,1.57,4.26,0.541,3.37,0.477
-18.5733,12.2717,"LATITE, QUARTZ [6919]",88.8,189,24,84.8,15,3.74,12.1,1.68,9.1,1.64,4.41,0.562,3.5,0.495
-18.9072,12.5147,"LATITE, QUARTZ [6919]",48.7,103,13.2,47.1,9.5,1.72,8.38,1.4,8.63,1.73,4.97,0.701,4.59,0.698
-19.002,12.5362,"LATITE, QUARTZ [6919]",48.1,102,13.1,46.4,9.45,1.7,8.41,1.41,8.68,1.73,4.93,0.677,4.56,0.677
